Name,ID,SMILES,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,Yield_PR1,Yield_PR2,Yield_PR3,Yield_PR4,Yield_PR5,Yield_PR6,Yield_PR7,Yield_PR8,Yield_PR9,Yield_PR10,Yield_PR11,Yield_PR12,Yield_PR13,Yield_PR14,Yield_PR15
4CzIPN,OPS1,N#CC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(C#N)=C1N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13,-0.20639,-0.0888,3.262,0.185,3.033,0.229,4.6952,62,69,41,50,99,95,74,57,20,1,45,86,1,81,65
4tBuCzIPN,OPS2,N#CC1=C(N2C(C=CC(C(C)(C)C)=C3)=C3C4=C2C=CC(C(C)(C)C)=C4)C(N5C(C=CC(C(C)(C)C)=C6)=C6C7=C5C=CC(C(C)(C)C)=C7)=C(N8C(C=CC(C(C)(C)C)=C9)=C9C%10=C8C=CC(C(C)(C)C)=C%10)C(C#N)=C1N%11C(C=CC(C(C)(C)C)=C%12)=C%12C%13=C%11C=CC(C(C)(C)C)=C%13,-0.19621,-0.08203,3.1887,0.1207,2.9803,0.2084,6.1138,83,83,62,54,45,98,47,68,0,0,12,70,2,95,82
4MeCzIPN,OPS3,N#CC1=C(N2C(C=CC(C)=C3)=C3C4=C2C=CC(C)=C4)C(N5C(C=CC(C)=C6)=C6C7=C5C=CC(C)=C7)=C(N8C(C=CC(C)=C9)=C9C%10=C8C=CC(C)=C%10)C(C#N)=C1N%11C(C=CC(C)=C%12)=C%12C%13=C%11C=CC(C)=C%13,-0.19686,-0.08286,3.1729,0.1881,2.9538,0.2191,5.1244,73,78,40,48,23,97,37,39,0,0,8,27,2,6,49
4BrCzIPN,OPS4,BrC1=CC(C2=C3C=CC(Br)=C2)=C(C=C1)N3C(C(C#N)=C(N4C(C=CC(Br)=C5)=C5C6=C4C=CC(Br)=C6)C(N7C(C=CC(Br)=C8)=C8C9=C7C=CC(Br)=C9)=C%10N%11C(C=CC(Br)=C%12)=C%12C%13=C%11C=CC(Br)=C%13)=C%10C#N,-0.2236,-0.11433,3.1927,0.1235,3.0271,0.1656,6.2874,69,65,35,25,98,10,55,52,51,0,22,80,2,5,74
4OMeCzIPN,OPS5,N#CC1=C(N2C(C=CC(OC)=C3)=C3C4=C2C=CC(OC)=C4)C(N5C(C=CC(OC)=C6)=C6C7=C5C=CC(OC)=C7)=C(N8C(C=CC(OC)=C9)=C9C%10=C8C=CC(OC)=C%10)C(C#N)=C1N%11C(C=CC(OC)=C%12)=C%12C%13=C%11C=CC(OC)=C%13,-0.1854,-0.07855,3.0441,0.1658,2.8555,0.1886,6.2109,33,52,24,31,0,33,0,4,0,0,0,12,1,0,24
4PhCzIPN,OPS6,N#CC1=C(N2C(C=CC(C3=CC=CC=C3)=C4)=C4C5=C2C=CC(C6=CC=CC=C6)=C5)C(N7C(C=CC(C8=CC=CC=C8)=C9)=C9C%10=C7C=CC(C%11=CC=CC=C%11)=C%10)=C(N%12C(C=CC(C%13=CC=CC=C%13)=C%14)=C%14C%15=C%12C=CC(C%16=CC=CC=C%16)=C%15)C(C#N)=C1N%17C(C=CC(C%18=CC=CC=C%18)=C%19)=C%19C%20=C%17C=CC(C%21=CC=CC=C%21)=C%20,-0.19569,-0.09205,3.1279,0.0199,3.0439,0.084,10.1616,73,79,41,52,36,71,22,34,0,0,5,74,2,24,18
4DPAIPN,OPS7,N#CC1=C(C(N(C2=CC=CC=C2)C3=CC=CC=C3)=C(C(C#N)=C1N(C4=CC=CC=C4)C5=CC=CC=C5)N(C6=CC=CC=C6)C7=CC=CC=C7)N(C8=CC=CC=C8)C9=CC=CC=C9,-0.19312,-0.07487,3.1324,0.1749,2.7578,0.3746,5.9165,88,67,63,47,98,95,74,93,55,28,90,84,11,0,30
4tBuDPAIPN,OPS8,N#CC1=C(N(C2=CC=C(C=C2)C(C)(C)C)C3=CC=C(C=C3)C(C)(C)C)C(N(C4=CC=C(C=C4)C(C)(C)C)C5=CC=C(C=C5)C(C)(C)C)=C(N(C6=CC=C(C=C6)C(C)(C)C)C7=CC=C(C=C7)C(C)(C)C)C(C#N)=C1N(C8=CC=C(C=C8)C(C)(C)C)C9=CC=C(C=C9)C(C)(C)C,-0.18604,-0.07053,3.0323,0.1249,2.7092,0.3231,6.9252,49,74,54,22,98,28,17,85,48,11,91,90,13,0,18
4MeDPAIPN,OPS9,N#CC1=C(N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C)C(N(C4=CC=C(C=C4)C)C5=CC=C(C=C5)C)=C(N(C6=CC=C(C=C6)C)C7=CC=C(C=C7)C)C(C#N)=C1N(C8=CC=C(C=C8)C)C9=CC=C(C=C9)C,-0.17956,-0.06622,3.0266,0.2025,2.7414,0.2852,5.3216,73,78,57,40,99,39,29,85,68,14,98,94,13,0,60
4FDPAIPN,OPS10,FC(C=C1)=CC=C1N(C2=CC=C(F)C=C2)C(C(C#N)=C(N(C3=CC=C(F)C=C3)C4=CC=C(F)C=C4)C(N(C5=CC=C(F)C=C5)C6=CC=C(F)C=C6)=C7N(C8=CC=C(F)C=C8)C9=CC=C(F)C=C9)=C7C#N,-0.19846,-0.08545,3.0458,0.1753,2.6241,0.4217,2.8928,89,63,70,57,97,80,71,92,48,2,90,91,5,29,44
4ClDPAIPN,OPS11,ClC(C=C1)=CC=C1N(C2=CC=C(Cl)C=C2)C(C(C#N)=C(N(C3=CC=C(Cl)C=C3)C4=CC=C(Cl)C=C4)C(N(C5=CC=C(Cl)C=C5)C6=CC=C(Cl)C=C6)=C7N(C8=CC=C(Cl)C=C8)C9=CC=C(Cl)C=C9)=C7C#N,-0.21058,-0.09706,3.0915,0.2171,2.8025,0.289,4.7062,91,69,66,47,99,98,78,88,37,6,81,79,1,79,10
4BrDPAIPN,OPS12,BrC(C=C1)=CC=C1N(C2=CC=C(Br)C=C2)C(C(C#N)=C(N(C3=CC=C(Br)C=C3)C4=CC=C(Br)C=C4)C(N(C5=CC=C(Br)C=C5)C6=CC=C(Br)C=C6)=C7N(C8=CC=C(Br)C=C8)C9=CC=C(Br)C=C9)=C7C#N,-0.21247,-0.09943,3.0949,0.1964,2.7429,0.352,6.0311,92,72,58,24,99,97,74,90,35,2,80,82,3,95,28
3CzClIPN,OPS13,ClC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C(C#N)=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C(C#N)=C1N8C(C=CC=C9)=C9C%10=C8C=CC=C%10,-0.21353,-0.09727,3.197,0.1616,3.0508,0.1462,1.5389,31,60,34,33,63,50,75,36,20,0,40,77,1,39,50
4CzPN,OPS14,N#CC1=C(C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)=C1N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)C#N,-0.20875,-0.09408,3.3208,0.0603,2.9977,0.3231,7.9573,51,62,33,46,54,63,58,20,0,0,9,76,2,5,52
4DPAPN,OPS15,N#CC(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=C(C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5N(C6=CC=CC=C6)C7=CC=CC=C7)N(C8=CC=CC=C8)C9=CC=CC=C9)=C5C#N,-0.19091,-0.07659,3.1116,0.0363,2.7239,0.3877,6.8817,91,81,40,57,4,49,6,91,13,0,91,90,10,9,76
4CzTPN,OPS16,N#CC(C(N1C(C=CC=C2)=C2C3=C1C=CC=C3)=C4N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=C4C#N,-0.20627,-0.0993,3.083,0.2632,2.86,0.223,0.0023,0,45,42,37,9,10,13,2,0,0,6,37,2,0,28
4DPATPN,OPS17,N#CC(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=C(C(C#N)=C3N(C4=CC=CC=C4)C5=CC=CC=C5)N(C6=CC=CC=C6)C7=CC=CC=C7)=C3N(C8=CC=CC=C8)C9=CC=CC=C9,-0.18716,-0.07998,2.8199,0.2384,2.4316,0.3883,1.2336,93,53,60,51,13,98,2,90,7,0,91,32,8,0,22
1CzTRZ,OPS18,C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C4)=N1,-0.19896,-0.07101,3.8438,0.8106,3.3406,0.5032,10.6241,16,40,33,29,0,7,1,13,14,0,36,83,2,0,70
1tBuCzTRZ,OPS19,CC(C1=CC(C2=C3C=CC(C(C)(C)C)=C2)=C(C=C1)N3C(C=C4)=CC=C4C5=NC(C6=CC=CC=C6)=NC(C7=CC=CC=C7)=N5)(C)C,-0.19256,-0.06941,3.7237,0.8453,3.262,0.4617,12.5316,53,47,38,41,95,92,6,37,39,0,34,87,6,0,8
1DPATRZ,OPS20,C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6)=N1,-0.18787,-0.06162,3.5635,1.1287,2.9505,0.613,10.4896,21,31,34,30,94,99,34,45,41,2,88,86,34,0,14
1tBuDPATRZ,OPS21,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4)(C)C,-0.18284,-0.05984,3.4961,1.167,2.896,0.6001,11.353,16,28,30,20,97,82,39,33,53,0,89,92,19,0,48
1ClDPATRZ,OPS22,ClC(C=C1)=CC=C1N(C2=CC=C(Cl)C=C2)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,-0.19729,-0.06844,3.6168,1.114,3.022,0.5948,9.9926,46,40,35,31,98,99,11,43,41,0,82,88,14,0,31
1BrDPATRZ,OPS23,BrC(C=C1)=CC=C1N(C2=CC=C(Br)C=C2)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,-0.19686,-0.06856,3.6164,1.1245,3.0295,0.5869,9.9662,42,40,32,13,97,97,24,50,32,0,72,90,6,0,36
1OMeDPATRZ,OPS24,COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,-0.17664,-0.05799,3.4627,1.1816,2.8529,0.6098,11.8434,2,29,30,21,32,4,12,36,42,0,66,62,1,0,18
1PhDPATRZ,OPS25,C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(N(C5=CC=C(C6=CC=CC=C6)C=C5)C7=CC=C(C8=CC=CC=C8)C=C7)C=C4)=N1,-0.18459,-0.06306,3.4584,1.2285,2.9161,0.5423,10.9857,38,45,34,26,97,85,26,36,35,0,88,89,15,0,44
1PTZTRZ,OPS26,N(C1=C2C=CC=C1)(C3=CC=CC=C3S2)C(C=C4)=CC=C4C5=NC(C6=CC=CC=C6)=NC(C7=CC=CC=C7)=N5,-0.18237,-0.07461,3.552,0.0001,3.4653,0.0867,7.9638,39,59,37,37,11,16,2,33,8,0,55,85,1,0,8
2DPABP,OPS27,O=C(C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6,-0.18647,-0.05342,3.6117,1.1705,3.0476,0.5641,1.9736,1,14,27,9,9,99,47,87,63,4,82,88,80,4,24
2tBuDPABP,OPS28,O=C(C1=CC=C(N(C2=CC=C(C=C2)C(C)(C)C)C3=CC=C(C=C3)C(C)(C)C)C=C1)C4=CC=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C4,-0.18033,-0.04947,3.5525,1.2289,3.0124,0.5401,2.2877,2,19,30,14,81,99,51,29,37,1,84,91,73,2,16
