selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 35, 53, 19, 25, 42, 10, 30, 33, 27, 51, 37, 28, 32, 18, 17, 21, 11, 43, 24, 6, 4, 41, 13, 23, 22, 46, 31, 47, 2, 34, 36, 52, 7, 48, 29, 8, 5, 45, 20, 9, 38, 12, 54, 1, 39, 15, 26, 44, 16, 40, 49, 50, 14, 3]","[0, 40, 0, 0, 0, 54, 26, 32, 1, 23, 23, 0, 32, 1, 0, 1, 24, 2, 33, 30, 10, 1, 67, 49, 43, 52, 38, 49, 53, 39, 55, 7, 51, 0, 1, 0, 15, 0, 1, 10, 3, 0, 1, 0, 7, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2]","[40.59, 33.75, 28.09, 30.02, 25.88, 38.79, 31.9, 32.27, 24.43, 22.42, 20.92, 22.37, 22.19, 19.85, 21.49, 18.69, 19.41, 19.22, 17.71, 19.27, 18.81, 15.09, 24.42, 23.77, 25.59, 32.88, 34.94, 24.53, 19.06, 21.12, 22.25, 18.23, 14.97, 14.0, 14.35, 13.74, 11.65, 10.73, 11.64, 9.73, 8.33, 7.69, 7.2, 5.69, 6.78, 6.4, 5.73, 6.09, 5.8, 4.37, 3.36, 1.52, 1.14, 0.84]"
"[1, 35, 25, 7, 42, 33, 10, 27, 30, 37, 32, 17, 12, 6, 41, 13, 22, 46, 31, 23, 47, 2, 34, 19, 36, 52, 48, 21, 24, 51, 28, 11, 29, 43, 18, 8, 4, 5, 9, 45, 20, 38, 16, 53, 39, 54, 0, 40, 44, 15, 49, 26, 14, 50, 3]","[7, 40, 0, 0, 54, 1, 26, 23, 32, 0, 1, 1, 1, 10, 67, 49, 52, 38, 49, 43, 53, 39, 55, 0, 7, 51, 1, 24, 30, 23, 32, 2, 0, 33, 0, 15, 1, 0, 3, 1, 10, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2]","[42.05, 37.77, 29.39, 28.14, 39.52, 31.93, 26.77, 23.58, 23.34, 22.31, 22.93, 20.84, 19.15, 18.03, 25.36, 22.87, 28.25, 32.35, 33.03, 23.98, 21.62, 25.38, 25.83, 24.64, 18.46, 19.72, 20.18, 22.19, 21.0, 20.19, 21.33, 17.19, 18.12, 16.97, 14.75, 13.39, 13.13, 12.04, 10.43, 9.89, 9.35, 8.96, 8.06, 7.15, 6.14, 6.19, 5.31, 5.36, 5.23, 4.02, 2.98, 1.89, 0.87, 0.76]"
"[2, 35, 25, 19, 42, 10, 33, 18, 27, 30, 37, 7, 28, 11, 6, 21, 51, 12, 13, 41, 23, 31, 46, 22, 47, 36, 43, 24, 34, 32, 4, 52, 5, 17, 45, 29, 48, 8, 9, 20, 38, 54, 0, 16, 39, 44, 53, 26, 15, 1, 40, 49, 3, 50, 14]","[39, 40, 0, 0, 54, 26, 1, 0, 23, 32, 0, 0, 32, 2, 10, 24, 23, 1, 49, 67, 43, 49, 38, 52, 53, 7, 33, 30, 55, 1, 1, 51, 0, 1, 1, 0, 1, 15, 3, 10, 0, 0, 0, 0, 1, 0, 0, 0, 2, 7, 0, 0, 2, 0, 0]","[42.84, 37.19, 30.73, 26.66, 39.27, 31.62, 27.45, 26.38, 25.4, 24.16, 24.26, 23.93, 23.16, 23.56, 21.81, 22.34, 18.46, 19.44, 25.31, 20.96, 23.68, 33.3, 33.71, 25.57, 22.38, 18.67, 20.7, 19.28, 17.48, 15.14, 15.43, 16.34, 13.5, 13.33, 11.5, 13.12, 11.76, 11.26, 10.95, 8.5, 8.24, 8.04, 7.16, 6.56, 5.04, 5.53, 4.83, 4.84, 4.41, 5.33, 3.35, 2.31, 1.12, 1.25]"
"[3, 35, 25, 7, 42, 10, 27, 33, 11, 30, 18, 4, 37, 17, 51, 6, 28, 21, 24, 43, 41, 13, 23, 22, 31, 46, 47, 36, 2, 34, 19, 52, 12, 16, 32, 48, 38, 20, 8, 5, 45, 54, 9, 29, 39, 0, 53, 1, 49, 40, 44, 15, 26, 50, 14]","[2, 40, 0, 0, 54, 26, 23, 1, 2, 32, 0, 1, 0, 1, 23, 10, 32, 24, 30, 33, 67, 49, 43, 52, 49, 38, 53, 7, 39, 55, 0, 51, 1, 0, 1, 1, 0, 10, 15, 0, 1, 0, 3, 0, 1, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0]","[42.37, 36.09, 29.11, 27.35, 40.66, 33.71, 36.07, 25.06, 22.36, 21.87, 19.47, 19.93, 18.15, 19.28, 18.08, 17.54, 17.05, 17.31, 18.63, 17.64, 21.38, 24.4, 27.72, 33.17, 39.54, 25.42, 21.39, 21.87, 19.38, 23.43, 20.28, 18.96, 16.27, 16.14, 13.26, 11.2, 12.19, 11.74, 12.11, 9.32, 9.81, 9.66, 7.66, 6.9, 5.8, 5.62, 4.46, 5.37, 5.98, 5.16, 3.18, 3.05, 1.17, 1.1]"
"[4, 35, 12, 37, 30, 10, 27, 42, 33, 7, 11, 17, 28, 51, 21, 2, 6, 18, 24, 43, 25, 41, 13, 23, 31, 22, 46, 47, 34, 19, 36, 52, 8, 16, 5, 48, 32, 20, 45, 9, 38, 29, 53, 44, 0, 39, 54, 1, 15, 40, 26, 49, 14, 3, 50]","[1, 40, 1, 0, 32, 26, 23, 54, 1, 0, 2, 1, 32, 23, 24, 39, 10, 0, 30, 33, 0, 67, 49, 43, 49, 52, 38, 53, 55, 0, 7, 51, 15, 0, 0, 1, 1, 10, 1, 3, 0, 0, 0, 0, 0, 1, 0, 7, 2, 0, 0, 0, 0, 2, 0]","[38.08, 29.31, 28.13, 30.3, 32.57, 24.46, 24.68, 33.37, 21.59, 20.73, 19.14, 19.5, 18.61, 18.7, 18.46, 19.55, 20.24, 17.84, 20.25, 18.54, 18.87, 25.08, 24.24, 30.33, 35.58, 39.34, 28.05, 22.39, 22.22, 19.11, 19.8, 17.54, 15.26, 14.34, 12.49, 12.03, 11.29, 11.71, 10.56, 10.38, 11.51, 6.6, 6.82, 7.65, 6.9, 5.92, 5.96, 5.79, 5.79, 3.8, 2.66, 1.95, 1.76, 1.36]"
"[5, 35, 25, 7, 11, 33, 27, 28, 18, 43, 4, 37, 10, 30, 51, 12, 21, 24, 42, 6, 41, 13, 23, 22, 46, 31, 47, 2, 34, 36, 19, 52, 32, 16, 17, 8, 9, 48, 45, 20, 38, 54, 29, 3, 39, 53, 15, 1, 0, 44, 40, 49, 26, 50, 14]","[0, 40, 0, 0, 2, 1, 23, 32, 0, 33, 1, 0, 26, 32, 23, 1, 24, 30, 54, 10, 67, 49, 43, 52, 38, 49, 53, 39, 55, 7, 0, 51, 1, 0, 1, 15, 3, 1, 1, 10, 0, 0, 0, 2, 1, 0, 2, 7, 0, 0, 0, 0, 0, 0, 0]","[39.65, 35.45, 28.91, 29.48, 25.25, 23.22, 19.28, 24.66, 20.05, 20.97, 20.78, 21.53, 19.67, 18.25, 17.88, 18.93, 19.63, 17.56, 17.69, 16.82, 26.86, 24.07, 29.87, 33.93, 36.91, 23.31, 21.56, 22.44, 21.85, 22.34, 17.56, 15.42, 14.51, 13.61, 11.41, 12.46, 11.93, 10.84, 10.68, 9.17, 9.18, 7.88, 6.27, 7.86, 6.39, 5.52, 5.56, 5.78, 4.96, 4.59, 4.11, 2.93, 1.24, 0.89]"
"[6, 35, 25, 7, 42, 10, 33, 27, 11, 30, 18, 37, 17, 51, 28, 43, 32, 24, 21, 4, 2, 41, 13, 23, 31, 22, 46, 47, 34, 36, 19, 52, 29, 12, 48, 8, 5, 45, 9, 20, 38, 54, 44, 16, 15, 53, 0, 39, 26, 40, 49, 1, 3, 14, 50]","[10, 40, 0, 0, 54, 26, 1, 23, 2, 32, 0, 0, 1, 23, 32, 33, 1, 30, 24, 1, 39, 67, 49, 43, 49, 52, 38, 53, 55, 7, 0, 51, 0, 1, 1, 15, 0, 1, 3, 10, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 7, 2, 0, 0]","[42.97, 36.0, 30.93, 29.38, 39.14, 36.27, 26.78, 24.66, 25.87, 21.09, 20.34, 18.31, 16.65, 18.01, 20.07, 21.45, 19.32, 24.54, 18.91, 17.5, 19.03, 22.22, 23.68, 26.29, 34.48, 39.37, 25.45, 23.51, 27.03, 25.49, 17.21, 16.85, 14.74, 14.59, 13.23, 11.62, 11.67, 11.47, 11.57, 12.36, 8.62, 7.69, 7.85, 7.09, 6.87, 6.36, 5.04, 5.78, 4.07, 4.07, 3.91, 2.06, 1.91, 1.02]"
"[7, 35, 25, 42, 33, 10, 30, 27, 11, 18, 37, 6, 17, 28, 43, 4, 21, 24, 51, 41, 13, 23, 46, 22, 31, 47, 2, 34, 19, 52, 36, 12, 29, 8, 32, 48, 5, 9, 20, 45, 54, 38, 39, 16, 53, 44, 15, 40, 1, 0, 49, 3, 26, 14, 50]","[0, 40, 0, 54, 1, 26, 32, 23, 2, 0, 0, 10, 1, 32, 33, 1, 24, 30, 23, 67, 49, 43, 38, 52, 49, 53, 39, 55, 0, 51, 7, 1, 0, 15, 1, 1, 0, 3, 10, 1, 0, 0, 1, 0, 0, 0, 2, 0, 7, 0, 0, 2, 0, 0, 0]","[38.14, 33.88, 29.34, 37.45, 30.35, 27.72, 28.46, 26.66, 22.94, 24.38, 18.23, 17.75, 17.82, 20.97, 19.22, 19.54, 19.46, 20.06, 18.32, 20.91, 23.41, 29.07, 29.04, 33.77, 26.53, 20.82, 23.32, 22.03, 21.93, 23.49, 21.12, 17.06, 15.06, 15.24, 14.23, 12.77, 11.73, 10.31, 10.43, 8.61, 7.55, 8.15, 6.81, 6.39, 6.02, 5.5, 5.01, 4.05, 3.73, 3.37, 3.79, 2.09, 1.24, 1.13]"
"[8, 35, 25, 19, 30, 10, 12, 42, 33, 27, 18, 4, 7, 11, 37, 17, 51, 28, 43, 24, 21, 6, 2, 41, 13, 23, 31, 46, 22, 47, 34, 36, 52, 32, 29, 48, 5, 45, 20, 38, 9, 16, 54, 53, 39, 15, 0, 26, 44, 1, 40, 49, 3, 14, 50]","[15, 40, 0, 0, 32, 26, 1, 54, 1, 23, 0, 1, 0, 2, 0, 1, 23, 32, 33, 30, 24, 10, 39, 67, 49, 43, 49, 38, 52, 53, 55, 7, 51, 1, 0, 1, 0, 1, 10, 0, 3, 0, 0, 0, 1, 2, 0, 0, 0, 7, 0, 0, 2, 0, 0]","[42.5, 36.18, 29.41, 28.07, 28.66, 27.68, 23.72, 34.99, 24.55, 23.21, 20.29, 22.18, 19.76, 21.01, 22.25, 18.38, 16.73, 18.05, 19.84, 23.28, 17.85, 18.46, 16.71, 25.96, 25.92, 27.33, 33.58, 34.32, 27.56, 22.43, 22.35, 20.2, 14.34, 15.37, 14.37, 12.49, 14.27, 10.57, 9.99, 10.21, 8.64, 9.09, 7.79, 6.23, 5.83, 5.64, 4.85, 5.56, 4.59, 3.22, 3.58, 1.85, 1.44, 0.66]"
"[9, 35, 25, 7, 42, 10, 33, 27, 30, 37, 18, 4, 17, 6, 41, 13, 22, 46, 31, 23, 47, 2, 34, 36, 19, 52, 12, 24, 21, 28, 11, 51, 43, 5, 32, 29, 45, 48, 8, 20, 38, 53, 16, 54, 15, 44, 0, 40, 39, 49, 3, 1, 26, 14, 50]","[3, 40, 0, 0, 54, 26, 1, 23, 32, 0, 0, 1, 1, 10, 67, 49, 52, 38, 49, 43, 53, 39, 55, 7, 0, 51, 1, 30, 24, 32, 2, 23, 33, 0, 1, 0, 1, 1, 15, 10, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 2, 7, 0, 0, 0]","[40.6, 37.56, 29.48, 28.41, 40.95, 35.84, 27.95, 24.9, 22.02, 24.0, 18.47, 19.53, 16.95, 18.44, 20.39, 19.85, 27.9, 29.68, 37.09, 23.2, 21.01, 26.15, 21.39, 23.74, 20.34, 22.8, 18.2, 21.81, 19.87, 20.89, 20.41, 18.97, 15.91, 14.27, 15.3, 13.16, 11.94, 10.02, 9.31, 11.04, 9.05, 8.6, 7.28, 6.64, 6.4, 6.45, 5.52, 4.38, 3.38, 3.5, 4.32, 2.33, 1.34, 0.95]"
