Name,ID,MF_PC_0,MF_PC_1,MF_PC_2,MF_PC_3,MF_PC_4,MF_PC_5,MF_PC_6,MF_PC_7,MF_PC_8,MF_PC_9,MF_PC_10,MF_PC_11,MF_PC_12,MF_PC_13,Reaction_CO_1.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Reaction_CF3,Reaction_CH2CF3,Reaction_CH2F,Reaction_Cy,Reaction_SCF3,Reaction_OCH2F,Reaction_P,Reaction_Si,Reaction_cross,Yield
4CzIPN,OPS1,-0.08070071731488625,2.331111550573534,-1.526037016301444,-1.3724738642006942,0.73933497813688,-0.8854584126204585,-0.12708537199443704,0.2451857553269915,-0.7016832351009303,0.26029688637152354,-0.5306286054211059,-0.5188885728801196,-0.232610039256402,-0.16150905378843852,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74
4tBuCzIPN,OPS2,-0.31163063514800887,2.215286844279142,-2.1632582570714067,-1.3130607328466342,0.24433279138345945,-0.1372977556371393,0.5040714831224966,1.3457144176508697,2.1557609118584775,-0.5218901747754275,-0.25263986030156993,-0.14662619363342905,-0.22313846685258062,0.755327926140221,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47
4MeCzIPN,OPS3,0.010413025790144559,1.9690864094492646,-2.359762868439035,-1.2987125440715244,0.4294375693083621,0.8513432765754246,0.6661419422614717,0.6542733470109763,0.6689341138694807,0.894875072358163,-0.4542847238149836,-0.04541596911566819,-0.7544566311911453,0.7759878650765596,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37
4BrCzIPN,OPS4,-0.16030533025343505,2.0467631248451905,-2.0129623825519785,-1.6203430310849307,0.7454991395319461,-0.5314183455834428,0.689106620116173,0.21468650249526733,1.0928774741263791,0.8290846767240452,-0.34756949637797807,-0.8103669802678185,-0.114612553188476,0.07471683950077224,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55
4OMeCzIPN,OPS5,0.1733858770433359,1.9168913059307187,-2.3384936922486785,-0.573476460148081,-0.093047243810419,-1.0906890387950248,2.41770070693055,0.7951139246683918,0.6248319573384471,0.48563679840142276,-0.6397774329806364,-0.10467826274598008,-0.6972170013157643,0.23835767057325657,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4PhCzIPN,OPS6,0.23246232245198803,2.0832222774648392,-0.8099110646544199,-0.7170572946806925,1.4888797228598387,-0.7840123651739757,0.23206990551232373,-0.07259544756683038,1.0556823131903985,0.8095911710204589,-0.29020964813624356,-0.6075176242156873,-1.3138274435674904,0.8091613317977262,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22
4DPAIPN,OPS7,-1.739114979401722,-0.7771516003940281,-1.3540379922983043,-0.971902588088599,0.028881629943280338,-1.0678469304800593,-0.519782424781133,-1.396363914641202,-0.43747293947946475,0.0677888438919185,1.3132233506214248,0.3728891967053612,-0.032736721601790184,0.47866169871010367,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74
4tBuDPAIPN,OPS8,-1.898944238363872,-0.798156803398934,-2.265285279959313,-0.7249016724125658,-0.9337177569698988,-0.19932734352654083,-0.30796749705762416,-0.13551153898954657,1.5562991978609197,-1.2877740383102116,1.4608929357730163,0.42166369524842595,0.3002074333495517,0.35033958333916115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17
4MeDPAIPN,OPS9,-1.5822785854720314,-1.1948583411779161,-2.387214014385188,-0.8918205064882458,-0.5848630034824208,1.0177947773937246,-0.005164091113090416,-0.761831615041779,-0.2857897625261462,0.26387293340367285,1.3027609563301286,0.5234826492764496,-0.25655209058149564,0.4105786961297534,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29
4FDPAIPN,OPS10,-1.6924641659035782,-1.1982067954865216,-1.9099838616022256,-1.4283940923821568,-0.2119405533317393,-0.14038122078156515,0.0956192035829788,-1.299717201402705,0.1976194200207789,-0.4252893498907158,1.3415748246005406,-0.5814196635996172,0.26373383598847483,-0.8081837017514258,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,71
