Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,41,46
1,1,42
2,42,46
3,40,46
4,41,46
5,40,45
6,43,48
7,38,45
8,41,46
9,41,46
10,34,43
11,1,43
12,41,46
13,40,46
14,43,48
15,38,44
16,40,46
17,40,46
18,2,43
19,36,43
20,41,46
21,34,43
22,40,46
23,40,46
24,44,50
25,37,45
26,41,46
27,40,45
28,37,45
29,32,44
30,41,46
31,41,46
32,40,46
33,39,43
34,40,46
35,41,46
36,40,46
37,38,42
38,42,47
39,40,45
40,37,44
41,40,45
42,40,46
43,42,46
44,40,46
45,40,46
46,44,49
47,40,46
48,35,42
49,41,46
50,45,50
51,40,46
52,41,46
53,41,46
54,40,46
55,40,46
56,40,46
57,42,46
58,38,42
59,40,46
