Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,11,26
1,1,26
2,15,19
3,15,28
4,11,22
5,14,22
6,11,27
7,11,23
8,14,24
9,18,22
10,17,21
11,1,13
12,13,25
13,15,19
14,15,19
15,15,21
16,12,22
17,17,21
18,2,17
19,15,20
20,14,20
21,16,21
22,18,20
23,22,32
24,12,23
25,11,25
26,27,38
27,19,23
28,22,28
29,30,34
30,37,42
31,14,28
32,13,23
33,12,23
34,21,26
35,15,24
36,13,22
37,14,24
38,20,30
39,16,33
40,16,21
41,14,24
42,14,24
43,16,30
44,18,25
45,15,21
46,19,25
47,22,28
48,15,27
49,12,25
50,16,33
51,15,22
52,13,20
53,14,23
54,16,25
55,15,20
56,18,24
57,18,21
58,11,23
59,19,31
