Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,20,23
1,1,28
2,18,20
3,13,26
4,13,26
5,22,30
6,21,24
7,27,37
8,14,34
9,19,27
10,26,42
11,20,26
12,14,27
13,16,33
14,1,17
15,16,27
16,21,26
17,23,37
18,16,27
19,22,27
20,25,37
21,27,37
22,27,37
23,22,24
24,28,36
25,20,24
26,16,27
27,38,46
28,22,28
29,27,43
30,19,27
31,14,27
32,13,30
33,17,29
34,15,27
35,12,25
36,27,39
37,47,55
38,28,29
39,20,24
40,23,34
41,22,27
42,22,31
43,17,27
44,38,45
45,31,35
46,29,37
47,22,25
48,19,38
49,11,25
50,20,35
51,14,32
52,18,33
53,25,28
54,44,47
55,24,26
56,48,49
57,21,24
58,14,29
59,2,16
