Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,7,21
1,17,21
2,5,10
3,8,28
4,7,11
5,2,6
6,9,22
7,11,17
8,16,23
9,6,19
10,6,12
11,6,14
12,12,26
13,9,12
14,20,28
15,12,20
16,6,22
17,17,22
18,25,32
19,10,19
20,13,17
21,12,18
22,11,16
23,21,28
24,5,17
25,10,18
26,6,15
27,8,18
28,1,20
29,6,22
30,8,18
31,13,28
32,14,25
33,7,14
34,16,20
35,11,20
36,10,17
37,12,20
38,4,9
39,3,8
40,1,14
41,3,12
42,2,15
43,7,21
44,6,23
45,18,24
46,17,23
47,11,15
48,12,25
49,6,10
50,12,21
51,7,14
52,23,29
53,8,14
54,16,21
55,13,23
56,17,24
57,13,29
58,11,24
59,14,22
