Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,11,17
1,1,16
2,8,16
3,7,17
4,9,16
5,12,18
6,12,17
7,11,18
8,9,17
9,11,17
10,10,17
11,8,17
12,7,18
13,11,17
14,1,12
15,10,18
16,7,18
17,12,21
18,8,18
19,11,17
20,10,21
21,10,19
22,10,19
23,11,18
24,11,19
25,12,19
26,12,18
27,12,17
28,12,19
29,11,19
30,10,13
31,11,17
32,11,18
33,11,19
34,9,19
35,12,19
36,10,17
37,11,18
38,12,19
39,9,18
40,11,19
41,13,19
42,10,18
43,12,18
44,9,19
45,12,18
46,11,18
47,12,19
48,12,18
49,9,17
50,12,19
51,9,19
52,12,19
53,12,19
54,11,19
55,12,19
56,11,18
57,11,18
58,12,19
59,10,18
