Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,27,43
1,36,39
2,14,37
3,34,41
4,28,39
5,33,41
6,33,41
7,39,44
8,39,43
9,39,44
10,38,43
11,19,42
12,19,43
13,34,40
14,26,44
15,32,44
16,40,44
17,32,38
18,34,44
19,33,41
20,38,43
21,36,43
22,31,38
23,40,44
24,34,41
25,39,44
26,14,40
27,37,42
28,1,43
29,13,38
30,37,40
31,19,40
32,41,43
33,4,18
34,4,23
35,24,42
36,4,20
37,32,41
38,17,37
39,7,13
40,1,15
41,26,32
42,34,38
43,24,38
44,23,42
45,32,37
46,36,41
47,37,44
48,40,50
49,35,40
50,20,41
51,27,43
52,40,44
53,27,41
54,30,42
55,35,42
56,39,44
57,35,40
58,37,44
59,33,43
