Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,7,21
1,8,18
2,7,18
3,9,18
4,9,19
5,11,20
6,7,15
7,15,21
8,7,23
9,9,20
10,8,20
11,9,19
12,9,18
13,9,19
14,11,15
15,8,18
16,10,34
17,7,18
18,9,19
19,11,21
20,8,18
21,11,24
22,9,22
23,11,21
24,8,22
25,8,20
26,9,24
27,5,23
28,1,11
29,11,18
30,11,32
31,9,16
32,8,18
33,13,32
34,10,19
35,6,17
36,10,19
37,8,18
38,8,20
39,3,14
40,1,18
41,3,14
42,9,19
43,9,18
44,9,17
45,8,18
46,8,17
47,8,16
48,7,19
49,7,17
50,9,23
51,9,20
52,8,16
53,8,17
54,8,18
55,7,18
56,8,18
57,8,20
58,8,21
59,7,19
