Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,10,24
1,1,24
2,4,11
3,3,35
4,14,25
5,3,10
6,3,11
7,15,23
8,18,36
9,28,49
10,3,20
11,16,17
12,9,24
13,18,23
14,1,9
15,17,18
16,3,24
17,16,28
18,21,27
19,14,29
20,12,27
21,17,26
22,12,27
23,23,32
24,10,27
25,14,24
26,35,46
27,19,34
28,3,5
29,18,32
30,17,31
31,4,11
32,15,43
33,12,26
34,4,30
35,3,13
36,13,29
37,3,37
38,3,18
39,8,14
40,22,24
41,18,43
42,13,26
43,3,22
44,21,36
45,15,21
46,40,49
47,13,30
48,6,20
49,22,25
50,14,25
51,7,30
52,3,20
53,18,28
54,20,25
55,19,38
56,23,26
57,4,10
58,27,44
59,5,12
