Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,2,24
1,1,18
2,2,25
3,2,23
4,4,6
5,2,7
6,4,18
7,5,22
8,4,10
9,5,23
10,4,22
11,1,23
12,2,23
13,2,6
14,4,12
15,4,15
16,4,15
17,2,6
18,2,6
19,2,6
20,4,18
21,2,6
22,2,26
23,4,19
24,2,6
25,5,6
26,12,13
27,2,6
28,6,10
29,10,15
30,2,10
31,2,7
32,2,7
33,2,6
34,2,6
35,4,18
36,4,18
37,5,8
38,25,40
39,2,6
40,2,6
41,4,18
42,7,13
43,2,6
44,4,18
45,2,7
46,4,19
47,2,10
48,2,7
49,2,24
50,2,10
51,4,13
52,5,7
53,2,6
54,2,6
55,2,6
56,4,18
57,2,7
58,4,19
59,4,18
