Run_index,Selected_OPS_count_1,Selected_OPS_count_2
0,12,19
1,1,22
2,7,16
3,8,13
4,21,27
5,18,22
6,14,21
7,17,25
8,17,26
9,14,23
10,20,24
11,16,24
12,8,9
13,6,13
14,1,6
15,18,23
16,15,21
17,15,26
18,18,26
19,16,22
20,15,24
21,16,21
22,18,25
23,11,21
24,17,25
25,16,22
26,12,20
27,12,19
28,17,21
29,14,20
30,5,7
31,14,23
32,17,25
33,9,18
34,6,18
35,16,23
36,16,17
37,15,24
38,15,23
39,16,22
40,14,21
41,17,25
42,20,25
43,16,25
44,15,23
45,15,24
46,5,12
47,12,18
48,5,21
49,14,22
50,11,20
51,15,22
52,12,22
53,16,21
54,13,22
55,15,22
56,16,24
57,17,22
58,16,22
59,17,22
