selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 6, 10, 8, 37, 7, 2, 32, 5, 22, 30, 9, 18, 49, 11, 12, 1, 3, 13, 14, 25, 16, 4, 21, 15, 31, 42, 29, 54, 44, 43, 45, 27, 46, 24, 20, 23, 19, 28, 53, 38, 50, 41, 55, 40, 39, 33, 26, 17, 52, 51, 57, 56, 58, 59, 35, 48, 47, 36, 34]","[65, 30, 10, 60, 35, 18, 49, 18, 18, 36, 14, 44, 8, 24, 28, 50, 82, 74, 52, 76, 8, 22, 24, 31, 28, 7, 23, 16, 43, 37, 15, 17, 16, 5, 44, 48, 18, 14, 25, 18, 30, 8, 40, 2, 37, 22, 9, 24, 70, 2, 28, 4, 1, 35, 0, 47, 18, 12, 10, 11]","[92.33300237123655, 72.45867581460462, 62.05414694512021, 68.4772366371944, 64.48034287974808, 55.590953500012496, 68.40287088009327, 45.770608896772664, 55.04228175471645, 56.71033068378108, 40.24975912559896, 39.47988719955131, 49.55283273585296, 48.21495231940539, 48.713060152059576, 42.795366145387945, 51.147656886247624, 42.14186248213118, 35.786768976164176, 39.777263450383124, 35.16351574218311, 33.675750055335996, 30.517655746312727, 27.962533165718813, 20.359261498945315, 19.883172009497613, 18.785308006424007, 18.711507832302594, 22.53683019049625, 28.298043159474926, 25.76406874609511, 19.69419640036413, 20.254973331424605, 16.64550834904511, 26.55208439155537, 31.121417025795708, 30.304292563086495, 20.988855587032162, 19.320780519543593, 18.649436234250203, 19.52142221015817, 17.50459927102343, 26.206917951943343, 25.534627203512596, 25.71951149937175, 18.968765174824846, 18.68416594104762, 16.427498040679282, 16.774747790254175, 17.77897351910112, 13.001329887498825, 11.447129303279727, 8.314594233318125, 4.595621552675274, 6.21857294153939, 13.588294678198205, 11.736797618123598, 3.415964652788977, 5.1023679688682195]"
"[1, 6, 11, 2, 32, 49, 8, 7, 5, 9, 3, 21, 0, 10, 37, 12, 24, 38, 14, 16, 4, 25, 30, 22, 18, 13, 19, 27, 54, 42, 15, 44, 45, 43, 55, 23, 20, 28, 53, 26, 31, 29, 39, 40, 41, 33, 50, 46, 17, 52, 51, 57, 56, 58, 59, 35, 48, 47, 36, 34]","[82, 30, 28, 49, 18, 24, 60, 18, 18, 44, 74, 31, 65, 10, 35, 50, 44, 30, 76, 22, 24, 8, 14, 36, 8, 52, 14, 16, 43, 23, 28, 37, 17, 15, 2, 18, 48, 25, 18, 24, 7, 16, 22, 37, 40, 9, 8, 5, 70, 2, 28, 4, 1, 35, 0, 47, 18, 12, 10, 11]","[92.25606035027289, 73.28585824697913, 73.78487872749088, 69.88505438760802, 53.743199415317996, 59.01662263052193, 59.8212169246776, 58.289336621252886, 45.254514668819446, 45.95207911363773, 65.28499412611559, 54.116502233827774, 52.14669853436875, 65.50647342979286, 49.38146795715121, 49.921731442488884, 48.082259943448406, 43.480464059295194, 43.81274231696795, 44.87297267689658, 33.150073504879735, 36.492916650307485, 28.044690851459194, 30.27097435613611, 26.974330366480398, 22.309998141152292, 21.15455787317226, 20.211291923449572, 26.741781258571564, 25.48541367598989, 22.918263296588165, 29.32595963275956, 26.952806128661916, 24.076081511909106, 23.83880463150547, 21.532772540455056, 22.017002075143978, 19.89320452530931, 19.20481208367905, 20.19533320971584, 21.37419267556712, 16.512066789756627, 18.546481653036768, 29.41434267669914, 19.108800027000004, 20.71753681825651, 25.28272504154726, 16.427498040679282, 16.774747790254175, 17.77897351910112, 13.001329887498825, 11.447129303279727, 8.314594233318125, 4.595621552675274, 6.21857294153939, 13.588294678198205, 11.736797618123598, 3.415964652788977, 5.1023679688682195]"
"[2, 6, 9, 32, 8, 37, 7, 22, 10, 39, 38, 18, 35, 30, 29, 1, 5, 11, 3, 14, 49, 0, 12, 4, 13, 25, 16, 21, 53, 50, 15, 31, 46, 42, 44, 43, 45, 54, 27, 40, 41, 48, 52, 55, 28, 24, 19, 23, 20, 33, 17, 47, 26, 51, 56, 58, 57, 34, 59, 36]","[49, 30, 44, 18, 60, 35, 18, 36, 10, 22, 30, 8, 47, 14, 16, 82, 18, 28, 74, 76, 24, 65, 50, 24, 52, 8, 22, 31, 18, 8, 28, 7, 5, 23, 37, 15, 17, 43, 16, 37, 40, 18, 2, 2, 25, 44, 14, 18, 48, 9, 70, 12, 24, 28, 1, 35, 4, 11, 0, 10]","[87.36636037515692, 74.51413962569526, 68.02841797452234, 69.29248544329711, 67.74154238000416, 62.796693288117645, 56.57488741276998, 55.55694571501102, 48.50926105837655, 46.508473612318774, 47.054767865736586, 49.51515016019283, 42.98292653641437, 39.86450824940421, 40.73492417882567, 53.759358492823445, 53.12741180535686, 48.61323990042408, 49.99020403749803, 45.60254921795735, 41.882827166552914, 45.60719388946435, 42.36879626515161, 40.51549845808745, 38.378469740245166, 36.962170487947525, 30.027975745680816, 23.068707450185, 24.735361194458275, 21.775182463088214, 25.561842313400923, 23.722435412589086, 20.317489187601264, 22.55530985973798, 29.000171212987702, 27.37454073029293, 20.756381229361597, 23.821451958975896, 22.371736026704333, 29.802654180823165, 23.747316768107176, 22.05917092426605, 24.326992566173875, 20.87695955601278, 21.312752169216992, 25.69876819872562, 24.27252839071683, 19.047290992317855, 18.566753113263292, 17.92222230266103, 16.244701721859037, 17.464832674035613, 17.403038951297955, 11.450480731016041, 10.030888872679643, 15.777066977393867, 5.899534851808723, 9.426943178924075, 6.479737662990804]"
"[3, 6, 10, 37, 8, 7, 38, 22, 11, 5, 20, 24, 30, 12, 53, 0, 32, 13, 1, 2, 49, 14, 9, 4, 21, 25, 16, 18, 19, 23, 31, 15, 54, 42, 27, 43, 28, 29, 44, 45, 46, 50, 41, 55, 40, 39, 33, 26, 17, 52, 51, 57, 56, 58, 59, 35, 48, 47, 36, 34]","[74, 30, 10, 35, 60, 18, 30, 36, 28, 18, 48, 44, 14, 50, 18, 65, 18, 52, 82, 49, 24, 76, 44, 24, 31, 8, 22, 8, 14, 18, 7, 28, 43, 23, 16, 15, 25, 16, 37, 17, 5, 8, 40, 2, 37, 22, 9, 24, 70, 2, 28, 4, 1, 35, 0, 47, 18, 12, 10, 11]","[87.83439120169251, 75.38357966806534, 79.94442495888278, 70.44615919301471, 57.92137810797915, 62.09548376753405, 57.12451584710517, 53.20716913812353, 51.1005165578777, 51.39894874292067, 48.58287582105533, 48.52758988329032, 41.81557255713674, 44.90264896549965, 56.049605806902065, 53.34946015142962, 42.42617125046018, 39.543947011155524, 66.4029389409238, 56.686036161920285, 43.11950057572186, 43.48773909924644, 41.51505725367474, 38.59788649102691, 37.30911400146851, 38.94513394679525, 32.844868795200156, 28.529380424911395, 23.965822954713378, 25.059232016109014, 25.260416666586494, 23.209778757715245, 26.48765105772148, 23.86174191444256, 22.24847581364193, 20.39713190683751, 19.346999288687275, 18.669811395473, 29.80876672022711, 18.452103995811502, 19.52142221015817, 17.50459927102343, 26.206917951943343, 25.534627203512596, 25.71951149937175, 18.968765174824846, 18.68416594104762, 16.427498040679282, 16.774747790254175, 17.77897351910112, 13.001329887498825, 11.447129303279727, 8.314594233318125, 4.595621552675274, 6.21857294153939, 13.588294678198205, 11.736797618123598, 3.415964652788977, 5.1023679688682195]"
"[4, 6, 9, 10, 8, 37, 38, 35, 7, 26, 34, 39, 54, 42, 20, 53, 30, 19, 11, 23, 24, 27, 43, 18, 48, 41, 40, 29, 25, 45, 12, 0, 3, 32, 1, 2, 5, 49, 14, 13, 16, 46, 50, 21, 52, 22, 31, 55, 44, 28, 33, 15, 17, 47, 51, 56, 57, 58, 59, 36]","[24, 30, 44, 10, 60, 35, 30, 47, 18, 24, 11, 22, 43, 23, 48, 18, 14, 14, 28, 18, 44, 16, 15, 8, 18, 40, 37, 16, 8, 17, 50, 65, 74, 18, 82, 49, 18, 24, 76, 52, 22, 5, 8, 31, 2, 36, 7, 2, 37, 25, 9, 28, 70, 12, 28, 1, 4, 35, 0, 10]","[87.50447114839126, 74.20445106494225, 48.43725819810717, 52.800808340824084, 69.98828633912854, 72.7582970488275, 56.55217334882555, 54.411514504846465, 52.125131219349576, 48.03872038531384, 48.5423224198273, 39.184611961938536, 41.329756050471936, 54.176666663067316, 48.45701998011112, 46.83070558262521, 42.17042195101716, 35.313175429414535, 36.7542212885334, 28.966277995604884, 27.357987997550488, 26.662352852618532, 27.110614866722013, 33.32198659703005, 30.18475989336208, 30.2399306432822, 28.995622130031386, 26.421698262330324, 28.527729507201485, 26.897164599108972, 40.478209047329976, 46.48766037670322, 47.58056410508845, 38.979693450159075, 65.69164023957556, 55.19639660081489, 51.48757282644953, 39.690188146086314, 35.89451599944593, 35.60363680610987, 27.988237391740462, 22.797973621467648, 23.448802315176646, 24.620480468884395, 24.050800793775412, 25.682243707199312, 24.3221500880322, 22.342254440877046, 20.37664373570915, 20.45499320863523, 17.805664166124917, 18.11899021611707, 14.980084430005306, 14.207704614870565, 10.501418118072786, 8.851964373616457, 7.269019019111153, 9.426943178924075, 6.479737662990804]"
"[5, 6, 9, 11, 27, 10, 8, 38, 35, 37, 26, 7, 34, 39, 53, 41, 40, 48, 29, 14, 16, 32, 25, 36, 23, 54, 45, 2, 1, 3, 4, 0, 12, 49, 42, 13, 46, 30, 43, 52, 55, 18, 44, 24, 28, 21, 22, 19, 15, 31, 50, 33, 20, 17, 47, 51, 56, 58, 57, 59]","[18, 30, 44, 28, 16, 10, 60, 30, 47, 35, 24, 18, 11, 22, 18, 40, 37, 18, 16, 76, 22, 18, 8, 10, 18, 43, 17, 49, 82, 74, 24, 65, 50, 24, 23, 52, 5, 14, 15, 2, 2, 8, 37, 44, 25, 31, 36, 14, 28, 7, 8, 9, 48, 70, 12, 28, 1, 35, 4, 0]","[86.36649390519301, 71.11726820040026, 63.1634195293202, 55.73582683152934, 48.640351747102265, 47.88093413375508, 73.3194275517995, 59.07202932543297, 50.27848355633663, 48.33860963866818, 44.12144467098833, 43.6029359622809, 42.814733753464594, 42.05651304354058, 37.69085186201614, 39.897916794030515, 36.90059415969777, 36.36294268799902, 31.301350883349592, 40.51121822409358, 39.262316906199615, 32.213283393348135, 29.418120366135767, 27.064578824861687, 24.632601258787226, 30.405932116274176, 26.141807392055163, 40.98973446986526, 44.10638665930827, 39.36478137593627, 39.45516274277248, 47.92529203298622, 42.84446072821869, 27.649180753421195, 28.969213388934133, 26.973449618620123, 27.21073135052191, 26.674221436225892, 23.291178210727978, 22.61582282065648, 21.39810624346647, 20.831155087928988, 21.21694667274561, 21.12551102006393, 19.1587767714029, 25.147829230060008, 25.968512211735998, 20.17912718733669, 22.262706865445598, 19.545477690699123, 20.182550686452725, 18.487914011937587, 18.61595857215532, 14.539296186085792, 13.193322503088911, 10.070910924791967, 10.099120682123877, 14.661522395869248, 9.306183319109314]"
"[6, 9, 10, 37, 8, 38, 20, 35, 7, 39, 26, 34, 28, 41, 29, 40, 24, 11, 21, 19, 23, 54, 30, 42, 48, 25, 53, 27, 22, 0, 5, 12, 3, 1, 2, 32, 14, 49, 16, 4, 46, 13, 18, 43, 55, 44, 45, 50, 31, 33, 52, 15, 17, 47, 51, 56, 57, 58, 59, 36]","[30, 44, 10, 35, 60, 30, 48, 47, 18, 22, 24, 11, 25, 40, 16, 37, 44, 28, 31, 14, 18, 43, 14, 23, 18, 8, 18, 16, 36, 65, 18, 50, 74, 82, 49, 18, 76, 24, 22, 24, 5, 52, 8, 15, 2, 37, 17, 8, 7, 9, 2, 28, 70, 12, 28, 1, 4, 35, 0, 10]","[73.61142344566368, 67.26961291233424, 91.18783343162305, 73.147671166131, 73.31088287799508, 52.36336884667644, 54.662201367409935, 50.43645359366206, 46.74217454801172, 42.80612388694021, 37.98952274693429, 37.89261013364512, 36.94497688455191, 37.25495146371959, 34.06136173737363, 40.60284861908118, 58.93182438714814, 56.95847001323396, 42.530096119008945, 40.94485972097392, 32.92245912118891, 38.55503816101565, 32.3912592928622, 27.97039780661901, 39.98681017758706, 32.769816781809084, 28.15702225165557, 26.999187588709578, 26.604353438098812, 44.157260580260576, 46.41387379015922, 42.232862716570615, 46.25611215283506, 59.26467232107977, 54.30882591099348, 39.27550113438977, 48.9538605822874, 41.82209350519075, 37.76217421269987, 28.727967564006168, 29.978544010032927, 31.3948796141885, 29.22299146106367, 24.88045120309304, 22.209342336203076, 29.264048502689043, 22.662273785879353, 24.263800847143077, 21.722974229724336, 19.006750333943426, 17.805664166124917, 18.11899021611707, 14.980084430005306, 14.207704614870565, 10.501418118072786, 8.851964373616457, 7.269019019111153, 9.426943178924075, 6.479737662990804]"
"[7, 6, 11, 10, 38, 35, 37, 39, 8, 26, 20, 34, 28, 41, 19, 9, 40, 23, 36, 30, 54, 42, 53, 43, 48, 24, 29, 0, 2, 5, 49, 12, 1, 3, 32, 21, 14, 4, 16, 18, 25, 13, 46, 27, 55, 22, 31, 44, 45, 33, 52, 50, 15, 17, 47, 51, 56, 58, 57, 59]","[18, 30, 28, 10, 30, 47, 35, 22, 60, 24, 48, 11, 25, 40, 14, 44, 37, 18, 10, 14, 43, 23, 18, 15, 18, 44, 16, 65, 49, 18, 24, 50, 82, 74, 18, 31, 76, 24, 22, 8, 8, 52, 5, 16, 2, 36, 7, 37, 17, 9, 2, 8, 28, 70, 12, 28, 1, 35, 4, 0]","[82.68804070874246, 69.34024610784866, 64.51565458211705, 67.17649213757191, 49.08495466667243, 48.89260514302587, 45.94815820243776, 38.399819811853874, 44.87638226189365, 39.366719382060964, 37.90290032815383, 38.22113322483014, 37.78233238660978, 34.886404256226406, 33.816028339904804, 34.235074269344345, 37.592039673740004, 38.02870081119431, 32.70301408530973, 35.8949248778532, 34.87868600375299, 30.059123776873882, 26.82693050720959, 31.431870680743632, 26.4553657738525, 29.37455863511167, 35.57979167742294, 48.95961440454855, 57.51618560933087, 45.187091383522684, 43.50374267783542, 39.371752328025195, 53.22080666588182, 51.16742393446033, 40.79526013323162, 40.52954473092584, 40.432988773837145, 34.19192931995738, 29.88414754288943, 34.957468739845346, 32.257189164643194, 26.560240729494907, 24.281869165593953, 25.149951882995516, 25.38085141297222, 26.079021540089308, 23.73926856550814, 29.801161108838233, 21.48551945615035, 21.45927482862642, 20.71922167991135, 19.748280565098028, 18.61595857215532, 14.539296186085792, 13.193322503088911, 10.070910924791967, 10.099120682123877, 14.661522395869248, 9.306183319109314]"
"[8, 6, 11, 7, 37, 38, 35, 39, 20, 26, 34, 27, 41, 9, 29, 49, 21, 10, 19, 23, 54, 42, 12, 0, 5, 3, 1, 2, 32, 30, 14, 16, 4, 25, 40, 13, 24, 48, 46, 44, 43, 45, 18, 55, 53, 22, 28, 50, 31, 33, 52, 15, 17, 47, 51, 56, 57, 58, 59, 36]","[60, 30, 28, 18, 35, 30, 47, 22, 48, 24, 11, 16, 40, 44, 16, 24, 31, 10, 14, 18, 43, 23, 50, 65, 18, 74, 82, 49, 18, 14, 76, 22, 24, 8, 37, 52, 44, 18, 5, 37, 15, 17, 8, 2, 18, 36, 25, 8, 7, 9, 2, 28, 70, 12, 28, 1, 4, 35, 0, 10]","[86.3454199285449, 73.40039342903546, 67.37563662505252, 70.0093834707074, 70.24786397565809, 50.35454352963656, 46.060826425550026, 39.70419540416366, 41.724252217120906, 38.75422484431457, 39.14224160788588, 36.96649809543522, 43.58360597445907, 38.54013549149413, 53.5136082598117, 49.33952008761482, 50.15278645827472, 38.94342861110464, 33.89068071026621, 34.27736075370518, 39.96692439595026, 36.67093609461457, 41.32795985120293, 50.57120096960337, 42.11111429036912, 47.07368456626716, 62.6341464203175, 54.21963806520612, 39.8910420544151, 46.24594716355127, 40.225772054035836, 36.295342364848985, 38.788824100522405, 34.49381415818648, 31.827603010241603, 29.619530864828892, 29.640373756163658, 29.46182403622766, 28.46815004717433, 30.48867932551329, 28.554753112369905, 27.51514465243984, 28.22476846597106, 27.30441816129171, 24.72650989323314, 22.8416954989844, 22.662273785879353, 24.263800847143077, 21.722974229724336, 19.006750333943426, 17.805664166124917, 18.11899021611707, 14.980084430005306, 14.207704614870565, 10.501418118072786, 8.851964373616457, 7.269019019111153, 9.426943178924075, 6.479737662990804]"
"[9, 6, 10, 37, 8, 38, 20, 35, 7, 39, 26, 34, 28, 41, 29, 40, 24, 11, 21, 19, 23, 54, 30, 42, 48, 25, 53, 27, 22, 0, 5, 12, 3, 1, 2, 32, 14, 49, 16, 4, 46, 13, 18, 43, 55, 44, 45, 50, 31, 33, 52, 15, 17, 47, 51, 56, 57, 58, 59, 36]","[44, 30, 10, 35, 60, 30, 48, 47, 18, 22, 24, 11, 25, 40, 16, 37, 44, 28, 31, 14, 18, 43, 14, 23, 18, 8, 18, 16, 36, 65, 18, 50, 74, 82, 49, 18, 76, 24, 22, 24, 5, 52, 8, 15, 2, 37, 17, 8, 7, 9, 2, 28, 70, 12, 28, 1, 4, 35, 0, 10]","[82.60334855184456, 67.26961291233424, 91.18783343162305, 73.147671166131, 73.31088287799508, 52.36336884667644, 54.662201367409935, 50.43645359366206, 46.74217454801172, 42.80612388694021, 37.98952274693429, 37.89261013364512, 36.94497688455191, 37.25495146371959, 34.06136173737363, 40.60284861908118, 58.93182438714814, 56.95847001323396, 42.530096119008945, 40.94485972097392, 32.92245912118891, 38.55503816101565, 32.3912592928622, 27.97039780661901, 39.98681017758706, 32.769816781809084, 28.15702225165557, 26.999187588709578, 26.604353438098812, 44.157260580260576, 46.41387379015922, 42.232862716570615, 46.25611215283506, 59.26467232107977, 54.30882591099348, 39.27550113438977, 48.9538605822874, 41.82209350519075, 37.76217421269987, 28.727967564006168, 29.978544010032927, 31.3948796141885, 29.22299146106367, 24.88045120309304, 22.209342336203076, 29.264048502689043, 22.662273785879353, 24.263800847143077, 21.722974229724336, 19.006750333943426, 17.805664166124917, 18.11899021611707, 14.980084430005306, 14.207704614870565, 10.501418118072786, 8.851964373616457, 7.269019019111153, 9.426943178924075, 6.479737662990804]"
