selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 6, 9, 38, 37, 35, 40, 33, 39, 41, 36, 8, 53, 48, 47, 34, 52, 29, 26, 30, 28, 20, 19, 27, 21, 24, 10, 51, 50, 23, 44, 42, 45, 54, 22, 46, 56, 14, 25, 59, 7, 32, 43, 18, 16, 3, 57, 31, 58, 17, 11, 5, 55, 2, 1, 4, 12, 49, 13, 15]","[1, 11, 5, 46, 56, 24, 81, 1, 73, 75, 1, 13, 31, 46, 3, 2, 6, 63, 80, 47, 81, 19, 34, 73, 14, 15, 1, 77, 14, 1, 42, 27, 3, 34, 6, 2, 3, 10, 1, 2, 13, 1, 7, 6, 8, 2, 5, 1, 3, 2, 3, 2, 2, 2, 2, 1, 1, 2, 2, 2]","[88.65, 47.35, 55.61, 48.89, 52.98, 43.64, 53.97, 48.46, 52.81, 50.63, 42.25, 35.57, 34.73, 37.49, 32.84, 29.13, 23.55, 30.1, 55.59, 44.46, 72.09, 56.13, 54.39, 50.15, 39.91, 30.84, 22.71, 25.54, 26.48, 22.02, 24.13, 22.44, 18.62, 17.91, 16.42, 15.57, 14.39, 14.12, 12.18, 14.48, 10.28, 10.09, 9.52, 7.91, 7.97, 5.98, 6.07, 5.74, 6.4, 5.66, 3.55, 3.59, 3.99, 3.04, 2.65, 2.18, 1.58, 1.63, 1.76]"
"[1, 6, 0, 38, 35, 37, 36, 40, 33, 41, 39, 8, 48, 53, 47, 34, 52, 28, 29, 30, 26, 27, 20, 24, 10, 51, 19, 22, 50, 23, 44, 42, 54, 45, 21, 46, 56, 7, 25, 18, 14, 57, 3, 59, 43, 9, 32, 16, 11, 17, 2, 58, 5, 31, 12, 4, 55, 49, 13, 15]","[2, 11, 1, 46, 24, 56, 1, 81, 1, 75, 73, 13, 46, 31, 3, 2, 6, 81, 63, 47, 80, 73, 19, 15, 1, 77, 34, 6, 14, 1, 42, 27, 34, 3, 14, 2, 3, 13, 1, 6, 10, 5, 2, 2, 7, 5, 1, 8, 3, 2, 2, 3, 2, 1, 1, 1, 2, 2, 2, 2]","[83.29, 45.89, 62.54, 51.37, 45.94, 44.27, 44.94, 56.15, 46.66, 48.86, 42.16, 37.84, 39.85, 38.74, 36.12, 30.3, 27.48, 35.33, 43.46, 40.63, 46.37, 74.25, 54.42, 44.46, 24.62, 54.57, 42.55, 31.35, 23.12, 22.05, 25.32, 22.33, 20.66, 20.04, 17.96, 16.41, 12.85, 11.32, 10.52, 9.61, 9.01, 9.41, 10.28, 9.02, 7.5, 6.39, 6.34, 5.97, 5.69, 4.28, 4.3, 4.35, 4.79, 3.21, 2.89, 2.59, 1.53, 1.62, 1.76]"
"[2, 6, 9, 35, 38, 37, 40, 33, 39, 53, 48, 41, 36, 8, 34, 47, 52, 28, 29, 30, 26, 20, 27, 19, 24, 21, 54, 22, 50, 42, 44, 45, 46, 7, 23, 25, 51, 56, 32, 10, 18, 3, 14, 43, 59, 57, 16, 17, 11, 58, 31, 5, 0, 55, 1, 4, 12, 49, 13, 15]","[2, 11, 5, 24, 46, 56, 81, 1, 73, 31, 46, 75, 1, 13, 2, 3, 6, 81, 63, 47, 80, 19, 73, 34, 15, 14, 34, 6, 14, 27, 42, 3, 2, 13, 1, 1, 77, 3, 1, 1, 6, 2, 10, 7, 2, 5, 8, 2, 3, 3, 1, 2, 1, 2, 2, 1, 1, 2, 2, 2]","[88.93, 55.97, 64.08, 52.3, 45.21, 44.65, 55.57, 52.46, 54.63, 47.25, 47.42, 48.71, 39.68, 37.66, 37.56, 29.94, 23.85, 39.86, 39.68, 43.55, 74.76, 37.64, 55.17, 46.58, 40.53, 31.28, 30.68, 19.4, 21.73, 20.57, 22.1, 18.98, 17.23, 16.21, 15.15, 13.66, 13.82, 30.38, 11.38, 10.34, 10.59, 10.38, 8.38, 8.15, 8.91, 7.82, 6.63, 7.87, 5.18, 4.2, 3.25, 3.11, 2.95, 2.85, 2.45, 2.49, 1.44, 1.52, 1.79]"
"[3, 9, 0, 6, 38, 37, 35, 36, 40, 33, 41, 39, 8, 53, 47, 34, 52, 28, 29, 30, 26, 20, 27, 19, 21, 24, 10, 50, 48, 23, 54, 44, 42, 51, 45, 46, 22, 25, 56, 7, 14, 43, 18, 59, 11, 57, 32, 16, 17, 58, 31, 5, 4, 1, 2, 55, 12, 49, 13, 15]","[2, 5, 1, 11, 46, 56, 24, 1, 81, 1, 75, 73, 13, 31, 3, 2, 6, 81, 63, 47, 80, 19, 73, 34, 14, 15, 1, 14, 46, 1, 34, 42, 27, 77, 3, 2, 6, 1, 3, 13, 10, 7, 6, 2, 3, 5, 1, 8, 2, 3, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2]","[89.03, 43.95, 70.9, 45.35, 49.58, 51.6, 44.99, 42.3, 50.91, 49.76, 46.56, 38.58, 33.56, 32.97, 30.31, 30.19, 26.7, 35.22, 38.82, 34.54, 72.23, 60.26, 56.12, 49.26, 38.2, 30.31, 26.47, 22.75, 19.99, 19.23, 18.56, 22.06, 20.29, 21.41, 18.09, 16.3, 15.58, 15.69, 13.08, 10.18, 10.77, 9.03, 8.35, 7.97, 8.34, 6.73, 7.49, 5.44, 5.05, 3.8, 2.94, 2.69, 2.54, 2.41, 2.72, 2.36, 1.61, 1.59, 1.81]"
"[4, 6, 0, 8, 9, 38, 37, 35, 40, 33, 53, 39, 48, 36, 41, 34, 47, 52, 28, 29, 30, 26, 27, 19, 20, 21, 24, 16, 51, 22, 50, 54, 23, 46, 42, 44, 45, 32, 7, 56, 25, 10, 14, 57, 43, 18, 3, 59, 11, 17, 58, 31, 5, 12, 55, 1, 2, 49, 13, 15]","[1, 11, 1, 13, 5, 46, 56, 24, 81, 1, 31, 73, 46, 1, 75, 2, 3, 6, 81, 63, 47, 80, 73, 34, 19, 14, 15, 8, 77, 6, 14, 34, 1, 2, 27, 42, 3, 1, 13, 3, 1, 1, 10, 5, 7, 6, 2, 2, 3, 2, 3, 1, 2, 1, 2, 2, 2, 2, 2, 2]","[88.57, 55.58, 35.11, 29.8, 56.81, 50.21, 54.15, 43.59, 55.87, 50.6, 46.53, 44.75, 45.13, 46.28, 37.83, 35.14, 30.4, 25.16, 33.17, 40.95, 42.34, 42.75, 76.22, 71.13, 54.38, 36.45, 35.65, 24.23, 37.54, 31.36, 28.23, 28.77, 21.97, 29.25, 28.38, 19.76, 29.35, 15.37, 14.71, 12.56, 12.87, 9.88, 9.01, 8.8, 8.67, 9.05, 7.07, 6.96, 5.46, 4.77, 3.71, 2.88, 2.71, 3.44, 2.88, 2.77, 1.63, 1.56, 1.83]"
"[5, 6, 9, 29, 26, 30, 20, 27, 21, 35, 28, 32, 10, 38, 37, 53, 51, 39, 41, 40, 33, 36, 48, 34, 47, 8, 24, 19, 50, 52, 23, 44, 42, 54, 45, 46, 22, 56, 7, 25, 14, 3, 59, 43, 18, 57, 11, 17, 16, 58, 0, 31, 1, 2, 4, 12, 55, 49, 13, 15]","[2, 11, 5, 63, 80, 47, 19, 73, 14, 24, 81, 1, 1, 46, 56, 31, 77, 73, 75, 81, 1, 1, 46, 2, 3, 13, 15, 34, 14, 6, 1, 42, 27, 34, 3, 2, 6, 3, 13, 1, 10, 2, 2, 7, 6, 5, 3, 2, 8, 3, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2]","[88.95, 55.19, 53.82, 57.43, 69.65, 68.97, 66.77, 64.11, 59.63, 50.53, 42.86, 42.27, 32.53, 48.31, 45.49, 34.39, 49.64, 62.32, 62.64, 58.46, 50.23, 44.26, 40.42, 36.42, 32.94, 33.14, 29.59, 33.15, 29.87, 25.94, 22.26, 21.55, 24.84, 20.75, 17.92, 19.33, 13.4, 12.85, 12.44, 9.28, 9.77, 8.53, 9.06, 7.42, 8.07, 7.4, 5.97, 5.94, 4.61, 4.5, 3.47, 2.62, 2.94, 2.48, 2.7, 2.6, 1.35, 1.49, 1.8]"
"[6, 0, 10, 38, 37, 35, 40, 33, 41, 39, 8, 36, 47, 34, 28, 29, 26, 30, 20, 53, 27, 19, 24, 21, 52, 16, 51, 22, 23, 42, 7, 32, 50, 48, 44, 54, 45, 46, 56, 14, 25, 59, 18, 43, 9, 57, 11, 3, 17, 31, 58, 4, 5, 2, 55, 12, 1, 13, 49, 15]","[11, 1, 1, 46, 56, 24, 81, 1, 75, 73, 13, 1, 3, 2, 81, 63, 80, 47, 19, 31, 73, 34, 15, 14, 6, 8, 77, 6, 1, 27, 13, 1, 14, 46, 42, 34, 3, 2, 3, 10, 1, 2, 6, 7, 5, 5, 3, 2, 2, 1, 3, 1, 2, 2, 2, 1, 2, 2, 2, 2]","[56.53, 41.63, 55.61, 49.26, 52.7, 45.62, 55.06, 48.1, 51.01, 47.2, 47.31, 34.2, 30.07, 33.16, 32.67, 47.25, 45.63, 38.48, 34.03, 34.53, 62.88, 54.89, 40.72, 28.81, 29.33, 44.34, 41.37, 30.18, 29.56, 25.18, 24.1, 28.8, 25.03, 21.59, 22.11, 21.88, 18.08, 14.54, 11.37, 12.0, 12.03, 9.74, 8.81, 7.84, 7.38, 7.7, 6.21, 5.57, 4.22, 5.16, 2.82, 3.7, 3.16, 3.0, 2.56, 2.17, 1.51, 1.74, 1.81]"
"[7, 6, 0, 29, 8, 26, 35, 10, 30, 20, 38, 37, 53, 39, 40, 48, 41, 33, 36, 47, 28, 27, 34, 19, 24, 52, 21, 42, 51, 23, 50, 44, 46, 22, 54, 45, 56, 32, 25, 9, 14, 43, 57, 18, 3, 11, 59, 16, 17, 58, 31, 5, 4, 12, 1, 2, 55, 49, 13, 15]","[13, 11, 1, 63, 13, 80, 24, 1, 47, 19, 46, 56, 31, 73, 81, 46, 75, 1, 1, 3, 81, 73, 2, 34, 15, 6, 14, 27, 77, 1, 14, 42, 2, 6, 34, 3, 3, 1, 1, 5, 10, 7, 5, 6, 2, 3, 2, 8, 2, 3, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2]","[77.28, 56.0, 66.67, 69.91, 59.29, 58.97, 53.12, 43.56, 63.53, 44.59, 47.88, 46.71, 43.95, 50.05, 50.34, 47.11, 50.98, 45.11, 41.59, 45.77, 41.82, 42.26, 58.04, 55.68, 31.76, 43.52, 23.27, 26.03, 28.98, 25.15, 21.79, 20.96, 36.52, 20.16, 20.97, 15.92, 36.18, 11.17, 10.26, 11.62, 9.22, 9.62, 10.2, 8.26, 8.11, 6.95, 7.34, 5.35, 4.46, 4.41, 3.19, 2.59, 2.87, 2.76, 2.61, 2.48, 1.71, 1.74, 1.9]"
"[8, 9, 0, 38, 35, 37, 40, 33, 39, 36, 41, 48, 53, 47, 34, 20, 52, 42, 6, 30, 29, 26, 28, 27, 19, 24, 21, 10, 46, 50, 54, 23, 44, 45, 51, 22, 56, 7, 25, 14, 32, 43, 18, 57, 59, 3, 16, 11, 17, 31, 58, 5, 4, 55, 12, 2, 1, 49, 13, 15]","[13, 5, 1, 46, 24, 56, 81, 1, 73, 1, 75, 46, 31, 3, 2, 19, 6, 27, 11, 47, 63, 80, 81, 73, 34, 15, 14, 1, 2, 14, 34, 1, 42, 3, 77, 6, 3, 13, 1, 10, 1, 7, 6, 5, 2, 2, 8, 3, 2, 1, 3, 2, 1, 2, 1, 2, 2, 2, 2, 2]","[58.98, 56.91, 56.43, 50.2, 45.02, 43.67, 55.39, 60.4, 58.65, 45.29, 39.97, 40.05, 38.94, 34.13, 31.51, 32.27, 24.25, 26.74, 18.03, 32.01, 29.66, 35.06, 62.75, 57.05, 51.48, 39.69, 34.21, 24.87, 20.08, 19.05, 21.06, 18.48, 16.16, 16.1, 32.56, 15.1, 12.17, 12.08, 10.03, 10.73, 8.75, 8.6, 7.76, 8.79, 7.57, 7.54, 6.32, 4.99, 4.93, 4.54, 4.12, 3.85, 3.92, 2.54, 2.56, 2.03, 1.43, 1.67, 1.8]"
"[9, 0, 13, 10, 8, 38, 37, 35, 40, 39, 41, 33, 36, 53, 48, 47, 34, 52, 6, 28, 29, 26, 30, 27, 19, 20, 51, 22, 50, 24, 21, 46, 44, 42, 54, 45, 23, 56, 25, 59, 7, 18, 14, 3, 43, 57, 16, 32, 17, 11, 31, 58, 5, 55, 2, 4, 1, 12, 49, 15]","[5, 1, 2, 1, 13, 46, 56, 24, 81, 73, 75, 1, 1, 31, 46, 3, 2, 6, 11, 81, 63, 80, 47, 73, 34, 19, 77, 6, 14, 15, 14, 2, 42, 27, 34, 3, 1, 3, 1, 2, 13, 6, 10, 2, 7, 5, 8, 1, 2, 3, 1, 3, 2, 2, 2, 1, 2, 1, 2, 2]","[56.3, 33.51, 50.76, 9.87, 56.18, 48.79, 53.07, 43.82, 52.29, 56.05, 57.5, 45.62, 38.16, 34.52, 36.05, 35.4, 30.63, 24.16, 22.96, 32.96, 36.51, 43.84, 37.0, 75.53, 69.95, 28.26, 33.15, 25.61, 23.02, 23.45, 20.99, 19.87, 21.58, 22.49, 20.28, 18.77, 14.42, 13.31, 12.16, 13.9, 9.31, 9.39, 8.68, 9.22, 8.58, 6.9, 6.59, 6.4, 6.48, 4.69, 4.94, 4.04, 2.65, 3.18, 2.66, 2.39, 2.34, 2.08, 1.88]"
