selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 6, 10, 8, 12, 49, 11, 9, 19, 2, 3, 13, 37, 16, 30, 29, 32, 31, 18, 1, 5, 42, 24, 25, 27, 7, 47, 48, 15, 52, 34, 45, 14, 22, 35, 4, 51, 53, 36, 20, 39, 55, 40, 26, 59, 21, 46, 28, 50, 58, 54, 44, 38, 41, 57, 33, 43, 56, 23, 17]","[81, 0, 79, 0, 39, 15, 95, 29, 0, 6, 5, 5, 0, 0, 13, 3, 15, 0, 0, 95, 24, 0, 0, 0, 2, 0, 25, 15, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 7, 4, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]","[96.8499526977539, 62.9874382019043, 82.0499496459961, 69.19124603271484, 75.81665802001953, 72.76554870605469, 56.533607482910156, 67.43531799316406, 59.424293518066406, 69.65791320800781, 52.36513900756836, 23.707778930664062, 47.32795333862305, 32.21297836303711, 25.93082618713379, 17.94854164123535, 16.28078842163086, 13.478056907653809, 25.75082015991211, 29.78925132751465, 33.3799934387207, 19.38047981262207, 14.052335739135742, 13.754425048828125, 6.3556718826293945, 4.205987453460693, 24.27086639404297, 10.15746021270752, 24.821279525756836, 13.628960609436035, 10.829158782958984, 13.447077751159668, 19.95277976989746, 9.737701416015625, 5.241217136383057, 5.969935894012451, 2.6432979106903076, 1.2965549230575562, 2.1349711418151855, 0.795704185962677, 1.3975703716278076, 0.8381247520446777, 1.4201641082763672, 1.578417420387268, 2.223268508911133, 0.6162039637565613, 1.290319561958313, 1.8039008378982544, 1.0328487157821655, 0.7690901160240173, 0.8447277545928955, 1.3005037307739258, -0.9446949362754822, 0.6514085531234741, 0.240706205368042, -0.3733227252960205, -1.0935829877853394, -2.5328667163848877, -3.3829288482666016]"
"[1, 6, 32, 49, 2, 9, 5, 42, 14, 15, 8, 54, 12, 37, 11, 10, 0, 16, 13, 3, 35, 4, 29, 19, 31, 7, 30, 27, 25, 51, 18, 24, 53, 22, 28, 34, 26, 20, 48, 47, 40, 52, 45, 58, 38, 36, 21, 39, 50, 55, 44, 46, 59, 41, 57, 33, 43, 56, 23, 17]","[95, 0, 15, 15, 6, 29, 24, 0, 9, 0, 0, 0, 39, 0, 95, 79, 81, 0, 5, 5, 0, 0, 3, 0, 0, 0, 13, 2, 0, 0, 0, 0, 0, 0, 7, 0, 4, 0, 15, 25, 0, 0, 0, 0, 5, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[98.76305389404297, 78.75432586669922, 64.8659896850586, 68.81123352050781, 58.47211837768555, 44.75082015991211, 41.52471923828125, 34.44328689575195, 28.655675888061523, 27.201343536376953, 29.536069869995117, 28.30483627319336, 35.920814514160156, 48.182518005371094, 67.48111724853516, 41.17485809326172, 60.728797912597656, 49.14799118041992, 41.722938537597656, 32.58314514160156, 22.180469512939453, 25.29167938232422, 10.660492897033691, 11.42421817779541, 10.639984130859375, 5.384044647216797, 12.378520011901855, 9.099313735961914, 6.648147106170654, 3.6147069931030273, 5.19984245300293, 2.7020528316497803, 17.963720321655273, 1.554744839668274, 3.4249515533447266, 2.586136817932129, 2.854461669921875, 0.9455118775367737, 14.85641098022461, 16.957706451416016, 20.714839935302734, 14.21314811706543, 1.916298270225525, 1.24318265914917, 0.7856925129890442, 0.9269500374794006, 0.28787991404533386, 0.4281539022922516, 0.8563849925994873, 1.3765209913253784, 0.033303067088127136, -0.046256810426712036, -0.9446949362754822, 0.6514085531234741, 0.240706205368042, -0.3733227252960205, -1.0935829877853394, -2.5328667163848877, -3.3829288482666016]"
"[2, 6, 14, 9, 42, 15, 16, 30, 11, 3, 10, 7, 49, 0, 54, 37, 13, 12, 19, 32, 31, 8, 1, 5, 35, 27, 25, 18, 22, 47, 48, 52, 34, 45, 53, 58, 4, 24, 51, 20, 40, 21, 36, 55, 44, 46, 29, 26, 28, 38, 39, 59, 43, 50, 33, 41, 56, 57, 23, 17]","[6, 0, 9, 29, 0, 0, 0, 13, 95, 5, 79, 0, 15, 81, 0, 0, 5, 39, 0, 15, 0, 0, 95, 24, 0, 2, 0, 0, 0, 25, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 4, 7, 5, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0]","[35.6318244934082, 17.19687271118164, 51.9753303527832, 36.243953704833984, 27.191211700439453, 25.04941749572754, 44.87285232543945, 46.71709060668945, 87.40743255615234, 78.70743560791016, 34.047462463378906, 68.3083724975586, 45.5648193359375, 40.559547424316406, 37.730010986328125, 58.60753631591797, 44.94468307495117, 28.751602172851562, 34.07061767578125, 22.83331871032715, 23.74755859375, 18.293296813964844, 22.881078720092773, 18.331134796142578, 6.1490559577941895, 10.185415267944336, 7.444967269897461, 7.73098611831665, 5.3622355461120605, 18.542726516723633, 24.093584060668945, 6.562346458435059, 9.999032974243164, 1.7096043825149536, 14.9024658203125, 7.772594928741455, 7.327402591705322, 12.249531745910645, 2.398205518722534, 1.742868185043335, 0.9277255535125732, 1.4171714782714844, 0.33238595724105835, 0.2155257761478424, 0.6922115087509155, 0.30884093046188354, 2.312424659729004, 1.3310558795928955, 1.3469268083572388, 0.40680715441703796, -0.2700158357620239, -0.6163577437400818, 1.4034662246704102, -0.3138832747936249, -0.5595671534538269, -0.379949152469635, -0.2865920662879944, -2.5328667163848877, -3.3829288482666016]"
"[3, 6, 32, 9, 42, 18, 36, 49, 35, 15, 10, 11, 16, 0, 8, 19, 13, 12, 37, 1, 2, 5, 14, 4, 31, 54, 22, 25, 47, 40, 48, 30, 27, 52, 45, 51, 7, 29, 53, 24, 26, 20, 34, 28, 38, 21, 55, 58, 33, 59, 50, 41, 46, 39, 56, 44, 57, 43, 23, 17]","[5, 0, 15, 29, 0, 0, 0, 15, 0, 0, 79, 95, 0, 81, 0, 0, 5, 39, 0, 95, 6, 24, 9, 0, 0, 0, 0, 0, 25, 0, 15, 13, 2, 0, 0, 0, 0, 3, 0, 0, 4, 0, 0, 7, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[43.93864822387695, 15.399950981140137, 50.27504348754883, 31.631359100341797, 35.12522506713867, 54.46479797363281, 26.4561767578125, 25.879289627075195, 27.753068923950195, 22.95172119140625, 66.15026092529297, 26.76939582824707, 27.121379852294922, 38.99726486206055, 44.08258056640625, 32.38104248046875, 29.58287239074707, 24.304311752319336, 37.464168548583984, 76.58980560302734, 27.494394302368164, 20.665992736816406, 32.06755447387695, 15.965004920959473, 13.623982429504395, 17.869850158691406, 10.244892120361328, 6.402653217315674, 25.193607330322266, 22.9163818359375, 21.147932052612305, 12.392602920532227, 22.347110748291016, 9.509933471679688, 4.228231430053711, 9.565714836120605, 6.089709758758545, 4.580718040466309, 3.1213083267211914, 2.0700767040252686, 1.811022162437439, 1.4916599988937378, 1.1482863426208496, 1.2223185300827026, 4.6904449462890625, 1.0919702053070068, 1.2721024751663208, 1.4317439794540405, 2.1821064949035645, 2.1228342056274414, 0.3447602689266205, 0.8912583589553833, 0.2867380380630493, -0.18369942903518677, -0.07464880496263504, 0.0557306632399559, -0.5851224660873413, -2.5328667163848877, -3.3829288482666016]"
"[4, 6, 37, 9, 18, 42, 12, 49, 3, 8, 10, 11, 0, 32, 2, 16, 30, 13, 35, 31, 54, 19, 15, 1, 5, 14, 27, 51, 22, 52, 7, 58, 25, 28, 24, 53, 20, 47, 48, 34, 45, 59, 29, 46, 26, 40, 36, 55, 38, 39, 21, 44, 43, 50, 33, 41, 56, 57, 23, 17]","[0, 0, 0, 29, 0, 0, 39, 15, 5, 0, 79, 95, 81, 15, 6, 0, 13, 5, 0, 0, 0, 0, 0, 95, 24, 9, 2, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 25, 15, 0, 0, 0, 3, 0, 4, 0, 0, 2, 5, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0]","[54.25173568725586, 18.724334716796875, 53.07622146606445, 34.952476501464844, 36.37937927246094, 32.91557312011719, 39.70973587036133, 34.52001190185547, 29.206336975097656, 30.558025360107422, 75.2378158569336, 51.348026275634766, 67.72010803222656, 58.29372024536133, 48.68522644042969, 27.438501358032227, 25.58384132385254, 23.41233253479004, 27.235809326171875, 26.182296752929688, 21.3193416595459, 41.13856506347656, 27.056997299194336, 32.35164260864258, 25.742815017700195, 11.78173542022705, 6.508863925933838, 20.195528030395508, 4.580974102020264, 3.537519931793213, 3.770742177963257, 8.001720428466797, 1.8854293823242188, 3.5038421154022217, 4.687376499176025, 2.927177906036377, 7.150838851928711, 21.567136764526367, 5.5586442947387695, 17.949539184570312, 4.50206995010376, 2.563288688659668, 2.644343614578247, 3.027395725250244, 1.5128411054611206, 0.5000017285346985, 1.5006146430969238, 1.040737271308899, 0.8004888892173767, 1.9310276508331299, 1.629318118095398, -0.6163577437400818, 1.4034662246704102, -0.3138832747936249, -0.5595671534538269, -0.379949152469635, -0.2865920662879944, -2.5328667163848877, -3.3829288482666016]"
"[5, 11, 10, 9, 6, 12, 30, 8, 0, 16, 49, 3, 13, 19, 54, 2, 37, 32, 25, 1, 29, 21, 42, 27, 15, 31, 36, 7, 51, 24, 14, 18, 4, 35, 47, 48, 52, 45, 53, 26, 20, 55, 34, 38, 59, 40, 50, 46, 28, 58, 39, 57, 44, 33, 22, 43, 41, 56, 23, 17]","[24, 95, 79, 29, 0, 39, 13, 0, 81, 0, 15, 5, 5, 0, 0, 6, 0, 15, 0, 95, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 25, 15, 0, 0, 0, 4, 0, 2, 0, 5, 0, 0, 4, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[55.900787353515625, 92.00774383544922, 90.98709106445312, 67.3830337524414, 68.5496826171875, 74.18234252929688, 63.25022506713867, 57.336212158203125, 69.87443542480469, 50.216392517089844, 44.1599006652832, 36.600345611572266, 39.25769805908203, 46.8397331237793, 53.198936462402344, 23.70511245727539, 49.01008224487305, 23.852283477783203, 35.123207092285156, 15.74437427520752, 16.831602096557617, 15.010893821716309, 15.680816650390625, 17.643756866455078, 11.599625587463379, 3.270923137664795, 7.919575214385986, 6.854436874389648, 10.965485572814941, 3.6192479133605957, 12.391799926757812, 3.10786771774292, 6.217650413513184, 7.268652439117432, 22.014455795288086, 22.629186630249023, 9.449858665466309, 4.103557586669922, 1.6739845275878906, 2.084713935852051, 1.0071617364883423, 2.2614238262176514, 2.0916688442230225, 2.5150697231292725, 1.5483137369155884, 3.0208852291107178, 1.1288022994995117, 1.2541396617889404, 1.4157123565673828, 0.6161176562309265, 2.7964253425598145, 1.5123927593231201, 0.4729146957397461, 0.5659981966018677, -0.5586957335472107, 0.02672964334487915, -1.0935829877853394, -2.5328667163848877, -3.3829288482666016]"
"[6, 1, 32, 49, 2, 9, 5, 42, 14, 15, 8, 54, 12, 37, 11, 10, 0, 16, 13, 3, 35, 4, 29, 19, 31, 7, 30, 27, 25, 51, 18, 24, 53, 22, 28, 34, 26, 20, 48, 47, 40, 52, 45, 58, 38, 36, 21, 39, 50, 55, 44, 46, 59, 41, 57, 33, 43, 56, 23, 17]","[0, 95, 15, 15, 6, 29, 24, 0, 9, 0, 0, 0, 39, 0, 95, 79, 81, 0, 5, 5, 0, 0, 3, 0, 0, 0, 13, 2, 0, 0, 0, 0, 0, 0, 7, 0, 4, 0, 15, 25, 0, 0, 0, 0, 5, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19.82717514038086, 78.75432586669922, 64.8659896850586, 68.81123352050781, 58.47211837768555, 44.75082015991211, 41.52471923828125, 34.44328689575195, 28.655675888061523, 27.201343536376953, 29.536069869995117, 28.30483627319336, 35.920814514160156, 48.182518005371094, 67.48111724853516, 41.17485809326172, 60.728797912597656, 49.14799118041992, 41.722938537597656, 32.58314514160156, 22.180469512939453, 25.29167938232422, 10.660492897033691, 11.42421817779541, 10.639984130859375, 5.384044647216797, 12.378520011901855, 9.099313735961914, 6.648147106170654, 3.6147069931030273, 5.19984245300293, 2.7020528316497803, 17.963720321655273, 1.554744839668274, 3.4249515533447266, 2.586136817932129, 2.854461669921875, 0.9455118775367737, 14.85641098022461, 16.957706451416016, 20.714839935302734, 14.21314811706543, 1.916298270225525, 1.24318265914917, 0.7856925129890442, 0.9269500374794006, 0.28787991404533386, 0.4281539022922516, 0.8563849925994873, 1.3765209913253784, 0.033303067088127136, -0.046256810426712036, -0.9446949362754822, 0.6514085531234741, 0.240706205368042, -0.3733227252960205, -1.0935829877853394, -2.5328667163848877, -3.3829288482666016]"
"[7, 6, 14, 9, 42, 15, 16, 0, 10, 11, 30, 12, 19, 49, 3, 13, 37, 2, 31, 8, 29, 53, 32, 5, 35, 1, 24, 27, 21, 18, 25, 47, 52, 48, 45, 51, 4, 36, 34, 20, 26, 55, 58, 28, 44, 38, 39, 50, 54, 57, 40, 46, 59, 33, 22, 43, 41, 56, 23, 17]","[0, 0, 9, 29, 0, 0, 0, 81, 79, 95, 13, 39, 0, 15, 5, 5, 0, 6, 0, 0, 3, 0, 15, 24, 0, 95, 0, 2, 0, 0, 0, 25, 0, 15, 0, 0, 0, 0, 0, 0, 4, 2, 0, 7, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[29.88492774963379, 19.569854736328125, 50.284820556640625, 30.4676570892334, 34.074546813964844, 26.042909622192383, 34.238868713378906, 83.72773742675781, 78.2558364868164, 75.35367584228516, 73.50068664550781, 63.29356002807617, 51.60633087158203, 76.53849029541016, 40.321388244628906, 32.340484619140625, 60.623268127441406, 25.981691360473633, 27.90411376953125, 31.710721969604492, 24.61579132080078, 17.751136779785156, 23.205848693847656, 18.095457077026367, 18.3222599029541, 15.154247283935547, 12.701445579528809, 10.274689674377441, 5.850302219390869, 33.1936149597168, 5.764366149902344, 24.839170455932617, 21.11260223388672, 19.704086303710938, 3.43277907371521, 2.5891706943511963, 3.4894096851348877, 2.4580695629119873, 2.7332375049591064, 1.812421441078186, 0.7137359380722046, 1.634957194328308, 1.6721571683883667, 2.1102817058563232, 1.360107183456421, 1.404374122619629, 2.1010022163391113, 1.9100706577301025, 1.2570096254348755, 0.6628626585006714, 3.508375406265259, 2.4428212642669678, 0.4729146957397461, 0.5659981966018677, -0.5586957335472107, 0.02672964334487915, -1.0935829877853394, -2.5328667163848877, -3.3829288482666016]"
"[8, 9, 10, 11, 0, 20, 12, 49, 2, 3, 29, 6, 13, 38, 1, 32, 5, 22, 16, 42, 53, 37, 14, 34, 30, 24, 27, 25, 31, 15, 4, 51, 35, 7, 18, 19, 26, 52, 57, 55, 50, 58, 40, 47, 48, 46, 45, 36, 28, 44, 54, 39, 21, 59, 33, 43, 41, 56, 23, 17]","[0, 29, 79, 95, 81, 0, 39, 15, 6, 5, 3, 0, 5, 5, 95, 15, 24, 0, 0, 0, 0, 0, 9, 0, 13, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 4, 0, 0, 25, 15, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[25.01933479309082, 29.870197296142578, 79.2232894897461, 71.25921630859375, 70.9923324584961, 67.12684631347656, 71.1865005493164, 69.74827575683594, 77.83328247070312, 64.01786041259766, 63.91194152832031, 41.185813903808594, 24.52757453918457, 38.49221420288086, 29.88162612915039, 17.615537643432617, 18.315649032592773, 15.398709297180176, 27.792984008789062, 24.27883529663086, 25.712966918945312, 20.160791397094727, 11.033967971801758, 8.534221649169922, 12.517826080322266, 10.419777870178223, 20.438213348388672, 7.317729949951172, 10.027580261230469, 18.96245574951172, 6.186553478240967, 6.912304878234863, 3.94525146484375, 2.416198968887329, 3.124863862991333, 2.096134662628174, 2.9771780967712402, 2.6591248512268066, 2.6734049320220947, 2.001796245574951, 1.367334008216858, 1.0998495817184448, 3.817002534866333, 22.87146759033203, 2.588045358657837, 19.1737117767334, 2.4201278686523438, 1.6872704029083252, 0.9712936878204346, 0.7658177614212036, 0.4263124167919159, 0.9561736583709717, 0.7723144888877869, 1.822827696800232, -0.5586957335472107, 0.02672964334487915, -1.0935829877853394, -2.5328667163848877, -3.3829288482666016]"
"[9, 10, 11, 8, 0, 20, 12, 49, 2, 3, 29, 6, 13, 38, 1, 32, 5, 22, 16, 42, 53, 37, 14, 34, 30, 24, 27, 25, 31, 15, 4, 51, 35, 7, 18, 19, 26, 52, 57, 55, 50, 58, 40, 47, 48, 46, 45, 36, 28, 44, 54, 39, 21, 59, 33, 43, 41, 56, 23, 17]","[29, 79, 95, 0, 81, 0, 39, 15, 6, 5, 3, 0, 5, 5, 95, 15, 24, 0, 0, 0, 0, 0, 9, 0, 13, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 4, 0, 0, 25, 15, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[40.458065032958984, 72.33572387695312, 84.80577087402344, 71.25921630859375, 70.9923324584961, 67.12684631347656, 71.1865005493164, 69.74827575683594, 77.83328247070312, 64.01786041259766, 63.91194152832031, 41.185813903808594, 24.52757453918457, 38.49221420288086, 29.88162612915039, 17.615537643432617, 18.315649032592773, 15.398709297180176, 27.792984008789062, 24.27883529663086, 25.712966918945312, 20.160791397094727, 11.033967971801758, 8.534221649169922, 12.517826080322266, 10.419777870178223, 20.438213348388672, 7.317729949951172, 10.027580261230469, 18.96245574951172, 6.186553478240967, 6.912304878234863, 3.94525146484375, 2.416198968887329, 3.124863862991333, 2.096134662628174, 2.9771780967712402, 2.6591248512268066, 2.6734049320220947, 2.001796245574951, 1.367334008216858, 1.0998495817184448, 3.817002534866333, 22.87146759033203, 2.588045358657837, 19.1737117767334, 2.4201278686523438, 1.6872704029083252, 0.9712936878204346, 0.7658177614212036, 0.4263124167919159, 0.9561736583709717, 0.7723144888877869, 1.822827696800232, -0.5586957335472107, 0.02672964334487915, -1.0935829877853394, -2.5328667163848877, -3.3829288482666016]"
