selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 6, 22, 10, 9, 5, 37, 12, 27, 11, 29, 3, 49, 31, 8, 7, 16, 54, 2, 1, 38, 15, 13, 32, 4, 14, 42, 45, 58, 25, 21, 18, 24, 19, 44, 43, 17, 55, 20, 23, 56, 30, 26, 50, 51, 59, 28, 53, 40, 41, 39, 35, 46, 52, 57, 33, 48, 47, 36, 34]","[65, 30, 36, 10, 44, 18, 35, 50, 16, 28, 16, 74, 24, 7, 60, 18, 22, 43, 49, 82, 30, 28, 52, 18, 24, 76, 23, 17, 35, 8, 31, 8, 44, 14, 37, 15, 70, 2, 48, 18, 1, 14, 24, 8, 28, 0, 25, 18, 37, 40, 22, 47, 5, 2, 4, 9, 18, 12, 10, 11]","[88.51, 33.14, 74.33, 54.16, 66.19, 67.99, 61.88, 46.73, 61.43, 34.28, 50.28, 45.72, 32.35, 43.3, 52.8, 40.21, 45.42, 40.91, 51.19, 22.54, 37.75, 40.03, 40.63, 37.79, 34.95, 36.16, 13.91, 7.03, 34.05, 31.93, 32.11, 28.99, 29.05, 27.58, 26.93, 21.28, 20.61, 20.09, 25.99, 19.87, 18.61, 14.36, 18.67, 15.29, 6.24, 15.21, 15.33, 13.89, 19.09, 19.32, 15.62, 13.71, 13.76, 11.61, 11.08, 10.79, 12.06, 10.54, 9.33]"
"[1, 6, 22, 2, 32, 5, 9, 49, 26, 11, 28, 8, 10, 31, 16, 0, 3, 12, 7, 4, 39, 54, 42, 15, 37, 38, 30, 45, 58, 14, 13, 25, 18, 21, 24, 19, 44, 43, 17, 20, 23, 56, 27, 50, 55, 59, 51, 29, 40, 41, 53, 35, 46, 33, 52, 57, 48, 36, 47, 34]","[82, 30, 36, 49, 18, 18, 44, 24, 24, 28, 25, 60, 10, 7, 22, 65, 74, 50, 18, 24, 22, 43, 23, 28, 35, 30, 14, 17, 35, 76, 52, 8, 8, 31, 44, 14, 37, 15, 70, 48, 18, 1, 16, 8, 2, 0, 28, 16, 37, 40, 18, 47, 5, 9, 2, 4, 18, 10, 12, 11]","[89.2, 35.75, 79.55, 67.48, 57.31, 60.36, 58.4, 30.54, 61.41, 21.41, 49.34, 50.93, 27.66, 46.33, 46.65, 56.2, 48.33, 48.46, 38.63, 12.02, 40.61, 35.98, 36.31, 43.99, 32.91, 38.52, 14.52, 10.61, 37.61, 37.93, 33.66, 34.32, 32.39, 27.85, 28.61, 25.38, 24.5, 22.28, 22.43, 29.82, 22.9, 18.87, 18.84, 18.01, 6.19, 17.04, 17.9, 15.43, 19.3, 16.56, 14.59, 15.14, 12.72, 12.69, 10.38, 8.72, 9.82, 10.05, 8.7]"
"[2, 11, 22, 14, 1, 5, 7, 6, 28, 32, 29, 9, 10, 33, 3, 0, 8, 49, 16, 4, 39, 13, 12, 18, 25, 21, 15, 46, 58, 42, 31, 24, 19, 44, 43, 54, 37, 23, 30, 17, 20, 27, 26, 55, 50, 59, 38, 56, 40, 41, 51, 45, 35, 53, 52, 57, 47, 36, 34, 48]","[49, 28, 36, 76, 82, 18, 18, 30, 25, 18, 16, 44, 10, 9, 74, 65, 60, 24, 22, 24, 22, 52, 50, 8, 8, 31, 28, 5, 35, 23, 7, 44, 14, 37, 15, 43, 35, 18, 14, 70, 48, 16, 24, 2, 8, 0, 30, 1, 37, 40, 28, 17, 47, 18, 2, 4, 12, 10, 11, 18]","[86.58, 33.72, 67.38, 66.92, 70.34, 67.86, 61.74, 14.16, 56.95, 16.71, 55.9, 49.56, 10.71, 47.82, 45.9, 48.5, 48.1, 45.12, 41.26, 13.3, 36.75, 36.82, 33.91, 32.91, 30.67, 29.99, 12.06, 6.83, 29.91, 29.23, 26.45, 28.89, 24.0, 23.69, 23.05, 22.25, 23.54, 21.59, 22.24, 20.2, 18.04, 13.84, 19.38, 18.38, 6.9, 17.93, 19.6, 15.84, 19.16, 15.77, 15.25, 14.33, 14.54, 11.84, 9.87, 9.73, 9.03, 9.58, 9.26]"
"[3, 6, 22, 8, 11, 7, 12, 9, 28, 5, 30, 10, 42, 32, 38, 20, 37, 53, 54, 21, 35, 23, 29, 18, 0, 49, 1, 44, 58, 2, 13, 14, 16, 4, 25, 24, 19, 15, 31, 43, 17, 56, 26, 50, 55, 59, 27, 51, 45, 39, 40, 41, 46, 52, 33, 57, 36, 34, 48, 47]","[74, 30, 36, 60, 28, 18, 50, 44, 25, 18, 14, 10, 23, 18, 30, 48, 35, 18, 43, 31, 47, 18, 16, 8, 65, 24, 82, 37, 35, 49, 52, 76, 22, 24, 8, 44, 14, 28, 7, 15, 70, 1, 24, 8, 2, 0, 16, 28, 17, 22, 37, 40, 5, 2, 9, 4, 10, 11, 18, 12]","[87.89, 34.51, 71.36, 67.83, 56.79, 48.11, 50.97, 32.95, 53.22, 53.2, 54.96, 44.59, 20.76, 65.79, 54.32, 53.46, 49.96, 45.08, 45.27, 35.05, 42.57, 40.5, 37.83, 36.75, 51.16, 45.41, 17.72, 9.02, 64.36, 40.04, 45.64, 45.47, 40.49, 36.37, 35.74, 32.0, 31.07, 32.06, 26.73, 22.81, 21.45, 16.15, 19.56, 19.46, 8.43, 19.38, 16.5, 15.38, 13.55, 17.84, 20.17, 13.36, 13.28, 10.77, 9.9, 9.86, 9.11, 8.75, 10.89]"
"[4, 6, 22, 37, 34, 10, 54, 8, 25, 38, 26, 3, 11, 29, 7, 9, 42, 12, 0, 49, 35, 13, 1, 5, 2, 32, 30, 45, 58, 14, 16, 18, 21, 15, 31, 24, 19, 44, 43, 20, 23, 17, 27, 56, 50, 59, 55, 51, 28, 53, 39, 40, 41, 46, 52, 33, 57, 48, 36, 47]","[24, 30, 36, 35, 11, 10, 43, 60, 8, 30, 24, 74, 28, 16, 18, 44, 23, 50, 65, 24, 47, 52, 82, 18, 49, 18, 14, 17, 35, 76, 22, 8, 31, 28, 7, 44, 14, 37, 15, 48, 18, 70, 16, 1, 8, 0, 2, 28, 25, 18, 22, 37, 40, 5, 2, 9, 4, 18, 10, 12]","[85.83, 32.15, 67.03, 62.17, 75.94, 54.36, 62.88, 16.25, 59.68, 43.05, 48.75, 57.66, 30.54, 54.42, 42.68, 38.84, 37.74, 55.85, 50.24, 32.75, 46.12, 45.21, 62.6, 48.53, 48.66, 35.53, 15.95, 9.94, 43.65, 44.45, 34.01, 32.53, 30.77, 29.35, 27.46, 29.29, 25.94, 26.72, 22.93, 29.6, 20.92, 16.93, 21.9, 18.35, 8.8, 18.69, 15.8, 15.39, 16.47, 14.71, 17.82, 19.82, 13.65, 13.29, 11.76, 9.46, 9.95, 10.35, 12.15]"
"[5, 11, 22, 54, 38, 8, 20, 9, 26, 37, 27, 53, 7, 29, 0, 10, 6, 2, 3, 1, 36, 14, 32, 49, 16, 13, 4, 44, 58, 12, 42, 18, 21, 24, 25, 15, 19, 31, 23, 43, 17, 56, 28, 50, 30, 59, 55, 51, 40, 39, 41, 35, 45, 46, 52, 33, 57, 47, 48, 34]","[18, 28, 36, 43, 30, 60, 48, 44, 24, 35, 16, 18, 18, 16, 65, 10, 30, 49, 74, 82, 10, 76, 18, 24, 22, 52, 24, 37, 35, 50, 23, 8, 31, 44, 8, 28, 14, 7, 18, 15, 70, 1, 25, 8, 14, 0, 2, 28, 37, 22, 40, 47, 17, 5, 2, 9, 4, 12, 18, 11]","[84.78, 32.59, 71.53, 71.88, 66.49, 61.58, 58.35, 48.86, 58.08, 41.26, 48.75, 56.34, 37.53, 48.87, 60.08, 51.5, 49.73, 48.75, 55.31, 18.05, 66.62, 67.79, 49.99, 45.82, 40.89, 39.95, 29.78, 7.69, 38.74, 37.69, 37.79, 35.15, 35.76, 34.51, 31.62, 31.21, 28.78, 28.74, 27.44, 22.57, 24.38, 15.95, 20.28, 21.02, 8.34, 19.21, 15.47, 14.99, 18.61, 20.18, 15.03, 14.96, 13.5, 13.45, 10.65, 8.81, 7.96, 9.98, 8.85]"
"[6, 9, 22, 10, 38, 20, 35, 39, 25, 30, 26, 23, 47, 28, 21, 19, 37, 29, 53, 42, 33, 3, 11, 12, 0, 49, 1, 44, 58, 2, 5, 32, 8, 7, 13, 14, 16, 4, 18, 24, 15, 31, 17, 56, 43, 59, 54, 50, 55, 27, 40, 41, 51, 45, 46, 52, 48, 36, 57, 34]","[30, 44, 36, 10, 30, 48, 47, 22, 8, 14, 24, 18, 12, 25, 31, 14, 35, 16, 18, 23, 9, 74, 28, 50, 65, 24, 82, 37, 35, 49, 18, 18, 60, 18, 52, 76, 22, 24, 8, 44, 28, 7, 70, 1, 15, 0, 43, 8, 2, 16, 37, 40, 28, 17, 5, 2, 18, 10, 4, 11]","[70.35, 33.58, 50.71, 70.6, 59.04, 53.11, 51.13, 31.32, 45.89, 33.4, 38.43, 38.44, 27.94, 35.46, 34.34, 33.72, 33.28, 33.01, 33.23, 23.93, 40.93, 67.78, 57.37, 54.18, 50.62, 50.52, 21.13, 8.56, 66.41, 72.9, 58.64, 47.39, 54.46, 41.68, 42.0, 48.04, 39.78, 36.41, 32.49, 32.09, 28.24, 20.59, 26.5, 24.97, 12.3, 22.94, 22.93, 20.28, 19.38, 17.62, 20.0, 17.03, 14.16, 14.14, 13.22, 10.2, 9.96, 8.95, 9.87]"
"[7, 6, 22, 10, 37, 38, 39, 40, 24, 54, 25, 11, 30, 27, 8, 20, 53, 23, 19, 3, 34, 12, 9, 1, 5, 2, 14, 45, 58, 32, 0, 49, 16, 13, 4, 18, 42, 15, 21, 31, 44, 43, 17, 41, 56, 59, 55, 50, 51, 29, 26, 28, 35, 46, 52, 57, 33, 36, 48, 47]","[18, 30, 36, 10, 35, 30, 22, 37, 44, 43, 8, 28, 14, 16, 60, 48, 18, 18, 14, 74, 11, 50, 44, 82, 18, 49, 76, 17, 35, 18, 65, 24, 22, 52, 24, 8, 23, 28, 31, 7, 37, 15, 70, 40, 1, 0, 2, 8, 28, 16, 24, 25, 47, 5, 2, 4, 9, 10, 18, 12]","[81.75, 31.7, 83.44, 48.02, 53.88, 50.48, 42.21, 41.93, 50.35, 13.74, 54.98, 55.85, 31.33, 45.07, 49.1, 48.65, 43.0, 41.69, 43.11, 18.59, 43.3, 66.98, 55.45, 74.11, 66.59, 64.9, 19.03, 7.81, 65.28, 50.5, 48.7, 47.04, 42.77, 40.96, 39.09, 34.65, 33.7, 32.84, 30.49, 27.56, 26.4, 21.91, 21.31, 23.63, 9.39, 19.23, 19.29, 16.7, 16.39, 16.34, 16.11, 15.68, 15.25, 12.2, 13.5, 9.97, 8.84, 8.93, 10.57]"
"[8, 11, 22, 35, 38, 14, 7, 1, 26, 2, 28, 5, 6, 31, 10, 9, 32, 0, 3, 49, 39, 16, 4, 12, 13, 25, 21, 46, 58, 42, 18, 37, 30, 15, 24, 19, 44, 43, 54, 17, 56, 23, 20, 27, 55, 59, 50, 29, 40, 41, 45, 53, 51, 52, 33, 57, 48, 47, 34, 36]","[60, 28, 36, 47, 30, 76, 18, 82, 24, 49, 25, 18, 30, 7, 10, 44, 18, 65, 74, 24, 22, 22, 24, 50, 52, 8, 31, 5, 35, 23, 8, 35, 14, 28, 44, 14, 37, 15, 43, 70, 1, 18, 48, 16, 2, 0, 8, 16, 37, 40, 17, 18, 28, 2, 9, 4, 18, 12, 11, 10]","[84.14, 32.8, 66.19, 64.28, 52.91, 61.53, 65.04, 24.87, 72.87, 21.25, 69.19, 60.12, 32.44, 57.03, 52.65, 51.07, 48.68, 48.53, 49.33, 19.64, 46.31, 40.37, 36.59, 37.38, 34.14, 32.42, 15.64, 6.57, 31.25, 31.45, 36.94, 29.57, 30.12, 27.25, 28.46, 26.3, 25.97, 22.87, 21.95, 23.87, 23.03, 20.63, 20.85, 19.79, 8.84, 19.94, 17.84, 16.55, 18.63, 17.95, 16.69, 16.75, 14.4, 10.44, 10.56, 9.77, 9.98, 10.09, 9.82]"
"[9, 10, 22, 35, 8, 38, 37, 20, 25, 54, 26, 39, 7, 28, 6, 23, 48, 3, 53, 11, 33, 12, 0, 1, 49, 5, 2, 43, 58, 13, 32, 30, 24, 14, 16, 4, 18, 42, 21, 19, 31, 15, 17, 44, 56, 59, 50, 27, 29, 55, 40, 41, 45, 51, 46, 52, 57, 34, 47, 36]","[44, 10, 36, 47, 60, 30, 35, 48, 8, 43, 24, 22, 18, 25, 30, 18, 18, 74, 18, 28, 9, 50, 65, 82, 24, 18, 49, 15, 35, 52, 18, 14, 44, 76, 22, 24, 8, 23, 31, 14, 7, 28, 70, 37, 1, 0, 8, 16, 16, 2, 37, 40, 17, 28, 5, 2, 4, 11, 12, 10]","[66.89, 24.58, 73.57, 65.37, 63.1, 58.77, 55.0, 41.68, 49.99, 42.35, 46.39, 45.68, 35.1, 40.85, 40.65, 42.18, 46.44, 47.21, 54.98, 22.53, 42.45, 62.92, 51.59, 67.76, 62.22, 49.09, 15.28, 9.16, 50.84, 47.41, 40.26, 35.34, 42.64, 46.54, 39.67, 38.23, 34.91, 30.96, 30.23, 30.03, 31.85, 21.55, 26.16, 25.06, 10.81, 20.96, 19.64, 19.29, 19.64, 17.72, 20.19, 16.66, 16.62, 13.28, 12.97, 11.52, 10.85, 11.02, 9.72]"
