selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 9, 8, 11, 37, 54, 38, 30, 16, 26, 18, 12, 40, 41, 53, 35, 27, 6, 14, 23, 10, 39, 1, 7, 49, 29, 42, 25, 19, 28, 13, 48, 47, 34, 52, 36, 15, 56, 44, 50, 45, 21, 33, 51, 43, 17, 4, 2, 20, 46, 3, 58, 5, 24, 32, 31, 55, 22, 57, 59]","[1, 2, 14, 2, 52, 14, 57, 10, 0, 4, 0, 0, 59, 48, 28, 42, 1, 28, 0, 0, 6, 56, 0, 11, 1, 0, 0, 0, 2, 4, 0, 26, 25, 38, 30, 57, 0, 11, 9, 0, 2, 0, 27, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[68.71, 38.54, 33.77, 24.77, 26.09, 26.71, 30.32, 25.74, 24.23, 23.08, 26.18, 17.79, 22.59, 22.93, 23.37, 23.02, 23.29, 25.3, 19.53, 18.6, 17.98, 16.66, 14.67, 13.15, 10.2, 8.95, 9.39, 9.5, 7.99, 7.91, 8.68, 12.48, 9.89, 11.88, 17.33, 11.06, 10.0, 9.05, 11.55, 9.28, 6.65, 8.57, 12.55, 6.32, 8.93, 6.27, 5.79, 6.11, 4.4, 5.0, 3.64, 4.23, 3.5, 3.33, 2.38, 1.91, 3.51, 1.41, 0.45]"
"[1, 9, 10, 37, 8, 54, 38, 26, 16, 12, 11, 49, 22, 6, 14, 40, 41, 53, 35, 27, 23, 39, 7, 0, 29, 42, 25, 28, 48, 47, 15, 34, 52, 36, 18, 56, 50, 30, 13, 44, 45, 33, 51, 4, 17, 20, 43, 46, 3, 19, 58, 2, 24, 21, 32, 57, 5, 31, 55, 59]","[0, 2, 6, 52, 14, 14, 57, 4, 0, 0, 2, 1, 0, 28, 0, 59, 48, 28, 42, 1, 0, 56, 11, 1, 0, 0, 0, 4, 26, 25, 0, 38, 30, 57, 0, 11, 0, 10, 0, 9, 2, 27, 1, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[65.4, 38.03, 25.16, 29.61, 28.12, 23.44, 31.29, 28.61, 25.69, 25.07, 21.57, 17.87, 14.97, 17.62, 15.62, 21.08, 27.81, 25.44, 23.45, 19.88, 14.87, 14.99, 12.83, 10.96, 8.94, 9.21, 9.7, 8.22, 12.23, 11.82, 8.75, 11.93, 15.61, 12.89, 11.77, 8.82, 9.8, 8.65, 8.05, 9.56, 7.01, 12.18, 6.09, 7.46, 6.35, 5.2, 5.09, 5.22, 4.68, 3.49, 4.35, 2.94, 2.71, 2.48, 2.39, 2.71, 1.53, 0.73, 0.32]"
"[2, 10, 8, 37, 9, 54, 26, 16, 11, 35, 27, 38, 12, 6, 14, 25, 53, 40, 41, 23, 49, 7, 39, 29, 1, 42, 21, 13, 48, 47, 34, 52, 36, 50, 15, 28, 18, 56, 44, 45, 33, 51, 30, 0, 17, 46, 43, 19, 3, 4, 20, 5, 58, 24, 32, 22, 57, 55, 31, 59]","[0, 6, 14, 52, 2, 14, 4, 0, 2, 42, 1, 57, 0, 28, 0, 0, 28, 59, 48, 0, 1, 11, 56, 0, 0, 0, 0, 0, 26, 25, 38, 30, 57, 0, 0, 4, 0, 11, 9, 2, 27, 1, 10, 1, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58.15, 38.3, 29.79, 31.07, 27.07, 22.49, 24.24, 21.25, 19.72, 21.4, 18.21, 27.12, 19.14, 23.79, 22.38, 20.28, 22.75, 26.06, 18.8, 17.9, 15.14, 16.51, 15.08, 11.59, 9.58, 11.75, 10.08, 8.1, 11.67, 14.4, 15.47, 17.17, 14.02, 11.16, 10.67, 12.2, 9.85, 8.61, 8.86, 7.25, 12.87, 8.64, 8.53, 6.77, 7.13, 5.93, 5.63, 5.16, 4.67, 4.34, 4.07, 3.61, 2.6, 2.24, 1.98, 1.74, 1.46, 1.84, 0.19]"
"[3, 6, 9, 8, 11, 37, 54, 38, 30, 16, 49, 26, 12, 14, 18, 10, 40, 41, 35, 53, 28, 23, 39, 0, 7, 27, 13, 42, 25, 2, 22, 47, 48, 15, 34, 52, 36, 17, 50, 44, 56, 29, 45, 51, 4, 1, 20, 43, 19, 33, 46, 24, 21, 58, 5, 31, 55, 57, 32, 59]","[0, 28, 2, 14, 2, 52, 14, 57, 10, 0, 1, 4, 0, 0, 0, 6, 59, 48, 42, 28, 4, 0, 56, 1, 11, 1, 0, 0, 0, 0, 0, 25, 26, 0, 38, 30, 57, 0, 0, 9, 11, 0, 2, 1, 0, 0, 0, 4, 2, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[67.26, 54.18, 33.11, 27.99, 28.17, 29.7, 30.17, 32.8, 27.78, 26.66, 23.88, 22.38, 21.22, 21.17, 19.42, 20.19, 19.44, 20.99, 23.48, 22.09, 18.94, 19.09, 15.16, 15.73, 11.34, 10.33, 10.7, 9.08, 8.1, 8.1, 8.7, 13.68, 12.52, 9.37, 11.58, 17.48, 10.89, 11.42, 9.41, 9.07, 9.07, 8.08, 7.4, 6.69, 6.66, 5.62, 5.34, 4.86, 4.82, 4.68, 3.45, 3.53, 2.98, 2.98, 2.25, 1.18, 1.2, 1.34, 0.1]"
"[4, 9, 10, 11, 37, 54, 30, 38, 16, 8, 49, 21, 12, 35, 40, 41, 26, 53, 27, 23, 6, 14, 39, 7, 0, 28, 1, 42, 18, 48, 47, 15, 34, 36, 52, 50, 17, 56, 25, 44, 45, 13, 29, 33, 51, 46, 43, 19, 20, 2, 3, 24, 58, 32, 5, 22, 57, 31, 55, 59]","[0, 2, 6, 2, 52, 14, 10, 57, 0, 14, 1, 0, 0, 42, 59, 48, 4, 28, 1, 0, 28, 0, 56, 11, 1, 4, 0, 0, 0, 26, 25, 0, 38, 57, 30, 0, 0, 11, 0, 9, 2, 0, 0, 27, 1, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[68.64, 45.11, 29.7, 30.09, 27.91, 25.39, 21.83, 30.65, 27.09, 26.74, 25.41, 25.37, 19.12, 19.33, 23.45, 26.76, 23.96, 20.66, 17.76, 18.03, 22.48, 14.23, 13.71, 11.74, 9.58, 10.13, 8.79, 8.51, 7.49, 12.82, 12.37, 8.07, 10.66, 21.21, 10.3, 10.73, 10.2, 9.65, 7.79, 8.42, 6.9, 8.03, 7.09, 12.76, 6.33, 5.37, 4.77, 5.66, 5.28, 4.47, 3.32, 3.91, 3.46, 2.5, 2.1, 1.52, 1.58, 0.86, 0.18]"
"[5, 9, 0, 10, 54, 37, 38, 26, 11, 16, 12, 18, 40, 41, 8, 35, 27, 53, 23, 6, 14, 39, 7, 49, 1, 29, 28, 42, 19, 47, 48, 34, 15, 36, 52, 25, 56, 17, 44, 30, 45, 50, 33, 51, 4, 21, 46, 43, 24, 31, 13, 20, 22, 2, 58, 3, 57, 55, 32, 59]","[0, 2, 1, 6, 14, 52, 57, 4, 2, 0, 0, 0, 59, 48, 14, 42, 1, 28, 0, 28, 0, 56, 11, 1, 0, 0, 4, 0, 2, 25, 26, 38, 0, 57, 30, 0, 11, 0, 9, 10, 2, 0, 27, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[64.84, 43.68, 33.62, 25.94, 19.33, 25.51, 33.39, 31.78, 28.31, 22.32, 17.53, 15.62, 22.77, 20.78, 25.11, 23.39, 22.38, 19.89, 16.45, 21.07, 18.03, 16.66, 13.35, 12.62, 10.51, 10.95, 9.21, 8.43, 8.92, 15.31, 12.76, 14.28, 12.33, 20.07, 9.84, 9.85, 9.79, 9.91, 8.35, 8.41, 10.65, 7.32, 11.51, 7.88, 6.35, 5.76, 5.35, 4.49, 4.28, 3.77, 3.49, 3.4, 3.36, 3.68, 2.41, 1.7, 1.26, 1.69, 0.62]"
"[6, 9, 0, 8, 11, 37, 38, 26, 54, 12, 18, 16, 14, 49, 35, 40, 41, 27, 53, 23, 10, 39, 7, 32, 1, 29, 42, 28, 25, 48, 47, 34, 15, 52, 36, 19, 50, 56, 44, 17, 30, 3, 45, 33, 51, 4, 43, 13, 24, 21, 2, 46, 22, 58, 57, 20, 5, 31, 55, 59]","[28, 2, 1, 14, 2, 52, 57, 4, 14, 0, 0, 0, 0, 1, 42, 59, 48, 1, 28, 0, 6, 56, 11, 0, 0, 0, 0, 4, 0, 26, 25, 38, 0, 30, 57, 2, 0, 11, 9, 0, 10, 0, 2, 27, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[62.38, 45.98, 33.31, 29.88, 26.58, 30.04, 34.87, 29.35, 27.3, 25.38, 22.99, 21.0, 16.19, 17.71, 21.13, 24.53, 25.59, 22.69, 21.59, 18.05, 16.11, 16.1, 14.51, 11.06, 10.49, 10.32, 10.02, 9.24, 8.41, 12.74, 14.06, 13.44, 10.35, 15.0, 9.46, 9.67, 8.6, 9.3, 10.05, 9.57, 9.46, 8.17, 7.65, 13.1, 6.52, 6.53, 5.43, 4.69, 6.17, 4.51, 3.93, 3.15, 3.08, 2.1, 2.34, 1.78, 1.86, 1.21, 0.2]"
"[7, 11, 37, 9, 8, 54, 49, 38, 26, 12, 16, 6, 22, 35, 0, 40, 41, 53, 27, 14, 39, 23, 10, 1, 29, 25, 30, 42, 13, 48, 47, 34, 15, 52, 36, 18, 28, 50, 44, 56, 45, 17, 51, 4, 2, 19, 3, 46, 33, 43, 20, 32, 21, 58, 24, 5, 31, 55, 57, 59]","[11, 2, 52, 2, 14, 14, 1, 57, 4, 0, 0, 28, 0, 42, 1, 59, 48, 28, 1, 0, 56, 0, 6, 0, 0, 0, 10, 0, 0, 26, 25, 38, 0, 30, 57, 0, 4, 0, 9, 11, 2, 0, 1, 0, 0, 2, 0, 0, 27, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[69.57, 33.15, 40.77, 29.97, 29.34, 26.31, 22.35, 31.28, 25.89, 21.73, 24.1, 21.98, 23.25, 20.69, 20.62, 27.5, 26.26, 25.58, 21.7, 19.18, 21.85, 16.11, 13.26, 10.0, 10.33, 10.9, 9.8, 8.8, 9.2, 12.92, 12.71, 14.33, 11.97, 15.1, 11.81, 9.8, 9.67, 8.65, 9.47, 8.15, 6.32, 7.16, 6.13, 5.6, 6.62, 6.16, 5.48, 4.68, 5.8, 3.43, 4.09, 4.65, 2.9, 2.8, 3.11, 1.26, 0.81, 0.83, 0.18]"
"[8, 10, 9, 37, 54, 1, 38, 12, 26, 11, 16, 49, 35, 27, 53, 40, 41, 6, 14, 23, 39, 29, 7, 18, 0, 28, 25, 42, 48, 47, 15, 34, 52, 36, 44, 56, 50, 17, 20, 45, 13, 33, 51, 19, 4, 30, 3, 43, 46, 2, 22, 58, 24, 5, 31, 21, 32, 57, 55, 59]","[14, 6, 2, 52, 14, 0, 57, 0, 4, 2, 0, 1, 42, 1, 28, 59, 48, 28, 0, 0, 56, 0, 11, 0, 1, 4, 0, 0, 26, 25, 0, 38, 30, 57, 9, 11, 0, 0, 0, 2, 0, 27, 1, 2, 0, 10, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[68.39, 39.25, 29.98, 27.46, 28.27, 23.46, 30.72, 27.61, 24.65, 25.38, 20.88, 18.62, 22.65, 17.39, 23.09, 26.54, 22.5, 22.7, 22.49, 17.02, 16.13, 13.86, 13.45, 10.9, 11.04, 10.86, 10.21, 9.84, 11.38, 11.83, 10.7, 11.12, 16.37, 9.82, 9.84, 9.47, 8.79, 8.71, 9.01, 8.26, 7.67, 11.89, 6.98, 7.44, 8.49, 5.91, 5.17, 5.28, 4.26, 4.44, 4.14, 3.0, 2.52, 2.57, 2.66, 1.78, 1.47, 1.12, 0.04]"
"[9, 0, 8, 10, 54, 37, 38, 16, 12, 6, 14, 17, 26, 1, 40, 41, 35, 53, 27, 23, 11, 39, 7, 49, 28, 42, 25, 29, 48, 47, 34, 15, 36, 52, 21, 56, 50, 44, 45, 33, 51, 18, 13, 30, 4, 19, 43, 46, 5, 24, 3, 22, 2, 58, 31, 32, 20, 57, 55, 59]","[2, 1, 14, 6, 14, 52, 57, 0, 0, 28, 0, 0, 4, 0, 59, 48, 42, 28, 1, 0, 2, 56, 11, 1, 4, 0, 0, 0, 26, 25, 38, 0, 57, 30, 0, 11, 0, 9, 2, 27, 1, 0, 0, 10, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[48.88, 39.84, 35.81, 25.69, 19.92, 28.42, 28.23, 25.69, 25.5, 28.7, 27.74, 27.08, 18.72, 17.72, 23.4, 23.97, 28.41, 23.59, 21.23, 20.89, 16.32, 15.3, 12.62, 10.23, 9.73, 9.72, 10.19, 9.47, 12.89, 13.39, 14.83, 13.49, 25.65, 9.78, 9.74, 10.23, 9.58, 8.65, 7.65, 11.25, 8.66, 7.22, 7.49, 5.86, 7.16, 5.22, 4.82, 4.64, 3.85, 3.93, 3.5, 3.9, 3.45, 3.03, 2.12, 2.09, 1.82, 0.55, 0.32]"
