selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 9, 10, 6, 11, 1, 3, 32, 2, 8, 5, 4, 49, 22, 12, 14, 13, 7, 35, 46, 31, 25, 24, 18, 38, 21, 17, 20, 37, 16, 19, 30, 28, 29, 23, 53, 40, 27, 41, 54, 26, 39, 51, 42, 15, 50, 44, 43, 47, 45, 55, 57, 48, 59, 33, 56, 36, 52, 58, 34]","[69, 63, 69, 67, 72, 83, 65, 70, 78, 78, 79, 52, 76, 40, 60, 81, 62, 74, 38, 1, 58, 59, 45, 47, 15, 40, 40, 28, 42, 53, 31, 24, 12, 13, 29, 21, 25, 19, 15, 39, 14, 18, 21, 57, 45, 34, 48, 33, 1, 8, 23, 2, 2, 0, 6, 12, 10, 8, 2, 11]","[67.69, 64.65, 63.2, 64.58, 63.21, 69.77, 64.32, 69.57, 68.86, 70.45, 70.06, 70.83, 70.01, 66.95, 67.61, 68.87, 65.55, 64.1, 59.87, 58.84, 57.84, 53.1, 51.96, 48.6, 47.0, 44.66, 43.71, 40.08, 40.47, 38.14, 34.56, 31.6, 30.27, 26.4, 25.07, 24.16, 23.38, 21.1, 21.94, 20.59, 21.09, 22.53, 17.78, 39.6, 31.1, 30.1, 36.09, 29.97, 28.61, 14.99, 20.17, 15.41, 15.03, 12.5, 10.7, 10.46, 9.96, 9.58, 9.4]"
"[1, 9, 10, 6, 11, 3, 8, 0, 2, 14, 7, 5, 35, 49, 13, 4, 32, 22, 12, 46, 31, 38, 18, 25, 24, 19, 21, 17, 20, 37, 27, 16, 30, 29, 53, 23, 40, 26, 28, 41, 15, 54, 51, 39, 42, 44, 43, 45, 59, 48, 55, 57, 33, 47, 56, 58, 50, 52, 36, 34]","[83, 63, 69, 67, 72, 65, 78, 69, 78, 81, 74, 79, 38, 76, 62, 52, 70, 40, 60, 1, 58, 15, 47, 59, 45, 31, 40, 40, 28, 42, 19, 53, 24, 13, 21, 29, 25, 14, 12, 15, 45, 39, 21, 18, 57, 48, 33, 8, 0, 2, 23, 2, 6, 1, 12, 2, 34, 8, 10, 11]","[75.62, 70.61, 68.52, 68.59, 67.12, 64.62, 65.33, 65.3, 67.73, 69.79, 68.27, 70.64, 65.26, 68.59, 66.17, 64.88, 63.39, 63.74, 62.92, 57.6, 51.07, 50.3, 48.99, 48.73, 45.43, 43.34, 40.52, 40.05, 39.32, 37.37, 36.46, 34.21, 31.33, 28.97, 27.92, 26.37, 26.46, 24.79, 22.39, 21.21, 23.57, 23.3, 20.77, 21.5, 29.75, 38.87, 35.97, 22.65, 21.8, 13.08, 14.74, 13.59, 11.98, 10.71, 10.63, 8.75, 11.53, 12.21, 8.05]"
"[2, 9, 10, 6, 11, 1, 0, 3, 8, 49, 14, 21, 7, 13, 12, 25, 4, 35, 32, 31, 5, 46, 18, 24, 38, 17, 20, 22, 19, 37, 30, 16, 29, 28, 23, 53, 27, 40, 15, 54, 26, 48, 39, 41, 42, 59, 55, 44, 43, 45, 51, 57, 33, 47, 56, 50, 36, 52, 34, 58]","[78, 63, 69, 67, 72, 83, 69, 65, 78, 76, 81, 40, 74, 62, 60, 59, 52, 38, 70, 58, 79, 1, 47, 45, 15, 40, 28, 40, 31, 42, 24, 53, 13, 12, 29, 21, 19, 25, 45, 39, 14, 2, 18, 15, 57, 0, 23, 48, 33, 8, 21, 2, 6, 1, 12, 34, 10, 8, 11, 2]","[75.12, 68.88, 68.81, 66.59, 66.63, 69.01, 71.86, 68.44, 69.02, 69.04, 71.01, 68.84, 67.53, 64.98, 63.93, 62.19, 63.4, 61.48, 60.28, 60.29, 58.79, 53.57, 49.56, 48.23, 47.29, 45.09, 42.75, 40.41, 39.7, 35.42, 32.6, 30.91, 28.95, 27.54, 23.77, 22.72, 23.15, 21.14, 22.27, 22.16, 21.74, 20.76, 21.36, 18.87, 24.27, 22.4, 25.22, 31.93, 26.49, 20.85, 13.23, 13.26, 12.61, 9.55, 8.55, 10.87, 9.44, 8.48, 8.4]"
"[3, 9, 10, 11, 6, 1, 8, 0, 2, 49, 18, 14, 7, 13, 25, 46, 32, 5, 21, 12, 4, 31, 24, 38, 22, 19, 17, 37, 20, 16, 30, 35, 29, 28, 23, 53, 27, 26, 40, 54, 41, 39, 51, 15, 42, 44, 43, 45, 47, 55, 57, 33, 50, 48, 59, 36, 56, 52, 34, 58]","[65, 63, 69, 72, 67, 83, 78, 69, 78, 76, 47, 81, 74, 62, 59, 1, 70, 79, 40, 60, 52, 58, 45, 15, 40, 31, 40, 42, 28, 53, 24, 38, 13, 12, 29, 21, 19, 14, 25, 39, 15, 18, 21, 45, 57, 48, 33, 8, 1, 23, 2, 6, 34, 2, 0, 10, 12, 8, 11, 2]","[66.34, 62.63, 63.61, 64.0, 62.0, 66.31, 65.92, 67.61, 68.89, 69.96, 68.35, 71.37, 71.42, 68.4, 70.49, 64.32, 60.95, 63.59, 60.02, 69.43, 59.01, 54.04, 51.86, 47.76, 44.6, 40.63, 41.71, 40.46, 41.66, 36.47, 33.41, 33.2, 29.04, 27.79, 23.89, 24.39, 23.22, 25.09, 21.95, 22.69, 21.31, 19.8, 18.35, 21.25, 32.65, 40.16, 36.99, 24.94, 22.52, 21.58, 15.28, 14.35, 17.88, 16.82, 11.88, 12.8, 10.8, 8.75, 9.44]"
"[4, 9, 10, 6, 11, 1, 0, 3, 2, 49, 5, 13, 12, 38, 14, 21, 32, 8, 7, 25, 31, 46, 24, 18, 19, 17, 22, 37, 20, 35, 30, 16, 23, 53, 29, 27, 28, 40, 26, 41, 15, 48, 54, 51, 39, 42, 44, 43, 45, 55, 57, 47, 33, 56, 50, 36, 59, 52, 34, 58]","[52, 63, 69, 67, 72, 83, 69, 65, 78, 76, 79, 62, 60, 15, 81, 40, 70, 78, 74, 59, 58, 1, 45, 47, 31, 40, 40, 42, 28, 38, 24, 53, 29, 21, 13, 19, 12, 25, 14, 15, 45, 2, 39, 21, 18, 57, 48, 33, 8, 23, 2, 1, 6, 12, 34, 10, 0, 8, 11, 2]","[64.59, 61.99, 62.27, 62.94, 59.25, 65.69, 65.91, 64.03, 64.75, 67.38, 68.37, 68.95, 68.19, 66.33, 67.06, 63.84, 62.29, 62.36, 65.43, 63.49, 62.18, 53.51, 48.96, 45.48, 43.36, 41.3, 41.74, 39.01, 40.56, 36.94, 35.07, 31.38, 32.13, 31.37, 28.46, 25.75, 24.93, 22.16, 20.67, 22.25, 21.98, 22.07, 21.85, 18.1, 18.24, 27.1, 34.09, 26.99, 19.41, 20.88, 14.81, 14.26, 11.04, 12.3, 13.1, 12.04, 10.96, 9.44, 9.1]"
"[5, 9, 1, 10, 6, 3, 11, 2, 14, 8, 7, 32, 25, 4, 46, 0, 13, 49, 22, 31, 24, 12, 38, 18, 21, 20, 17, 19, 35, 16, 37, 30, 26, 29, 27, 40, 53, 23, 28, 41, 15, 48, 54, 51, 39, 42, 44, 43, 45, 55, 57, 33, 47, 58, 56, 50, 59, 52, 36, 34]","[79, 63, 83, 69, 67, 65, 72, 78, 81, 78, 74, 70, 59, 52, 1, 69, 62, 76, 40, 58, 45, 60, 15, 47, 40, 28, 40, 31, 38, 53, 42, 24, 14, 13, 19, 25, 21, 29, 12, 15, 45, 2, 39, 21, 18, 57, 48, 33, 8, 23, 2, 6, 1, 2, 12, 34, 0, 8, 10, 11]","[73.33, 67.49, 73.81, 71.78, 70.74, 69.03, 68.37, 68.1, 70.98, 72.62, 68.63, 73.1, 71.9, 69.75, 69.96, 67.84, 66.19, 67.48, 57.99, 53.71, 53.25, 55.68, 49.22, 46.82, 45.45, 39.9, 38.95, 38.08, 39.51, 41.65, 37.38, 32.15, 29.75, 29.03, 28.23, 28.1, 27.78, 25.41, 21.18, 20.8, 19.86, 21.64, 20.24, 21.95, 16.1, 27.77, 33.68, 28.17, 19.09, 19.08, 15.3, 13.24, 13.35, 11.05, 10.76, 12.33, 10.7, 9.44, 8.85]"
"[6, 9, 10, 11, 1, 0, 3, 8, 2, 14, 7, 5, 13, 26, 49, 4, 18, 32, 31, 21, 12, 25, 35, 17, 24, 46, 20, 22, 37, 38, 19, 16, 30, 29, 27, 23, 40, 53, 28, 54, 39, 51, 15, 42, 50, 47, 44, 43, 45, 41, 55, 57, 36, 59, 33, 34, 56, 52, 58, 48]","[67, 63, 69, 72, 83, 69, 65, 78, 78, 81, 74, 79, 62, 14, 76, 52, 47, 70, 58, 40, 60, 59, 38, 40, 45, 1, 28, 40, 42, 15, 31, 53, 24, 13, 19, 29, 25, 21, 12, 39, 18, 21, 45, 57, 34, 1, 48, 33, 8, 15, 23, 2, 10, 0, 6, 11, 12, 8, 2, 2]","[65.29, 60.33, 60.39, 60.41, 64.54, 66.5, 64.51, 66.59, 67.91, 70.7, 68.86, 70.19, 70.79, 62.34, 66.34, 65.72, 65.29, 61.22, 57.03, 58.13, 55.95, 53.42, 46.23, 44.23, 47.02, 42.83, 41.88, 39.96, 40.2, 35.91, 38.59, 33.88, 29.02, 29.37, 27.37, 27.31, 27.32, 25.65, 22.21, 20.17, 23.45, 22.82, 21.36, 32.13, 30.32, 27.77, 33.5, 29.63, 23.34, 18.14, 19.2, 13.66, 14.05, 13.32, 12.86, 12.4, 10.85, 8.89, 10.6]"
"[7, 9, 6, 10, 11, 8, 1, 3, 14, 13, 2, 5, 35, 0, 4, 49, 32, 18, 46, 31, 12, 21, 25, 17, 38, 24, 19, 22, 20, 16, 37, 30, 23, 29, 28, 53, 40, 26, 27, 41, 15, 54, 39, 51, 42, 50, 44, 43, 47, 45, 55, 57, 34, 33, 59, 56, 48, 52, 58, 36]","[74, 63, 67, 69, 72, 78, 83, 65, 81, 62, 78, 79, 38, 69, 52, 76, 70, 47, 1, 58, 60, 40, 59, 40, 15, 45, 31, 40, 28, 53, 42, 24, 29, 13, 12, 21, 25, 14, 19, 15, 45, 39, 18, 21, 57, 34, 48, 33, 1, 8, 23, 2, 11, 6, 0, 12, 2, 8, 2, 10]","[72.69, 66.22, 65.53, 66.06, 64.31, 63.17, 70.58, 68.16, 68.92, 69.61, 67.16, 67.55, 66.78, 65.23, 64.08, 65.55, 65.47, 64.03, 57.91, 58.59, 55.21, 51.69, 46.96, 45.94, 47.04, 43.89, 40.73, 39.74, 37.4, 42.55, 37.11, 30.39, 31.21, 29.39, 27.01, 22.08, 24.22, 21.98, 22.66, 20.01, 24.13, 22.2, 20.9, 20.34, 28.08, 28.02, 34.86, 30.54, 30.21, 16.53, 19.8, 14.99, 14.05, 14.04, 11.4, 11.51, 10.39, 9.58, 9.6]"
"[8, 9, 10, 11, 6, 1, 3, 2, 0, 14, 5, 7, 25, 4, 13, 46, 32, 49, 21, 31, 18, 24, 12, 38, 17, 20, 22, 19, 37, 16, 30, 29, 23, 27, 35, 26, 53, 28, 15, 40, 54, 39, 47, 41, 51, 42, 59, 44, 43, 45, 33, 48, 56, 50, 52, 55, 57, 36, 58, 34]","[78, 63, 69, 72, 67, 83, 65, 78, 69, 81, 79, 74, 59, 52, 62, 1, 70, 76, 40, 58, 47, 45, 60, 15, 40, 28, 40, 31, 42, 53, 24, 13, 29, 19, 38, 14, 21, 12, 45, 25, 39, 18, 1, 15, 21, 57, 0, 48, 33, 8, 6, 2, 12, 34, 8, 23, 2, 10, 2, 11]","[73.21, 68.14, 68.46, 67.53, 63.45, 69.66, 68.73, 68.53, 68.69, 71.68, 73.05, 73.81, 69.63, 71.83, 69.77, 64.42, 67.67, 68.14, 58.74, 54.77, 53.78, 51.46, 50.91, 47.28, 46.67, 43.52, 38.4, 38.96, 39.26, 36.95, 34.75, 29.48, 28.76, 27.54, 26.99, 26.86, 22.78, 21.74, 22.55, 22.28, 22.32, 20.49, 20.77, 18.32, 17.88, 25.68, 23.96, 34.8, 27.1, 13.56, 13.89, 9.06, 10.15, 11.99, 10.77, 14.77, 10.39, 8.0, 8.82]"
"[9, 1, 6, 10, 11, 3, 8, 0, 14, 7, 13, 2, 49, 26, 5, 25, 32, 4, 18, 31, 46, 22, 24, 12, 20, 21, 37, 38, 17, 19, 16, 30, 35, 27, 53, 29, 23, 28, 40, 15, 54, 41, 51, 48, 39, 42, 44, 43, 45, 55, 57, 47, 33, 58, 56, 50, 59, 52, 36, 34]","[63, 83, 67, 69, 72, 65, 78, 69, 81, 74, 62, 78, 76, 14, 79, 59, 70, 52, 47, 58, 1, 40, 45, 60, 28, 40, 42, 15, 40, 31, 53, 24, 38, 19, 21, 13, 29, 12, 25, 45, 39, 15, 21, 2, 18, 57, 48, 33, 8, 23, 2, 1, 6, 2, 12, 34, 0, 8, 10, 11]","[57.89, 69.51, 68.51, 66.33, 67.27, 64.31, 65.8, 68.07, 70.84, 69.25, 68.0, 69.8, 70.92, 65.99, 65.87, 65.46, 69.41, 67.21, 64.09, 59.6, 55.98, 49.16, 49.47, 46.04, 43.74, 41.16, 42.63, 41.7, 37.02, 34.28, 32.82, 30.28, 27.95, 27.25, 27.78, 28.27, 24.69, 23.48, 22.71, 21.61, 21.92, 23.29, 19.84, 21.21, 18.3, 25.72, 28.85, 29.2, 19.05, 18.37, 15.44, 16.55, 12.0, 10.83, 11.28, 10.24, 9.99, 9.32, 8.03]"
