selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 10, 9, 11, 6, 1, 8, 2, 14, 49, 7, 16, 32, 12, 3, 4, 13, 5, 31, 37, 40, 27, 30, 26, 38, 24, 28, 20, 23, 21, 22, 19, 29, 18, 17, 41, 35, 51, 15, 39, 46, 54, 42, 55, 57, 25, 58, 53, 33, 50, 36, 44, 47, 52, 59, 34, 48, 45, 56, 43]","[99, 99, 97, 99, 98, 45, 99, 23, 4, 17, 98, 13, 10, 63, 98, 0, 54, 36, 4, 90, 53, 81, 96, 9, 95, 97, 54, 97, 32, 98, 97, 94, 5, 95, 0, 0, 7, 0, 9, 4, 0, 94, 2, 0, 3, 11, 0, 59, 0, 0, 2, 2, 2, 0, 0, 10, 0, 0, 0, 2]","[85.06, 93.1, 95.33, 95.77, 94.15, 83.55, 84.54, 80.43, 69.73, 65.5, 66.2, 63.97, 55.61, 52.63, 56.88, 49.69, 42.55, 42.46, 35.84, 55.87, 58.72, 63.08, 69.86, 51.86, 54.76, 62.03, 51.49, 72.64, 64.33, 84.04, 71.72, 64.1, 48.43, 60.07, 48.2, 39.6, 39.46, 34.85, 25.28, 22.33, 22.65, 41.94, 38.41, 29.63, 22.46, 21.38, 20.9, 23.51, 17.58, 16.15, 12.94, 11.04, 9.4, 10.57, 8.18, 7.55, 6.69, 4.86, 2.94]"
"[1, 9, 10, 11, 6, 8, 14, 0, 2, 49, 7, 16, 3, 12, 32, 4, 13, 5, 41, 31, 37, 38, 29, 30, 27, 28, 26, 24, 18, 17, 15, 35, 20, 23, 21, 22, 19, 51, 25, 53, 39, 46, 40, 54, 57, 42, 55, 58, 36, 50, 33, 44, 59, 48, 52, 45, 34, 56, 47, 43]","[45, 97, 99, 99, 98, 99, 4, 99, 23, 17, 98, 13, 98, 63, 10, 0, 54, 36, 0, 4, 90, 95, 5, 96, 81, 54, 9, 97, 95, 0, 9, 7, 97, 32, 98, 97, 94, 0, 11, 59, 4, 0, 53, 94, 3, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 10, 0, 2, 2]","[61.82, 73.41, 87.95, 86.88, 78.47, 78.42, 71.61, 82.27, 67.13, 65.66, 66.94, 57.0, 69.22, 59.34, 55.85, 48.45, 38.05, 39.93, 37.8, 30.01, 43.01, 59.25, 51.87, 57.23, 57.72, 55.39, 50.4, 45.98, 46.48, 38.43, 43.07, 37.31, 66.29, 48.14, 72.3, 72.48, 41.25, 24.31, 21.07, 22.79, 22.1, 20.52, 20.17, 46.91, 41.37, 32.47, 25.28, 19.43, 16.87, 19.29, 12.37, 11.91, 10.97, 8.64, 6.97, 7.39, 4.16, 5.59, 2.52]"
"[2, 9, 11, 10, 6, 14, 8, 7, 16, 1, 4, 32, 0, 49, 12, 3, 13, 5, 31, 41, 37, 38, 26, 30, 27, 28, 24, 18, 17, 35, 20, 21, 22, 23, 29, 19, 51, 15, 25, 53, 40, 39, 54, 42, 55, 46, 57, 33, 58, 34, 44, 36, 50, 48, 45, 59, 52, 47, 43, 56]","[23, 97, 99, 99, 98, 4, 99, 98, 13, 45, 0, 10, 99, 17, 63, 98, 54, 36, 4, 0, 90, 95, 9, 96, 81, 54, 97, 95, 0, 7, 97, 98, 97, 32, 5, 94, 0, 9, 11, 59, 53, 4, 94, 2, 0, 0, 3, 0, 0, 10, 2, 2, 0, 0, 0, 0, 0, 2, 2, 0]","[54.57, 67.23, 80.57, 81.86, 81.52, 71.54, 69.61, 71.93, 63.3, 53.91, 52.97, 47.9, 53.22, 49.74, 55.09, 49.66, 43.85, 38.45, 31.77, 29.77, 46.12, 58.76, 45.73, 44.21, 47.88, 46.35, 45.99, 63.33, 43.91, 45.13, 60.95, 75.94, 71.5, 69.72, 66.61, 31.22, 33.08, 21.29, 19.84, 20.28, 29.53, 21.2, 36.64, 31.7, 24.69, 25.83, 19.69, 22.64, 14.11, 14.12, 13.38, 12.01, 10.88, 6.55, 8.9, 6.04, 5.99, 3.5, 3.95]"
"[3, 1, 11, 10, 9, 6, 8, 0, 2, 7, 14, 12, 16, 32, 4, 13, 49, 31, 5, 41, 37, 27, 30, 28, 26, 38, 24, 18, 17, 20, 23, 21, 22, 19, 29, 51, 35, 15, 25, 46, 53, 54, 42, 55, 39, 57, 58, 33, 50, 36, 59, 40, 52, 48, 44, 45, 34, 47, 56, 43]","[98, 45, 99, 99, 97, 98, 99, 99, 23, 98, 4, 63, 13, 10, 0, 54, 17, 4, 36, 0, 90, 81, 96, 54, 9, 95, 97, 95, 0, 97, 32, 98, 97, 94, 5, 0, 7, 9, 11, 0, 59, 94, 2, 0, 4, 3, 0, 0, 0, 2, 0, 53, 0, 0, 2, 0, 10, 2, 0, 2]","[82.59, 72.66, 85.77, 90.07, 84.0, 86.44, 83.26, 88.82, 82.55, 82.5, 73.38, 71.77, 68.49, 61.17, 53.92, 55.83, 43.07, 42.43, 36.59, 32.17, 46.78, 56.21, 56.64, 60.04, 46.16, 48.89, 42.31, 58.02, 43.7, 66.69, 54.99, 74.69, 67.88, 62.44, 44.92, 42.2, 30.04, 24.58, 20.58, 18.64, 21.0, 42.67, 37.53, 25.1, 28.95, 26.6, 19.12, 20.75, 17.54, 13.75, 15.19, 10.26, 10.11, 8.94, 8.94, 6.99, 6.22, 3.47, 2.62]"
"[4, 9, 11, 10, 6, 14, 0, 2, 32, 8, 16, 49, 12, 1, 3, 7, 13, 5, 31, 41, 15, 46, 24, 20, 23, 30, 27, 28, 22, 21, 26, 19, 29, 18, 17, 51, 38, 37, 35, 53, 39, 25, 40, 54, 57, 42, 55, 58, 36, 50, 33, 44, 52, 59, 47, 34, 48, 45, 56, 43]","[0, 97, 99, 99, 98, 4, 99, 23, 10, 99, 13, 17, 63, 45, 98, 98, 54, 36, 4, 0, 9, 0, 97, 97, 32, 96, 81, 54, 97, 98, 9, 94, 5, 95, 0, 0, 95, 90, 7, 59, 4, 11, 53, 94, 3, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 10, 0, 0, 0, 2]","[56.86, 73.72, 85.67, 88.2, 83.18, 76.97, 86.03, 68.3, 69.12, 63.37, 53.52, 51.48, 56.72, 51.26, 49.62, 47.47, 37.12, 38.95, 34.39, 26.57, 27.28, 26.55, 49.81, 65.58, 49.48, 59.23, 66.4, 57.82, 72.37, 75.13, 72.23, 57.07, 43.42, 58.88, 45.29, 32.1, 44.25, 33.25, 20.8, 18.9, 18.07, 18.56, 21.0, 39.52, 37.82, 31.28, 29.46, 20.62, 20.09, 19.5, 12.74, 13.04, 14.13, 11.64, 5.69, 6.69, 4.44, 2.36, 1.45]"
"[5, 1, 9, 11, 10, 6, 8, 14, 49, 0, 2, 7, 16, 32, 3, 12, 4, 13, 37, 29, 31, 41, 15, 38, 30, 27, 26, 24, 28, 18, 17, 35, 20, 23, 19, 21, 22, 51, 46, 54, 58, 42, 55, 50, 57, 25, 53, 33, 39, 36, 59, 40, 52, 44, 48, 34, 56, 45, 47, 43]","[36, 45, 97, 99, 99, 98, 99, 4, 17, 99, 23, 98, 13, 10, 98, 63, 0, 54, 90, 5, 4, 0, 9, 95, 96, 81, 9, 97, 54, 95, 0, 7, 97, 32, 94, 98, 97, 0, 0, 94, 0, 2, 0, 0, 3, 11, 59, 0, 4, 2, 0, 53, 0, 2, 0, 10, 0, 0, 2, 2]","[63.06, 62.95, 73.59, 86.3, 82.68, 80.75, 78.89, 71.58, 64.93, 81.36, 69.51, 66.76, 61.45, 58.67, 68.75, 61.71, 54.53, 35.3, 52.34, 48.03, 41.8, 39.42, 38.69, 47.59, 61.41, 58.37, 46.04, 44.25, 40.89, 56.12, 44.63, 32.3, 59.23, 50.51, 64.22, 80.64, 41.01, 28.13, 23.92, 51.44, 48.11, 35.92, 29.22, 28.45, 28.26, 26.68, 30.33, 22.99, 23.5, 20.61, 14.66, 13.95, 11.56, 9.1, 9.63, 10.2, 5.65, 5.08, 2.75]"
"[6, 10, 9, 11, 14, 1, 8, 0, 2, 49, 7, 32, 16, 3, 12, 4, 13, 31, 5, 41, 15, 37, 38, 26, 30, 27, 24, 28, 18, 17, 20, 23, 21, 22, 29, 19, 35, 51, 46, 25, 54, 42, 58, 57, 55, 53, 33, 40, 39, 50, 52, 44, 59, 47, 36, 45, 48, 34, 43, 56]","[98, 99, 97, 99, 4, 45, 99, 99, 23, 17, 98, 10, 13, 98, 63, 0, 54, 4, 36, 0, 9, 90, 95, 9, 96, 81, 97, 54, 95, 0, 97, 32, 98, 97, 5, 94, 7, 0, 0, 11, 94, 2, 0, 3, 0, 59, 0, 53, 4, 0, 0, 2, 0, 2, 2, 0, 0, 10, 2, 0]","[84.66, 91.09, 94.07, 92.09, 88.39, 75.48, 70.06, 82.27, 70.25, 68.94, 63.06, 65.82, 54.87, 70.65, 60.12, 51.21, 41.6, 38.33, 36.2, 32.39, 28.42, 48.08, 55.71, 44.62, 45.01, 50.01, 62.61, 51.8, 59.95, 45.83, 65.61, 47.08, 78.08, 66.0, 66.1, 39.13, 44.37, 22.8, 19.13, 20.66, 41.66, 43.06, 35.6, 29.22, 21.29, 24.67, 20.53, 29.67, 17.85, 16.5, 13.49, 15.37, 11.29, 11.17, 8.97, 6.36, 6.35, 4.14, 5.81]"
"[7, 6, 10, 11, 9, 14, 0, 1, 8, 49, 2, 16, 32, 12, 3, 4, 13, 5, 31, 37, 26, 41, 15, 38, 30, 27, 24, 28, 18, 17, 21, 22, 20, 23, 19, 29, 51, 35, 58, 46, 54, 42, 55, 57, 53, 39, 25, 33, 50, 36, 40, 59, 44, 48, 45, 52, 47, 34, 56, 43]","[98, 98, 99, 99, 97, 4, 99, 45, 99, 17, 23, 13, 10, 63, 98, 0, 54, 36, 4, 90, 9, 0, 9, 95, 96, 81, 97, 54, 95, 0, 98, 97, 97, 32, 94, 5, 0, 7, 0, 0, 94, 2, 0, 3, 59, 4, 11, 0, 0, 2, 53, 0, 2, 0, 0, 0, 2, 10, 0, 2]","[83.32, 91.63, 95.77, 97.18, 95.21, 91.22, 95.21, 88.96, 83.83, 78.15, 64.98, 64.17, 58.2, 59.26, 64.2, 48.25, 43.98, 36.83, 35.59, 56.19, 40.51, 39.78, 39.97, 43.58, 55.33, 56.94, 62.52, 52.18, 65.48, 45.84, 75.16, 74.95, 74.8, 70.53, 62.86, 52.07, 40.97, 29.21, 29.83, 20.41, 46.01, 40.46, 26.42, 24.51, 26.58, 23.76, 21.12, 17.73, 15.72, 14.99, 13.61, 12.77, 13.82, 9.4, 9.4, 6.33, 4.74, 3.99, 2.72]"
"[8, 10, 9, 11, 6, 1, 14, 0, 2, 7, 49, 16, 32, 12, 3, 4, 13, 5, 31, 41, 37, 30, 27, 28, 26, 24, 38, 18, 17, 22, 21, 20, 23, 29, 19, 35, 51, 15, 46, 25, 53, 54, 42, 55, 58, 57, 33, 50, 39, 36, 59, 40, 44, 47, 52, 48, 45, 34, 56, 43]","[99, 99, 97, 99, 98, 45, 4, 99, 23, 98, 17, 13, 10, 63, 98, 0, 54, 36, 4, 0, 90, 96, 81, 54, 9, 97, 95, 95, 0, 97, 98, 97, 32, 5, 94, 7, 0, 9, 0, 11, 59, 94, 2, 0, 0, 3, 0, 0, 4, 2, 0, 53, 2, 2, 0, 0, 0, 10, 0, 2]","[84.03, 93.53, 95.51, 96.16, 94.1, 81.45, 70.65, 83.44, 68.91, 72.49, 70.48, 60.79, 58.69, 57.48, 56.41, 48.0, 42.78, 38.96, 38.39, 32.56, 43.7, 56.06, 63.61, 63.63, 50.08, 51.42, 48.01, 61.96, 43.02, 72.67, 64.36, 74.28, 65.22, 66.29, 41.76, 40.97, 35.95, 26.53, 22.16, 24.46, 19.04, 48.6, 43.4, 28.95, 26.85, 20.59, 25.55, 16.77, 15.4, 14.08, 12.42, 14.18, 11.97, 8.01, 7.46, 7.71, 5.86, 5.3, 1.81]"
"[9, 10, 11, 6, 1, 8, 14, 49, 7, 2, 16, 4, 32, 41, 3, 0, 12, 13, 5, 31, 15, 37, 30, 26, 38, 27, 28, 24, 18, 17, 20, 23, 21, 22, 19, 29, 51, 35, 46, 25, 53, 58, 54, 42, 55, 39, 57, 33, 50, 40, 36, 45, 59, 48, 44, 52, 56, 47, 34, 43]","[97, 99, 99, 98, 45, 99, 4, 17, 98, 23, 13, 0, 10, 0, 98, 99, 63, 54, 36, 4, 9, 90, 96, 9, 95, 81, 54, 97, 95, 0, 97, 32, 98, 97, 94, 5, 0, 7, 0, 11, 59, 0, 94, 2, 0, 4, 3, 0, 0, 53, 2, 0, 0, 0, 2, 0, 0, 2, 10, 2]","[81.33, 91.67, 94.17, 91.32, 80.73, 80.38, 74.75, 66.23, 63.9, 68.65, 55.52, 45.83, 41.05, 40.26, 48.12, 60.36, 52.17, 46.18, 35.98, 29.01, 26.41, 46.13, 60.9, 42.2, 57.62, 53.62, 50.8, 48.47, 63.22, 46.1, 67.75, 53.88, 78.82, 65.74, 62.9, 41.54, 37.86, 24.48, 23.36, 23.56, 27.66, 23.45, 44.89, 34.91, 27.96, 25.16, 22.04, 20.46, 16.2, 14.04, 11.94, 15.49, 10.65, 9.22, 7.83, 6.51, 5.63, 4.79, 3.27]"
"[10, 9, 11, 6, 1, 8, 14, 49, 7, 16, 0, 2, 32, 3, 12, 4, 13, 31, 5, 41, 15, 37, 38, 26, 30, 27, 28, 35, 24, 18, 17, 20, 23, 21, 22, 29, 19, 51, 46, 53, 39, 54, 42, 58, 55, 57, 33, 25, 36, 40, 44, 50, 59, 52, 48, 45, 47, 56, 34, 43]","[99, 97, 99, 98, 45, 99, 4, 17, 98, 13, 99, 23, 10, 98, 63, 0, 54, 4, 36, 0, 9, 90, 95, 9, 96, 81, 54, 7, 97, 95, 0, 97, 32, 98, 97, 5, 94, 0, 0, 59, 4, 94, 2, 0, 0, 3, 0, 11, 2, 53, 2, 0, 0, 0, 0, 0, 2, 0, 10, 2]","[83.11, 90.58, 92.86, 90.61, 82.3, 80.44, 74.9, 66.61, 64.25, 63.27, 79.11, 62.42, 52.82, 70.23, 57.15, 50.04, 42.59, 41.81, 37.51, 33.74, 27.42, 46.3, 60.61, 44.34, 47.11, 52.04, 46.82, 53.79, 47.64, 66.87, 42.32, 57.8, 53.43, 74.53, 69.35, 65.44, 43.72, 27.23, 25.7, 23.3, 21.65, 49.39, 39.04, 35.47, 28.55, 27.24, 23.28, 21.27, 18.73, 16.19, 18.15, 13.78, 11.33, 10.56, 7.19, 5.01, 4.09, 4.74, 3.35]"
"[11, 10, 6, 9, 1, 8, 14, 0, 2, 49, 7, 16, 32, 12, 3, 4, 13, 5, 31, 41, 15, 37, 38, 26, 30, 27, 24, 28, 18, 17, 20, 23, 21, 22, 29, 19, 51, 35, 46, 58, 53, 54, 42, 55, 25, 33, 57, 40, 39, 50, 34, 59, 44, 52, 48, 36, 45, 47, 56, 43]","[99, 99, 98, 97, 45, 99, 4, 99, 23, 17, 98, 13, 10, 63, 98, 0, 54, 36, 4, 0, 9, 90, 95, 9, 96, 81, 97, 54, 95, 0, 97, 32, 98, 97, 5, 94, 0, 7, 0, 0, 59, 94, 2, 0, 11, 0, 3, 53, 4, 0, 10, 0, 2, 0, 0, 2, 0, 2, 0, 2]","[83.73, 92.38, 94.65, 92.54, 82.59, 82.72, 74.9, 87.13, 70.32, 69.52, 65.0, 58.6, 57.03, 55.41, 62.53, 49.18, 47.93, 40.09, 39.48, 32.78, 28.69, 46.97, 66.63, 46.28, 50.16, 51.5, 55.68, 50.05, 61.31, 45.49, 70.89, 53.69, 73.25, 66.83, 68.2, 49.91, 41.54, 22.79, 22.98, 22.08, 23.0, 38.87, 32.91, 26.34, 26.98, 28.12, 21.45, 30.44, 15.69, 13.06, 14.14, 12.26, 11.97, 9.35, 7.65, 7.78, 5.53, 5.11, 2.45]"
"[12, 10, 6, 9, 11, 8, 14, 2, 7, 16, 1, 0, 32, 3, 4, 49, 13, 31, 5, 41, 37, 38, 26, 30, 27, 24, 28, 18, 17, 20, 23, 21, 22, 19, 29, 51, 35, 15, 58, 46, 53, 54, 42, 55, 57, 33, 25, 50, 39, 36, 40, 44, 52, 59, 45, 48, 34, 56, 47, 43]","[63, 99, 98, 97, 99, 99, 4, 23, 98, 13, 45, 99, 10, 98, 0, 17, 54, 4, 36, 0, 90, 95, 9, 96, 81, 97, 54, 95, 0, 97, 32, 98, 97, 94, 5, 0, 7, 9, 0, 0, 59, 94, 2, 0, 3, 0, 11, 0, 4, 2, 53, 2, 0, 0, 0, 0, 10, 0, 2, 2]","[67.34, 83.81, 91.06, 92.15, 90.69, 91.09, 80.58, 71.37, 67.57, 66.46, 58.18, 73.09, 59.08, 61.85, 54.9, 50.16, 40.08, 38.03, 39.3, 26.48, 47.19, 66.58, 46.45, 43.67, 52.2, 53.49, 50.85, 61.55, 44.19, 67.27, 60.73, 76.54, 70.94, 64.35, 38.28, 39.15, 41.0, 27.01, 23.23, 21.9, 19.37, 45.4, 32.19, 26.06, 28.27, 25.48, 18.88, 17.92, 14.98, 15.0, 15.23, 12.39, 11.97, 10.07, 9.28, 6.74, 6.93, 4.34, 3.55]"
