selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 10, 11, 9, 6, 8, 14, 7, 16, 1, 2, 13, 3, 32, 12, 31, 5, 49, 21, 17, 18, 22, 29, 19, 20, 24, 23, 25, 4, 38, 26, 27, 30, 28, 37, 53, 40, 35, 36, 46, 41, 39, 51, 33, 58, 52, 54, 42, 55, 34, 57, 48, 56, 15, 44, 45, 47, 50, 43, 59]","[86, 79, 82, 91, 84, 94, 90, 90, 32, 70, 27, 76, 80, 92, 77, 82, 74, 87, 88, 83, 87, 90, 87, 86, 92, 89, 62, 85, 12, 95, 88, 91, 75, 91, 94, 94, 43, 90, 50, 4, 52, 68, 88, 94, 37, 31, 76, 44, 31, 68, 2, 1, 26, 37, 21, 14, 5, 21, 54, 0]","[78.08, 78.8, 78.55, 82.82, 77.32, 81.85, 86.03, 84.71, 79.88, 74.83, 64.64, 70.81, 69.76, 72.12, 70.7, 65.99, 63.62, 60.96, 75.25, 74.96, 77.98, 72.57, 72.28, 74.09, 82.69, 81.89, 70.86, 68.17, 67.08, 73.65, 75.32, 82.49, 80.84, 75.61, 65.15, 79.33, 59.01, 57.56, 61.45, 53.11, 54.72, 52.99, 55.54, 60.99, 53.81, 49.88, 60.09, 59.63, 52.6, 52.64, 47.89, 43.48, 41.5, 38.09, 26.9, 25.82, 29.69, 28.22, 21.82]"
"[1, 9, 11, 10, 6, 8, 7, 14, 16, 0, 2, 3, 13, 12, 32, 31, 5, 49, 22, 17, 21, 18, 24, 19, 20, 23, 25, 29, 4, 27, 26, 30, 28, 38, 37, 40, 53, 35, 46, 39, 36, 41, 34, 52, 51, 33, 54, 58, 42, 55, 15, 57, 48, 56, 44, 47, 50, 43, 45, 59]","[70, 91, 82, 79, 84, 94, 90, 90, 32, 86, 27, 80, 76, 77, 92, 82, 74, 87, 90, 83, 88, 87, 89, 86, 92, 62, 85, 87, 12, 91, 88, 75, 91, 95, 94, 43, 94, 90, 4, 68, 50, 52, 68, 31, 88, 94, 76, 37, 44, 31, 37, 2, 1, 26, 21, 5, 21, 54, 14, 0]","[71.03, 80.56, 82.37, 76.85, 70.19, 76.27, 79.84, 82.43, 70.0, 74.2, 69.36, 69.31, 70.98, 70.48, 70.8, 66.58, 61.24, 65.22, 78.27, 80.41, 78.99, 69.65, 77.16, 78.12, 82.2, 70.7, 70.65, 65.14, 67.67, 79.28, 86.38, 83.45, 78.35, 72.54, 66.81, 58.81, 60.35, 61.61, 54.45, 54.16, 52.36, 49.64, 55.61, 48.13, 58.1, 52.92, 62.55, 62.37, 58.18, 49.77, 48.26, 46.73, 41.84, 40.27, 28.94, 30.6, 29.07, 26.41, 23.5]"
"[2, 9, 11, 6, 10, 8, 7, 14, 16, 1, 3, 0, 13, 32, 12, 31, 5, 49, 17, 21, 22, 18, 29, 19, 20, 24, 23, 25, 4, 38, 26, 30, 27, 28, 37, 53, 40, 35, 46, 52, 39, 51, 33, 58, 54, 42, 55, 36, 41, 15, 34, 48, 57, 56, 44, 45, 43, 47, 50, 59]","[27, 91, 82, 84, 79, 94, 90, 90, 32, 70, 80, 86, 76, 92, 77, 82, 74, 87, 83, 88, 90, 87, 87, 86, 92, 89, 62, 85, 12, 95, 88, 75, 91, 91, 94, 94, 43, 90, 4, 31, 68, 88, 94, 37, 76, 44, 31, 50, 52, 37, 68, 1, 2, 26, 21, 14, 54, 5, 21, 0]","[63.59, 73.73, 74.93, 77.33, 66.8, 72.9, 75.26, 70.79, 61.21, 62.5, 61.15, 66.77, 68.81, 70.41, 67.6, 63.56, 62.6, 62.64, 69.73, 70.94, 79.0, 69.05, 64.81, 71.54, 80.04, 82.45, 71.55, 66.76, 67.51, 74.72, 79.57, 75.43, 80.7, 74.81, 68.23, 78.14, 63.81, 57.1, 55.44, 55.65, 52.51, 58.16, 55.19, 51.06, 56.44, 53.84, 51.64, 52.52, 50.08, 48.55, 47.54, 47.01, 45.72, 39.45, 30.7, 28.38, 27.35, 29.27, 22.6]"
"[3, 10, 11, 9, 6, 8, 7, 14, 1, 16, 0, 2, 13, 32, 12, 31, 49, 5, 17, 21, 22, 18, 29, 38, 37, 26, 53, 27, 30, 28, 19, 24, 20, 23, 40, 35, 25, 4, 36, 46, 52, 41, 39, 51, 33, 58, 34, 54, 42, 55, 15, 48, 57, 56, 44, 45, 50, 43, 47, 59]","[80, 79, 82, 91, 84, 94, 90, 90, 70, 32, 86, 27, 76, 92, 77, 82, 87, 74, 83, 88, 90, 87, 87, 95, 94, 88, 94, 91, 75, 91, 86, 89, 92, 62, 43, 90, 85, 12, 50, 4, 31, 52, 68, 88, 94, 37, 68, 76, 44, 31, 37, 1, 2, 26, 21, 14, 21, 54, 5, 0]","[75.07, 77.9, 77.72, 79.0, 75.05, 80.56, 82.84, 81.7, 85.04, 75.03, 79.21, 69.69, 69.35, 70.52, 68.1, 64.89, 63.2, 63.7, 69.5, 72.35, 79.42, 73.55, 70.08, 76.11, 73.65, 76.2, 79.58, 79.9, 77.5, 78.89, 80.11, 81.82, 85.37, 76.9, 68.68, 66.8, 57.28, 55.31, 55.78, 53.03, 51.47, 49.42, 50.26, 53.98, 56.84, 50.51, 49.32, 59.67, 56.81, 49.81, 50.72, 50.09, 41.77, 38.97, 30.86, 28.63, 27.23, 27.25, 24.45]"
"[4, 9, 11, 10, 6, 8, 14, 7, 1, 16, 0, 2, 32, 13, 3, 31, 12, 49, 17, 29, 21, 22, 18, 38, 26, 37, 30, 27, 28, 24, 19, 20, 23, 40, 5, 53, 41, 39, 25, 35, 36, 46, 34, 52, 51, 33, 58, 54, 42, 55, 48, 57, 56, 15, 44, 47, 50, 43, 45, 59]","[12, 91, 82, 79, 84, 94, 90, 90, 70, 32, 86, 27, 92, 76, 80, 82, 77, 87, 83, 87, 88, 90, 87, 95, 88, 94, 75, 91, 91, 89, 86, 92, 62, 43, 74, 94, 52, 68, 85, 90, 50, 4, 68, 31, 88, 94, 37, 76, 44, 31, 1, 2, 26, 37, 21, 5, 21, 54, 14, 0]","[66.05, 74.33, 77.66, 76.63, 66.23, 68.57, 74.84, 69.56, 68.36, 66.27, 70.58, 65.66, 75.51, 67.69, 67.71, 69.67, 63.55, 63.51, 68.5, 71.37, 73.03, 77.62, 67.18, 75.79, 69.97, 74.09, 74.9, 77.65, 71.97, 77.34, 79.04, 80.97, 66.99, 59.17, 56.5, 56.47, 52.18, 51.36, 53.87, 53.98, 53.99, 51.36, 54.8, 48.77, 57.17, 53.22, 47.55, 57.4, 55.19, 49.74, 47.56, 39.55, 38.98, 37.55, 28.37, 25.48, 26.76, 25.39, 19.31]"
"[5, 9, 11, 10, 6, 8, 7, 14, 16, 1, 0, 2, 3, 32, 13, 12, 31, 49, 21, 17, 29, 22, 18, 37, 19, 38, 20, 24, 23, 26, 27, 30, 28, 53, 40, 35, 25, 4, 46, 52, 41, 36, 39, 34, 50, 51, 33, 54, 55, 58, 42, 57, 48, 44, 56, 15, 47, 45, 43, 59]","[74, 91, 82, 79, 84, 94, 90, 90, 32, 70, 86, 27, 80, 92, 76, 77, 82, 87, 88, 83, 87, 90, 87, 94, 86, 95, 92, 89, 62, 88, 91, 75, 91, 94, 43, 90, 85, 12, 4, 31, 52, 50, 68, 68, 21, 88, 94, 76, 31, 37, 44, 2, 1, 21, 26, 37, 5, 14, 54, 0]","[74.29, 81.5, 81.19, 79.38, 71.86, 82.99, 82.74, 83.61, 76.69, 71.24, 76.98, 71.44, 70.02, 78.31, 71.65, 69.24, 62.95, 63.12, 77.22, 72.61, 75.12, 78.73, 67.23, 70.38, 73.34, 72.07, 79.7, 81.37, 75.59, 78.6, 83.0, 82.47, 64.37, 73.74, 63.37, 68.13, 54.27, 54.26, 54.14, 51.71, 53.07, 52.72, 48.23, 46.8, 47.37, 51.46, 51.9, 67.45, 58.89, 50.09, 48.89, 48.33, 39.99, 38.87, 39.59, 27.76, 27.0, 25.33, 22.3]"
"[6, 9, 11, 10, 8, 0, 1, 7, 16, 2, 14, 3, 13, 32, 12, 31, 49, 5, 17, 21, 22, 18, 29, 24, 19, 20, 23, 25, 4, 27, 30, 28, 26, 38, 37, 40, 35, 53, 46, 36, 52, 41, 39, 34, 50, 51, 33, 58, 48, 15, 54, 42, 55, 57, 56, 44, 47, 43, 45, 59]","[84, 91, 82, 79, 94, 86, 70, 90, 32, 27, 90, 80, 76, 92, 77, 82, 87, 74, 83, 88, 90, 87, 87, 89, 86, 92, 62, 85, 12, 91, 75, 91, 88, 95, 94, 43, 90, 94, 4, 50, 31, 52, 68, 68, 21, 88, 94, 37, 1, 37, 76, 44, 31, 2, 26, 21, 5, 54, 14, 0]","[75.9, 83.21, 82.54, 71.22, 76.08, 82.44, 78.52, 83.6, 76.63, 68.64, 68.35, 68.75, 70.47, 70.81, 71.73, 65.05, 65.74, 62.49, 69.42, 73.24, 77.87, 69.31, 66.6, 79.11, 78.88, 81.45, 65.55, 73.56, 63.6, 80.04, 78.17, 76.23, 75.99, 73.09, 67.37, 60.18, 63.01, 58.35, 55.62, 54.33, 53.72, 52.13, 48.52, 49.44, 46.96, 55.34, 56.67, 46.59, 40.99, 42.4, 49.64, 50.05, 43.57, 38.65, 38.13, 31.1, 28.56, 27.07, 25.83]"
"[7, 6, 11, 9, 10, 8, 14, 16, 1, 0, 2, 13, 3, 32, 12, 31, 5, 49, 18, 17, 22, 21, 29, 19, 24, 20, 23, 25, 4, 38, 26, 30, 27, 28, 37, 53, 41, 35, 40, 46, 36, 39, 51, 33, 58, 52, 34, 54, 42, 55, 48, 57, 56, 44, 15, 50, 47, 45, 43, 59]","[90, 84, 82, 91, 79, 94, 90, 32, 70, 86, 27, 76, 80, 92, 77, 82, 74, 87, 87, 83, 90, 88, 87, 86, 89, 92, 62, 85, 12, 95, 88, 75, 91, 91, 94, 94, 52, 90, 43, 4, 50, 68, 88, 94, 37, 31, 68, 76, 44, 31, 1, 2, 26, 21, 37, 21, 5, 14, 54, 0]","[79.72, 83.03, 82.92, 83.29, 79.13, 80.92, 81.52, 76.43, 69.73, 77.36, 68.01, 71.27, 71.14, 72.15, 69.66, 67.6, 63.41, 62.88, 69.53, 74.44, 82.55, 72.93, 72.33, 75.59, 80.35, 84.54, 73.41, 66.38, 69.37, 81.05, 80.41, 79.97, 83.93, 71.74, 71.4, 81.3, 65.72, 68.86, 65.61, 56.82, 57.19, 53.05, 54.4, 59.13, 54.26, 51.9, 51.19, 60.35, 55.11, 51.17, 50.12, 40.24, 39.15, 37.66, 29.6, 27.5, 27.12, 24.07, 25.81]"
"[8, 9, 11, 10, 6, 1, 7, 16, 14, 0, 2, 32, 13, 3, 12, 31, 5, 49, 21, 17, 22, 18, 29, 19, 20, 24, 23, 25, 30, 38, 37, 26, 27, 28, 35, 41, 53, 40, 46, 51, 4, 39, 36, 33, 54, 58, 42, 55, 52, 57, 34, 48, 56, 15, 44, 47, 50, 43, 45, 59]","[94, 91, 82, 79, 84, 70, 90, 32, 90, 86, 27, 92, 76, 80, 77, 82, 74, 87, 88, 83, 90, 87, 87, 86, 92, 89, 62, 85, 75, 95, 94, 88, 91, 91, 90, 52, 94, 43, 4, 88, 12, 68, 50, 94, 76, 37, 44, 31, 31, 2, 68, 1, 26, 37, 21, 5, 21, 54, 14, 0]","[81.33, 87.87, 85.0, 84.22, 76.77, 77.12, 79.85, 74.96, 71.65, 78.13, 68.44, 79.67, 74.89, 72.14, 72.92, 67.06, 60.19, 64.97, 74.02, 75.31, 77.99, 73.27, 69.72, 74.49, 81.77, 84.8, 68.53, 68.83, 69.53, 70.56, 79.23, 80.66, 84.57, 71.66, 73.32, 60.63, 70.23, 70.8, 64.02, 62.04, 58.24, 60.64, 55.13, 60.57, 69.11, 63.78, 59.31, 55.99, 51.82, 51.97, 47.58, 45.1, 42.28, 38.99, 30.91, 32.46, 27.59, 29.77, 25.28]"
"[9, 6, 11, 10, 8, 1, 7, 16, 14, 0, 2, 3, 13, 12, 32, 31, 49, 5, 21, 17, 22, 18, 19, 20, 24, 23, 25, 29, 30, 38, 26, 27, 28, 37, 35, 40, 53, 46, 36, 4, 39, 52, 41, 51, 33, 58, 54, 57, 56, 34, 48, 42, 15, 44, 55, 47, 50, 43, 45, 59]","[91, 84, 82, 79, 94, 70, 90, 32, 90, 86, 27, 80, 76, 77, 92, 82, 87, 74, 88, 83, 90, 87, 86, 92, 89, 62, 85, 87, 75, 95, 88, 91, 91, 94, 90, 43, 94, 4, 50, 12, 68, 31, 52, 88, 94, 37, 76, 2, 26, 68, 1, 44, 37, 21, 31, 5, 21, 54, 14, 0]","[77.09, 84.77, 81.83, 68.39, 74.58, 74.96, 79.51, 73.41, 70.56, 77.56, 68.8, 70.23, 68.63, 68.61, 72.51, 67.27, 64.49, 63.32, 76.31, 75.84, 78.72, 72.81, 75.52, 83.49, 80.72, 68.88, 70.39, 68.49, 70.96, 77.37, 81.68, 80.28, 74.06, 70.87, 72.88, 64.75, 72.36, 59.72, 57.47, 57.21, 53.6, 53.35, 52.38, 58.43, 59.29, 50.96, 59.71, 51.3, 47.91, 47.63, 41.28, 39.16, 38.63, 41.67, 30.22, 26.45, 27.5, 25.99, 23.48]"
