selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 10, 9, 7, 6, 39, 36, 40, 26, 29, 37, 38, 35, 14, 28, 8, 48, 41, 30, 27, 47, 53, 34, 52, 33, 16, 19, 51, 22, 45, 46, 11, 23, 21, 49, 20, 24, 32, 54, 42, 44, 50, 18, 17, 58, 56, 25, 12, 4, 31, 2, 57, 43, 15, 3, 1, 5, 55, 59, 13]","[20, 37, 48, 48, 55, 62, 39, 50, 63, 71, 63, 77, 83, 13, 30, 68, 74, 54, 53, 37, 51, 71, 54, 28, 38, 7, 41, 34, 32, 29, 0, 35, 42, 41, 6, 53, 35, 0, 60, 58, 32, 0, 39, 14, 1, 24, 8, 20, 0, 0, 0, 2, 26, 0, 51, 0, 0, 0, 2, 0]","[74.19, 61.5, 65.87, 58.92, 74.93, 69.41, 66.01, 62.27, 62.48, 63.66, 63.3, 62.56, 63.52, 72.74, 64.0, 61.38, 64.2, 60.61, 59.98, 61.73, 59.69, 51.47, 54.0, 60.6, 53.23, 45.61, 41.84, 42.18, 38.53, 38.38, 47.17, 42.71, 39.9, 41.76, 38.5, 41.92, 31.89, 33.13, 34.95, 36.66, 32.53, 31.19, 30.28, 26.97, 29.76, 23.69, 18.76, 19.88, 15.19, 13.95, 10.94, 9.91, 8.76, 8.71, 11.18, 9.01, 6.19, 4.82, 3.08]"
"[1, 11, 9, 8, 37, 20, 53, 38, 33, 51, 26, 34, 35, 27, 29, 7, 28, 36, 40, 39, 41, 6, 48, 47, 14, 52, 30, 16, 19, 23, 24, 21, 54, 22, 46, 42, 44, 18, 17, 49, 50, 45, 10, 56, 32, 58, 43, 57, 25, 31, 4, 0, 2, 55, 12, 15, 3, 5, 59, 13]","[0, 35, 48, 68, 63, 53, 71, 77, 38, 34, 63, 54, 83, 37, 71, 48, 30, 39, 50, 62, 54, 55, 74, 51, 13, 28, 53, 7, 41, 42, 35, 41, 60, 32, 0, 58, 32, 39, 14, 6, 0, 29, 37, 24, 0, 1, 26, 2, 8, 0, 0, 20, 0, 0, 20, 0, 51, 0, 2, 0]","[67.13, 52.59, 52.45, 74.6, 77.25, 65.28, 68.33, 71.33, 69.95, 68.29, 69.76, 66.91, 68.99, 64.31, 63.92, 62.28, 75.18, 72.75, 66.12, 63.6, 62.45, 60.56, 62.22, 54.48, 52.25, 49.77, 49.23, 54.79, 44.22, 45.34, 40.82, 38.78, 42.77, 40.7, 36.12, 39.06, 33.26, 33.78, 35.86, 33.99, 36.29, 33.57, 29.08, 25.99, 24.48, 20.19, 18.52, 23.65, 18.4, 11.36, 14.85, 12.68, 9.74, 9.93, 8.4, 6.23, 9.16, 5.37, 4.38]"
"[2, 11, 10, 37, 28, 38, 39, 26, 29, 40, 36, 35, 16, 30, 19, 34, 27, 21, 41, 8, 6, 14, 33, 24, 7, 53, 25, 51, 48, 47, 52, 23, 22, 20, 45, 49, 54, 46, 18, 56, 17, 9, 32, 42, 44, 50, 58, 31, 43, 0, 57, 12, 15, 4, 3, 1, 5, 55, 13, 59]","[0, 35, 37, 63, 30, 77, 62, 63, 71, 50, 39, 83, 7, 53, 41, 54, 37, 41, 54, 68, 55, 13, 38, 35, 48, 71, 8, 34, 74, 51, 28, 42, 32, 53, 29, 6, 60, 0, 39, 24, 14, 48, 0, 58, 32, 0, 1, 0, 26, 20, 2, 20, 0, 0, 51, 0, 0, 0, 0, 2]","[61.71, 46.27, 64.15, 73.3, 55.3, 59.45, 64.54, 61.24, 59.77, 59.76, 56.72, 61.19, 61.64, 58.54, 57.8, 57.8, 56.75, 53.72, 53.46, 58.54, 56.88, 54.06, 53.84, 51.6, 50.74, 52.81, 48.78, 58.99, 62.03, 50.36, 40.52, 40.14, 37.19, 34.44, 31.38, 36.26, 34.21, 32.11, 29.37, 25.5, 24.22, 24.89, 34.95, 33.42, 29.99, 25.63, 16.97, 12.24, 13.32, 21.41, 14.05, 11.52, 9.72, 8.28, 13.07, 9.8, 5.36, 6.24, 5.49]"
"[3, 11, 9, 1, 37, 10, 12, 20, 38, 27, 21, 22, 24, 18, 54, 30, 40, 8, 7, 19, 6, 23, 0, 41, 39, 26, 28, 51, 36, 29, 35, 48, 47, 53, 33, 16, 34, 52, 46, 14, 17, 44, 49, 42, 45, 55, 4, 32, 50, 56, 25, 31, 43, 58, 2, 57, 15, 5, 59, 13]","[51, 35, 48, 0, 63, 37, 20, 53, 77, 37, 41, 32, 35, 39, 60, 53, 50, 68, 48, 41, 55, 42, 20, 54, 62, 63, 30, 34, 39, 71, 83, 74, 51, 71, 38, 7, 54, 28, 0, 13, 14, 32, 6, 58, 29, 0, 0, 0, 0, 24, 8, 0, 26, 1, 0, 2, 0, 0, 2, 0]","[79.45, 62.29, 59.02, 66.48, 67.64, 58.24, 79.85, 65.37, 73.12, 68.07, 60.87, 56.04, 52.2, 51.06, 53.15, 59.6, 55.97, 56.54, 52.17, 48.86, 50.21, 46.51, 61.71, 57.9, 56.95, 52.89, 52.82, 70.81, 63.68, 61.46, 61.88, 63.31, 59.39, 55.62, 56.59, 58.33, 45.97, 37.16, 50.53, 36.99, 34.28, 37.7, 32.71, 29.13, 26.78, 27.35, 32.94, 27.1, 27.65, 22.76, 20.81, 21.86, 22.08, 17.06, 15.84, 10.6, 10.44, 7.04, 4.28]"
"[4, 10, 11, 27, 28, 54, 21, 20, 34, 36, 37, 8, 35, 14, 41, 23, 40, 38, 30, 7, 26, 29, 39, 6, 53, 33, 9, 48, 47, 16, 19, 51, 52, 22, 49, 24, 25, 45, 18, 46, 56, 17, 32, 42, 44, 50, 0, 31, 58, 2, 57, 43, 12, 15, 3, 1, 5, 59, 13, 55]","[0, 37, 35, 37, 30, 60, 41, 53, 54, 39, 63, 68, 83, 13, 54, 42, 50, 77, 53, 48, 63, 71, 62, 55, 71, 38, 48, 74, 51, 7, 41, 34, 28, 32, 6, 35, 8, 29, 39, 0, 24, 14, 0, 58, 32, 0, 20, 0, 1, 0, 2, 26, 20, 0, 51, 0, 0, 2, 0, 0]","[76.61, 63.92, 79.16, 59.24, 51.97, 66.31, 65.93, 62.15, 53.69, 50.93, 60.3, 55.13, 60.12, 58.08, 57.19, 57.01, 61.83, 61.06, 57.66, 55.23, 58.06, 53.83, 54.86, 53.98, 63.22, 56.67, 59.58, 64.0, 54.4, 54.13, 51.48, 52.14, 49.59, 43.85, 41.77, 36.51, 35.33, 34.34, 31.01, 28.5, 27.75, 26.55, 20.15, 37.19, 31.53, 19.43, 17.78, 22.9, 13.35, 13.63, 11.65, 11.39, 10.69, 9.22, 12.12, 11.06, 6.77, 5.42, 3.41]"
"[5, 10, 9, 6, 36, 39, 29, 26, 40, 38, 37, 35, 7, 41, 8, 14, 48, 53, 47, 34, 28, 33, 30, 16, 19, 27, 52, 22, 49, 51, 23, 24, 20, 21, 18, 46, 11, 45, 54, 17, 56, 25, 32, 42, 44, 50, 31, 43, 57, 0, 58, 2, 12, 4, 15, 3, 1, 59, 55, 13]","[0, 37, 48, 55, 39, 62, 71, 63, 50, 77, 63, 83, 48, 54, 68, 13, 74, 71, 51, 54, 30, 38, 53, 7, 41, 37, 28, 32, 6, 34, 42, 35, 53, 41, 39, 0, 35, 29, 60, 14, 24, 8, 0, 58, 32, 0, 0, 26, 2, 20, 1, 0, 20, 0, 0, 51, 0, 2, 0, 0]","[67.13, 60.25, 71.64, 70.89, 71.94, 69.49, 69.84, 66.27, 64.52, 68.98, 63.42, 68.77, 65.26, 64.37, 63.48, 59.51, 58.83, 58.07, 57.18, 72.72, 58.59, 53.64, 50.92, 57.01, 57.15, 49.97, 47.66, 42.21, 51.35, 41.75, 39.73, 38.32, 39.56, 33.61, 36.37, 36.13, 33.4, 30.06, 29.72, 28.44, 25.51, 22.69, 34.52, 35.62, 28.0, 22.59, 23.08, 23.79, 18.85, 16.58, 14.77, 12.55, 11.21, 9.08, 8.22, 9.48, 6.02, 5.81, 4.15]"
"[6, 10, 9, 36, 41, 40, 14, 37, 27, 38, 30, 26, 29, 39, 12, 19, 28, 53, 35, 48, 47, 52, 8, 16, 34, 33, 51, 22, 45, 7, 46, 11, 21, 32, 23, 20, 24, 49, 54, 42, 44, 50, 18, 17, 56, 0, 58, 25, 31, 43, 4, 2, 15, 57, 3, 5, 1, 55, 59, 13]","[55, 37, 48, 39, 54, 50, 13, 63, 37, 77, 53, 63, 71, 62, 20, 41, 30, 71, 83, 74, 51, 28, 68, 7, 54, 38, 34, 32, 29, 48, 0, 35, 41, 0, 42, 53, 35, 6, 60, 58, 32, 0, 39, 14, 24, 20, 1, 8, 0, 26, 0, 0, 0, 2, 51, 0, 0, 0, 2, 0]","[71.68, 62.22, 74.79, 53.01, 51.67, 53.22, 53.26, 59.34, 54.96, 52.78, 52.03, 57.25, 48.99, 50.36, 57.87, 53.54, 51.17, 49.55, 50.98, 53.23, 49.63, 49.32, 58.62, 44.59, 45.34, 44.31, 39.5, 38.73, 38.25, 39.61, 45.73, 41.7, 42.75, 42.07, 38.79, 41.54, 36.4, 32.35, 33.25, 34.87, 31.82, 30.73, 28.16, 25.14, 25.8, 25.32, 26.38, 19.08, 21.02, 21.66, 14.37, 11.59, 10.45, 8.42, 11.26, 11.45, 6.25, 5.7, 3.94]"
"[7, 11, 9, 38, 39, 40, 26, 37, 41, 28, 36, 29, 57, 35, 14, 8, 6, 53, 19, 33, 34, 30, 10, 22, 48, 47, 16, 27, 52, 49, 23, 24, 21, 20, 51, 25, 45, 46, 32, 18, 54, 44, 56, 17, 0, 12, 42, 50, 31, 43, 58, 2, 4, 15, 3, 1, 5, 59, 55, 13]","[48, 35, 48, 77, 62, 50, 63, 63, 54, 30, 39, 71, 2, 83, 13, 68, 55, 71, 41, 38, 54, 53, 37, 32, 74, 51, 7, 37, 28, 6, 42, 35, 41, 53, 34, 8, 29, 0, 0, 39, 60, 32, 24, 14, 20, 20, 58, 0, 0, 26, 1, 0, 0, 0, 51, 0, 0, 2, 0, 0]","[78.75, 59.93, 88.34, 68.02, 72.23, 67.19, 65.58, 61.16, 62.13, 69.21, 67.2, 48.13, 60.31, 62.24, 65.8, 61.95, 60.25, 62.54, 61.07, 61.09, 60.14, 58.71, 54.22, 58.96, 62.12, 51.8, 57.81, 50.35, 42.84, 41.83, 39.95, 39.63, 38.76, 53.87, 36.23, 32.94, 33.52, 31.41, 30.34, 27.89, 33.73, 27.36, 24.99, 20.69, 22.11, 21.42, 26.67, 19.61, 21.28, 18.24, 13.94, 13.25, 9.39, 8.6, 12.0, 8.36, 6.22, 4.65, 3.89]"
"[8, 11, 9, 41, 20, 14, 24, 21, 7, 54, 40, 27, 44, 10, 37, 39, 26, 38, 36, 51, 48, 35, 47, 30, 53, 52, 34, 29, 33, 19, 12, 28, 6, 16, 22, 23, 46, 49, 18, 45, 32, 42, 50, 56, 17, 0, 58, 25, 31, 43, 4, 57, 3, 2, 15, 1, 5, 59, 55, 13]","[68, 35, 48, 54, 53, 13, 35, 41, 48, 60, 50, 37, 32, 37, 63, 62, 63, 77, 39, 34, 74, 83, 51, 53, 71, 28, 54, 71, 38, 41, 20, 30, 55, 7, 32, 42, 0, 6, 39, 29, 0, 58, 0, 24, 14, 20, 1, 8, 0, 26, 0, 2, 51, 0, 0, 0, 0, 2, 0, 0]","[78.02, 63.19, 66.91, 66.52, 66.11, 73.04, 62.55, 64.77, 56.19, 59.34, 56.35, 51.12, 58.46, 48.27, 51.44, 52.35, 54.82, 60.81, 54.86, 52.55, 56.52, 56.96, 53.78, 52.01, 53.35, 49.28, 48.73, 49.3, 44.88, 44.9, 46.09, 65.81, 60.17, 43.81, 42.46, 42.6, 45.09, 34.54, 34.79, 33.83, 34.28, 30.73, 27.97, 27.61, 24.94, 24.81, 23.79, 17.81, 22.18, 21.72, 13.56, 12.9, 19.14, 12.92, 12.79, 9.08, 5.38, 5.8, 5.27]"
"[9, 10, 6, 38, 39, 26, 37, 27, 36, 29, 41, 11, 21, 40, 53, 17, 14, 35, 30, 48, 47, 8, 34, 52, 28, 7, 33, 16, 19, 51, 0, 22, 23, 24, 46, 20, 32, 45, 49, 54, 42, 44, 50, 18, 56, 58, 25, 12, 4, 31, 2, 57, 3, 15, 43, 1, 5, 59, 13, 55]","[48, 37, 55, 77, 62, 63, 63, 37, 39, 71, 54, 35, 41, 50, 71, 14, 13, 83, 53, 74, 51, 68, 54, 28, 30, 48, 38, 7, 41, 34, 20, 32, 42, 35, 0, 53, 0, 29, 6, 60, 58, 32, 0, 39, 24, 1, 8, 20, 0, 0, 0, 2, 51, 0, 26, 0, 0, 2, 0, 0]","[67.1, 57.88, 75.42, 68.96, 71.69, 67.41, 65.46, 70.72, 61.57, 58.96, 68.55, 57.58, 62.28, 51.77, 50.82, 63.52, 50.88, 51.37, 49.95, 49.73, 48.28, 49.76, 51.04, 61.76, 59.61, 56.11, 53.54, 44.34, 44.3, 38.42, 45.17, 42.32, 39.42, 38.43, 39.3, 37.77, 34.36, 28.47, 33.85, 37.08, 36.59, 30.27, 25.46, 25.76, 24.4, 25.37, 19.85, 19.21, 15.22, 13.8, 12.55, 10.57, 12.6, 10.83, 11.76, 8.52, 6.35, 5.33, 3.92]"
