selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 9, 11, 6, 14, 16, 7, 8, 10, 39, 40, 38, 35, 48, 37, 26, 36, 41, 53, 47, 29, 27, 22, 50, 28, 30, 32, 49, 23, 52, 33, 24, 20, 19, 21, 51, 18, 46, 58, 54, 31, 34, 45, 1, 42, 25, 3, 56, 17, 4, 12, 13, 57, 2, 5, 43, 44, 15, 59, 55]","[45, 90, 80, 90, 91, 91, 91, 98, 81, 88, 87, 88, 94, 73, 91, 82, 85, 91, 68, 65, 79, 84, 72, 7, 86, 77, 60, 44, 66, 44, 73, 88, 89, 88, 82, 85, 34, 28, 0, 58, 22, 91, 26, 12, 20, 55, 22, 20, 36, 0, 40, 9, 4, 8, 5, 5, 32, 6, 0, 0]","[67.4, 75.02, 82.08, 87.56, 81.68, 80.71, 85.34, 84.69, 78.33, 83.68, 81.67, 84.81, 84.71, 86.03, 85.02, 85.31, 85.48, 85.16, 80.78, 84.83, 84.65, 85.41, 89.29, 82.83, 81.61, 81.61, 78.28, 80.1, 75.42, 74.06, 73.36, 78.68, 81.29, 77.24, 78.02, 72.72, 85.4, 73.63, 64.24, 61.1, 59.9, 58.05, 56.65, 50.85, 52.44, 48.58, 44.75, 39.87, 44.65, 35.18, 36.03, 31.28, 27.95, 24.65, 25.25, 17.13, 18.74, 9.63, 7.81]"
"[1, 9, 10, 38, 6, 11, 37, 8, 7, 30, 22, 24, 20, 21, 27, 18, 3, 19, 28, 0, 26, 33, 51, 53, 29, 39, 23, 35, 41, 45, 40, 48, 36, 34, 47, 52, 16, 46, 14, 49, 50, 54, 32, 31, 42, 25, 56, 17, 4, 2, 13, 12, 58, 43, 5, 57, 44, 15, 59, 55]","[12, 90, 81, 88, 90, 80, 91, 98, 91, 77, 72, 88, 89, 82, 84, 34, 22, 88, 86, 45, 82, 73, 85, 68, 79, 88, 66, 94, 91, 26, 87, 73, 85, 91, 65, 44, 91, 28, 91, 44, 7, 58, 60, 22, 20, 55, 20, 36, 0, 8, 9, 40, 0, 5, 5, 4, 32, 6, 0, 0]","[58.26, 70.88, 86.95, 86.92, 86.33, 83.94, 82.49, 81.13, 78.75, 90.0, 87.17, 85.46, 84.16, 83.75, 83.1, 81.48, 82.99, 75.85, 75.06, 85.2, 84.77, 82.66, 77.98, 77.93, 75.72, 76.02, 73.8, 68.14, 89.85, 74.43, 77.2, 74.24, 77.92, 77.29, 74.41, 75.87, 69.19, 63.68, 52.51, 50.07, 60.23, 53.97, 53.91, 54.55, 48.2, 46.93, 43.18, 48.4, 34.86, 33.97, 31.27, 38.76, 24.94, 24.17, 31.49, 20.12, 16.27, 7.43, 7.07]"
"[2, 9, 11, 37, 49, 38, 8, 6, 10, 7, 40, 19, 30, 20, 22, 24, 27, 21, 18, 28, 3, 53, 26, 51, 33, 35, 29, 39, 23, 14, 32, 41, 54, 48, 45, 13, 47, 36, 52, 34, 50, 46, 0, 31, 56, 16, 42, 25, 17, 4, 1, 12, 58, 5, 44, 43, 15, 57, 55, 59]","[8, 90, 80, 91, 44, 88, 98, 90, 81, 91, 87, 88, 77, 89, 72, 88, 84, 82, 34, 86, 22, 68, 82, 85, 73, 94, 79, 88, 66, 91, 60, 91, 58, 73, 26, 9, 65, 85, 44, 91, 7, 28, 45, 22, 20, 91, 20, 55, 36, 0, 12, 40, 0, 5, 32, 5, 6, 4, 0, 0]","[53.27, 66.13, 71.2, 77.63, 89.9, 85.3, 86.38, 81.95, 80.15, 72.2, 77.34, 80.73, 89.9, 88.77, 88.39, 84.3, 83.53, 76.92, 79.15, 73.81, 71.14, 73.11, 83.81, 82.84, 80.39, 80.08, 78.54, 78.18, 71.23, 69.95, 70.75, 66.89, 87.9, 82.01, 58.51, 77.32, 66.78, 72.33, 62.61, 57.92, 52.19, 48.6, 47.2, 55.05, 47.27, 48.98, 52.09, 38.32, 46.09, 31.99, 31.5, 43.71, 30.09, 33.43, 25.46, 19.93, 13.08, 8.89, 7.59]"
"[3, 9, 10, 6, 11, 14, 16, 1, 8, 7, 45, 40, 41, 35, 37, 48, 26, 38, 36, 39, 53, 47, 30, 27, 28, 23, 52, 29, 50, 22, 49, 19, 24, 20, 21, 32, 33, 18, 51, 34, 46, 54, 0, 25, 31, 42, 56, 17, 58, 4, 13, 12, 15, 2, 5, 57, 43, 44, 55, 59]","[22, 90, 81, 90, 80, 91, 91, 12, 98, 91, 26, 87, 91, 94, 91, 73, 82, 88, 85, 88, 68, 65, 77, 84, 86, 66, 44, 79, 7, 72, 44, 88, 88, 89, 82, 60, 73, 34, 85, 91, 28, 58, 45, 55, 22, 20, 20, 36, 0, 0, 9, 40, 6, 8, 5, 4, 5, 32, 0, 0]","[64.13, 71.37, 77.17, 89.38, 85.41, 80.78, 73.96, 78.26, 79.63, 88.01, 65.77, 79.0, 85.16, 86.38, 89.52, 86.61, 87.51, 85.96, 84.87, 84.36, 82.75, 80.4, 77.07, 76.84, 75.62, 76.93, 75.64, 67.58, 80.48, 79.46, 74.59, 78.53, 81.66, 75.54, 72.47, 70.78, 67.04, 72.33, 63.03, 70.86, 57.68, 57.42, 56.29, 49.66, 50.19, 47.31, 36.92, 45.9, 45.22, 38.53, 29.67, 33.2, 27.68, 30.28, 33.17, 23.49, 17.84, 9.04, 7.27]"
"[4, 9, 11, 38, 8, 6, 7, 37, 22, 10, 21, 24, 20, 27, 30, 19, 18, 3, 28, 0, 26, 53, 35, 29, 14, 39, 23, 33, 51, 32, 36, 40, 41, 34, 48, 45, 49, 52, 47, 16, 46, 13, 50, 54, 42, 31, 17, 1, 56, 58, 25, 12, 2, 5, 44, 43, 15, 57, 59, 55]","[0, 90, 80, 88, 98, 90, 91, 91, 72, 81, 82, 88, 89, 84, 77, 88, 34, 22, 86, 45, 82, 68, 94, 79, 91, 88, 66, 73, 85, 60, 85, 87, 91, 91, 73, 26, 44, 44, 65, 91, 28, 9, 7, 58, 20, 22, 36, 12, 20, 0, 55, 40, 8, 5, 32, 5, 6, 4, 0, 0]","[64.36, 73.03, 80.15, 85.73, 87.4, 85.46, 85.01, 84.22, 84.24, 79.37, 80.58, 86.66, 84.59, 82.25, 81.74, 79.55, 75.33, 74.33, 69.88, 67.63, 85.27, 81.62, 81.34, 81.57, 75.16, 74.38, 75.06, 73.9, 67.74, 66.77, 69.65, 74.52, 68.79, 74.1, 83.9, 64.73, 61.53, 56.74, 53.95, 63.52, 57.35, 55.07, 57.09, 49.24, 46.37, 43.41, 42.97, 48.34, 41.04, 37.65, 30.32, 29.58, 27.58, 28.06, 22.93, 18.04, 11.73, 9.25, 7.95]"
"[5, 9, 11, 38, 6, 37, 8, 10, 7, 53, 30, 21, 16, 22, 19, 24, 20, 27, 23, 28, 18, 26, 4, 14, 29, 32, 35, 39, 33, 31, 51, 40, 48, 45, 41, 47, 46, 36, 52, 1, 34, 49, 56, 50, 0, 54, 42, 3, 17, 58, 13, 44, 25, 12, 15, 2, 43, 57, 59, 55]","[5, 90, 80, 88, 90, 91, 98, 81, 91, 68, 77, 82, 91, 72, 88, 88, 89, 84, 66, 86, 34, 82, 0, 91, 79, 60, 94, 88, 73, 22, 85, 87, 73, 26, 91, 65, 28, 85, 44, 12, 91, 44, 20, 7, 45, 58, 20, 22, 36, 0, 9, 32, 55, 40, 6, 8, 5, 4, 0, 0]","[60.38, 72.24, 79.16, 86.32, 83.44, 83.96, 85.98, 84.34, 76.67, 78.4, 75.68, 80.13, 79.22, 76.09, 82.18, 83.74, 81.97, 81.24, 79.29, 79.5, 82.74, 81.85, 84.73, 82.03, 79.9, 77.41, 72.36, 71.37, 69.38, 72.16, 72.86, 86.74, 86.12, 85.44, 77.25, 72.39, 66.27, 70.04, 62.43, 57.15, 65.6, 56.06, 58.1, 57.38, 53.93, 47.34, 46.72, 39.99, 46.29, 32.15, 34.84, 34.1, 32.48, 33.12, 29.33, 25.43, 10.86, 8.89, 8.8]"
"[6, 11, 10, 17, 22, 9, 38, 37, 8, 7, 40, 35, 47, 16, 39, 26, 14, 30, 41, 53, 1, 36, 50, 27, 28, 51, 33, 23, 48, 45, 29, 19, 24, 20, 21, 18, 34, 49, 46, 52, 32, 0, 54, 31, 42, 3, 4, 56, 25, 12, 13, 58, 44, 5, 57, 2, 43, 15, 55, 59]","[90, 80, 81, 36, 72, 90, 88, 91, 98, 91, 87, 94, 65, 91, 88, 82, 91, 77, 91, 68, 12, 85, 7, 84, 86, 85, 73, 66, 73, 26, 79, 88, 88, 89, 82, 34, 91, 44, 28, 44, 60, 45, 58, 22, 20, 22, 0, 20, 55, 40, 9, 0, 32, 5, 4, 8, 5, 6, 0, 0]","[80.42, 79.87, 85.63, 86.63, 83.48, 84.54, 79.88, 77.38, 83.94, 78.19, 79.9, 83.14, 82.89, 84.76, 83.48, 81.58, 82.69, 83.86, 86.32, 83.86, 77.98, 78.88, 76.8, 78.74, 79.43, 80.14, 79.8, 75.45, 76.75, 78.81, 73.87, 74.88, 82.18, 69.77, 69.98, 67.15, 69.91, 76.65, 64.03, 64.01, 61.26, 58.09, 54.83, 53.93, 48.08, 50.16, 40.33, 41.05, 36.66, 33.76, 43.87, 32.91, 28.99, 29.67, 27.51, 23.44, 18.05, 9.02, 7.94]"
"[7, 10, 11, 28, 38, 33, 30, 6, 9, 19, 14, 50, 22, 8, 27, 26, 32, 37, 49, 29, 35, 53, 20, 24, 21, 51, 23, 39, 13, 0, 18, 40, 41, 36, 47, 48, 52, 46, 34, 3, 44, 54, 1, 16, 45, 25, 31, 4, 42, 56, 17, 2, 12, 5, 43, 58, 15, 57, 59, 55]","[91, 81, 80, 86, 88, 73, 77, 90, 90, 88, 91, 7, 72, 98, 84, 82, 60, 91, 44, 79, 94, 68, 89, 88, 82, 85, 66, 88, 9, 45, 34, 87, 91, 85, 65, 73, 44, 28, 91, 22, 32, 58, 12, 91, 26, 55, 22, 0, 20, 20, 36, 8, 40, 5, 5, 0, 6, 4, 0, 0]","[80.87, 82.52, 84.26, 87.79, 88.54, 85.49, 84.88, 87.78, 83.81, 88.84, 89.62, 88.32, 87.85, 87.7, 85.57, 85.58, 81.92, 82.59, 82.28, 80.66, 81.78, 80.62, 81.77, 83.19, 81.64, 79.35, 75.13, 75.43, 66.28, 69.96, 66.44, 69.11, 67.28, 87.64, 75.87, 73.56, 72.79, 63.11, 58.66, 58.33, 52.02, 49.24, 50.55, 55.73, 56.32, 49.96, 52.58, 44.65, 41.45, 41.1, 36.41, 32.12, 32.64, 25.39, 39.56, 17.33, 13.35, 9.37, 7.38]"
"[8, 10, 6, 7, 27, 14, 32, 4, 38, 29, 37, 26, 53, 9, 11, 35, 49, 39, 28, 30, 22, 33, 21, 19, 20, 24, 23, 18, 51, 36, 40, 41, 34, 52, 47, 0, 48, 31, 50, 45, 54, 1, 46, 16, 3, 42, 56, 17, 25, 2, 13, 12, 58, 5, 44, 43, 15, 57, 59, 55]","[98, 81, 90, 91, 84, 91, 60, 0, 88, 79, 91, 82, 68, 90, 80, 94, 44, 88, 86, 77, 72, 73, 82, 88, 89, 88, 66, 34, 85, 85, 87, 91, 91, 44, 65, 45, 73, 22, 7, 26, 58, 12, 28, 91, 22, 20, 20, 36, 55, 8, 9, 40, 0, 5, 32, 5, 6, 4, 0, 0]","[83.64, 85.44, 88.7, 89.31, 89.59, 86.72, 89.12, 88.26, 86.64, 86.24, 86.65, 84.01, 82.09, 83.58, 81.01, 79.09, 74.32, 74.33, 75.21, 72.79, 71.9, 70.68, 73.54, 77.69, 82.48, 75.02, 69.7, 69.98, 69.62, 68.32, 73.76, 69.38, 64.06, 62.86, 61.8, 63.55, 56.2, 82.43, 53.3, 51.69, 53.17, 50.78, 46.3, 48.43, 50.26, 43.89, 40.5, 39.31, 36.47, 33.1, 33.48, 44.57, 30.55, 32.66, 27.08, 18.51, 11.33, 9.25, 8.11]"
"[9, 11, 10, 38, 26, 53, 6, 14, 50, 22, 27, 32, 8, 7, 37, 29, 28, 49, 35, 33, 30, 39, 51, 21, 19, 20, 24, 23, 13, 0, 18, 36, 40, 41, 47, 48, 34, 52, 46, 3, 45, 54, 1, 56, 31, 16, 57, 25, 4, 42, 17, 12, 2, 43, 5, 44, 15, 58, 59, 55]","[90, 80, 81, 88, 82, 68, 90, 91, 7, 72, 84, 60, 98, 91, 91, 79, 86, 44, 94, 73, 77, 88, 85, 82, 88, 89, 88, 66, 9, 45, 34, 85, 87, 91, 65, 73, 91, 44, 28, 22, 26, 58, 12, 20, 22, 91, 4, 55, 0, 20, 36, 40, 8, 5, 5, 32, 6, 0, 0, 0]","[79.97, 79.3, 89.12, 87.59, 87.06, 83.39, 87.28, 88.35, 89.81, 85.6, 85.52, 83.84, 86.28, 85.49, 83.12, 80.77, 79.57, 78.61, 75.67, 75.48, 73.74, 73.8, 74.5, 75.82, 82.62, 84.07, 79.08, 74.79, 68.65, 70.51, 63.24, 64.82, 67.53, 86.55, 74.86, 77.22, 73.96, 72.32, 58.63, 58.51, 54.71, 52.03, 55.31, 47.83, 48.53, 46.43, 53.41, 47.2, 46.03, 40.52, 31.47, 31.69, 25.82, 24.54, 20.7, 17.69, 16.81, 10.57, 6.36]"
