selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 9, 6, 7, 14, 4, 11, 10, 8, 1, 38, 20, 49, 32, 16, 26, 29, 37, 35, 28, 22, 30, 21, 27, 50, 18, 13, 53, 33, 39, 41, 40, 34, 54, 2, 19, 36, 17, 48, 52, 47, 56, 12, 45, 46, 5, 31, 23, 3, 42, 58, 24, 25, 51, 15, 44, 57, 43, 59, 55]","[57, 92, 93, 85, 91, 4, 90, 88, 85, 68, 90, 33, 59, 67, 90, 87, 91, 85, 89, 30, 50, 45, 43, 29, 8, 37, 20, 77, 37, 87, 70, 80, 48, 32, 39, 45, 97, 13, 68, 51, 61, 27, 36, 40, 10, 34, 46, 36, 52, 20, 6, 36, 33, 29, 2, 11, 9, 3, 9, 4]","[62.17, 73.42, 85.91, 85.79, 85.25, 82.67, 78.23, 75.71, 70.12, 62.61, 86.57, 70.57, 68.77, 66.96, 68.37, 77.87, 81.44, 81.44, 87.58, 72.7, 69.51, 66.8, 65.6, 80.0, 61.41, 59.2, 62.71, 63.25, 59.64, 72.63, 66.61, 64.63, 55.44, 57.99, 53.17, 50.85, 53.81, 64.83, 69.18, 63.25, 55.99, 53.63, 48.15, 48.37, 47.62, 46.24, 45.41, 45.34, 43.51, 40.43, 37.96, 38.15, 36.16, 36.07, 30.14, 24.55, 13.8, 7.91, 8.17]"
"[1, 10, 9, 11, 6, 8, 38, 20, 16, 2, 14, 7, 37, 32, 35, 28, 50, 49, 31, 30, 39, 53, 26, 29, 21, 33, 41, 40, 12, 57, 34, 54, 5, 18, 27, 13, 36, 17, 48, 47, 52, 4, 46, 19, 22, 24, 25, 56, 45, 0, 3, 23, 44, 51, 15, 42, 58, 43, 55, 59]","[68, 88, 92, 90, 93, 85, 90, 33, 90, 39, 91, 85, 85, 67, 89, 30, 8, 59, 46, 45, 87, 77, 87, 91, 43, 37, 70, 80, 36, 9, 48, 32, 34, 37, 29, 20, 97, 13, 68, 61, 51, 4, 10, 45, 50, 36, 33, 27, 40, 57, 52, 36, 11, 29, 2, 20, 6, 3, 4, 9]","[64.33, 74.32, 81.89, 85.1, 90.08, 88.44, 89.67, 84.68, 82.73, 84.54, 86.0, 74.56, 76.32, 82.55, 83.82, 77.78, 69.16, 65.21, 70.15, 63.66, 69.47, 69.45, 77.74, 74.23, 71.3, 80.36, 70.76, 72.92, 63.19, 57.38, 55.65, 55.07, 53.37, 61.48, 59.6, 53.48, 57.58, 65.66, 65.49, 65.32, 55.85, 52.48, 54.31, 46.34, 47.18, 45.29, 51.56, 50.68, 51.02, 45.67, 42.21, 39.98, 44.1, 35.84, 23.99, 19.55, 13.79, 9.84, 8.22]"
"[2, 9, 11, 8, 7, 6, 10, 38, 20, 37, 30, 14, 16, 1, 32, 24, 49, 50, 35, 25, 26, 29, 28, 21, 41, 12, 53, 39, 40, 33, 13, 18, 27, 57, 36, 48, 34, 52, 47, 4, 54, 17, 56, 0, 46, 19, 22, 42, 31, 3, 45, 23, 51, 44, 5, 15, 58, 43, 55, 59]","[39, 92, 90, 85, 85, 93, 88, 90, 33, 85, 45, 91, 90, 68, 67, 36, 59, 8, 89, 33, 87, 91, 30, 43, 70, 36, 77, 87, 80, 37, 20, 37, 29, 9, 97, 68, 48, 51, 61, 4, 32, 13, 27, 57, 10, 45, 50, 20, 46, 52, 40, 36, 29, 11, 34, 2, 6, 3, 4, 9]","[59.86, 68.06, 89.63, 81.1, 78.86, 81.17, 80.3, 87.57, 73.95, 79.88, 81.03, 75.99, 70.2, 71.22, 68.49, 71.95, 70.71, 67.78, 62.93, 77.23, 78.82, 76.82, 69.84, 73.8, 69.42, 70.59, 72.84, 68.93, 68.87, 64.2, 53.83, 54.44, 57.86, 55.75, 63.74, 67.55, 64.32, 62.87, 58.33, 58.27, 57.46, 51.1, 52.29, 49.64, 51.5, 49.25, 42.07, 49.29, 46.89, 41.44, 42.09, 37.27, 33.67, 36.04, 20.49, 17.73, 14.31, 11.56, 8.99]"
"[3, 10, 11, 21, 6, 8, 9, 0, 14, 7, 16, 42, 1, 5, 2, 32, 22, 13, 49, 24, 18, 25, 31, 12, 4, 15, 17, 44, 19, 20, 30, 23, 37, 27, 35, 26, 38, 29, 39, 41, 40, 53, 33, 28, 34, 36, 48, 52, 47, 50, 58, 46, 45, 54, 51, 56, 57, 43, 55, 59]","[52, 88, 90, 43, 93, 85, 92, 57, 91, 85, 90, 20, 68, 34, 39, 67, 50, 20, 59, 36, 37, 33, 46, 36, 4, 2, 13, 11, 45, 33, 45, 36, 85, 29, 89, 87, 90, 91, 87, 70, 80, 77, 37, 30, 48, 97, 68, 51, 61, 8, 6, 10, 40, 32, 29, 27, 9, 3, 4, 9]","[61.16, 74.38, 91.54, 76.81, 76.54, 70.34, 76.74, 83.54, 84.84, 80.29, 79.07, 71.11, 64.4, 61.95, 58.06, 51.51, 57.82, 48.75, 48.0, 45.2, 42.25, 40.76, 41.75, 36.41, 35.27, 33.81, 31.89, 33.7, 29.0, 26.82, 27.51, 26.95, 43.79, 32.74, 38.13, 53.28, 58.16, 61.24, 69.01, 68.6, 59.22, 62.63, 60.19, 61.04, 47.52, 51.34, 65.11, 55.07, 59.96, 52.72, 45.26, 42.28, 42.28, 36.55, 44.13, 28.65, 16.39, 9.41, 9.4]"
"[4, 1, 10, 11, 6, 9, 8, 0, 7, 14, 32, 21, 16, 5, 39, 41, 54, 49, 40, 20, 50, 2, 35, 38, 37, 27, 53, 33, 26, 29, 30, 34, 13, 28, 19, 22, 36, 17, 48, 47, 52, 56, 46, 12, 18, 23, 44, 24, 25, 31, 3, 58, 45, 51, 15, 57, 42, 43, 59, 55]","[4, 68, 88, 90, 93, 92, 85, 57, 85, 91, 67, 43, 90, 34, 87, 70, 32, 59, 80, 33, 8, 39, 89, 90, 85, 29, 77, 37, 87, 91, 45, 48, 20, 30, 45, 50, 97, 13, 68, 61, 51, 27, 10, 36, 37, 36, 11, 36, 33, 46, 52, 6, 40, 29, 2, 9, 20, 3, 9, 4]","[56.52, 63.67, 84.07, 82.72, 85.88, 67.38, 69.76, 81.8, 77.01, 63.82, 65.13, 62.73, 63.1, 58.44, 75.32, 68.57, 59.36, 66.61, 67.94, 71.72, 55.16, 55.08, 59.94, 81.28, 82.75, 70.27, 67.2, 66.25, 73.63, 70.4, 65.41, 61.24, 62.29, 59.29, 55.71, 52.31, 58.81, 52.35, 66.06, 66.11, 54.69, 52.44, 54.09, 48.37, 45.4, 50.73, 44.47, 41.39, 47.83, 45.84, 38.6, 35.48, 32.0, 30.29, 25.92, 29.12, 16.83, 9.87, 9.73]"
"[5, 9, 10, 11, 6, 8, 7, 38, 20, 37, 30, 0, 53, 40, 41, 14, 16, 39, 50, 35, 26, 29, 27, 21, 49, 33, 12, 13, 18, 57, 34, 28, 48, 36, 52, 47, 56, 4, 54, 17, 2, 19, 22, 23, 42, 46, 24, 45, 51, 3, 32, 31, 1, 15, 25, 58, 44, 43, 59, 55]","[34, 92, 88, 90, 93, 85, 85, 90, 33, 85, 45, 57, 77, 80, 70, 91, 90, 87, 8, 89, 87, 91, 29, 43, 59, 37, 36, 20, 37, 9, 48, 30, 68, 97, 51, 61, 27, 4, 32, 13, 39, 45, 50, 36, 20, 10, 36, 40, 29, 52, 67, 46, 68, 2, 33, 6, 11, 3, 9, 4]","[60.69, 72.81, 82.08, 82.65, 81.65, 73.8, 82.55, 89.5, 72.64, 79.19, 66.08, 61.3, 61.82, 66.61, 85.2, 81.79, 71.28, 73.64, 62.19, 76.43, 78.93, 74.96, 69.55, 74.17, 69.51, 71.51, 65.53, 55.98, 55.32, 62.23, 59.01, 55.45, 55.9, 65.16, 59.5, 56.23, 55.87, 52.87, 47.64, 46.9, 46.92, 44.67, 44.73, 44.92, 43.83, 40.0, 43.91, 41.6, 40.4, 43.46, 45.18, 41.28, 37.46, 30.44, 33.89, 27.42, 16.12, 10.21, 10.42]"
"[6, 9, 11, 35, 10, 14, 8, 1, 7, 38, 20, 16, 49, 31, 47, 50, 27, 2, 37, 32, 30, 41, 53, 39, 33, 40, 12, 13, 4, 29, 26, 21, 28, 34, 19, 54, 36, 52, 18, 48, 56, 46, 22, 24, 0, 17, 45, 3, 5, 23, 44, 51, 58, 25, 15, 57, 42, 43, 59, 55]","[93, 92, 90, 89, 88, 91, 85, 68, 85, 90, 33, 90, 59, 46, 61, 8, 29, 39, 85, 67, 45, 70, 77, 87, 37, 80, 36, 20, 4, 91, 87, 43, 30, 48, 45, 32, 97, 51, 37, 68, 27, 10, 50, 36, 57, 13, 40, 52, 34, 36, 11, 29, 6, 33, 2, 9, 20, 3, 9, 4]","[80.23, 85.71, 90.79, 89.8, 90.75, 89.14, 84.77, 89.81, 89.22, 88.58, 85.26, 84.1, 80.74, 78.41, 82.99, 71.93, 72.45, 67.74, 69.39, 69.64, 69.9, 67.56, 69.58, 72.67, 73.2, 66.6, 65.43, 58.58, 64.12, 74.9, 65.08, 62.29, 58.86, 57.03, 57.71, 60.15, 68.55, 58.98, 63.21, 54.81, 54.27, 49.87, 47.99, 49.92, 48.52, 51.12, 45.12, 47.14, 40.18, 40.75, 37.57, 35.34, 34.17, 34.23, 27.37, 23.75, 15.25, 12.12, 8.83]"
"[7, 10, 11, 6, 1, 38, 8, 20, 49, 9, 14, 16, 13, 42, 3, 37, 30, 32, 21, 2, 27, 18, 0, 5, 35, 47, 40, 41, 39, 53, 36, 52, 50, 26, 29, 33, 34, 28, 48, 12, 46, 19, 56, 22, 31, 17, 4, 54, 58, 23, 45, 24, 44, 51, 25, 15, 57, 43, 55, 59]","[85, 88, 90, 93, 68, 90, 85, 33, 59, 92, 91, 90, 20, 20, 52, 85, 45, 67, 43, 39, 29, 37, 57, 34, 89, 61, 80, 70, 87, 77, 97, 51, 8, 87, 91, 37, 48, 30, 68, 36, 10, 45, 27, 50, 46, 13, 4, 32, 6, 36, 40, 36, 11, 29, 33, 2, 9, 3, 4, 9]","[75.57, 81.55, 88.1, 85.24, 90.59, 89.89, 88.94, 81.64, 83.37, 81.3, 82.64, 76.86, 73.13, 68.25, 62.66, 66.16, 63.5, 63.52, 69.37, 60.82, 56.87, 60.42, 56.72, 55.67, 67.83, 63.11, 72.13, 68.06, 68.95, 65.81, 70.66, 68.41, 75.13, 74.46, 67.71, 68.82, 59.92, 61.2, 59.42, 57.99, 56.02, 51.59, 50.03, 48.71, 46.0, 48.42, 48.43, 41.96, 43.69, 38.37, 39.04, 36.22, 40.48, 34.2, 28.65, 24.16, 17.43, 8.43, 10.57]"
"[8, 10, 11, 6, 9, 0, 14, 7, 16, 59, 1, 32, 5, 2, 54, 3, 49, 13, 18, 12, 25, 42, 21, 31, 22, 24, 15, 4, 17, 19, 20, 23, 30, 37, 27, 35, 38, 40, 41, 39, 26, 29, 34, 53, 33, 28, 45, 36, 48, 52, 47, 56, 50, 46, 51, 58, 44, 43, 55, 57]","[85, 88, 90, 93, 92, 57, 91, 85, 90, 9, 68, 67, 34, 39, 32, 52, 59, 20, 37, 36, 33, 20, 43, 46, 50, 36, 2, 4, 13, 45, 33, 36, 45, 85, 29, 89, 90, 80, 70, 87, 87, 91, 48, 77, 37, 30, 40, 97, 68, 51, 61, 27, 8, 10, 29, 6, 11, 3, 4, 9]","[75.1, 80.04, 84.67, 85.4, 79.17, 89.92, 89.33, 86.32, 89.72, 71.28, 67.27, 65.63, 59.91, 58.35, 54.43, 55.71, 52.43, 44.57, 43.79, 42.24, 47.14, 42.7, 41.19, 39.63, 38.66, 35.99, 34.28, 34.62, 33.16, 30.32, 26.65, 26.45, 28.36, 35.49, 35.58, 36.06, 49.12, 61.92, 67.57, 67.97, 70.94, 62.47, 62.62, 67.03, 62.6, 53.68, 49.24, 53.87, 66.11, 62.47, 52.58, 49.31, 45.39, 36.85, 42.66, 27.74, 15.29, 10.27, 8.67]"
"[9, 6, 10, 38, 14, 11, 7, 1, 8, 20, 16, 49, 13, 4, 0, 29, 26, 37, 28, 22, 35, 30, 27, 50, 53, 33, 18, 39, 41, 40, 34, 21, 2, 54, 36, 17, 48, 47, 52, 46, 45, 12, 56, 25, 44, 19, 3, 23, 32, 31, 5, 24, 58, 51, 15, 57, 42, 43, 59, 55]","[92, 93, 88, 90, 91, 90, 85, 68, 85, 33, 90, 59, 20, 4, 57, 91, 87, 85, 30, 50, 89, 45, 29, 8, 77, 37, 37, 87, 70, 80, 48, 43, 39, 32, 97, 13, 68, 61, 51, 10, 40, 36, 27, 33, 11, 45, 52, 36, 67, 46, 34, 36, 6, 29, 2, 9, 20, 3, 9, 4]","[75.06, 84.96, 88.6, 91.27, 87.93, 89.0, 89.41, 90.56, 89.38, 84.52, 82.92, 77.22, 69.58, 62.15, 64.11, 75.26, 81.8, 83.32, 68.6, 66.61, 70.87, 66.25, 75.37, 64.87, 62.05, 58.91, 60.18, 72.59, 68.15, 62.75, 57.39, 62.13, 55.11, 52.66, 53.91, 68.21, 63.88, 63.3, 54.57, 52.75, 51.26, 48.25, 47.63, 44.19, 49.59, 45.31, 43.49, 42.44, 42.0, 41.98, 38.28, 36.76, 34.86, 30.79, 27.05, 26.19, 15.01, 9.37, 8.5]"
