selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 9, 8, 40, 26, 37, 39, 41, 48, 34, 53, 35, 36, 27, 47, 38, 52, 54, 56, 29, 33, 44, 23, 28, 30, 45, 18, 20, 42, 19, 51, 7, 50, 25, 43, 21, 57, 4, 55, 17, 22, 49, 16, 46, 14, 24, 59, 11, 12, 31, 10, 15, 6, 32, 3, 58, 5, 13, 2, 1]","[1, 2, 14, 59, 4, 52, 56, 48, 26, 38, 28, 42, 57, 1, 25, 57, 30, 14, 11, 0, 27, 9, 0, 4, 10, 2, 0, 0, 0, 2, 1, 11, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 6, 0, 28, 0, 0, 0, 0, 0, 0, 0]","[68.71, 38.54, 48.79, 57.03, 47.15, 49.75, 49.72, 48.2, 43.47, 42.6, 41.53, 40.5, 41.71, 31.7, 29.12, 39.33, 37.62, 31.61, 30.26, 24.69, 26.54, 24.9, 20.85, 17.61, 17.22, 17.6, 16.01, 15.37, 10.92, 8.95, 8.4, 9.33, 10.35, 8.18, 7.71, 7.34, 5.63, 5.34, 6.68, 5.35, 5.36, 4.85, 5.26, 4.9, 3.33, 4.21, 2.59, 2.6, 2.5, 1.98, 2.88, 2.11, 3.0, 2.69, 2.03, 1.47, 1.2, 1.09, 0.09]"
"[1, 9, 10, 11, 37, 26, 40, 39, 41, 35, 48, 53, 8, 29, 27, 44, 23, 38, 34, 47, 36, 52, 33, 56, 28, 54, 42, 45, 30, 19, 18, 51, 57, 20, 17, 25, 43, 50, 12, 55, 16, 46, 7, 21, 59, 4, 31, 14, 15, 49, 24, 58, 22, 13, 6, 2, 32, 3, 5, 0]","[0, 2, 6, 2, 52, 4, 59, 56, 48, 42, 26, 28, 14, 0, 1, 9, 0, 57, 38, 25, 57, 30, 27, 11, 4, 14, 0, 2, 10, 2, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1]","[65.4, 38.03, 47.75, 20.3, 62.2, 45.53, 49.52, 58.52, 53.11, 52.13, 46.9, 41.27, 39.16, 35.15, 31.7, 26.39, 27.38, 26.16, 28.47, 27.67, 28.39, 23.55, 23.77, 20.87, 22.22, 17.8, 17.69, 18.14, 15.87, 14.25, 11.62, 8.66, 10.05, 8.83, 8.25, 7.73, 6.53, 5.94, 5.61, 4.19, 4.07, 3.58, 4.41, 4.8, 3.76, 4.51, 3.53, 3.06, 3.3, 3.01, 1.82, 2.04, 1.22, 1.47, 1.67, 1.71, 1.42, 1.09, 0.76]"
"[2, 10, 8, 38, 26, 37, 36, 39, 41, 48, 40, 34, 53, 35, 52, 54, 29, 27, 47, 44, 56, 33, 28, 30, 23, 45, 18, 19, 42, 20, 50, 25, 55, 51, 17, 43, 57, 12, 21, 7, 11, 4, 59, 46, 14, 16, 49, 24, 15, 58, 22, 13, 3, 6, 9, 31, 5, 32, 0, 1]","[0, 6, 14, 57, 4, 52, 57, 56, 48, 26, 59, 38, 28, 42, 30, 14, 0, 1, 25, 9, 11, 27, 4, 10, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 11, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 28, 2, 0, 0, 0, 1, 0]","[58.15, 38.3, 77.36, 70.61, 50.03, 53.04, 48.43, 52.31, 52.72, 51.85, 49.96, 42.09, 40.76, 39.79, 40.33, 38.92, 35.3, 31.55, 26.85, 30.32, 25.63, 25.26, 20.13, 19.54, 16.76, 17.34, 15.87, 15.6, 12.11, 10.69, 11.45, 8.31, 7.82, 8.76, 7.57, 6.25, 5.62, 5.68, 5.06, 5.78, 6.2, 5.44, 4.38, 4.33, 3.87, 3.23, 2.91, 2.64, 1.97, 2.52, 2.09, 1.74, 1.44, 3.84, 1.87, 1.52, 1.37, 0.97, 0.48]"
"[3, 6, 9, 37, 26, 36, 8, 40, 39, 48, 41, 34, 53, 35, 27, 47, 38, 52, 54, 33, 29, 44, 56, 23, 7, 28, 45, 18, 42, 14, 30, 19, 11, 20, 12, 50, 25, 51, 43, 17, 10, 55, 4, 21, 49, 46, 16, 57, 24, 59, 15, 22, 58, 0, 31, 32, 5, 2, 13, 1]","[0, 28, 2, 52, 4, 57, 14, 59, 56, 26, 48, 38, 28, 42, 1, 25, 57, 30, 14, 27, 0, 9, 11, 0, 11, 4, 2, 0, 0, 0, 10, 2, 2, 0, 0, 0, 0, 1, 4, 0, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[67.26, 54.18, 41.03, 61.22, 38.19, 51.5, 54.93, 52.42, 50.8, 55.61, 46.15, 44.11, 42.71, 40.49, 33.15, 30.41, 39.55, 34.02, 31.68, 31.89, 27.32, 29.25, 24.72, 19.33, 20.55, 17.67, 18.8, 15.57, 16.89, 15.61, 14.02, 12.06, 11.4, 11.85, 9.66, 11.76, 10.52, 7.9, 8.4, 9.81, 8.57, 7.05, 6.91, 9.06, 7.02, 5.07, 4.74, 4.33, 3.71, 3.1, 2.25, 2.94, 2.48, 3.1, 1.58, 1.34, 1.27, 0.89, 0.18]"
"[4, 9, 10, 11, 37, 26, 27, 35, 48, 40, 41, 39, 53, 44, 29, 33, 47, 23, 34, 38, 36, 52, 8, 56, 54, 45, 28, 30, 19, 42, 20, 18, 51, 25, 55, 50, 59, 43, 17, 22, 12, 57, 49, 7, 14, 46, 15, 16, 21, 31, 13, 24, 58, 3, 6, 32, 0, 2, 5, 1]","[0, 2, 6, 2, 52, 4, 1, 42, 26, 59, 48, 56, 28, 9, 0, 27, 25, 0, 38, 57, 57, 30, 14, 11, 14, 2, 4, 10, 2, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 1, 0, 0, 0]","[68.64, 45.11, 49.75, 41.09, 63.18, 44.86, 26.93, 41.57, 51.14, 55.95, 52.85, 39.92, 32.98, 27.04, 25.69, 25.44, 24.65, 26.07, 24.38, 28.45, 26.04, 25.7, 23.97, 24.74, 17.99, 19.6, 15.83, 14.36, 12.36, 12.32, 11.03, 10.13, 9.89, 8.29, 8.3, 7.44, 7.58, 7.15, 5.46, 6.12, 5.22, 3.81, 3.55, 4.26, 4.01, 3.46, 4.37, 3.47, 3.15, 2.11, 3.03, 2.17, 2.01, 1.25, 1.71, 1.33, 1.42, 1.21, 0.08]"
"[5, 9, 0, 8, 38, 35, 26, 37, 36, 40, 39, 48, 41, 34, 53, 52, 54, 27, 47, 29, 44, 33, 28, 56, 23, 42, 30, 18, 45, 20, 51, 57, 43, 25, 19, 50, 17, 21, 55, 59, 7, 4, 16, 46, 49, 24, 22, 31, 11, 12, 14, 10, 15, 58, 6, 32, 3, 2, 13, 1]","[0, 2, 1, 14, 57, 42, 4, 52, 57, 59, 56, 26, 48, 38, 28, 30, 14, 1, 25, 0, 9, 27, 4, 11, 0, 0, 10, 0, 2, 0, 1, 0, 4, 0, 2, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 6, 0, 0, 28, 0, 0, 0, 0, 0]","[64.84, 43.68, 67.25, 79.2, 70.74, 68.93, 53.74, 49.48, 54.71, 52.1, 52.85, 52.85, 49.78, 44.7, 40.4, 38.51, 38.19, 34.8, 31.06, 26.83, 27.38, 24.22, 23.08, 20.36, 17.08, 16.09, 16.35, 14.71, 12.05, 11.73, 8.27, 8.06, 8.13, 7.41, 7.27, 5.69, 4.95, 5.27, 4.5, 4.0, 6.32, 4.68, 5.46, 4.68, 3.34, 4.73, 2.67, 2.57, 2.17, 2.14, 1.65, 2.59, 1.7, 1.44, 2.33, 1.94, 1.15, 0.75, 0.04]"
"[6, 9, 0, 26, 8, 16, 7, 11, 35, 34, 37, 27, 52, 40, 41, 39, 53, 48, 23, 47, 44, 36, 38, 56, 29, 33, 54, 28, 18, 42, 19, 30, 14, 45, 25, 20, 17, 12, 51, 10, 43, 50, 4, 55, 46, 21, 57, 3, 24, 49, 22, 59, 15, 58, 31, 32, 2, 13, 5, 1]","[28, 2, 1, 4, 14, 0, 11, 2, 42, 38, 52, 1, 30, 59, 48, 56, 28, 26, 0, 25, 9, 57, 57, 11, 0, 27, 14, 4, 0, 0, 2, 10, 0, 2, 0, 0, 0, 0, 1, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[62.38, 45.98, 48.62, 48.72, 38.07, 25.3, 20.66, 23.11, 33.14, 48.76, 47.78, 37.11, 44.06, 52.8, 52.21, 47.24, 46.27, 31.25, 30.0, 27.42, 26.66, 29.15, 31.2, 29.17, 23.93, 21.16, 22.6, 18.21, 16.81, 16.38, 16.83, 15.43, 13.57, 13.41, 12.84, 11.06, 15.6, 8.5, 8.57, 7.85, 8.19, 7.72, 7.08, 6.51, 6.74, 5.12, 5.63, 3.94, 3.72, 3.47, 3.38, 2.65, 2.54, 2.77, 1.9, 1.4, 0.75, 0.89, 0.04]"
"[7, 11, 37, 26, 35, 38, 12, 36, 48, 53, 39, 40, 41, 8, 27, 29, 34, 47, 44, 52, 33, 56, 28, 30, 54, 20, 23, 45, 42, 18, 14, 25, 57, 50, 51, 43, 19, 46, 4, 55, 17, 59, 16, 21, 49, 24, 31, 22, 15, 6, 10, 9, 32, 3, 58, 5, 2, 13, 1, 0]","[11, 2, 52, 4, 42, 57, 0, 57, 26, 28, 56, 59, 48, 14, 1, 0, 38, 25, 9, 30, 27, 11, 4, 10, 14, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 4, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 28, 6, 2, 0, 0, 0, 0, 0, 0, 0, 1]","[69.57, 33.15, 62.72, 36.19, 34.62, 40.07, 51.7, 48.31, 50.54, 46.4, 49.13, 58.09, 47.8, 40.96, 38.71, 33.33, 32.3, 28.89, 27.05, 26.59, 23.37, 25.01, 21.46, 21.16, 19.95, 20.94, 16.25, 14.58, 16.04, 11.37, 9.71, 9.84, 9.36, 9.44, 7.15, 6.51, 5.63, 5.42, 5.78, 4.57, 4.16, 3.39, 5.17, 2.69, 2.32, 3.04, 5.12, 2.04, 2.2, 3.93, 3.22, 3.42, 4.84, 2.89, 1.93, 1.47, 0.85, 0.83, 0.64]"
"[8, 10, 9, 37, 26, 30, 40, 41, 39, 48, 35, 53, 27, 44, 38, 29, 47, 54, 28, 34, 36, 33, 52, 56, 20, 23, 42, 18, 45, 12, 51, 25, 57, 43, 17, 50, 21, 55, 7, 14, 4, 19, 59, 46, 11, 16, 31, 22, 15, 49, 5, 58, 24, 6, 32, 0, 2, 3, 13, 1]","[14, 6, 2, 52, 4, 10, 59, 48, 56, 26, 42, 28, 1, 9, 57, 0, 25, 14, 4, 38, 57, 27, 30, 11, 0, 0, 0, 0, 2, 0, 1, 0, 0, 4, 0, 0, 0, 0, 11, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 28, 0, 1, 0, 0, 0, 0]","[68.39, 39.25, 52.84, 62.16, 45.15, 39.39, 55.98, 54.54, 45.98, 38.49, 41.09, 36.25, 30.41, 25.2, 28.61, 24.44, 24.28, 22.97, 22.32, 26.33, 23.93, 23.16, 21.6, 20.07, 17.9, 16.68, 15.18, 14.09, 10.41, 9.2, 9.03, 9.52, 7.75, 7.35, 8.49, 6.16, 6.67, 5.31, 6.58, 5.81, 10.11, 4.79, 4.5, 4.76, 4.92, 3.5, 3.94, 3.19, 4.25, 2.5, 1.91, 2.69, 1.6, 2.17, 2.63, 1.7, 1.13, 0.57, 0.2]"
"[9, 0, 8, 39, 40, 26, 41, 37, 48, 53, 35, 34, 27, 44, 47, 52, 33, 23, 38, 36, 29, 54, 56, 28, 30, 45, 19, 42, 17, 51, 7, 20, 14, 18, 50, 25, 43, 12, 57, 46, 16, 55, 4, 21, 59, 31, 49, 24, 22, 11, 10, 15, 13, 58, 6, 3, 5, 32, 2, 1]","[2, 1, 14, 56, 59, 4, 48, 52, 26, 28, 42, 38, 1, 9, 25, 30, 27, 0, 57, 57, 0, 14, 11, 4, 10, 2, 2, 0, 0, 1, 11, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 6, 0, 0, 0, 28, 0, 0, 0, 0, 0]","[48.88, 39.84, 45.14, 56.67, 60.18, 57.71, 50.99, 47.12, 46.7, 38.39, 38.88, 35.64, 31.14, 28.27, 31.6, 32.14, 29.6, 25.83, 35.76, 31.21, 23.5, 22.4, 19.18, 18.58, 18.56, 17.7, 14.31, 14.91, 12.36, 16.84, 12.65, 10.04, 10.73, 10.08, 9.86, 7.56, 6.96, 6.1, 5.63, 5.21, 4.85, 4.45, 3.93, 3.28, 3.55, 3.28, 2.97, 2.6, 2.39, 1.82, 2.85, 2.32, 1.68, 1.61, 3.32, 1.89, 1.55, 1.28, 0.33]"
