selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 10, 11, 9, 12, 6, 8, 1, 2, 49, 32, 13, 14, 15, 3, 5, 16, 31, 7, 4, 18, 21, 17, 22, 19, 24, 20, 29, 26, 38, 27, 30, 28, 51, 23, 35, 46, 25, 37, 57, 53, 47, 54, 42, 50, 45, 58, 34, 40, 36, 52, 48, 33, 55, 39, 59, 41, 44, 43, 56]","[95, 98, 97, 80, 50, 95, 39, 98, 97, 99, 99, 63, 49, 10, 10, 71, 98, 55, 28, 33, 92, 99, 7, 97, 99, 85, 82, 99, 99, 19, 99, 99, 97, 4, 4, 43, 16, 16, 50, 1, 3, 9, 56, 2, 0, 2, 1, 2, 9, 1, 1, 8, 1, 0, 2, 0, 7, 2, 1, 2]","[80.8, 89.57, 95.67, 85.45, 90.29, 91.13, 66.83, 80.79, 85.72, 82.16, 89.85, 78.14, 79.86, 73.35, 65.14, 53.58, 55.77, 56.29, 46.68, 45.25, 61.94, 76.67, 65.51, 74.59, 79.89, 81.61, 88.42, 82.32, 94.08, 77.01, 85.2, 95.7, 93.55, 61.97, 44.08, 45.82, 37.48, 58.14, 27.8, 31.17, 22.99, 19.7, 22.39, 17.94, 20.5, 15.02, 9.73, 11.14, 11.83, 7.57, 6.21, 8.2, 6.71, 4.48, 5.34, 3.69, 3.45, 2.01, 1.31]"
"[1, 10, 11, 14, 0, 3, 15, 6, 8, 2, 49, 9, 5, 32, 13, 12, 16, 31, 7, 4, 18, 21, 17, 22, 19, 24, 51, 20, 23, 29, 26, 38, 30, 27, 28, 37, 35, 46, 25, 57, 53, 47, 58, 54, 42, 50, 45, 34, 40, 36, 55, 33, 48, 59, 52, 41, 39, 44, 43, 56]","[98, 98, 97, 49, 95, 10, 10, 95, 39, 97, 99, 80, 71, 99, 63, 50, 98, 55, 28, 33, 92, 99, 7, 97, 99, 85, 4, 82, 4, 99, 99, 19, 99, 99, 97, 50, 43, 16, 16, 1, 3, 9, 1, 56, 2, 0, 2, 2, 9, 1, 0, 1, 8, 0, 1, 7, 2, 2, 1, 2]","[82.99, 90.44, 96.01, 91.26, 94.06, 87.41, 87.05, 79.89, 77.19, 81.38, 66.2, 59.83, 64.66, 74.51, 60.28, 52.99, 62.53, 55.38, 52.21, 52.25, 62.87, 80.06, 68.34, 79.26, 80.46, 82.68, 69.51, 68.3, 64.44, 51.27, 59.72, 50.65, 60.09, 78.65, 44.16, 44.83, 49.07, 42.47, 29.99, 33.52, 21.91, 17.48, 19.77, 21.08, 15.86, 12.89, 10.65, 9.52, 10.51, 8.24, 7.8, 5.72, 4.88, 6.1, 4.2, 4.17, 3.33, 1.92, 1.26]"
"[2, 10, 11, 6, 0, 14, 3, 49, 15, 8, 1, 9, 12, 5, 32, 13, 16, 31, 7, 4, 18, 21, 17, 22, 19, 29, 26, 38, 24, 20, 28, 27, 51, 30, 37, 23, 35, 46, 25, 57, 53, 47, 50, 58, 54, 45, 42, 40, 36, 33, 55, 34, 48, 52, 59, 41, 39, 44, 43, 56]","[97, 98, 97, 95, 95, 49, 10, 99, 10, 39, 98, 80, 50, 71, 99, 63, 98, 55, 28, 33, 92, 99, 7, 97, 99, 99, 99, 19, 85, 82, 97, 99, 4, 99, 50, 4, 43, 16, 16, 1, 3, 9, 0, 1, 56, 2, 2, 9, 1, 1, 0, 2, 8, 1, 0, 7, 2, 2, 1, 2]","[83.02, 90.39, 95.41, 91.84, 90.5, 93.21, 86.3, 88.97, 80.88, 76.61, 67.57, 65.14, 63.84, 65.87, 69.64, 50.89, 63.51, 59.68, 49.09, 46.63, 61.55, 79.25, 68.63, 78.49, 83.43, 78.75, 93.57, 79.61, 76.01, 73.3, 85.39, 92.22, 81.63, 68.98, 67.0, 46.66, 48.73, 44.69, 33.26, 30.33, 23.35, 17.85, 19.6, 17.96, 25.8, 22.86, 13.59, 12.16, 11.56, 9.65, 9.35, 5.97, 6.51, 5.83, 4.7, 4.7, 3.25, 2.64, 1.3]"
"[3, 9, 10, 11, 6, 14, 16, 8, 7, 32, 1, 2, 15, 0, 49, 13, 5, 12, 4, 31, 18, 21, 17, 22, 19, 24, 20, 29, 26, 38, 30, 27, 28, 51, 37, 23, 46, 35, 25, 45, 58, 53, 57, 54, 50, 42, 47, 34, 36, 40, 55, 52, 33, 48, 44, 39, 41, 59, 43, 56]","[10, 80, 98, 97, 95, 49, 98, 39, 28, 99, 98, 97, 10, 95, 99, 63, 71, 50, 33, 55, 92, 99, 7, 97, 99, 85, 82, 99, 99, 19, 99, 99, 97, 4, 50, 4, 16, 43, 16, 2, 1, 3, 1, 56, 0, 2, 9, 2, 1, 9, 0, 1, 1, 8, 2, 2, 7, 0, 1, 2]","[55.44, 64.32, 88.31, 93.01, 90.0, 82.33, 85.0, 62.4, 46.33, 67.04, 87.9, 79.51, 80.52, 72.68, 75.89, 63.22, 61.86, 53.95, 54.85, 45.4, 58.97, 77.39, 65.53, 76.42, 85.4, 83.74, 87.86, 83.95, 94.49, 77.1, 85.55, 94.79, 94.0, 69.41, 66.55, 43.71, 38.29, 41.79, 35.79, 28.64, 25.68, 25.02, 18.87, 20.09, 17.45, 10.78, 11.75, 9.85, 8.4, 11.84, 7.63, 8.05, 4.85, 4.23, 3.63, 3.69, 3.02, 2.0, 1.06]"
"[4, 9, 10, 11, 6, 8, 14, 0, 1, 2, 3, 49, 12, 15, 32, 13, 5, 16, 31, 7, 18, 21, 17, 22, 19, 24, 20, 29, 26, 38, 27, 28, 30, 51, 37, 23, 35, 46, 25, 57, 53, 47, 54, 42, 50, 58, 36, 45, 40, 33, 34, 55, 48, 52, 44, 39, 59, 41, 43, 56]","[33, 80, 98, 97, 95, 39, 49, 95, 98, 97, 10, 99, 50, 10, 99, 63, 71, 98, 55, 28, 92, 99, 7, 97, 99, 85, 82, 99, 99, 19, 99, 97, 99, 4, 50, 4, 43, 16, 16, 1, 3, 9, 56, 2, 0, 1, 1, 2, 9, 1, 2, 0, 8, 1, 2, 2, 0, 7, 1, 2]","[61.74, 67.62, 91.81, 91.77, 80.58, 65.28, 70.92, 66.53, 81.25, 83.94, 77.58, 78.92, 70.9, 61.09, 77.52, 65.94, 49.36, 59.8, 51.71, 46.14, 58.22, 75.73, 63.57, 78.94, 84.92, 83.52, 89.04, 88.25, 93.46, 78.59, 85.6, 92.95, 93.97, 69.32, 64.26, 45.95, 45.31, 43.87, 28.09, 35.55, 21.84, 22.13, 22.17, 17.61, 18.15, 11.99, 10.93, 11.35, 12.18, 9.07, 7.39, 6.59, 4.97, 4.62, 4.54, 4.14, 3.33, 2.56, 0.84]"
"[5, 10, 11, 9, 3, 6, 14, 16, 8, 7, 1, 2, 15, 0, 49, 32, 13, 12, 31, 4, 18, 21, 17, 22, 19, 24, 20, 29, 26, 38, 28, 27, 30, 51, 37, 23, 35, 46, 25, 57, 53, 47, 58, 54, 42, 50, 45, 40, 33, 36, 34, 48, 55, 52, 39, 41, 44, 59, 43, 56]","[71, 98, 97, 80, 10, 95, 49, 98, 39, 28, 98, 97, 10, 95, 99, 99, 63, 50, 55, 33, 92, 99, 7, 97, 99, 85, 82, 99, 99, 19, 97, 99, 99, 4, 50, 4, 43, 16, 16, 1, 3, 9, 1, 56, 2, 0, 2, 9, 1, 1, 2, 8, 0, 1, 2, 7, 2, 0, 1, 2]","[67.92, 83.52, 92.84, 82.22, 75.56, 91.5, 82.54, 84.34, 65.3, 67.91, 87.63, 83.24, 72.35, 80.69, 66.39, 70.5, 59.27, 48.2, 51.81, 43.4, 57.51, 77.87, 68.86, 79.52, 87.06, 85.24, 89.19, 85.62, 95.76, 76.61, 89.35, 90.07, 91.76, 66.52, 69.81, 46.13, 51.76, 42.45, 30.16, 35.67, 22.12, 17.79, 19.52, 24.1, 15.7, 13.31, 14.12, 12.59, 12.86, 9.24, 6.2, 6.29, 6.18, 4.81, 3.73, 3.26, 2.8, 2.16, 1.13]"
"[6, 11, 9, 10, 0, 3, 8, 49, 2, 15, 1, 5, 14, 32, 13, 12, 16, 31, 7, 4, 18, 17, 21, 22, 19, 24, 20, 29, 26, 38, 27, 30, 28, 51, 37, 23, 35, 46, 25, 57, 53, 48, 54, 42, 45, 58, 50, 40, 36, 55, 47, 33, 34, 59, 39, 44, 41, 52, 43, 56]","[95, 97, 80, 98, 95, 10, 39, 99, 97, 10, 98, 71, 49, 99, 63, 50, 98, 55, 28, 33, 92, 7, 99, 97, 99, 85, 82, 99, 99, 19, 99, 99, 97, 4, 50, 4, 43, 16, 16, 1, 3, 8, 56, 2, 2, 1, 0, 9, 1, 0, 9, 1, 2, 0, 2, 2, 7, 1, 1, 2]","[80.29, 87.25, 90.13, 76.23, 91.59, 85.35, 67.16, 80.96, 79.09, 81.08, 74.57, 75.32, 67.95, 73.85, 59.62, 54.5, 61.6, 54.39, 51.45, 44.22, 61.56, 41.23, 61.61, 72.56, 82.14, 83.75, 86.35, 86.6, 95.03, 75.7, 88.59, 95.56, 93.57, 65.22, 69.55, 48.29, 49.6, 44.37, 28.07, 36.22, 24.85, 19.14, 27.26, 19.81, 16.54, 16.24, 11.97, 12.21, 9.46, 10.2, 8.22, 8.32, 4.61, 5.88, 4.35, 4.02, 3.76, 1.82, 1.15]"
"[7, 9, 10, 11, 6, 16, 14, 0, 2, 49, 15, 8, 1, 3, 32, 13, 5, 12, 31, 4, 18, 21, 17, 22, 19, 24, 20, 29, 26, 38, 28, 27, 30, 51, 37, 23, 35, 46, 25, 58, 53, 47, 57, 54, 42, 50, 40, 36, 33, 34, 55, 45, 48, 59, 52, 39, 44, 41, 43, 56]","[28, 80, 98, 97, 95, 98, 49, 95, 97, 99, 10, 39, 98, 10, 99, 63, 71, 50, 55, 33, 92, 99, 7, 97, 99, 85, 82, 99, 99, 19, 97, 99, 99, 4, 50, 4, 43, 16, 16, 1, 3, 9, 1, 56, 2, 0, 9, 1, 1, 2, 0, 2, 8, 0, 1, 2, 2, 7, 1, 2]","[61.24, 67.76, 86.28, 87.5, 64.87, 81.87, 70.67, 88.89, 93.96, 91.72, 74.56, 73.83, 74.47, 61.44, 73.29, 62.07, 64.87, 52.85, 47.84, 47.56, 58.95, 78.36, 66.67, 78.45, 85.26, 83.82, 87.18, 85.23, 95.5, 76.83, 87.14, 92.06, 90.21, 69.31, 68.67, 46.48, 50.75, 43.84, 29.57, 33.13, 22.32, 22.78, 17.2, 24.83, 17.02, 11.52, 12.41, 12.4, 9.06, 9.7, 8.58, 5.54, 6.06, 5.03, 4.07, 3.83, 2.87, 2.01, 1.43]"
"[8, 9, 10, 11, 6, 14, 0, 3, 16, 49, 15, 29, 38, 30, 27, 28, 51, 26, 35, 2, 1, 12, 32, 24, 46, 31, 17, 7, 13, 5, 4, 20, 23, 22, 21, 18, 19, 25, 37, 57, 53, 48, 54, 42, 58, 50, 45, 40, 33, 34, 55, 36, 47, 59, 39, 41, 52, 44, 43, 56]","[39, 80, 98, 97, 95, 49, 95, 10, 98, 99, 10, 99, 19, 99, 99, 97, 4, 99, 43, 97, 98, 50, 99, 85, 16, 55, 7, 28, 63, 71, 33, 82, 4, 97, 99, 92, 99, 16, 50, 1, 3, 8, 56, 2, 1, 0, 2, 9, 1, 2, 0, 1, 9, 0, 2, 7, 1, 2, 1, 2]","[60.36, 66.26, 89.99, 85.46, 68.69, 70.61, 73.96, 62.89, 66.08, 81.46, 67.89, 73.93, 65.14, 71.19, 84.19, 84.21, 82.36, 70.68, 58.73, 63.99, 69.5, 63.59, 83.23, 76.91, 69.58, 65.14, 58.02, 58.31, 57.69, 55.94, 51.48, 60.04, 62.9, 68.45, 62.17, 49.4, 44.4, 52.62, 38.83, 30.55, 22.38, 19.62, 24.52, 22.59, 17.33, 19.02, 11.17, 10.69, 11.45, 10.15, 8.47, 8.23, 5.9, 5.01, 5.7, 5.59, 3.45, 2.57, 1.21]"
"[9, 10, 11, 6, 0, 3, 8, 16, 2, 49, 15, 1, 14, 5, 32, 13, 31, 12, 7, 4, 18, 17, 21, 22, 19, 24, 20, 29, 26, 38, 28, 27, 30, 51, 37, 23, 46, 35, 25, 58, 53, 50, 57, 54, 42, 40, 34, 47, 55, 52, 33, 36, 48, 45, 41, 39, 44, 59, 43, 56]","[80, 98, 97, 95, 95, 10, 39, 98, 97, 99, 10, 98, 49, 71, 99, 63, 55, 50, 28, 33, 92, 7, 99, 97, 99, 85, 82, 99, 99, 19, 97, 99, 99, 4, 50, 4, 16, 43, 16, 1, 3, 0, 1, 56, 2, 9, 2, 9, 0, 1, 1, 1, 8, 2, 7, 2, 2, 0, 1, 2]","[69.9, 83.5, 84.23, 76.76, 93.13, 85.11, 63.28, 71.41, 74.4, 84.75, 70.92, 77.98, 61.83, 64.91, 72.17, 61.42, 57.92, 59.97, 55.83, 49.37, 58.12, 40.99, 62.67, 76.23, 81.92, 83.33, 88.68, 87.43, 93.66, 74.23, 88.06, 93.24, 90.24, 67.03, 71.3, 48.88, 38.85, 44.79, 29.83, 31.38, 22.73, 21.79, 18.44, 21.16, 16.62, 12.76, 11.74, 9.52, 9.11, 10.44, 7.82, 6.08, 5.99, 5.08, 4.06, 4.94, 2.72, 2.02, 0.96]"
