selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 9, 6, 8, 7, 11, 10, 16, 49, 29, 14, 24, 1, 2, 5, 15, 32, 13, 3, 4, 31, 12, 25, 18, 42, 21, 22, 19, 17, 23, 20, 50, 35, 30, 53, 51, 46, 37, 28, 44, 38, 52, 54, 36, 57, 45, 59, 27, 56, 47, 33, 58, 26, 34, 48, 43, 40, 41, 55, 39]","[62, 89, 88, 73, 49, 92, 91, 93, 42, 1, 91, 38, 83, 73, 73, 0, 82, 51, 69, 33, 23, 31, 39, 53, 4, 46, 42, 21, 16, 2, 16, 0, 3, 3, 12, 0, 0, 10, 0, 1, 11, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 1, 5, 0, 0, 2, 0, 0, 0]","[62.37, 70.96, 81.49, 83.06, 83.35, 83.39, 70.77, 72.88, 87.6, 60.12, 55.48, 61.16, 64.66, 59.83, 59.94, 57.92, 61.93, 59.14, 56.79, 56.99, 41.7, 38.32, 39.34, 36.76, 37.92, 38.76, 37.92, 37.75, 26.24, 23.97, 18.18, 19.15, 15.83, 14.73, 12.3, 10.86, 11.24, 9.59, 10.28, 8.33, 8.43, 6.78, 5.25, 10.26, 5.78, 5.45, 5.51, 4.03, 4.17, 3.91, 3.48, 3.02, 2.35, 2.83, 2.15, 1.87, 1.74, 1.83, 1.07]"
"[1, 9, 11, 6, 8, 10, 49, 7, 0, 21, 12, 30, 14, 16, 2, 5, 15, 32, 13, 31, 4, 3, 25, 18, 22, 17, 19, 42, 24, 23, 20, 29, 50, 53, 35, 51, 37, 46, 27, 47, 54, 38, 52, 59, 45, 33, 28, 57, 36, 48, 43, 58, 26, 56, 40, 34, 41, 44, 55, 39]","[83, 89, 92, 88, 73, 91, 42, 49, 62, 46, 31, 3, 91, 93, 73, 73, 0, 82, 51, 23, 33, 69, 39, 53, 42, 16, 21, 4, 38, 2, 16, 1, 0, 12, 3, 0, 10, 0, 2, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 2, 5, 0, 1, 0, 0]","[74.08, 80.08, 90.45, 90.91, 86.82, 77.07, 77.61, 72.89, 75.04, 65.03, 70.03, 70.45, 70.7, 65.49, 59.7, 59.48, 58.75, 55.18, 48.12, 45.07, 42.86, 43.0, 41.59, 38.49, 39.57, 36.7, 34.48, 30.29, 26.44, 26.36, 17.67, 23.72, 16.12, 15.89, 12.75, 12.44, 10.83, 10.64, 10.51, 9.32, 7.87, 8.35, 11.32, 6.28, 6.33, 5.5, 4.99, 4.47, 3.95, 3.34, 3.62, 3.08, 3.12, 2.33, 2.36, 1.94, 2.28, 2.1, 1.12]"
"[2, 9, 11, 6, 8, 10, 37, 49, 1, 14, 16, 7, 5, 32, 0, 13, 15, 31, 4, 3, 18, 12, 21, 22, 24, 25, 19, 17, 42, 23, 20, 29, 47, 30, 51, 35, 53, 50, 46, 54, 38, 59, 28, 52, 57, 44, 36, 45, 33, 27, 26, 58, 56, 48, 34, 43, 40, 55, 41, 39]","[73, 89, 92, 88, 73, 91, 10, 42, 83, 91, 93, 49, 73, 82, 62, 51, 0, 23, 33, 69, 53, 31, 46, 42, 38, 39, 21, 16, 4, 2, 16, 1, 0, 3, 0, 3, 12, 0, 0, 0, 11, 0, 0, 0, 0, 1, 3, 0, 0, 2, 1, 0, 0, 0, 5, 0, 2, 0, 0, 0]","[68.71, 78.05, 90.55, 91.82, 83.66, 73.3, 82.33, 72.18, 72.54, 73.88, 77.45, 67.93, 67.93, 68.86, 67.8, 60.11, 50.69, 45.89, 44.69, 40.37, 41.46, 37.73, 39.53, 39.21, 37.86, 36.92, 40.03, 31.86, 26.81, 25.75, 22.99, 21.73, 21.39, 14.2, 17.0, 13.93, 17.46, 11.14, 9.66, 9.03, 13.22, 8.58, 8.56, 6.44, 5.46, 5.93, 7.78, 5.76, 3.84, 3.86, 3.87, 3.73, 3.41, 2.66, 2.76, 2.11, 3.01, 1.95, 1.09]"
"[3, 9, 11, 6, 10, 16, 14, 8, 7, 49, 26, 0, 1, 2, 5, 15, 32, 13, 31, 12, 4, 24, 18, 25, 42, 21, 22, 19, 17, 20, 50, 23, 30, 53, 29, 44, 46, 51, 35, 54, 59, 37, 28, 52, 47, 38, 57, 45, 56, 33, 58, 36, 27, 40, 34, 55, 43, 41, 48, 39]","[69, 89, 92, 88, 91, 93, 91, 73, 49, 42, 1, 62, 83, 73, 73, 0, 82, 51, 23, 31, 33, 38, 53, 39, 4, 46, 42, 21, 16, 16, 0, 2, 3, 12, 1, 1, 0, 0, 3, 0, 0, 10, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 2, 2, 5, 0, 0, 0, 0, 0]","[66.37, 75.33, 91.06, 86.44, 83.47, 82.05, 81.48, 80.11, 77.18, 84.44, 66.61, 62.42, 69.61, 64.05, 64.12, 60.11, 63.25, 58.88, 44.93, 43.07, 39.62, 39.17, 41.5, 37.47, 36.77, 39.11, 36.64, 38.91, 26.04, 22.3, 21.49, 19.99, 17.27, 16.21, 16.39, 13.47, 11.55, 12.88, 9.17, 15.07, 8.02, 7.99, 8.02, 8.96, 5.86, 6.66, 5.91, 4.78, 4.26, 4.52, 4.15, 3.59, 2.32, 2.13, 3.05, 2.12, 1.95, 1.7, 0.95]"
"[4, 9, 6, 8, 11, 10, 7, 0, 37, 49, 16, 14, 1, 2, 32, 5, 13, 31, 15, 3, 12, 18, 21, 24, 22, 25, 19, 42, 17, 23, 20, 29, 50, 35, 30, 53, 47, 51, 54, 46, 57, 28, 38, 52, 36, 59, 45, 33, 58, 26, 27, 44, 56, 34, 48, 41, 55, 43, 40, 39]","[33, 89, 88, 73, 92, 91, 49, 62, 10, 42, 93, 91, 83, 73, 82, 73, 51, 23, 0, 69, 31, 53, 46, 38, 42, 39, 21, 4, 16, 2, 16, 1, 0, 3, 3, 12, 0, 0, 0, 0, 0, 0, 11, 0, 3, 0, 0, 0, 0, 1, 2, 1, 0, 5, 0, 0, 0, 0, 2, 0]","[60.62, 66.43, 90.51, 83.03, 84.6, 70.35, 70.79, 68.74, 78.25, 69.83, 71.87, 63.23, 66.97, 61.12, 59.55, 57.33, 55.0, 50.06, 43.89, 42.59, 40.17, 38.94, 40.04, 40.64, 38.76, 37.84, 40.26, 38.6, 27.03, 26.5, 22.21, 21.88, 18.72, 14.2, 14.32, 15.58, 13.1, 9.5, 8.93, 9.93, 9.31, 9.04, 8.23, 5.38, 8.26, 6.12, 4.19, 4.28, 3.62, 3.76, 3.38, 3.07, 3.67, 2.71, 2.07, 2.38, 1.84, 1.06, 0.92]"
"[5, 10, 11, 6, 9, 8, 49, 7, 0, 38, 1, 2, 14, 16, 32, 13, 15, 31, 4, 3, 12, 18, 21, 25, 24, 22, 17, 19, 42, 23, 20, 30, 29, 50, 53, 37, 35, 59, 54, 46, 51, 28, 52, 36, 57, 47, 45, 27, 33, 26, 44, 34, 58, 56, 48, 55, 43, 40, 41, 39]","[73, 91, 92, 88, 89, 73, 42, 49, 62, 11, 83, 73, 91, 93, 82, 51, 0, 23, 33, 69, 31, 53, 46, 39, 38, 42, 16, 21, 4, 2, 16, 3, 1, 0, 12, 10, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 1, 1, 5, 0, 0, 0, 0, 0, 2, 0, 0]","[69.53, 80.52, 91.37, 87.72, 85.18, 76.15, 81.74, 73.21, 73.14, 73.75, 79.6, 67.94, 70.7, 63.47, 64.62, 63.91, 52.63, 43.92, 44.28, 44.0, 38.5, 39.38, 38.56, 38.58, 39.91, 38.46, 35.48, 28.04, 26.55, 26.41, 23.51, 19.04, 25.92, 15.54, 15.81, 15.95, 15.6, 16.36, 14.78, 11.87, 8.57, 8.03, 5.55, 9.32, 8.99, 8.96, 4.29, 4.23, 3.36, 3.72, 4.01, 3.66, 3.72, 2.6, 2.45, 2.11, 1.79, 1.89, 1.07]"
"[6, 9, 10, 11, 0, 7, 16, 26, 8, 49, 1, 2, 15, 14, 3, 5, 32, 13, 31, 4, 12, 24, 18, 25, 21, 17, 22, 42, 19, 23, 20, 50, 35, 29, 53, 44, 30, 46, 51, 54, 59, 37, 38, 45, 47, 57, 28, 52, 33, 36, 56, 34, 27, 55, 40, 48, 58, 43, 41, 39]","[88, 89, 91, 92, 62, 49, 93, 1, 73, 42, 83, 73, 0, 91, 69, 73, 82, 51, 23, 33, 31, 38, 53, 39, 46, 16, 42, 4, 21, 2, 16, 0, 3, 1, 12, 1, 3, 0, 0, 0, 0, 10, 11, 0, 0, 0, 0, 0, 0, 3, 0, 5, 2, 0, 2, 0, 0, 0, 0, 0]","[76.14, 79.14, 90.48, 83.85, 87.21, 66.18, 74.15, 73.22, 69.32, 58.88, 67.32, 63.41, 60.62, 58.75, 59.47, 60.36, 63.45, 59.37, 45.55, 44.23, 39.41, 38.35, 41.4, 36.71, 38.24, 37.62, 37.6, 36.95, 25.36, 26.27, 22.36, 20.71, 15.19, 15.23, 12.96, 13.94, 13.76, 11.02, 8.66, 9.63, 9.74, 7.5, 9.68, 8.87, 8.69, 9.28, 7.91, 5.6, 5.6, 3.65, 3.21, 3.46, 2.72, 2.93, 2.69, 2.57, 2.23, 2.03, 1.11]"
"[7, 9, 6, 10, 11, 49, 38, 2, 1, 5, 14, 16, 15, 8, 32, 0, 13, 31, 4, 3, 12, 18, 21, 24, 22, 25, 17, 19, 42, 23, 20, 35, 30, 29, 50, 53, 51, 37, 46, 47, 54, 59, 28, 52, 44, 36, 45, 33, 57, 26, 27, 56, 58, 34, 55, 48, 43, 40, 41, 39]","[49, 89, 88, 91, 92, 42, 11, 73, 83, 73, 91, 93, 0, 73, 82, 62, 51, 23, 33, 69, 31, 53, 46, 38, 42, 39, 16, 21, 4, 2, 16, 3, 3, 1, 0, 12, 0, 10, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 2, 0, 0, 5, 0, 0, 0, 2, 0, 0]","[60.34, 68.79, 81.95, 85.26, 69.05, 85.99, 73.77, 72.0, 70.16, 70.91, 65.47, 65.24, 64.56, 60.37, 63.99, 58.94, 53.78, 49.64, 44.33, 41.06, 38.5, 38.96, 40.12, 39.26, 38.11, 38.88, 36.65, 32.91, 26.49, 27.41, 24.0, 19.89, 17.25, 21.14, 15.49, 12.69, 11.19, 14.35, 11.07, 10.74, 11.57, 9.31, 8.76, 6.64, 5.54, 10.01, 6.29, 7.09, 4.39, 4.21, 3.86, 4.1, 2.41, 3.09, 2.2, 1.7, 1.57, 1.74, 1.11]"
"[8, 9, 6, 11, 10, 49, 38, 14, 7, 1, 2, 16, 5, 15, 32, 0, 13, 31, 4, 3, 12, 18, 21, 24, 22, 25, 17, 19, 42, 20, 23, 30, 29, 50, 53, 35, 51, 37, 46, 54, 59, 27, 52, 44, 57, 28, 36, 47, 45, 56, 33, 58, 26, 34, 48, 55, 40, 41, 43, 39]","[73, 89, 88, 92, 91, 42, 11, 91, 49, 83, 73, 93, 73, 0, 82, 62, 51, 23, 33, 69, 31, 53, 46, 38, 42, 39, 16, 21, 4, 16, 2, 3, 1, 0, 12, 3, 0, 10, 0, 0, 0, 2, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 5, 0, 0, 2, 0, 0, 0]","[66.74, 74.22, 83.83, 87.07, 72.23, 85.06, 74.03, 72.85, 72.29, 76.81, 69.65, 66.61, 65.55, 58.84, 64.02, 57.24, 52.55, 47.6, 44.87, 43.75, 38.89, 37.83, 39.72, 39.72, 37.66, 36.88, 36.23, 28.82, 26.61, 22.77, 21.48, 18.25, 22.96, 16.94, 14.73, 13.21, 12.09, 17.17, 12.24, 10.64, 9.91, 7.65, 6.55, 5.95, 5.51, 5.64, 6.51, 4.8, 4.29, 3.35, 3.48, 2.84, 2.61, 3.01, 2.74, 1.79, 2.05, 1.84, 1.11]"
"[9, 6, 11, 10, 0, 8, 16, 26, 7, 49, 14, 1, 2, 3, 15, 32, 13, 5, 31, 12, 4, 18, 25, 24, 17, 21, 22, 19, 42, 23, 20, 50, 35, 29, 53, 46, 30, 44, 59, 51, 37, 54, 38, 28, 47, 57, 52, 45, 36, 33, 58, 56, 27, 40, 34, 48, 43, 55, 41, 39]","[89, 88, 92, 91, 62, 73, 93, 1, 49, 42, 91, 83, 73, 69, 0, 82, 51, 73, 23, 31, 33, 53, 39, 38, 16, 46, 42, 21, 4, 2, 16, 0, 3, 1, 12, 0, 3, 1, 0, 0, 10, 0, 11, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 2, 5, 0, 0, 0, 0, 0]","[71.04, 81.15, 90.85, 82.74, 88.45, 76.62, 87.6, 77.69, 70.17, 58.84, 58.82, 63.14, 65.45, 64.93, 56.74, 62.54, 59.62, 57.5, 45.83, 44.5, 38.26, 43.3, 37.35, 35.81, 33.39, 37.15, 35.08, 34.53, 25.34, 24.77, 25.49, 20.18, 16.77, 17.2, 14.13, 12.32, 10.11, 10.21, 10.92, 9.0, 8.19, 8.03, 9.57, 9.65, 8.96, 8.61, 6.46, 4.87, 5.22, 4.45, 3.45, 3.18, 2.42, 2.76, 2.24, 2.23, 2.12, 1.94, 1.18]"
