selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
"[0, 10, 11, 1, 6, 8, 44, 9, 14, 7, 16, 3, 32, 13, 2, 38, 37, 30, 53, 35, 40, 29, 26, 21, 22, 27, 28, 24, 19, 20, 18, 17, 49, 23, 31, 39, 12, 36, 33, 51, 46, 41, 5, 25, 54, 58, 34, 48, 4, 56, 55, 52, 57, 15, 42, 47, 43, 45, 59, 50]","[86, 79, 82, 70, 84, 94, 21, 91, 90, 90, 32, 80, 92, 76, 27, 95, 94, 75, 94, 90, 43, 87, 88, 88, 90, 91, 91, 89, 86, 92, 87, 83, 87, 62, 82, 68, 77, 50, 94, 88, 4, 52, 74, 85, 76, 37, 68, 1, 12, 26, 31, 31, 2, 37, 44, 5, 54, 14, 0, 21]","[78.08, 78.8, 82.14, 82.76, 82.38, 86.14, 76.51, 74.79, 83.91, 70.99, 69.5, 70.12, 71.78, 69.84, 75.51, 86.13, 88.01, 82.98, 84.95, 84.69, 76.71, 79.04, 82.62, 83.73, 83.29, 82.94, 82.83, 82.5, 82.86, 80.82, 80.3, 82.6, 81.17, 79.82, 72.21, 70.16, 66.97, 60.43, 65.03, 59.37, 53.87, 55.88, 59.02, 49.46, 57.64, 52.85, 50.31, 44.54, 44.35, 36.71, 37.89, 37.99, 27.63, 23.37, 21.69, 19.76, 20.94, 22.14, 13.09]"
"[1, 9, 11, 6, 8, 10, 7, 38, 37, 44, 30, 40, 35, 24, 27, 21, 20, 28, 22, 26, 19, 29, 18, 49, 0, 32, 14, 13, 16, 23, 46, 31, 17, 12, 3, 2, 53, 39, 36, 5, 25, 33, 51, 54, 58, 34, 41, 52, 48, 4, 57, 56, 15, 47, 55, 42, 50, 59, 43, 45]","[70, 91, 82, 84, 94, 79, 90, 95, 94, 21, 75, 43, 90, 89, 91, 88, 92, 91, 90, 88, 86, 87, 87, 87, 86, 92, 90, 76, 32, 62, 4, 82, 83, 77, 80, 27, 94, 68, 50, 74, 85, 94, 88, 76, 37, 68, 52, 31, 1, 12, 2, 26, 37, 5, 31, 44, 21, 0, 54, 14]","[71.03, 80.56, 83.18, 87.26, 84.45, 84.86, 83.76, 87.49, 92.26, 84.6, 82.43, 73.07, 69.76, 77.36, 85.09, 85.63, 87.62, 87.79, 86.99, 84.84, 85.28, 82.54, 78.67, 78.09, 78.43, 76.55, 78.59, 76.36, 78.74, 81.26, 69.01, 69.12, 66.52, 70.42, 69.38, 70.55, 69.15, 70.22, 51.63, 53.66, 53.55, 59.66, 52.21, 54.54, 63.41, 59.96, 46.17, 43.86, 47.86, 39.14, 41.35, 27.39, 26.02, 26.89, 23.67, 20.83, 21.48, 20.61, 23.41]"
"[2, 9, 11, 6, 8, 10, 38, 7, 37, 35, 14, 26, 40, 30, 29, 20, 24, 21, 19, 22, 27, 16, 28, 18, 23, 0, 49, 32, 31, 13, 17, 3, 12, 51, 53, 33, 25, 39, 36, 46, 1, 5, 58, 34, 41, 48, 4, 54, 56, 52, 55, 42, 57, 15, 45, 47, 43, 44, 59, 50]","[27, 91, 82, 84, 94, 79, 95, 90, 94, 90, 90, 88, 43, 75, 87, 92, 89, 88, 86, 90, 91, 32, 91, 87, 62, 86, 87, 92, 82, 76, 83, 80, 77, 88, 94, 94, 85, 68, 50, 4, 70, 74, 37, 68, 52, 1, 12, 76, 26, 31, 31, 44, 2, 37, 14, 5, 54, 21, 0, 21]","[63.59, 73.73, 89.11, 84.03, 82.57, 82.98, 86.49, 86.91, 82.12, 80.64, 91.54, 90.15, 81.27, 75.21, 75.31, 82.34, 83.66, 86.28, 83.4, 78.68, 78.09, 87.4, 74.98, 74.2, 70.15, 75.24, 74.8, 80.03, 78.27, 77.11, 70.48, 72.21, 69.69, 69.39, 77.52, 73.38, 70.38, 67.15, 63.45, 64.27, 63.44, 56.12, 54.79, 55.03, 52.06, 62.15, 46.02, 44.92, 40.45, 38.07, 34.87, 41.79, 31.04, 26.77, 22.67, 21.1, 33.92, 21.67, 15.01]"
"[3, 10, 11, 6, 14, 7, 9, 16, 8, 1, 0, 2, 38, 37, 30, 35, 40, 53, 29, 26, 27, 28, 21, 24, 20, 22, 19, 18, 23, 17, 51, 33, 13, 32, 31, 49, 39, 46, 36, 12, 5, 25, 58, 41, 34, 48, 4, 54, 57, 52, 56, 55, 15, 42, 45, 44, 47, 59, 43, 50]","[80, 79, 82, 84, 90, 90, 91, 32, 94, 70, 86, 27, 95, 94, 75, 90, 43, 94, 87, 88, 91, 91, 88, 89, 92, 90, 86, 87, 62, 83, 88, 94, 76, 92, 82, 87, 68, 4, 50, 77, 74, 85, 37, 52, 68, 1, 12, 76, 2, 31, 26, 31, 37, 44, 14, 21, 5, 0, 54, 21]","[75.07, 77.9, 81.96, 81.64, 83.32, 85.83, 85.79, 81.72, 82.04, 77.72, 80.45, 84.56, 85.22, 86.1, 79.44, 81.49, 72.9, 75.69, 81.05, 79.86, 81.64, 81.85, 84.34, 84.08, 83.46, 85.46, 82.07, 82.45, 79.48, 79.47, 79.99, 79.97, 77.46, 80.48, 79.2, 71.53, 71.52, 71.3, 67.73, 61.41, 60.69, 59.55, 57.45, 53.99, 55.45, 58.66, 48.96, 44.97, 48.91, 39.98, 34.74, 31.29, 23.17, 28.02, 24.59, 21.79, 20.85, 17.36, 14.83]"
"[4, 9, 11, 6, 8, 38, 37, 10, 30, 35, 40, 7, 26, 29, 24, 20, 21, 22, 19, 14, 27, 23, 28, 36, 0, 32, 49, 13, 18, 31, 46, 16, 17, 12, 3, 1, 2, 53, 48, 5, 33, 51, 39, 25, 58, 41, 54, 52, 34, 56, 55, 57, 15, 47, 59, 42, 45, 44, 43, 50]","[12, 91, 82, 84, 94, 95, 94, 79, 75, 90, 43, 90, 88, 87, 89, 92, 88, 90, 86, 90, 91, 62, 91, 50, 86, 92, 87, 76, 87, 82, 4, 32, 83, 77, 80, 70, 27, 94, 1, 74, 94, 88, 68, 85, 37, 52, 76, 31, 68, 26, 31, 2, 37, 5, 0, 44, 14, 21, 54, 21]","[66.05, 74.33, 89.03, 84.95, 83.83, 86.37, 85.39, 79.07, 73.81, 82.19, 74.45, 70.5, 78.12, 71.53, 79.51, 80.16, 83.71, 83.84, 75.89, 77.88, 78.93, 75.27, 74.15, 80.12, 79.71, 79.42, 79.46, 76.53, 69.42, 74.51, 73.03, 63.39, 58.82, 65.58, 57.81, 56.88, 52.54, 63.27, 63.55, 64.11, 66.04, 64.1, 58.2, 53.64, 50.19, 42.68, 41.0, 36.69, 44.87, 32.31, 33.08, 29.77, 24.83, 22.24, 22.48, 25.39, 21.96, 16.36, 11.1]"
"[5, 9, 11, 42, 10, 6, 0, 1, 32, 29, 14, 26, 22, 21, 24, 30, 18, 19, 20, 27, 8, 28, 7, 38, 37, 35, 40, 13, 49, 16, 46, 31, 17, 12, 3, 23, 2, 36, 53, 33, 51, 39, 58, 25, 34, 48, 41, 4, 56, 54, 52, 55, 57, 15, 45, 44, 47, 59, 43, 50]","[74, 91, 82, 44, 79, 84, 86, 70, 92, 87, 90, 88, 90, 88, 89, 75, 87, 86, 92, 91, 94, 91, 90, 95, 94, 90, 43, 76, 87, 32, 4, 82, 83, 77, 80, 62, 27, 50, 94, 94, 88, 68, 37, 85, 68, 1, 52, 12, 26, 76, 31, 31, 2, 37, 14, 21, 5, 0, 54, 21]","[74.29, 81.5, 83.15, 86.86, 85.12, 70.22, 71.98, 67.87, 81.67, 80.83, 80.51, 77.4, 82.62, 87.49, 87.36, 81.09, 83.76, 82.48, 83.79, 82.41, 84.03, 82.51, 79.73, 81.07, 81.84, 88.78, 78.08, 78.27, 72.19, 79.18, 70.4, 71.18, 67.79, 72.1, 73.28, 69.51, 71.31, 58.01, 61.23, 60.32, 73.35, 57.34, 61.45, 50.33, 51.52, 45.75, 45.29, 46.69, 42.24, 42.15, 40.61, 40.1, 31.65, 27.03, 23.37, 23.82, 19.47, 18.58, 11.78]"
"[6, 9, 11, 14, 16, 0, 3, 10, 1, 2, 7, 8, 38, 37, 30, 40, 26, 35, 29, 27, 21, 22, 24, 20, 19, 28, 18, 23, 32, 31, 13, 49, 17, 51, 53, 33, 25, 39, 12, 5, 36, 46, 58, 34, 52, 41, 54, 42, 48, 57, 4, 56, 55, 15, 45, 47, 44, 50, 43, 59]","[84, 91, 82, 90, 32, 86, 80, 79, 70, 27, 90, 94, 95, 94, 75, 43, 88, 90, 87, 91, 88, 90, 89, 92, 86, 91, 87, 62, 92, 82, 76, 87, 83, 88, 94, 94, 85, 68, 77, 74, 50, 4, 37, 68, 31, 52, 76, 44, 1, 2, 12, 26, 31, 37, 14, 5, 21, 21, 54, 0]","[75.9, 83.21, 82.47, 86.31, 79.04, 82.34, 82.15, 82.47, 79.74, 83.75, 82.79, 84.04, 86.23, 85.22, 83.17, 73.77, 75.74, 78.13, 76.99, 76.19, 79.94, 81.4, 83.56, 81.82, 88.44, 76.64, 75.61, 74.42, 80.69, 79.95, 76.56, 75.36, 69.58, 72.73, 77.73, 74.34, 74.04, 70.18, 66.67, 65.49, 63.54, 59.08, 56.58, 55.07, 51.44, 49.15, 54.92, 47.06, 44.72, 41.79, 40.5, 31.12, 27.39, 26.94, 23.17, 22.44, 21.5, 19.27, 20.65]"
"[7, 6, 11, 35, 52, 14, 9, 8, 10, 1, 16, 30, 0, 2, 37, 38, 40, 26, 27, 29, 28, 24, 20, 19, 23, 21, 22, 32, 13, 18, 49, 31, 17, 3, 12, 25, 5, 53, 51, 33, 39, 46, 36, 58, 41, 34, 54, 42, 57, 48, 4, 56, 55, 15, 47, 44, 43, 45, 50, 59]","[90, 84, 82, 90, 31, 90, 91, 94, 79, 70, 32, 75, 86, 27, 94, 95, 43, 88, 91, 87, 91, 89, 92, 86, 62, 88, 90, 92, 76, 87, 87, 82, 83, 80, 77, 85, 74, 94, 88, 94, 68, 4, 50, 37, 52, 68, 76, 44, 2, 1, 12, 26, 31, 37, 5, 21, 54, 14, 21, 0]","[79.72, 83.03, 82.71, 88.02, 84.9, 86.98, 85.06, 83.07, 81.38, 73.61, 77.15, 75.23, 82.67, 77.22, 85.45, 82.68, 74.25, 77.59, 76.57, 77.56, 76.37, 82.38, 79.66, 77.27, 78.83, 80.0, 80.24, 79.87, 73.14, 76.69, 71.26, 71.76, 65.29, 71.79, 57.78, 64.38, 59.32, 77.5, 79.23, 74.97, 69.37, 68.06, 51.6, 55.1, 55.71, 50.78, 53.85, 45.59, 43.6, 45.87, 37.41, 31.0, 27.99, 26.97, 26.63, 21.61, 21.53, 20.48, 16.99]"
"[8, 9, 11, 16, 0, 10, 7, 6, 1, 2, 38, 37, 30, 20, 19, 24, 27, 28, 40, 26, 29, 21, 22, 18, 23, 51, 3, 12, 13, 32, 31, 49, 17, 14, 35, 53, 33, 39, 25, 36, 5, 46, 58, 34, 52, 41, 48, 4, 54, 56, 57, 55, 15, 42, 44, 47, 50, 43, 45, 59]","[94, 91, 82, 32, 86, 79, 90, 84, 70, 27, 95, 94, 75, 92, 86, 89, 91, 91, 43, 88, 87, 88, 90, 87, 62, 88, 80, 77, 76, 92, 82, 87, 83, 90, 90, 94, 94, 68, 85, 50, 74, 4, 37, 68, 31, 52, 1, 12, 76, 26, 2, 31, 37, 44, 21, 5, 21, 54, 14, 0]","[81.33, 87.87, 87.6, 81.92, 83.91, 82.93, 84.97, 82.72, 79.4, 84.19, 86.9, 84.44, 81.97, 87.02, 87.78, 85.84, 88.23, 85.11, 85.67, 81.65, 79.85, 82.49, 75.39, 75.66, 70.9, 71.21, 69.88, 70.48, 72.57, 74.85, 73.49, 74.78, 68.61, 69.13, 68.39, 79.64, 76.11, 73.76, 69.96, 65.49, 62.43, 62.07, 58.96, 53.91, 52.68, 47.55, 62.11, 46.65, 38.86, 34.54, 31.05, 27.64, 22.4, 25.75, 23.91, 20.18, 20.39, 21.65, 19.51]"
"[9, 6, 11, 14, 16, 10, 3, 0, 1, 2, 7, 8, 38, 37, 30, 21, 24, 19, 27, 20, 28, 26, 40, 22, 29, 18, 23, 32, 13, 31, 12, 51, 17, 49, 35, 53, 33, 25, 39, 36, 5, 46, 58, 34, 41, 47, 4, 54, 52, 57, 56, 55, 15, 48, 59, 42, 44, 43, 45, 50]","[91, 84, 82, 90, 32, 79, 80, 86, 70, 27, 90, 94, 95, 94, 75, 88, 89, 86, 91, 92, 91, 88, 43, 90, 87, 87, 62, 92, 76, 82, 77, 88, 83, 87, 90, 94, 94, 85, 68, 50, 74, 4, 37, 68, 52, 5, 12, 76, 31, 2, 26, 31, 37, 1, 0, 44, 21, 54, 14, 21]","[77.09, 84.77, 82.62, 86.69, 80.36, 81.25, 79.5, 83.0, 78.89, 82.45, 83.11, 83.12, 88.0, 83.58, 79.88, 85.31, 87.15, 87.16, 87.37, 88.96, 86.94, 89.97, 83.16, 82.82, 80.92, 77.43, 73.04, 77.77, 76.53, 72.6, 70.3, 68.61, 70.47, 67.84, 68.17, 77.08, 71.64, 73.94, 64.7, 65.24, 61.27, 58.86, 55.91, 54.83, 52.52, 45.27, 48.35, 46.08, 45.31, 40.25, 31.62, 31.89, 18.95, 22.9, 20.57, 22.78, 18.62, 21.43, 14.93]"
