,SD1,SD2,SD3,r2_train,r2_test,pr_train,pr_test,kt_train,kt_test
0,Reaction_CH2CF3,Reaction_CH2F,Reaction_Cy,0.9011823712571574,0.45860419271456665,0.9617157601073574,0.6958827684228739,0.7343729072411194,0.5789407688124092
1,Reaction_CH2CF3,Reaction_Cy,Reaction_SCF3,0.9021916085629409,0.15875236614782362,0.9585026793231766,0.4282098691014462,0.6804177182918885,0.31644577898035353
2,Reaction_CH2F,Reaction_CH2CF3,Reaction_Cy,0.9427494787483124,0.4678911591005894,0.9766371383162725,0.6988454107377442,0.7992591618372136,0.43701422443753785
3,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9438457321782344,0.20139522525741382,0.9746245059026766,0.6677762876417607,0.792521730180447,0.4705102345105931
4,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9013933640566565,0.5487164973783917,0.9598584926222207,0.7855279158176892,0.6959032897733751,0.6519681969695795
5,Reaction_CH2CF3,Reaction_CH2F,Reaction_Cy,0.9143075905536319,0.5518468604457121,0.961017519564454,0.7552486183921913,0.7880674204559743,0.533934579547552
6,Reaction_CH2CF3,Reaction_CH2F,Reaction_Cy,0.9249271623029041,0.5350062805890821,0.9708392186060271,0.7812005538943015,0.7517308484740696,0.5547798888046541
7,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9305723051064644,0.7003532664314666,0.9781525458793945,0.8463007353756716,0.7719355522166357,0.6006979790058123
8,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9318584781857229,0.46242334002784147,0.9725630229779297,0.7844125047395255,0.7548356617620477,0.6185076589161456
9,Reaction_CH2CF3,Reaction_Cy,Reaction_SCF3,0.9093777693423657,0.5275104966952304,0.9625198866035806,0.742471000086255,0.800918025049376,0.5125541114743538
10,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9338715780706837,0.6349630666329426,0.9749772928138768,0.8445593666287698,0.7060840481518559,0.6044022485274413
11,Reaction_CH2CF3,Reaction_Cy,Reaction_CS,0.8718610702506144,0.5150405781955048,0.9455449932150105,0.7269089447180265,0.7332127543340913,0.6284952860514562
12,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9255782637471733,0.6532460302920564,0.9699174694491143,0.8110648071330414,0.6920573516084227,0.5944637383551031
13,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9217610598209074,0.6196604815652051,0.9664846392566423,0.8018553306949874,0.8079862510427019,0.5961870417369526
14,Reaction_CH2F,Reaction_Cy,Reaction_CH2CF3,0.972183724897049,-0.30771869419985665,0.9881961445045175,0.5374135598174741,0.7972539423026231,0.36184776242420924
15,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9237476035786134,0.5969831218007153,0.9678475606983019,0.7941516042458839,0.7905778875014116,0.47663220347987895
16,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9292211634662491,0.4643124265072578,0.9700689240906727,0.7072151540843163,0.7219997050908177,0.5752188092367708
17,Reaction_CH2CF3,Reaction_CH2F,Reaction_Cy,0.9310942194666115,0.6177565581749052,0.9712591388282645,0.7967353150469321,0.8231095757281763,0.5176552628616401
18,Reaction_CH2CF3,Reaction_Cy,Reaction_SCF3,0.882225118020965,0.2776524652557234,0.9529682805637759,0.6023284753841925,0.7644888672318185,0.4524352452831375
19,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9599400757713945,0.33530927960699,0.9842592424684606,0.6976503950089918,0.7442507534573617,0.5282570833586298
20,Reaction_CH2CF3,Reaction_CH2F,Reaction_Cy,0.9474969435239959,0.3187691419861156,0.978591702619758,0.7362916579898746,0.825486345858629,0.49655764897519883
