random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[0, 3, 31, 49, 2, 12, 37, 52, 22, 56, 30, 46, 23, 53, 38, 41, 39, 40, 34, 43, 33, 28, 35, 48, 47, 36, 51, 29, 25, 15, 58, 27, 18, 32, 17, 13, 20, 21, 19, 24, 26, 1, 8, 7, 9, 50, 6, 11, 10, 16, 4, 14, 45, 5, 59, 57, 44, 55, 42]","[57.0, 52.0, 46.0, 59.0, 39.0, 36.0, 85.0, 51.0, 50.0, 27.0, 45.0, 10.0, 36.0, 77.0, 90.0, 70.0, 87.0, 80.0, 48.0, 3.0, 37.0, 30.0, 89.0, 68.0, 61.0, 97.0, 29.0, 91.0, 33.0, 2.0, 6.0, 29.0, 37.0, 67.0, 13.0, 20.0, 33.0, 43.0, 45.0, 36.0, 87.0, 68.0, 85.0, 85.0, 92.0, 8.0, 93.0, 90.0, 88.0, 90.0, 4.0, 91.0, 40.0, 34.0, 9.0, 9.0, 11.0, 4.0, 20.0]","[32.0, 50.25, 50.7, 49.54, 52.15, 50.74, 51.61, 68.35, 71.28, 70.83, 60.11, 58.79, 53.65, 49.09, 54.65, 65.41, 62.68, 70.1, 65.99, 63.59, 54.74, 54.52, 51.88, 57.94, 60.47, 54.94, 55.41, 46.81, 53.3, 46.63, 46.58, 41.41, 42.79, 42.38, 47.0, 46.53, 39.28, 38.56, 37.37, 39.83, 35.79, 34.72, 38.6, 48.36, 59.13, 66.23, 60.68, 64.62, 69.26, 69.59, 72.31, 50.97, 46.84, 44.3, 39.09, 32.51, 33.4, 20.5, 16.84]"
1,[8],"[0, 7, 6, 11, 5, 42, 10, 16, 9, 50, 1, 4, 14, 13, 15, 32, 58, 2, 31, 25, 20, 59, 28, 54, 46, 51, 49, 57, 3, 12, 36, 34, 53, 29, 45, 35, 38, 37, 41, 22, 52, 18, 40, 39, 33, 56, 48, 47, 43, 23, 17, 27, 24, 19, 21, 30, 26, 55, 44]","[57.0, 85.0, 93.0, 90.0, 34.0, 20.0, 88.0, 90.0, 92.0, 8.0, 68.0, 4.0, 91.0, 20.0, 2.0, 67.0, 6.0, 39.0, 46.0, 33.0, 33.0, 9.0, 30.0, 32.0, 10.0, 29.0, 59.0, 9.0, 52.0, 36.0, 97.0, 48.0, 77.0, 91.0, 40.0, 89.0, 90.0, 85.0, 70.0, 50.0, 51.0, 37.0, 80.0, 87.0, 37.0, 27.0, 68.0, 61.0, 3.0, 36.0, 13.0, 29.0, 36.0, 45.0, 43.0, 45.0, 87.0, 4.0, 11.0]","[85.0, 76.32, 79.12, 84.56, 82.86, 84.5, 74.52, 82.02, 73.13, 72.43, 70.73, 71.73, 71.7, 70.02, 64.71, 57.63, 59.99, 50.41, 55.99, 56.26, 47.0, 52.07, 44.25, 43.96, 44.1, 41.82, 43.49, 44.5, 44.05, 41.03, 39.02, 55.81, 53.2, 49.52, 46.61, 45.89, 59.03, 58.68, 59.15, 51.87, 49.45, 48.17, 45.92, 55.68, 60.01, 47.59, 47.89, 50.75, 43.13, 44.28, 43.56, 38.53, 34.7, 33.51, 38.41, 34.64, 36.65, 23.92, 20.53]"
2,[55],"[0, 3, 31, 53, 34, 36, 52, 29, 33, 25, 26, 28, 18, 30, 46, 56, 12, 27, 51, 49, 22, 38, 37, 41, 40, 39, 9, 50, 16, 6, 11, 10, 14, 4, 43, 13, 35, 48, 7, 15, 8, 57, 1, 23, 32, 2, 58, 5, 20, 17, 47, 19, 21, 24, 59, 45, 42, 44, 54]","[57.0, 52.0, 46.0, 77.0, 48.0, 97.0, 51.0, 91.0, 37.0, 33.0, 87.0, 30.0, 37.0, 45.0, 10.0, 27.0, 36.0, 29.0, 29.0, 59.0, 50.0, 90.0, 85.0, 70.0, 80.0, 87.0, 92.0, 8.0, 90.0, 93.0, 90.0, 88.0, 91.0, 4.0, 3.0, 20.0, 89.0, 68.0, 85.0, 2.0, 85.0, 9.0, 68.0, 36.0, 67.0, 39.0, 6.0, 34.0, 33.0, 13.0, 61.0, 45.0, 43.0, 36.0, 9.0, 40.0, 20.0, 11.0, 32.0]","[4.0, 40.04, 46.82, 47.99, 60.91, 56.37, 60.37, 60.77, 65.56, 56.03, 52.28, 75.86, 66.83, 60.26, 54.14, 54.06, 49.25, 47.43, 43.75, 43.11, 43.63, 43.52, 59.68, 48.35, 55.06, 61.44, 61.34, 67.17, 68.47, 64.84, 78.75, 78.93, 66.69, 65.41, 71.0, 61.71, 53.53, 48.89, 52.22, 54.42, 54.81, 56.89, 55.17, 52.11, 50.65, 50.54, 50.99, 53.0, 46.26, 47.14, 41.05, 36.52, 39.79, 41.52, 34.98, 38.57, 25.55, 21.98, 18.62]"
3,[15],"[0, 28, 31, 32, 36, 34, 53, 59, 52, 29, 56, 3, 13, 18, 33, 1, 12, 50, 51, 25, 2, 17, 48, 46, 47, 38, 37, 35, 41, 40, 39, 23, 58, 20, 49, 27, 6, 11, 10, 14, 16, 44, 4, 9, 5, 7, 8, 45, 22, 57, 24, 21, 19, 30, 26, 54, 42, 55, 43]","[57.0, 30.0, 46.0, 67.0, 97.0, 48.0, 77.0, 9.0, 51.0, 91.0, 27.0, 52.0, 20.0, 37.0, 37.0, 68.0, 36.0, 8.0, 29.0, 33.0, 39.0, 13.0, 68.0, 10.0, 61.0, 90.0, 85.0, 89.0, 70.0, 80.0, 87.0, 36.0, 6.0, 33.0, 59.0, 29.0, 93.0, 90.0, 88.0, 91.0, 90.0, 11.0, 4.0, 92.0, 34.0, 85.0, 85.0, 40.0, 50.0, 9.0, 36.0, 43.0, 45.0, 45.0, 87.0, 32.0, 20.0, 4.0, 3.0]","[2.0, 37.75, 37.31, 41.65, 52.59, 67.51, 59.47, 61.79, 61.72, 65.49, 61.3, 54.97, 50.54, 51.25, 46.75, 46.88, 54.18, 49.84, 50.36, 47.84, 45.17, 42.45, 39.25, 48.32, 43.27, 41.61, 54.83, 52.74, 51.36, 57.32, 62.59, 56.16, 49.05, 44.41, 41.34, 38.0, 34.35, 57.16, 57.25, 61.44, 64.14, 66.65, 57.49, 49.24, 49.77, 40.14, 53.0, 46.34, 41.16, 37.75, 34.83, 35.46, 37.15, 33.9, 37.48, 31.17, 34.41, 26.18, 21.72]"
4,[15],"[0, 28, 31, 32, 36, 34, 53, 59, 52, 29, 56, 3, 13, 18, 33, 1, 12, 50, 51, 25, 2, 17, 48, 46, 47, 38, 37, 35, 41, 40, 39, 23, 58, 20, 49, 27, 6, 11, 10, 14, 16, 44, 4, 9, 5, 7, 8, 45, 22, 57, 24, 21, 19, 30, 26, 54, 42, 55, 43]","[57.0, 30.0, 46.0, 67.0, 97.0, 48.0, 77.0, 9.0, 51.0, 91.0, 27.0, 52.0, 20.0, 37.0, 37.0, 68.0, 36.0, 8.0, 29.0, 33.0, 39.0, 13.0, 68.0, 10.0, 61.0, 90.0, 85.0, 89.0, 70.0, 80.0, 87.0, 36.0, 6.0, 33.0, 59.0, 29.0, 93.0, 90.0, 88.0, 91.0, 90.0, 11.0, 4.0, 92.0, 34.0, 85.0, 85.0, 40.0, 50.0, 9.0, 36.0, 43.0, 45.0, 45.0, 87.0, 32.0, 20.0, 4.0, 3.0]","[2.0, 37.75, 37.31, 41.65, 52.59, 67.51, 59.47, 61.79, 61.72, 65.49, 61.3, 54.97, 50.54, 51.25, 46.75, 46.88, 54.18, 49.84, 50.36, 47.84, 45.17, 42.45, 39.25, 48.32, 43.27, 41.61, 54.83, 52.74, 51.36, 57.32, 62.59, 56.16, 49.05, 44.41, 41.34, 38.0, 34.35, 57.16, 57.25, 61.44, 64.14, 66.65, 57.49, 49.24, 49.77, 40.14, 53.0, 46.34, 41.16, 37.75, 34.83, 35.46, 37.15, 33.9, 37.48, 31.17, 34.41, 26.18, 21.72]"
5,[39],"[0, 40, 41, 56, 23, 33, 43, 28, 48, 47, 35, 45, 34, 37, 52, 38, 53, 4, 36, 5, 31, 29, 51, 3, 25, 46, 58, 32, 49, 13, 12, 20, 27, 2, 17, 59, 30, 15, 26, 19, 22, 21, 24, 18, 1, 8, 54, 7, 50, 55, 57, 6, 11, 10, 9, 16, 14, 42, 44]","[57.0, 80.0, 70.0, 27.0, 36.0, 37.0, 3.0, 30.0, 68.0, 61.0, 89.0, 40.0, 48.0, 85.0, 51.0, 90.0, 77.0, 4.0, 97.0, 34.0, 46.0, 91.0, 29.0, 52.0, 33.0, 10.0, 6.0, 67.0, 59.0, 20.0, 36.0, 33.0, 29.0, 39.0, 13.0, 9.0, 45.0, 2.0, 87.0, 45.0, 50.0, 43.0, 36.0, 37.0, 68.0, 85.0, 32.0, 85.0, 8.0, 4.0, 9.0, 93.0, 90.0, 88.0, 92.0, 90.0, 91.0, 20.0, 11.0]","[87.0, 80.4, 81.56, 80.3, 70.68, 66.54, 71.96, 56.95, 55.66, 55.74, 55.63, 52.24, 55.8, 55.08, 58.89, 56.81, 60.91, 62.96, 54.92, 49.93, 49.07, 49.45, 59.35, 54.98, 55.35, 53.35, 47.48, 46.54, 50.96, 49.73, 43.22, 41.74, 38.32, 38.05, 38.38, 36.28, 37.12, 37.68, 35.28, 45.2, 40.03, 42.02, 41.05, 39.74, 37.01, 26.7, 42.44, 31.5, 44.35, 33.8, 33.78, 35.53, 51.8, 49.32, 52.02, 62.21, 47.96, 19.32, 17.26]"
6,[50],"[0, 3, 12, 2, 28, 31, 10, 11, 15, 6, 8, 7, 59, 42, 4, 1, 33, 58, 5, 32, 17, 16, 9, 14, 46, 13, 53, 25, 36, 34, 52, 47, 48, 37, 35, 38, 49, 41, 39, 40, 51, 44, 29, 22, 56, 23, 20, 45, 18, 27, 21, 57, 19, 24, 30, 26, 54, 55, 43]","[57.0, 52.0, 36.0, 39.0, 30.0, 46.0, 88.0, 90.0, 2.0, 93.0, 85.0, 85.0, 9.0, 20.0, 4.0, 68.0, 37.0, 6.0, 34.0, 67.0, 13.0, 90.0, 92.0, 91.0, 10.0, 20.0, 77.0, 33.0, 97.0, 48.0, 51.0, 61.0, 68.0, 85.0, 89.0, 90.0, 59.0, 70.0, 87.0, 80.0, 29.0, 11.0, 91.0, 50.0, 27.0, 36.0, 33.0, 40.0, 37.0, 29.0, 43.0, 9.0, 45.0, 36.0, 45.0, 87.0, 32.0, 4.0, 3.0]","[8.0, 43.28, 45.65, 43.26, 40.81, 41.2, 40.3, 65.5, 67.04, 70.98, 63.44, 76.32, 73.11, 66.67, 71.65, 62.68, 61.02, 53.54, 53.2, 48.06, 46.87, 52.43, 63.21, 66.93, 55.12, 56.03, 41.87, 44.86, 43.24, 63.65, 48.93, 45.54, 47.02, 46.3, 53.33, 68.77, 56.46, 57.18, 60.33, 66.09, 72.37, 59.77, 48.99, 45.7, 48.63, 49.22, 44.05, 43.74, 40.33, 40.69, 38.2, 37.64, 35.75, 38.75, 35.26, 37.23, 28.68, 27.2, 20.78]"
7,[20],"[0, 3, 2, 12, 46, 4, 31, 29, 56, 36, 53, 25, 28, 34, 17, 59, 13, 52, 49, 37, 26, 27, 22, 38, 35, 41, 33, 40, 39, 48, 47, 51, 30, 19, 21, 24, 18, 15, 23, 1, 32, 58, 5, 9, 50, 43, 16, 45, 14, 6, 10, 11, 44, 7, 8, 57, 54, 55, 42]","[57.0, 52.0, 39.0, 36.0, 10.0, 4.0, 46.0, 91.0, 27.0, 97.0, 77.0, 33.0, 30.0, 48.0, 13.0, 9.0, 20.0, 51.0, 59.0, 85.0, 87.0, 29.0, 50.0, 90.0, 89.0, 70.0, 37.0, 80.0, 87.0, 68.0, 61.0, 29.0, 45.0, 45.0, 43.0, 36.0, 37.0, 2.0, 36.0, 68.0, 67.0, 6.0, 34.0, 92.0, 8.0, 3.0, 90.0, 40.0, 91.0, 93.0, 88.0, 90.0, 11.0, 85.0, 85.0, 9.0, 32.0, 4.0, 20.0]","[33.0, 49.56, 50.85, 48.49, 45.45, 43.65, 41.89, 42.17, 54.6, 52.68, 45.68, 53.16, 51.17, 49.98, 45.77, 45.13, 39.03, 36.55, 37.33, 38.6, 44.75, 51.36, 52.6, 52.93, 50.44, 61.0, 59.78, 59.31, 63.24, 61.03, 60.26, 54.26, 45.34, 44.73, 43.64, 42.56, 43.1, 40.46, 43.2, 38.39, 41.96, 43.05, 34.53, 33.76, 58.39, 49.67, 37.18, 41.64, 41.74, 46.14, 57.88, 63.18, 31.63, 29.15, 49.31, 33.9, 24.87, 26.95, 14.91]"
8,[14],"[0, 16, 9, 50, 13, 7, 43, 6, 11, 10, 4, 1, 2, 58, 32, 5, 25, 15, 31, 3, 8, 59, 12, 46, 35, 33, 23, 51, 28, 53, 34, 36, 38, 29, 41, 37, 22, 52, 18, 45, 48, 39, 40, 47, 56, 49, 17, 20, 27, 24, 21, 19, 26, 30, 57, 54, 55, 42, 44]","[57.0, 90.0, 92.0, 8.0, 20.0, 85.0, 3.0, 93.0, 90.0, 88.0, 4.0, 68.0, 39.0, 6.0, 67.0, 34.0, 33.0, 2.0, 46.0, 52.0, 85.0, 9.0, 36.0, 10.0, 89.0, 37.0, 36.0, 29.0, 30.0, 77.0, 48.0, 97.0, 90.0, 91.0, 70.0, 85.0, 50.0, 51.0, 37.0, 40.0, 68.0, 87.0, 80.0, 61.0, 27.0, 59.0, 13.0, 33.0, 29.0, 36.0, 43.0, 45.0, 87.0, 45.0, 9.0, 32.0, 4.0, 20.0, 11.0]","[91.0, 79.1, 80.8, 87.23, 75.46, 69.7, 77.16, 70.32, 83.36, 74.86, 76.21, 59.46, 59.45, 58.85, 49.71, 51.01, 47.69, 49.15, 53.53, 47.0, 46.08, 46.94, 41.31, 46.35, 42.18, 55.74, 49.37, 47.18, 44.23, 42.72, 48.82, 41.67, 52.23, 50.98, 59.66, 53.84, 53.72, 47.8, 45.97, 48.03, 45.17, 48.66, 52.48, 47.33, 51.48, 45.26, 44.65, 38.9, 35.7, 34.63, 34.08, 35.37, 33.27, 50.31, 32.37, 27.29, 25.37, 20.9, 22.75]"
9,[29],"[0, 17, 14, 16, 13, 46, 53, 34, 31, 59, 28, 42, 3, 12, 36, 25, 52, 44, 10, 4, 50, 49, 2, 32, 26, 30, 27, 37, 38, 35, 11, 6, 15, 9, 41, 1, 33, 22, 39, 40, 51, 56, 19, 20, 48, 47, 58, 5, 21, 7, 8, 45, 18, 23, 24, 57, 54, 43, 55]","[57.0, 13.0, 91.0, 90.0, 20.0, 10.0, 77.0, 48.0, 46.0, 9.0, 30.0, 20.0, 52.0, 36.0, 97.0, 33.0, 51.0, 11.0, 88.0, 4.0, 8.0, 59.0, 39.0, 67.0, 87.0, 45.0, 29.0, 85.0, 90.0, 89.0, 90.0, 93.0, 2.0, 92.0, 70.0, 68.0, 37.0, 50.0, 87.0, 80.0, 29.0, 27.0, 45.0, 33.0, 68.0, 61.0, 6.0, 34.0, 43.0, 85.0, 85.0, 40.0, 37.0, 36.0, 36.0, 9.0, 32.0, 3.0, 4.0]","[91.0, 80.12, 65.12, 82.4, 75.61, 70.34, 63.42, 70.28, 63.17, 57.86, 62.02, 65.52, 54.94, 49.67, 46.28, 50.75, 48.59, 51.03, 47.75, 51.47, 48.85, 49.75, 49.12, 42.54, 35.76, 51.91, 46.27, 35.68, 53.32, 49.31, 55.6, 68.95, 53.77, 52.8, 58.37, 53.41, 54.63, 53.58, 51.21, 65.77, 66.55, 51.32, 46.65, 47.21, 47.66, 45.18, 44.29, 48.21, 43.01, 41.83, 53.83, 47.21, 46.57, 42.72, 41.25, 36.0, 26.84, 26.37, 25.23]"
