random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[0, 45, 57, 8, 7, 42, 44, 55, 50, 47, 48, 34, 30, 23, 28, 35, 33, 41, 51, 37, 36, 40, 39, 56, 24, 27, 38, 52, 25, 20, 43, 4, 26, 19, 53, 29, 46, 22, 18, 17, 21, 6, 49, 11, 1, 16, 58, 10, 2, 3, 31, 9, 14, 15, 12, 59, 5, 13, 32]","[20.0, 29.0, 2.0, 68.0, 48.0, 58.0, 32.0, 0.0, 0.0, 51.0, 74.0, 54.0, 53.0, 42.0, 30.0, 83.0, 38.0, 54.0, 34.0, 63.0, 39.0, 50.0, 62.0, 24.0, 35.0, 37.0, 77.0, 28.0, 8.0, 53.0, 26.0, 0.0, 63.0, 41.0, 71.0, 71.0, 0.0, 32.0, 39.0, 14.0, 41.0, 55.0, 6.0, 35.0, 0.0, 7.0, 1.0, 37.0, 0.0, 51.0, 0.0, 48.0, 13.0, 0.0, 20.0, 2.0, 0.0, 0.0, 0.0]","[60.0, 47.2, 45.98, 37.65, 54.4, 49.94, 51.69, 46.74, 51.25, 41.7, 45.6, 45.84, 51.71, 53.56, 51.85, 47.52, 57.41, 51.96, 51.17, 51.55, 50.72, 49.25, 47.56, 49.4, 46.57, 42.13, 41.97, 52.89, 51.13, 41.33, 42.27, 41.72, 39.36, 45.75, 40.2, 34.74, 39.64, 34.23, 35.53, 37.32, 32.03, 29.5, 32.93, 25.77, 28.9, 23.8, 18.79, 18.04, 16.57, 18.2, 22.72, 18.73, 17.76, 18.02, 11.92, 10.73, 9.63, 6.38, 4.44]"
1,[8],"[0, 7, 42, 54, 45, 44, 55, 51, 14, 48, 47, 50, 56, 25, 43, 27, 30, 28, 24, 20, 23, 35, 34, 41, 40, 39, 33, 37, 52, 36, 4, 19, 26, 38, 53, 29, 22, 17, 46, 21, 18, 57, 49, 1, 16, 3, 31, 58, 6, 10, 9, 11, 15, 2, 59, 12, 5, 13, 32]","[20.0, 48.0, 58.0, 60.0, 29.0, 32.0, 0.0, 34.0, 13.0, 74.0, 51.0, 0.0, 24.0, 8.0, 26.0, 37.0, 53.0, 30.0, 35.0, 53.0, 42.0, 83.0, 54.0, 54.0, 50.0, 62.0, 38.0, 63.0, 28.0, 39.0, 0.0, 41.0, 63.0, 77.0, 71.0, 71.0, 32.0, 14.0, 0.0, 41.0, 39.0, 2.0, 6.0, 0.0, 7.0, 51.0, 0.0, 1.0, 55.0, 37.0, 48.0, 35.0, 0.0, 0.0, 2.0, 20.0, 0.0, 0.0, 0.0]","[68.0, 53.12, 51.0, 55.12, 57.84, 54.75, 51.73, 50.1, 45.76, 43.18, 48.81, 48.2, 41.82, 41.8, 37.43, 37.42, 36.89, 42.26, 42.8, 37.96, 41.91, 41.42, 52.91, 48.55, 49.38, 44.91, 49.51, 41.63, 45.32, 41.12, 39.11, 31.66, 36.54, 41.0, 40.06, 32.48, 41.12, 35.7, 38.41, 31.57, 30.69, 30.32, 24.83, 16.93, 14.46, 12.16, 21.55, 13.47, 10.6, 16.43, 20.49, 16.68, 17.95, 15.6, 11.72, 11.52, 9.86, 7.13, 3.6]"
2,[55],"[0, 3, 34, 53, 36, 31, 52, 25, 28, 23, 35, 41, 51, 40, 33, 39, 56, 30, 20, 24, 26, 57, 27, 48, 47, 37, 38, 46, 29, 19, 22, 49, 21, 18, 17, 45, 43, 44, 54, 42, 8, 4, 50, 7, 6, 11, 10, 1, 14, 16, 5, 9, 58, 15, 2, 12, 59, 13, 32]","[20.0, 51.0, 54.0, 71.0, 39.0, 0.0, 28.0, 8.0, 30.0, 42.0, 83.0, 54.0, 34.0, 50.0, 38.0, 62.0, 24.0, 53.0, 53.0, 35.0, 63.0, 2.0, 37.0, 74.0, 51.0, 63.0, 77.0, 0.0, 71.0, 41.0, 32.0, 6.0, 41.0, 39.0, 14.0, 29.0, 26.0, 32.0, 60.0, 58.0, 68.0, 0.0, 0.0, 48.0, 55.0, 35.0, 37.0, 0.0, 13.0, 7.0, 0.0, 48.0, 1.0, 0.0, 0.0, 20.0, 2.0, 0.0, 0.0]","[0.0, 13.6, 31.26, 44.87, 52.96, 46.61, 49.57, 40.93, 44.37, 36.0, 38.79, 50.88, 53.52, 54.02, 51.0, 45.97, 46.83, 41.77, 42.51, 45.75, 42.87, 46.32, 45.42, 42.85, 54.03, 45.15, 41.86, 47.69, 39.45, 42.22, 23.94, 30.52, 31.46, 35.9, 27.79, 27.24, 22.35, 25.88, 20.98, 32.26, 28.96, 34.16, 34.45, 24.7, 24.56, 25.14, 28.12, 30.45, 26.02, 23.3, 18.56, 19.8, 19.3, 14.7, 12.77, 13.4, 12.35, 7.66, 4.91]"
3,[15],"[0, 28, 30, 20, 24, 18, 23, 27, 19, 26, 17, 21, 22, 56, 37, 46, 49, 41, 40, 39, 29, 38, 35, 33, 51, 34, 48, 36, 53, 52, 47, 45, 25, 43, 44, 57, 54, 8, 42, 50, 4, 7, 55, 6, 1, 58, 3, 16, 31, 59, 11, 10, 9, 14, 2, 12, 5, 32, 13]","[20.0, 30.0, 53.0, 53.0, 35.0, 39.0, 42.0, 37.0, 41.0, 63.0, 14.0, 41.0, 32.0, 24.0, 63.0, 0.0, 6.0, 54.0, 50.0, 62.0, 71.0, 77.0, 83.0, 38.0, 34.0, 54.0, 74.0, 39.0, 71.0, 28.0, 51.0, 29.0, 8.0, 26.0, 32.0, 2.0, 60.0, 68.0, 58.0, 0.0, 0.0, 48.0, 0.0, 55.0, 0.0, 1.0, 51.0, 7.0, 0.0, 2.0, 35.0, 37.0, 48.0, 13.0, 0.0, 20.0, 0.0, 0.0, 0.0]","[0.0, 13.0, 20.6, 36.29, 47.36, 43.94, 43.86, 42.3, 41.64, 40.38, 45.11, 37.89, 38.67, 40.33, 33.0, 42.95, 38.43, 37.87, 44.31, 47.35, 45.18, 43.72, 46.17, 58.85, 55.21, 49.83, 54.2, 52.06, 50.95, 54.03, 44.72, 35.07, 33.07, 31.77, 29.7, 24.9, 20.71, 29.1, 43.36, 33.84, 31.36, 23.19, 23.97, 20.01, 21.91, 12.0, 13.07, 15.42, 14.92, 11.15, 8.48, 14.16, 19.27, 17.0, 14.06, 14.56, 13.09, 8.75, 5.3]"
4,[15],"[0, 28, 30, 20, 24, 18, 23, 27, 19, 26, 17, 21, 22, 56, 37, 46, 49, 41, 40, 39, 29, 38, 35, 33, 51, 34, 48, 36, 53, 52, 47, 45, 25, 43, 44, 57, 54, 8, 42, 50, 4, 7, 55, 6, 1, 58, 3, 16, 31, 59, 11, 10, 9, 14, 2, 12, 5, 32, 13]","[20.0, 30.0, 53.0, 53.0, 35.0, 39.0, 42.0, 37.0, 41.0, 63.0, 14.0, 41.0, 32.0, 24.0, 63.0, 0.0, 6.0, 54.0, 50.0, 62.0, 71.0, 77.0, 83.0, 38.0, 34.0, 54.0, 74.0, 39.0, 71.0, 28.0, 51.0, 29.0, 8.0, 26.0, 32.0, 2.0, 60.0, 68.0, 58.0, 0.0, 0.0, 48.0, 0.0, 55.0, 0.0, 1.0, 51.0, 7.0, 0.0, 2.0, 35.0, 37.0, 48.0, 13.0, 0.0, 20.0, 0.0, 0.0, 0.0]","[0.0, 13.0, 20.6, 36.29, 47.36, 43.94, 43.86, 42.3, 41.64, 40.38, 45.11, 37.89, 38.67, 40.33, 33.0, 42.95, 38.43, 37.87, 44.31, 47.35, 45.18, 43.72, 46.17, 58.85, 55.21, 49.83, 54.2, 52.06, 50.95, 54.03, 44.72, 35.07, 33.07, 31.77, 29.7, 24.9, 20.71, 29.1, 43.36, 33.84, 31.36, 23.19, 23.97, 20.01, 21.91, 12.0, 13.07, 15.42, 14.92, 11.15, 8.48, 14.16, 19.27, 17.0, 14.06, 14.56, 13.09, 8.75, 5.3]"
5,[39],"[0, 40, 41, 56, 51, 43, 33, 57, 53, 52, 34, 35, 27, 23, 36, 28, 48, 47, 45, 37, 25, 38, 20, 46, 30, 26, 19, 29, 24, 49, 44, 42, 54, 8, 4, 50, 22, 17, 21, 55, 18, 7, 1, 58, 6, 11, 16, 10, 3, 31, 2, 5, 9, 15, 14, 12, 59, 32, 13]","[20.0, 50.0, 54.0, 24.0, 34.0, 26.0, 38.0, 2.0, 71.0, 28.0, 54.0, 83.0, 37.0, 42.0, 39.0, 30.0, 74.0, 51.0, 29.0, 63.0, 8.0, 77.0, 53.0, 0.0, 53.0, 63.0, 41.0, 71.0, 35.0, 6.0, 32.0, 58.0, 60.0, 68.0, 0.0, 0.0, 32.0, 14.0, 41.0, 0.0, 39.0, 48.0, 0.0, 1.0, 55.0, 35.0, 7.0, 37.0, 51.0, 0.0, 0.0, 0.0, 48.0, 0.0, 13.0, 20.0, 2.0, 0.0, 0.0]","[62.0, 52.76, 53.24, 53.9, 46.62, 47.18, 48.4, 44.26, 44.6, 51.74, 48.78, 45.05, 48.25, 46.68, 47.74, 47.54, 49.65, 54.66, 45.03, 45.33, 46.75, 42.34, 38.87, 49.01, 41.71, 40.47, 45.17, 40.84, 30.94, 26.74, 25.24, 26.58, 40.38, 43.03, 39.09, 35.56, 30.2, 31.65, 28.96, 30.53, 27.28, 21.44, 23.08, 14.38, 11.99, 11.55, 20.5, 15.37, 16.23, 21.3, 19.76, 17.56, 16.94, 16.09, 17.26, 14.01, 10.2, 6.46, 3.68]"
6,[50],"[0, 3, 28, 12, 29, 53, 36, 31, 37, 38, 56, 25, 41, 39, 40, 33, 51, 14, 34, 52, 35, 26, 19, 27, 23, 20, 30, 24, 48, 47, 46, 22, 21, 18, 45, 17, 49, 44, 43, 54, 42, 57, 8, 4, 55, 7, 1, 6, 11, 10, 9, 16, 15, 2, 5, 58, 59, 13, 32]","[20.0, 51.0, 30.0, 20.0, 71.0, 71.0, 39.0, 0.0, 63.0, 77.0, 24.0, 8.0, 54.0, 62.0, 50.0, 38.0, 34.0, 13.0, 54.0, 28.0, 83.0, 63.0, 41.0, 37.0, 42.0, 53.0, 53.0, 35.0, 74.0, 51.0, 0.0, 32.0, 41.0, 39.0, 29.0, 14.0, 6.0, 32.0, 26.0, 60.0, 58.0, 2.0, 68.0, 0.0, 0.0, 48.0, 0.0, 55.0, 35.0, 37.0, 48.0, 7.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0]","[0.0, 14.4, 26.63, 29.76, 26.76, 43.06, 53.78, 49.06, 47.46, 52.09, 53.96, 54.98, 46.32, 49.35, 54.78, 50.53, 48.94, 50.03, 44.39, 43.71, 44.43, 44.8, 47.94, 46.88, 46.18, 42.5, 42.3, 44.27, 43.33, 53.2, 46.8, 27.72, 30.61, 33.22, 33.84, 32.4, 31.72, 24.51, 28.63, 24.73, 36.1, 39.64, 37.0, 31.65, 27.54, 19.93, 21.55, 13.34, 21.13, 22.52, 23.39, 27.78, 20.51, 17.12, 16.48, 15.26, 10.59, 6.91, 4.01]"
7,[20],"[0, 18, 23, 19, 24, 35, 41, 38, 52, 47, 37, 34, 48, 27, 11, 33, 45, 40, 36, 39, 43, 26, 30, 28, 56, 51, 53, 25, 21, 22, 46, 29, 58, 49, 17, 44, 42, 54, 57, 8, 4, 50, 7, 55, 6, 10, 1, 16, 3, 31, 2, 9, 14, 15, 12, 5, 59, 13, 32]","[20.0, 39.0, 42.0, 41.0, 35.0, 83.0, 54.0, 77.0, 28.0, 51.0, 63.0, 54.0, 74.0, 37.0, 35.0, 38.0, 29.0, 50.0, 39.0, 62.0, 26.0, 63.0, 53.0, 30.0, 24.0, 34.0, 71.0, 8.0, 41.0, 32.0, 0.0, 71.0, 1.0, 6.0, 14.0, 32.0, 58.0, 60.0, 2.0, 68.0, 0.0, 0.0, 48.0, 0.0, 55.0, 37.0, 0.0, 7.0, 51.0, 0.0, 0.0, 48.0, 13.0, 0.0, 20.0, 0.0, 2.0, 0.0, 0.0]","[53.0, 45.74, 47.56, 48.46, 46.32, 43.27, 62.37, 61.52, 69.55, 63.85, 65.5, 64.2, 62.69, 59.19, 59.44, 54.83, 55.07, 51.93, 50.62, 49.51, 47.46, 46.92, 53.2, 50.92, 49.12, 48.28, 44.24, 47.06, 40.7, 41.47, 38.83, 39.69, 38.52, 34.66, 34.28, 27.27, 25.93, 40.89, 40.71, 36.3, 36.15, 40.19, 28.1, 23.88, 22.52, 22.97, 24.55, 23.74, 15.72, 21.39, 18.92, 16.89, 22.21, 13.06, 12.44, 13.54, 10.92, 9.06, 4.93]"
8,[14],"[0, 26, 30, 27, 19, 56, 28, 18, 20, 24, 21, 22, 17, 23, 46, 51, 29, 53, 36, 34, 41, 40, 35, 33, 38, 37, 52, 48, 47, 39, 31, 45, 43, 44, 42, 54, 25, 57, 8, 50, 4, 55, 7, 49, 6, 11, 1, 16, 10, 15, 9, 58, 2, 3, 12, 5, 59, 32, 13]","[20.0, 63.0, 53.0, 37.0, 41.0, 24.0, 30.0, 39.0, 53.0, 35.0, 41.0, 32.0, 14.0, 42.0, 0.0, 34.0, 71.0, 71.0, 39.0, 54.0, 54.0, 50.0, 83.0, 38.0, 77.0, 63.0, 28.0, 74.0, 51.0, 62.0, 0.0, 29.0, 26.0, 32.0, 58.0, 60.0, 8.0, 2.0, 68.0, 0.0, 0.0, 0.0, 48.0, 6.0, 55.0, 35.0, 0.0, 7.0, 37.0, 0.0, 48.0, 1.0, 0.0, 51.0, 20.0, 0.0, 2.0, 0.0, 0.0]","[13.0, 17.76, 47.39, 54.79, 48.38, 44.51, 46.38, 45.96, 42.36, 44.53, 41.06, 39.69, 40.9, 36.91, 32.92, 34.93, 39.3, 28.61, 49.53, 40.54, 40.98, 42.63, 46.28, 49.8, 50.34, 50.36, 53.29, 50.91, 49.55, 45.18, 39.46, 33.67, 33.27, 27.37, 25.15, 41.06, 43.74, 37.73, 32.96, 29.72, 32.54, 24.07, 20.69, 21.14, 14.82, 15.85, 20.77, 20.64, 17.2, 21.52, 17.5, 17.19, 13.49, 10.73, 13.17, 14.31, 11.84, 9.14, 4.66]"
9,[29],"[0, 17, 53, 34, 36, 14, 3, 31, 52, 28, 35, 38, 37, 33, 39, 41, 40, 56, 51, 46, 48, 47, 26, 27, 30, 23, 20, 19, 24, 18, 45, 49, 21, 22, 44, 43, 57, 42, 54, 8, 7, 25, 55, 4, 50, 11, 1, 10, 15, 6, 16, 59, 9, 58, 2, 12, 5, 13, 32]","[20.0, 14.0, 71.0, 54.0, 39.0, 13.0, 51.0, 0.0, 28.0, 30.0, 83.0, 77.0, 63.0, 38.0, 62.0, 54.0, 50.0, 24.0, 34.0, 0.0, 74.0, 51.0, 63.0, 37.0, 53.0, 42.0, 53.0, 41.0, 35.0, 39.0, 29.0, 6.0, 41.0, 32.0, 32.0, 26.0, 2.0, 58.0, 60.0, 68.0, 48.0, 8.0, 0.0, 0.0, 0.0, 35.0, 0.0, 37.0, 0.0, 55.0, 7.0, 2.0, 48.0, 1.0, 0.0, 20.0, 0.0, 0.0, 0.0]","[71.0, 54.68, 41.6, 55.37, 51.56, 50.54, 50.34, 53.78, 49.2, 42.14, 36.48, 54.51, 59.59, 57.2, 53.33, 61.04, 57.32, 51.72, 53.65, 48.48, 44.67, 46.6, 42.66, 45.85, 45.07, 48.31, 47.89, 50.44, 36.71, 32.4, 36.23, 34.51, 31.64, 35.91, 28.81, 30.78, 27.94, 25.5, 44.66, 37.65, 46.19, 46.07, 35.6, 35.47, 34.93, 26.26, 26.77, 22.78, 26.1, 27.06, 22.8, 19.05, 19.83, 15.93, 14.08, 12.88, 11.49, 7.05, 3.44]"
