random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[0, 3, 12, 31, 32, 49, 13, 2, 10, 16, 4, 14, 53, 25, 11, 46, 59, 15, 34, 5, 6, 7, 1, 9, 8, 38, 35, 50, 58, 28, 37, 48, 45, 18, 22, 21, 20, 19, 24, 23, 17, 29, 51, 56, 26, 36, 30, 27, 33, 47, 57, 52, 41, 39, 40, 43, 44, 42, 55]","[92.0, 94.0, 92.0, 92.0, 92.0, 87.0, 89.0, 92.0, 91.0, 93.0, 87.0, 91.0, 70.0, 87.0, 92.0, 15.0, 0.0, 75.0, 62.0, 94.0, 88.0, 49.0, 94.0, 89.0, 74.0, 68.0, 51.0, 12.0, 0.0, 29.0, 69.0, 3.0, 9.0, 86.0, 85.0, 80.0, 73.0, 80.0, 79.0, 59.0, 79.0, 34.0, 48.0, 15.0, 39.0, 61.0, 57.0, 36.0, 31.0, 14.0, 0.0, 44.0, 24.0, 38.0, 35.0, 57.0, 57.0, 75.0, 5.0]","[0.0, 67.16, 75.18, 85.08, 80.18, 83.92, 82.7, 84.71, 85.21, 86.65, 87.99, 83.93, 82.55, 84.52, 80.31, 84.1, 84.45, 84.48, 75.53, 70.47, 71.87, 74.03, 71.43, 71.51, 64.64, 64.81, 65.92, 56.88, 60.38, 56.8, 45.58, 52.09, 47.13, 45.06, 64.19, 69.23, 62.01, 66.29, 73.77, 70.08, 55.94, 65.77, 45.51, 45.94, 50.09, 46.92, 41.1, 46.56, 40.3, 38.17, 37.16, 38.95, 36.1, 25.78, 29.73, 16.61, 37.28, 35.38, 25.29]"
1,[8],"[0, 3, 12, 31, 13, 32, 49, 2, 10, 29, 5, 11, 4, 15, 16, 9, 6, 14, 25, 59, 46, 1, 7, 35, 50, 55, 26, 53, 34, 38, 37, 52, 28, 36, 47, 18, 22, 17, 20, 21, 19, 24, 23, 33, 58, 45, 30, 27, 51, 56, 41, 57, 39, 40, 48, 42, 43, 44, 54]","[92.0, 94.0, 92.0, 92.0, 89.0, 92.0, 87.0, 92.0, 91.0, 34.0, 94.0, 92.0, 87.0, 75.0, 93.0, 89.0, 88.0, 91.0, 87.0, 0.0, 15.0, 94.0, 49.0, 51.0, 12.0, 5.0, 39.0, 70.0, 62.0, 68.0, 69.0, 44.0, 29.0, 61.0, 14.0, 86.0, 85.0, 79.0, 73.0, 80.0, 80.0, 79.0, 59.0, 31.0, 0.0, 9.0, 57.0, 36.0, 48.0, 15.0, 24.0, 0.0, 38.0, 35.0, 3.0, 75.0, 57.0, 57.0, 0.0]","[74.0, 86.42, 89.62, 90.12, 89.82, 89.59, 89.02, 89.14, 88.71, 87.91, 86.98, 88.31, 88.63, 89.25, 84.86, 84.35, 82.73, 82.23, 83.58, 82.85, 83.23, 81.95, 83.9, 61.96, 62.04, 60.26, 54.5, 48.89, 56.85, 49.92, 57.75, 48.17, 47.4, 47.99, 50.91, 46.55, 68.16, 70.6, 58.36, 55.06, 59.19, 70.76, 70.39, 54.88, 48.75, 43.27, 41.02, 47.89, 37.35, 45.03, 39.32, 35.06, 26.75, 27.62, 27.61, 16.66, 46.79, 55.39, 29.93]"
2,[55],"[0, 3, 34, 31, 32, 12, 49, 2, 13, 4, 10, 14, 16, 46, 29, 25, 59, 11, 15, 5, 6, 7, 9, 1, 38, 37, 8, 35, 28, 50, 53, 18, 22, 21, 19, 20, 24, 23, 17, 58, 57, 36, 47, 26, 52, 33, 30, 27, 48, 45, 51, 41, 56, 39, 40, 42, 44, 43, 54]","[92.0, 94.0, 62.0, 92.0, 92.0, 92.0, 87.0, 92.0, 89.0, 87.0, 91.0, 91.0, 93.0, 15.0, 34.0, 87.0, 0.0, 92.0, 75.0, 94.0, 88.0, 49.0, 89.0, 94.0, 68.0, 69.0, 74.0, 51.0, 29.0, 12.0, 70.0, 86.0, 85.0, 80.0, 80.0, 73.0, 79.0, 59.0, 79.0, 0.0, 0.0, 61.0, 14.0, 39.0, 44.0, 31.0, 57.0, 36.0, 3.0, 9.0, 48.0, 24.0, 15.0, 38.0, 35.0, 75.0, 57.0, 57.0, 0.0]","[5.0, 64.16, 78.82, 75.91, 84.33, 86.41, 80.3, 82.04, 88.58, 81.46, 84.1, 84.12, 84.84, 80.86, 82.16, 77.81, 78.48, 77.64, 83.23, 77.95, 73.07, 78.19, 70.9, 69.78, 64.57, 64.32, 65.08, 66.41, 63.18, 58.64, 54.86, 48.03, 66.07, 75.74, 63.5, 72.19, 73.67, 71.17, 62.01, 54.5, 51.29, 56.65, 53.07, 47.72, 44.74, 41.05, 38.22, 44.54, 36.33, 41.74, 35.55, 37.59, 37.51, 25.4, 25.67, 16.68, 48.66, 53.43, 30.62]"
3,[15],"[0, 28, 11, 6, 7, 10, 2, 13, 5, 12, 32, 31, 14, 59, 3, 4, 16, 46, 55, 49, 9, 1, 8, 17, 18, 22, 21, 29, 25, 50, 53, 19, 20, 24, 23, 38, 35, 37, 58, 57, 34, 36, 47, 26, 52, 33, 27, 30, 41, 48, 51, 45, 56, 39, 40, 42, 44, 43, 54]","[92.0, 29.0, 92.0, 88.0, 49.0, 91.0, 92.0, 89.0, 94.0, 92.0, 92.0, 92.0, 91.0, 0.0, 94.0, 87.0, 93.0, 15.0, 5.0, 87.0, 89.0, 94.0, 74.0, 79.0, 86.0, 85.0, 80.0, 34.0, 87.0, 12.0, 70.0, 80.0, 73.0, 79.0, 59.0, 68.0, 51.0, 69.0, 0.0, 0.0, 62.0, 61.0, 14.0, 39.0, 44.0, 31.0, 36.0, 57.0, 24.0, 3.0, 48.0, 9.0, 15.0, 38.0, 35.0, 75.0, 57.0, 57.0, 0.0]","[75.0, 86.05, 80.98, 86.42, 85.02, 82.58, 81.98, 85.9, 82.56, 86.52, 87.6, 87.65, 86.89, 87.83, 88.95, 83.52, 77.81, 78.13, 71.26, 72.24, 70.85, 72.45, 57.97, 58.65, 75.11, 73.48, 75.71, 68.32, 62.24, 61.6, 65.85, 69.99, 73.19, 71.17, 70.97, 68.31, 66.87, 59.04, 58.89, 56.45, 56.62, 55.48, 53.28, 47.2, 43.67, 43.01, 39.37, 37.49, 33.76, 31.29, 31.21, 34.97, 37.41, 25.26, 27.12, 15.67, 41.94, 55.16, 27.82]"
4,[15],"[0, 28, 11, 6, 7, 10, 2, 13, 5, 12, 32, 31, 14, 59, 3, 4, 16, 46, 55, 49, 9, 1, 8, 17, 18, 22, 21, 29, 25, 50, 53, 19, 20, 24, 23, 38, 35, 37, 58, 57, 34, 36, 47, 26, 52, 33, 27, 30, 41, 48, 51, 45, 56, 39, 40, 42, 44, 43, 54]","[92.0, 29.0, 92.0, 88.0, 49.0, 91.0, 92.0, 89.0, 94.0, 92.0, 92.0, 92.0, 91.0, 0.0, 94.0, 87.0, 93.0, 15.0, 5.0, 87.0, 89.0, 94.0, 74.0, 79.0, 86.0, 85.0, 80.0, 34.0, 87.0, 12.0, 70.0, 80.0, 73.0, 79.0, 59.0, 68.0, 51.0, 69.0, 0.0, 0.0, 62.0, 61.0, 14.0, 39.0, 44.0, 31.0, 36.0, 57.0, 24.0, 3.0, 48.0, 9.0, 15.0, 38.0, 35.0, 75.0, 57.0, 57.0, 0.0]","[75.0, 86.05, 80.98, 86.42, 85.02, 82.58, 81.98, 85.9, 82.56, 86.52, 87.6, 87.65, 86.89, 87.83, 88.95, 83.52, 77.81, 78.13, 71.26, 72.24, 70.85, 72.45, 57.97, 58.65, 75.11, 73.48, 75.71, 68.32, 62.24, 61.6, 65.85, 69.99, 73.19, 71.17, 70.97, 68.31, 66.87, 59.04, 58.89, 56.45, 56.62, 55.48, 53.28, 47.2, 43.67, 43.01, 39.37, 37.49, 33.76, 31.29, 31.21, 34.97, 37.41, 25.26, 27.12, 15.67, 41.94, 55.16, 27.82]"
5,[39],"[0, 3, 12, 2, 13, 16, 32, 10, 31, 49, 4, 14, 25, 29, 15, 6, 11, 5, 7, 59, 46, 9, 1, 8, 50, 55, 28, 34, 53, 35, 18, 22, 21, 17, 20, 19, 24, 23, 58, 38, 37, 36, 47, 33, 26, 52, 30, 27, 45, 51, 56, 41, 48, 57, 40, 43, 44, 42, 54]","[92.0, 94.0, 92.0, 92.0, 89.0, 93.0, 92.0, 91.0, 92.0, 87.0, 87.0, 91.0, 87.0, 34.0, 75.0, 88.0, 92.0, 94.0, 49.0, 0.0, 15.0, 89.0, 94.0, 74.0, 12.0, 5.0, 29.0, 62.0, 70.0, 51.0, 86.0, 85.0, 80.0, 79.0, 73.0, 80.0, 79.0, 59.0, 0.0, 68.0, 69.0, 61.0, 14.0, 31.0, 39.0, 44.0, 57.0, 36.0, 9.0, 48.0, 15.0, 24.0, 3.0, 0.0, 35.0, 57.0, 57.0, 75.0, 0.0]","[38.0, 77.42, 84.02, 85.84, 85.2, 86.8, 87.83, 89.15, 90.18, 90.81, 89.18, 86.96, 86.57, 84.96, 88.03, 83.41, 84.33, 85.71, 83.71, 85.66, 78.41, 72.82, 67.66, 58.83, 58.67, 59.91, 58.68, 44.79, 50.39, 48.91, 46.53, 65.08, 72.87, 67.94, 57.77, 65.75, 73.53, 64.09, 58.64, 57.85, 55.03, 50.62, 50.21, 46.57, 45.97, 47.64, 40.14, 45.66, 42.38, 38.25, 40.58, 37.34, 32.89, 33.82, 27.34, 20.72, 42.28, 47.97, 28.36]"
6,[50],"[0, 3, 12, 2, 31, 13, 32, 29, 15, 10, 16, 4, 14, 49, 59, 5, 11, 6, 8, 7, 9, 1, 28, 55, 25, 46, 34, 53, 35, 37, 38, 41, 52, 18, 22, 21, 19, 20, 24, 23, 17, 58, 36, 47, 26, 30, 27, 33, 45, 51, 56, 48, 57, 40, 39, 42, 43, 44, 54]","[92.0, 94.0, 92.0, 92.0, 92.0, 89.0, 92.0, 34.0, 75.0, 91.0, 93.0, 87.0, 91.0, 87.0, 0.0, 94.0, 92.0, 88.0, 74.0, 49.0, 89.0, 94.0, 29.0, 5.0, 87.0, 15.0, 62.0, 70.0, 51.0, 69.0, 68.0, 24.0, 44.0, 86.0, 85.0, 80.0, 80.0, 73.0, 79.0, 59.0, 79.0, 0.0, 61.0, 14.0, 39.0, 57.0, 36.0, 31.0, 9.0, 48.0, 15.0, 3.0, 0.0, 35.0, 38.0, 75.0, 57.0, 57.0, 0.0]","[12.0, 69.6, 76.62, 81.88, 78.84, 85.84, 83.85, 80.07, 80.76, 83.27, 77.07, 81.55, 82.93, 83.27, 78.85, 73.05, 81.29, 80.95, 77.34, 74.76, 72.58, 69.25, 62.35, 59.55, 61.89, 67.34, 51.13, 53.77, 52.54, 48.48, 56.73, 47.99, 48.02, 48.76, 64.29, 75.53, 62.46, 68.27, 71.18, 70.05, 61.74, 62.47, 53.84, 50.85, 50.78, 42.6, 48.32, 44.32, 39.35, 36.65, 38.48, 28.98, 28.25, 25.76, 29.31, 18.53, 46.71, 54.85, 29.04]"
7,[20],"[0, 3, 12, 13, 16, 2, 10, 4, 14, 31, 32, 49, 59, 53, 5, 15, 11, 6, 46, 1, 7, 9, 57, 27, 8, 58, 35, 25, 34, 50, 38, 18, 22, 17, 29, 37, 21, 19, 24, 23, 36, 47, 26, 52, 33, 30, 28, 45, 48, 51, 56, 41, 39, 40, 44, 43, 42, 54, 55]","[92.0, 94.0, 92.0, 89.0, 93.0, 92.0, 91.0, 87.0, 91.0, 92.0, 92.0, 87.0, 0.0, 70.0, 94.0, 75.0, 92.0, 88.0, 15.0, 94.0, 49.0, 89.0, 0.0, 36.0, 74.0, 0.0, 51.0, 87.0, 62.0, 12.0, 68.0, 86.0, 85.0, 79.0, 34.0, 69.0, 80.0, 80.0, 79.0, 59.0, 61.0, 14.0, 39.0, 44.0, 31.0, 57.0, 29.0, 9.0, 3.0, 48.0, 15.0, 24.0, 38.0, 35.0, 57.0, 57.0, 75.0, 0.0, 5.0]","[73.0, 86.11, 89.05, 90.5, 88.99, 90.88, 90.56, 89.89, 89.89, 90.77, 90.76, 90.08, 89.14, 85.24, 85.34, 88.9, 88.28, 87.89, 86.31, 87.25, 87.62, 83.04, 74.12, 70.93, 71.18, 65.12, 68.3, 57.46, 63.53, 61.26, 59.6, 58.15, 74.2, 61.88, 67.64, 56.32, 52.76, 58.29, 68.8, 70.51, 51.14, 47.92, 48.49, 43.61, 44.22, 42.63, 42.67, 42.78, 33.7, 32.88, 35.8, 33.32, 28.06, 26.48, 21.18, 42.66, 50.78, 36.6, 17.77]"
8,[14],"[0, 26, 16, 2, 13, 4, 10, 31, 32, 59, 11, 6, 5, 15, 7, 12, 3, 46, 9, 49, 1, 57, 8, 53, 35, 58, 25, 34, 50, 38, 37, 48, 45, 28, 36, 18, 22, 21, 20, 19, 24, 23, 47, 17, 29, 52, 33, 30, 27, 51, 56, 41, 39, 40, 55, 42, 43, 44, 54]","[92.0, 39.0, 93.0, 92.0, 89.0, 87.0, 91.0, 92.0, 92.0, 0.0, 92.0, 88.0, 94.0, 75.0, 49.0, 92.0, 94.0, 15.0, 89.0, 87.0, 94.0, 0.0, 74.0, 70.0, 51.0, 0.0, 87.0, 62.0, 12.0, 68.0, 69.0, 3.0, 9.0, 29.0, 61.0, 86.0, 85.0, 80.0, 73.0, 80.0, 79.0, 59.0, 14.0, 79.0, 34.0, 44.0, 31.0, 57.0, 36.0, 48.0, 15.0, 24.0, 38.0, 35.0, 5.0, 75.0, 57.0, 57.0, 0.0]","[91.0, 91.68, 86.12, 88.72, 90.27, 86.49, 88.33, 85.44, 90.35, 89.49, 85.53, 89.24, 88.58, 90.0, 88.13, 86.68, 86.47, 83.0, 73.71, 73.7, 75.08, 73.1, 57.43, 57.48, 57.56, 56.76, 57.26, 63.71, 56.9, 50.86, 50.37, 49.0, 46.15, 47.9, 47.55, 46.59, 58.94, 64.11, 61.18, 62.94, 73.42, 73.71, 46.37, 46.2, 62.69, 42.87, 42.56, 41.25, 45.14, 36.07, 36.59, 32.73, 25.67, 25.44, 20.27, 17.27, 45.95, 51.27, 30.21]"
9,[29],"[0, 2, 15, 13, 4, 16, 10, 5, 6, 11, 8, 32, 9, 12, 50, 14, 59, 7, 3, 31, 49, 1, 46, 58, 38, 45, 27, 25, 53, 34, 35, 37, 36, 47, 28, 52, 22, 18, 21, 19, 20, 24, 23, 17, 33, 56, 30, 26, 51, 57, 48, 41, 55, 39, 40, 42, 43, 44, 54]","[92.0, 92.0, 75.0, 89.0, 87.0, 93.0, 91.0, 94.0, 88.0, 92.0, 74.0, 92.0, 89.0, 92.0, 12.0, 91.0, 0.0, 49.0, 94.0, 92.0, 87.0, 94.0, 15.0, 0.0, 68.0, 9.0, 36.0, 87.0, 70.0, 62.0, 51.0, 69.0, 61.0, 14.0, 29.0, 44.0, 85.0, 86.0, 80.0, 80.0, 73.0, 79.0, 59.0, 79.0, 31.0, 15.0, 57.0, 39.0, 48.0, 0.0, 3.0, 24.0, 5.0, 38.0, 35.0, 75.0, 57.0, 57.0, 0.0]","[34.0, 71.12, 86.2, 83.82, 83.5, 83.49, 85.02, 83.52, 87.94, 88.55, 87.54, 84.19, 85.35, 83.7, 83.26, 83.67, 81.86, 80.13, 80.08, 80.37, 78.04, 72.33, 64.03, 74.17, 59.52, 54.98, 52.98, 46.25, 48.07, 56.02, 54.01, 51.09, 53.59, 56.13, 44.61, 46.67, 43.67, 68.14, 68.99, 61.23, 69.66, 71.42, 70.31, 53.32, 50.93, 41.7, 43.0, 45.67, 41.26, 40.28, 33.51, 34.4, 23.52, 26.6, 28.05, 19.29, 44.86, 53.11, 27.28]"
