random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[0, 3, 31, 15, 28, 45, 27, 30, 26, 24, 20, 23, 19, 21, 22, 18, 49, 58, 17, 51, 8, 7, 5, 42, 2, 1, 36, 9, 50, 16, 55, 6, 11, 4, 10, 35, 13, 12, 46, 14, 32, 57, 25, 38, 37, 33, 48, 53, 34, 52, 29, 59, 56, 47, 44, 41, 43, 39, 40]","[99.0, 98.0, 4.0, 9.0, 54.0, 0.0, 81.0, 96.0, 9.0, 97.0, 97.0, 32.0, 94.0, 98.0, 97.0, 95.0, 17.0, 0.0, 0.0, 0.0, 99.0, 98.0, 36.0, 2.0, 23.0, 45.0, 2.0, 97.0, 0.0, 13.0, 0.0, 98.0, 99.0, 0.0, 99.0, 7.0, 54.0, 63.0, 0.0, 4.0, 10.0, 3.0, 11.0, 95.0, 90.0, 0.0, 0.0, 59.0, 10.0, 0.0, 5.0, 0.0, 0.0, 2.0, 2.0, 0.0, 2.0, 4.0, 53.0]","[94.0, 97.65, 97.74, 82.75, 82.64, 69.19, 68.55, 74.13, 69.63, 50.62, 73.04, 79.12, 74.9, 81.62, 91.04, 80.63, 70.33, 70.47, 60.77, 43.61, 42.77, 50.93, 71.05, 56.76, 61.53, 53.35, 53.01, 46.12, 59.95, 48.57, 51.01, 54.8, 50.93, 53.46, 46.76, 52.81, 42.81, 41.82, 34.8, 40.48, 28.89, 28.16, 26.97, 27.56, 35.98, 25.31, 23.49, 22.28, 24.47, 24.36, 23.62, 20.32, 16.42, 11.11, 8.24, 6.63, 4.61, 1.65, 2.96]"
1,[8],"[0, 1, 4, 57, 2, 3, 47, 27, 28, 30, 26, 22, 21, 24, 20, 19, 18, 23, 49, 17, 12, 7, 35, 58, 50, 5, 36, 9, 16, 54, 55, 42, 13, 31, 6, 11, 10, 15, 51, 45, 14, 46, 32, 52, 59, 37, 38, 25, 48, 39, 53, 34, 29, 56, 41, 44, 33, 43, 40]","[99.0, 45.0, 0.0, 3.0, 23.0, 98.0, 2.0, 81.0, 54.0, 96.0, 9.0, 97.0, 98.0, 97.0, 97.0, 94.0, 95.0, 32.0, 17.0, 0.0, 63.0, 98.0, 7.0, 0.0, 0.0, 36.0, 2.0, 97.0, 13.0, 94.0, 0.0, 2.0, 54.0, 4.0, 98.0, 99.0, 99.0, 9.0, 0.0, 0.0, 4.0, 0.0, 10.0, 0.0, 0.0, 90.0, 95.0, 11.0, 0.0, 4.0, 59.0, 10.0, 5.0, 0.0, 0.0, 2.0, 0.0, 2.0, 53.0]","[99.0, 99.0, 88.74, 81.72, 70.53, 70.86, 68.39, 66.6, 77.23, 72.85, 74.83, 49.86, 75.2, 89.84, 90.67, 94.67, 91.92, 76.01, 63.92, 72.53, 49.94, 43.95, 48.62, 54.88, 53.83, 52.98, 38.86, 39.06, 50.83, 40.3, 62.7, 56.28, 40.81, 42.68, 39.68, 58.6, 53.0, 46.42, 38.95, 37.22, 32.0, 31.3, 30.1, 24.75, 24.03, 23.34, 43.82, 22.6, 17.96, 22.13, 19.58, 23.13, 16.7, 20.89, 11.16, 11.32, 7.44, 7.51, 3.09]"
2,[55],"[0, 3, 31, 28, 27, 30, 26, 48, 2, 46, 11, 6, 7, 51, 4, 9, 16, 8, 1, 35, 10, 58, 14, 15, 50, 5, 12, 59, 13, 24, 19, 20, 22, 18, 21, 23, 49, 17, 36, 32, 38, 37, 53, 34, 25, 52, 29, 42, 39, 47, 56, 45, 41, 33, 57, 43, 44, 40, 54]","[99.0, 98.0, 4.0, 54.0, 81.0, 96.0, 9.0, 0.0, 23.0, 0.0, 99.0, 98.0, 98.0, 0.0, 0.0, 97.0, 13.0, 99.0, 45.0, 7.0, 99.0, 0.0, 4.0, 9.0, 0.0, 36.0, 63.0, 0.0, 54.0, 97.0, 94.0, 97.0, 97.0, 95.0, 98.0, 32.0, 17.0, 0.0, 2.0, 10.0, 95.0, 90.0, 59.0, 10.0, 11.0, 0.0, 5.0, 2.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 3.0, 2.0, 2.0, 53.0, 94.0]","[0.0, 67.32, 82.82, 77.55, 60.87, 70.4, 70.85, 50.92, 41.91, 34.09, 33.0, 62.33, 78.3, 83.07, 66.27, 58.44, 72.22, 61.8, 62.44, 51.11, 47.47, 49.25, 45.19, 46.95, 45.74, 46.25, 40.38, 37.04, 39.07, 37.01, 63.21, 84.67, 88.27, 91.82, 89.35, 61.11, 63.84, 38.14, 34.3, 27.33, 25.88, 41.42, 28.28, 27.21, 21.62, 25.46, 21.13, 21.92, 14.81, 14.27, 15.11, 12.06, 11.37, 7.68, 5.07, 5.53, 4.69, 2.57, 2.74]"
3,[15],"[0, 28, 31, 27, 30, 26, 3, 48, 2, 46, 24, 20, 19, 21, 22, 18, 23, 49, 17, 58, 36, 51, 12, 32, 59, 5, 37, 10, 9, 50, 16, 52, 4, 42, 13, 34, 38, 11, 6, 7, 8, 1, 35, 14, 53, 25, 57, 29, 47, 56, 45, 55, 40, 41, 39, 33, 43, 44, 54]","[99.0, 54.0, 4.0, 81.0, 96.0, 9.0, 98.0, 0.0, 23.0, 0.0, 97.0, 97.0, 94.0, 98.0, 97.0, 95.0, 32.0, 17.0, 0.0, 0.0, 2.0, 0.0, 63.0, 10.0, 0.0, 36.0, 90.0, 99.0, 97.0, 0.0, 13.0, 0.0, 0.0, 2.0, 54.0, 10.0, 95.0, 99.0, 98.0, 98.0, 99.0, 45.0, 7.0, 4.0, 59.0, 11.0, 3.0, 5.0, 2.0, 0.0, 0.0, 0.0, 53.0, 0.0, 4.0, 0.0, 2.0, 2.0, 94.0]","[9.0, 67.5, 67.5, 60.75, 69.12, 76.08, 57.01, 49.98, 40.42, 33.65, 31.87, 63.08, 78.0, 84.9, 92.24, 91.22, 71.02, 76.36, 62.66, 39.12, 34.28, 30.94, 26.12, 26.04, 22.11, 18.97, 21.33, 24.92, 53.39, 57.8, 60.53, 44.11, 39.89, 39.65, 32.19, 31.53, 29.42, 42.67, 63.43, 58.39, 70.42, 74.97, 71.65, 26.65, 21.51, 21.59, 22.44, 16.02, 11.72, 13.66, 11.43, 7.38, 11.48, 34.96, 23.85, 10.99, 9.99, 6.09, 4.66]"
4,[15],"[0, 28, 31, 27, 30, 26, 3, 48, 2, 46, 24, 20, 19, 21, 22, 18, 23, 49, 17, 58, 36, 51, 12, 32, 59, 5, 37, 10, 9, 50, 16, 52, 4, 42, 13, 34, 38, 11, 6, 7, 8, 1, 35, 14, 53, 25, 57, 29, 47, 56, 45, 55, 40, 41, 39, 33, 43, 44, 54]","[99.0, 54.0, 4.0, 81.0, 96.0, 9.0, 98.0, 0.0, 23.0, 0.0, 97.0, 97.0, 94.0, 98.0, 97.0, 95.0, 32.0, 17.0, 0.0, 0.0, 2.0, 0.0, 63.0, 10.0, 0.0, 36.0, 90.0, 99.0, 97.0, 0.0, 13.0, 0.0, 0.0, 2.0, 54.0, 10.0, 95.0, 99.0, 98.0, 98.0, 99.0, 45.0, 7.0, 4.0, 59.0, 11.0, 3.0, 5.0, 2.0, 0.0, 0.0, 0.0, 53.0, 0.0, 4.0, 0.0, 2.0, 2.0, 94.0]","[9.0, 67.5, 67.5, 60.75, 69.12, 76.08, 57.01, 49.98, 40.42, 33.65, 31.87, 63.08, 78.0, 84.9, 92.24, 91.22, 71.02, 76.36, 62.66, 39.12, 34.28, 30.94, 26.12, 26.04, 22.11, 18.97, 21.33, 24.92, 53.39, 57.8, 60.53, 44.11, 39.89, 39.65, 32.19, 31.53, 29.42, 42.67, 63.43, 58.39, 70.42, 74.97, 71.65, 26.65, 21.51, 21.59, 22.44, 16.02, 11.72, 13.66, 11.43, 7.38, 11.48, 34.96, 23.85, 10.99, 9.99, 6.09, 4.66]"
5,[39],"[0, 3, 12, 2, 28, 27, 30, 26, 46, 31, 48, 58, 10, 4, 13, 16, 49, 59, 52, 11, 15, 6, 8, 7, 35, 1, 14, 5, 55, 22, 21, 18, 24, 19, 20, 23, 17, 36, 9, 38, 37, 50, 53, 32, 34, 57, 25, 29, 51, 42, 47, 56, 41, 33, 43, 45, 44, 54, 40]","[99.0, 98.0, 63.0, 23.0, 54.0, 81.0, 96.0, 9.0, 0.0, 4.0, 0.0, 0.0, 99.0, 0.0, 54.0, 13.0, 17.0, 0.0, 0.0, 99.0, 9.0, 98.0, 99.0, 98.0, 7.0, 45.0, 4.0, 36.0, 0.0, 97.0, 98.0, 95.0, 97.0, 94.0, 97.0, 32.0, 0.0, 2.0, 97.0, 95.0, 90.0, 0.0, 59.0, 10.0, 10.0, 3.0, 11.0, 5.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 94.0, 53.0]","[4.0, 73.35, 83.47, 75.57, 60.49, 58.66, 69.72, 77.61, 49.96, 45.78, 41.37, 41.53, 33.16, 45.03, 50.05, 41.18, 38.16, 41.52, 32.04, 28.71, 49.96, 38.92, 48.98, 69.16, 67.78, 47.06, 41.66, 42.77, 39.55, 42.48, 66.14, 86.4, 87.75, 90.48, 89.62, 63.58, 55.71, 33.98, 34.58, 25.8, 32.93, 27.66, 24.64, 32.55, 24.41, 20.08, 22.44, 17.07, 12.03, 12.02, 11.53, 12.93, 7.83, 6.03, 4.4, 5.2, 1.9, 2.3, 1.74]"
6,[50],"[0, 3, 12, 2, 28, 30, 27, 26, 31, 48, 10, 13, 49, 11, 58, 5, 4, 15, 6, 16, 46, 20, 24, 18, 22, 21, 19, 23, 17, 8, 7, 1, 35, 36, 9, 42, 51, 32, 59, 38, 37, 52, 14, 53, 34, 25, 29, 54, 55, 41, 45, 57, 56, 47, 39, 44, 33, 43, 40]","[99.0, 98.0, 63.0, 23.0, 54.0, 96.0, 81.0, 9.0, 4.0, 0.0, 99.0, 54.0, 17.0, 99.0, 0.0, 36.0, 0.0, 9.0, 98.0, 13.0, 0.0, 97.0, 97.0, 95.0, 97.0, 98.0, 94.0, 32.0, 0.0, 99.0, 98.0, 45.0, 7.0, 2.0, 97.0, 2.0, 0.0, 10.0, 0.0, 95.0, 90.0, 0.0, 4.0, 59.0, 10.0, 11.0, 5.0, 94.0, 0.0, 0.0, 0.0, 3.0, 0.0, 2.0, 4.0, 2.0, 0.0, 2.0, 53.0]","[0.0, 71.28, 78.89, 74.48, 70.25, 62.87, 75.26, 77.29, 50.11, 43.9, 39.92, 54.92, 50.82, 58.84, 69.98, 62.69, 56.61, 46.84, 51.92, 49.98, 42.9, 46.26, 79.99, 81.3, 87.72, 93.12, 91.51, 81.42, 62.14, 44.73, 63.99, 67.35, 62.51, 40.72, 42.76, 43.46, 36.61, 31.42, 31.43, 27.13, 39.56, 24.44, 24.74, 22.72, 24.85, 20.05, 20.46, 16.56, 55.55, 28.69, 22.07, 28.93, 18.35, 15.76, 7.45, 6.94, 5.26, 3.4, 3.18]"
7,[20],"[0, 3, 16, 27, 19, 23, 49, 22, 21, 24, 18, 17, 26, 5, 36, 30, 28, 58, 12, 46, 2, 48, 51, 10, 11, 4, 15, 31, 9, 50, 6, 1, 13, 35, 59, 8, 7, 32, 42, 38, 37, 53, 52, 34, 29, 14, 47, 45, 25, 39, 56, 55, 41, 57, 33, 43, 54, 44, 40]","[99.0, 98.0, 13.0, 81.0, 94.0, 32.0, 17.0, 97.0, 98.0, 97.0, 95.0, 0.0, 9.0, 36.0, 2.0, 96.0, 54.0, 0.0, 63.0, 0.0, 23.0, 0.0, 0.0, 99.0, 99.0, 0.0, 9.0, 4.0, 97.0, 0.0, 98.0, 45.0, 54.0, 7.0, 0.0, 99.0, 98.0, 10.0, 2.0, 95.0, 90.0, 59.0, 0.0, 10.0, 5.0, 4.0, 2.0, 0.0, 11.0, 4.0, 0.0, 0.0, 0.0, 3.0, 0.0, 2.0, 94.0, 2.0, 53.0]","[97.0, 98.38, 98.35, 89.11, 88.4, 90.91, 86.01, 85.87, 90.34, 88.69, 86.48, 75.04, 77.11, 60.49, 54.45, 64.91, 58.69, 51.64, 37.47, 39.41, 34.75, 41.13, 33.67, 33.65, 44.92, 55.13, 47.87, 44.65, 46.27, 56.3, 52.45, 48.78, 42.72, 39.6, 40.56, 41.58, 55.57, 36.12, 31.69, 23.5, 38.7, 27.04, 29.2, 28.43, 23.59, 23.38, 21.88, 20.58, 20.01, 14.58, 12.37, 8.61, 10.76, 8.93, 5.17, 4.8, 5.6, 8.34, 1.72]"
8,[14],"[0, 26, 3, 31, 55, 28, 27, 30, 48, 24, 20, 19, 18, 21, 22, 23, 49, 17, 5, 12, 2, 36, 46, 51, 15, 58, 37, 56, 4, 34, 16, 13, 10, 9, 52, 50, 8, 6, 7, 1, 11, 35, 38, 25, 32, 59, 57, 42, 53, 29, 47, 39, 45, 41, 33, 54, 44, 40, 43]","[99.0, 9.0, 98.0, 4.0, 0.0, 54.0, 81.0, 96.0, 0.0, 97.0, 97.0, 94.0, 95.0, 98.0, 97.0, 32.0, 17.0, 0.0, 36.0, 63.0, 23.0, 2.0, 0.0, 0.0, 9.0, 0.0, 90.0, 0.0, 0.0, 10.0, 13.0, 54.0, 99.0, 97.0, 0.0, 0.0, 99.0, 98.0, 98.0, 45.0, 99.0, 7.0, 95.0, 11.0, 10.0, 0.0, 3.0, 2.0, 59.0, 5.0, 2.0, 4.0, 0.0, 0.0, 0.0, 94.0, 2.0, 53.0, 2.0]","[4.0, 68.6, 62.0, 71.61, 52.14, 63.25, 60.55, 69.63, 47.6, 29.89, 62.35, 74.89, 81.69, 88.86, 92.97, 68.96, 58.29, 60.41, 43.54, 39.52, 50.19, 40.18, 38.57, 29.33, 28.14, 24.15, 21.87, 25.78, 20.6, 19.01, 16.24, 16.62, 16.5, 42.37, 65.3, 28.64, 29.72, 35.56, 45.82, 55.82, 59.65, 59.05, 41.85, 26.32, 27.4, 21.66, 16.93, 11.57, 11.1, 13.87, 11.74, 10.68, 8.0, 10.06, 4.55, 4.25, 8.45, 2.81, 3.96]"
9,[29],"[0, 2, 5, 3, 30, 28, 27, 26, 48, 12, 31, 10, 13, 15, 4, 46, 58, 9, 16, 52, 50, 49, 32, 42, 59, 55, 34, 14, 24, 22, 21, 18, 19, 20, 23, 17, 36, 8, 7, 11, 6, 1, 35, 38, 37, 53, 25, 51, 41, 47, 56, 57, 33, 45, 44, 43, 54, 39, 40]","[99.0, 23.0, 36.0, 98.0, 96.0, 54.0, 81.0, 9.0, 0.0, 63.0, 4.0, 99.0, 54.0, 9.0, 0.0, 0.0, 0.0, 97.0, 13.0, 0.0, 0.0, 17.0, 10.0, 2.0, 0.0, 0.0, 10.0, 4.0, 97.0, 97.0, 98.0, 95.0, 94.0, 97.0, 32.0, 0.0, 2.0, 99.0, 98.0, 99.0, 98.0, 45.0, 7.0, 95.0, 90.0, 59.0, 11.0, 0.0, 0.0, 2.0, 0.0, 3.0, 0.0, 0.0, 2.0, 2.0, 94.0, 4.0, 53.0]","[5.0, 65.16, 59.6, 56.75, 68.01, 84.64, 69.55, 75.78, 48.97, 43.87, 48.63, 37.24, 58.46, 55.72, 47.61, 42.43, 52.52, 32.32, 53.33, 63.62, 45.05, 34.47, 32.17, 34.08, 32.64, 18.12, 15.12, 13.01, 13.53, 55.49, 78.84, 86.17, 64.13, 65.99, 41.45, 33.93, 22.79, 22.52, 37.57, 43.85, 65.03, 72.23, 60.19, 28.14, 38.78, 21.4, 20.84, 20.25, 12.31, 12.21, 13.28, 9.81, 6.55, 6.62, 3.46, 2.7, 1.75, 2.57, 1.98]"
