random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[9, 6, 26, 11, 18, 35, 39, 37, 38, 10, 41, 29, 30, 40, 53, 7, 34, 16, 19, 42, 44, 14, 49, 1, 0, 13, 3, 8, 12, 31, 43, 24, 23, 2, 51, 21, 17, 20, 22, 56, 15, 45, 28, 27, 33, 55, 32, 50, 52, 4, 36, 58, 57, 5, 46, 59, 25, 47, 48]","[array([44], dtype=int64), array([30], dtype=int64), array([24], dtype=int64), array([28], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([22], dtype=int64), array([35], dtype=int64), array([30], dtype=int64), array([10], dtype=int64), array([40], dtype=int64), array([16], dtype=int64), array([14], dtype=int64), array([37], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([11], dtype=int64), array([22], dtype=int64), array([14], dtype=int64), array([23], dtype=int64), array([37], dtype=int64), array([76], dtype=int64), array([24], dtype=int64), array([82], dtype=int64), array([65], dtype=int64), array([52], dtype=int64), array([74], dtype=int64), array([60], dtype=int64), array([50], dtype=int64), array([7], dtype=int64), array([15], dtype=int64), array([44], dtype=int64), array([18], dtype=int64), array([49], dtype=int64), array([28], dtype=int64), array([31], dtype=int64), array([70], dtype=int64), array([48], dtype=int64), array([36], dtype=int64), array([1], dtype=int64), array([28], dtype=int64), array([17], dtype=int64), array([25], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([18], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([10], dtype=int64), array([35], dtype=int64), array([4], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[79.99605001890697, 69.40134582243854, 43.85976448635814, 72.63512704113386, 44.5048637387353, 64.24233360651237, 50.52291583941225, 62.8236194695044, 53.89273513945998, 45.48379583517325, 29.459695789206663, 49.594074957841286, 29.644990276306373, 39.600175884547504, 27.672240538292968, 27.099806348991294, 24.62405434875273, 19.246923740760355, 20.94586401565386, 22.726510792518255, 23.261542238400555, 18.507374747944038, 38.055933930580544, 33.97663816471543, 38.71044701757807, 46.647136252302026, 41.681973835474544, 35.587834996672775, 45.326751875048956, 33.76572349139987, 29.18763156127303, 24.735740022513426, 27.814873091151547, 43.07667166471779, 22.37393610867472, 23.70568561531636, 23.607285372576648, 27.000698863867044, 25.19898200844956, 22.501020730036476, 22.44404238935556, 21.473680272128547, 21.30346910535179, 20.99189696430045, 17.48468434415473, 13.688145673870103, 62.03193923503751, 9.425044611141853, 9.789373504942898, 25.831584298743774, 10.634197423377204, 2.527849496500475, 0.15022404301313141, 47.396798027939475, -3.1217902040043457, -2.2708847034622557, 29.48344757307084, -0.14249971090169902, 7.266930496248309]"
1,[8],"[9, 37, 6, 21, 42, 24, 10, 20, 26, 19, 35, 39, 54, 38, 30, 22, 3, 18, 14, 49, 1, 0, 13, 11, 12, 7, 23, 31, 16, 44, 2, 43, 17, 51, 32, 40, 41, 33, 27, 29, 45, 53, 28, 56, 34, 55, 15, 50, 52, 4, 36, 58, 57, 5, 46, 59, 25, 47, 48]","[array([44], dtype=int64), array([35], dtype=int64), array([30], dtype=int64), array([31], dtype=int64), array([23], dtype=int64), array([44], dtype=int64), array([10], dtype=int64), array([48], dtype=int64), array([24], dtype=int64), array([14], dtype=int64), array([47], dtype=int64), array([22], dtype=int64), array([43], dtype=int64), array([30], dtype=int64), array([14], dtype=int64), array([36], dtype=int64), array([74], dtype=int64), array([8], dtype=int64), array([76], dtype=int64), array([24], dtype=int64), array([82], dtype=int64), array([65], dtype=int64), array([52], dtype=int64), array([28], dtype=int64), array([50], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([7], dtype=int64), array([22], dtype=int64), array([37], dtype=int64), array([49], dtype=int64), array([15], dtype=int64), array([70], dtype=int64), array([28], dtype=int64), array([18], dtype=int64), array([37], dtype=int64), array([40], dtype=int64), array([9], dtype=int64), array([16], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([25], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([28], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([10], dtype=int64), array([35], dtype=int64), array([4], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[77.69882901473245, 63.719523125316435, 81.98879887740537, 56.525956616010376, 40.47059766512429, 53.61465652983344, 75.49797831381777, 52.75319148874594, 59.261537900872966, 47.03587913320433, 42.63225654277947, 42.79947451767878, 48.05757733614622, 45.59385368843364, 39.43587571022625, 38.672718531194356, 35.147856246710546, 46.95786336677215, 53.24170256601528, 51.57182477594946, 62.82879237416081, 51.149748036102295, 52.86041421574411, 42.363529116244365, 49.377206206327365, 40.682986689514124, 35.069144936952256, 34.868627759069746, 37.677078210847775, 27.78672794370118, 42.02428296217464, 23.73900920109446, 23.716436983536806, 25.22934297405273, 63.91214721130047, 21.872289190245063, 23.60858641962733, 26.24209304077922, 23.700204922705773, 21.765692339813782, 23.058436598540023, 20.185430350550156, 20.307702820894388, 18.056660374835193, 16.767015365350325, 16.58155425030133, 31.10920363222763, 9.425044611141853, 9.789373504942898, 25.831584298743774, 10.634197423377204, 2.527849496500475, 0.15022404301313141, 47.396798027939475, -3.1217902040043457, -2.2708847034622557, 29.48344757307084, -0.14249971090169902, 7.266930496248309]"
2,[55],"[9, 6, 1, 10, 0, 49, 11, 5, 32, 16, 24, 22, 18, 21, 19, 14, 3, 7, 37, 13, 44, 42, 20, 23, 31, 30, 43, 12, 38, 53, 27, 35, 40, 39, 51, 41, 17, 29, 33, 2, 45, 34, 28, 56, 54, 26, 15, 50, 52, 8, 58, 4, 57, 36, 46, 59, 25, 47, 48]","[array([44], dtype=int64), array([30], dtype=int64), array([82], dtype=int64), array([10], dtype=int64), array([65], dtype=int64), array([24], dtype=int64), array([28], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([22], dtype=int64), array([44], dtype=int64), array([36], dtype=int64), array([8], dtype=int64), array([31], dtype=int64), array([14], dtype=int64), array([76], dtype=int64), array([74], dtype=int64), array([18], dtype=int64), array([35], dtype=int64), array([52], dtype=int64), array([37], dtype=int64), array([23], dtype=int64), array([48], dtype=int64), array([18], dtype=int64), array([7], dtype=int64), array([14], dtype=int64), array([15], dtype=int64), array([50], dtype=int64), array([30], dtype=int64), array([18], dtype=int64), array([16], dtype=int64), array([47], dtype=int64), array([37], dtype=int64), array([22], dtype=int64), array([28], dtype=int64), array([40], dtype=int64), array([70], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([49], dtype=int64), array([17], dtype=int64), array([11], dtype=int64), array([25], dtype=int64), array([1], dtype=int64), array([43], dtype=int64), array([24], dtype=int64), array([28], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([60], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[78.80485697525205, 67.62548705325732, 60.81467877596439, 65.20382698920106, 58.494113231349246, 56.09097025003599, 48.16690322129323, 53.396648360713456, 50.54078293376042, 35.84673928406271, 32.276451789693795, 53.888012546159096, 51.88921854684095, 33.79707763359144, 31.028406067283136, 31.01040237952268, 45.545231233817596, 36.121777727364666, 27.009825046316976, 42.19219149708003, 22.945361392951177, 26.328689405714726, 22.65393475866757, 25.37815270228127, 26.997364527464914, 22.492138275081775, 23.06830331385193, 43.15219088660504, 18.698561570630233, 16.901815149073357, 16.322823359380237, 17.35609970340469, 17.289207550346756, 23.411561211640958, 20.99902109388981, 23.468614889497257, 17.741340553594807, 21.83874686430712, 23.36362286783565, 29.713359902371167, 16.877173238545282, 19.070873127587028, 15.673321350799915, 15.858767430631568, 17.90853526303247, 13.275657271198902, 27.149972797441194, 12.384362737467223, 10.150188893690318, 39.68503956409727, 3.163891808661088, 23.007339755762793, 4.545791208434638, 10.428849088769642, -3.1217902040043457, -2.2708847034622557, 29.48344757307084, -0.14249971090169902, 7.266930496248309]"
3,[15],"[9, 6, 1, 0, 11, 10, 49, 5, 32, 18, 16, 3, 30, 14, 7, 13, 42, 24, 21, 19, 12, 44, 43, 22, 20, 23, 37, 31, 17, 53, 39, 38, 51, 35, 40, 41, 33, 29, 45, 27, 54, 56, 28, 55, 34, 26, 2, 50, 52, 8, 58, 4, 57, 36, 46, 59, 25, 47, 48]","[array([44], dtype=int64), array([30], dtype=int64), array([82], dtype=int64), array([65], dtype=int64), array([28], dtype=int64), array([10], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([8], dtype=int64), array([22], dtype=int64), array([74], dtype=int64), array([14], dtype=int64), array([76], dtype=int64), array([18], dtype=int64), array([52], dtype=int64), array([23], dtype=int64), array([44], dtype=int64), array([31], dtype=int64), array([14], dtype=int64), array([50], dtype=int64), array([37], dtype=int64), array([15], dtype=int64), array([36], dtype=int64), array([48], dtype=int64), array([18], dtype=int64), array([35], dtype=int64), array([7], dtype=int64), array([70], dtype=int64), array([18], dtype=int64), array([22], dtype=int64), array([30], dtype=int64), array([28], dtype=int64), array([47], dtype=int64), array([37], dtype=int64), array([40], dtype=int64), array([9], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([43], dtype=int64), array([1], dtype=int64), array([25], dtype=int64), array([2], dtype=int64), array([11], dtype=int64), array([24], dtype=int64), array([49], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([60], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[76.28271452431832, 65.00191947784116, 55.699733277911974, 67.06091536171567, 58.326623678583324, 63.968328981983525, 57.58527321432976, 54.776110632625546, 55.55467931334201, 43.47267490585448, 38.11315510635475, 35.02241614624203, 43.78492316846711, 38.503529503274294, 35.97124601616021, 38.036082457217056, 21.001500380447606, 21.69177433957487, 26.225302735028738, 22.122794368100656, 39.332477750811464, 19.963205165060184, 20.209359069170755, 20.621124737862072, 17.568466466997275, 22.432753785456978, 15.956856809541378, 18.21067625174223, 18.048513500064, 19.71849370725551, 18.441705026013814, 20.21250862473049, 19.594686791657022, 18.411650554226846, 21.10850637510264, 24.260571275177785, 24.284032548493517, 23.26953879935181, 18.556920174781734, 18.258968638803392, 17.656599673120446, 20.13767003262998, 17.713932071124425, 18.631206620591158, 15.83603239637111, 12.884823440883352, 38.670567579467246, 12.384362737467223, 10.150188893690318, 39.68503956409727, 3.163891808661088, 23.007339755762793, 4.545791208434638, 10.428849088769642, -3.1217902040043457, -2.2708847034622557, 29.48344757307084, -0.14249971090169902, 7.266930496248309]"
4,[15],"[9, 6, 1, 0, 11, 10, 49, 5, 32, 18, 16, 3, 30, 14, 7, 13, 42, 24, 21, 19, 12, 44, 43, 22, 20, 23, 37, 31, 17, 53, 39, 38, 51, 35, 40, 41, 33, 29, 45, 27, 54, 56, 28, 55, 34, 26, 2, 50, 52, 8, 58, 4, 57, 36, 46, 59, 25, 47, 48]","[array([44], dtype=int64), array([30], dtype=int64), array([82], dtype=int64), array([65], dtype=int64), array([28], dtype=int64), array([10], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([8], dtype=int64), array([22], dtype=int64), array([74], dtype=int64), array([14], dtype=int64), array([76], dtype=int64), array([18], dtype=int64), array([52], dtype=int64), array([23], dtype=int64), array([44], dtype=int64), array([31], dtype=int64), array([14], dtype=int64), array([50], dtype=int64), array([37], dtype=int64), array([15], dtype=int64), array([36], dtype=int64), array([48], dtype=int64), array([18], dtype=int64), array([35], dtype=int64), array([7], dtype=int64), array([70], dtype=int64), array([18], dtype=int64), array([22], dtype=int64), array([30], dtype=int64), array([28], dtype=int64), array([47], dtype=int64), array([37], dtype=int64), array([40], dtype=int64), array([9], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([43], dtype=int64), array([1], dtype=int64), array([25], dtype=int64), array([2], dtype=int64), array([11], dtype=int64), array([24], dtype=int64), array([49], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([60], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[76.28271452431832, 65.00191947784116, 55.699733277911974, 67.06091536171567, 58.326623678583324, 63.968328981983525, 57.58527321432976, 54.776110632625546, 55.55467931334201, 43.47267490585448, 38.11315510635475, 35.02241614624203, 43.78492316846711, 38.503529503274294, 35.97124601616021, 38.036082457217056, 21.001500380447606, 21.69177433957487, 26.225302735028738, 22.122794368100656, 39.332477750811464, 19.963205165060184, 20.209359069170755, 20.621124737862072, 17.568466466997275, 22.432753785456978, 15.956856809541378, 18.21067625174223, 18.048513500064, 19.71849370725551, 18.441705026013814, 20.21250862473049, 19.594686791657022, 18.411650554226846, 21.10850637510264, 24.260571275177785, 24.284032548493517, 23.26953879935181, 18.556920174781734, 18.258968638803392, 17.656599673120446, 20.13767003262998, 17.713932071124425, 18.631206620591158, 15.83603239637111, 12.884823440883352, 38.670567579467246, 12.384362737467223, 10.150188893690318, 39.68503956409727, 3.163891808661088, 23.007339755762793, 4.545791208434638, 10.428849088769642, -3.1217902040043457, -2.2708847034622557, 29.48344757307084, -0.14249971090169902, 7.266930496248309]"
5,[39],"[9, 6, 1, 10, 0, 49, 11, 5, 32, 16, 18, 3, 30, 14, 8, 7, 24, 21, 19, 42, 44, 43, 20, 23, 22, 37, 13, 17, 31, 51, 35, 41, 40, 53, 33, 38, 45, 29, 34, 54, 56, 12, 28, 27, 55, 26, 2, 52, 50, 15, 58, 4, 57, 36, 46, 59, 25, 47, 48]","[array([44], dtype=int64), array([30], dtype=int64), array([82], dtype=int64), array([10], dtype=int64), array([65], dtype=int64), array([24], dtype=int64), array([28], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([22], dtype=int64), array([8], dtype=int64), array([74], dtype=int64), array([14], dtype=int64), array([76], dtype=int64), array([60], dtype=int64), array([18], dtype=int64), array([44], dtype=int64), array([31], dtype=int64), array([14], dtype=int64), array([23], dtype=int64), array([37], dtype=int64), array([15], dtype=int64), array([48], dtype=int64), array([18], dtype=int64), array([36], dtype=int64), array([35], dtype=int64), array([52], dtype=int64), array([70], dtype=int64), array([7], dtype=int64), array([28], dtype=int64), array([47], dtype=int64), array([40], dtype=int64), array([37], dtype=int64), array([18], dtype=int64), array([9], dtype=int64), array([30], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([11], dtype=int64), array([43], dtype=int64), array([1], dtype=int64), array([50], dtype=int64), array([25], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([49], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([28], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[80.56579350320156, 67.53282886585332, 58.684108254900735, 64.1298020304597, 58.719019837604066, 59.764786888939135, 47.20326375392603, 54.24260832295814, 55.71356576065943, 35.53305185313543, 44.760112623514836, 30.325002751538268, 43.76241501447128, 35.56569242863123, 33.56310348699412, 37.376276539992624, 25.14963761064063, 28.000604909811464, 25.343484804538775, 26.052736424518393, 23.342432862143333, 23.772319710967007, 21.53045963449841, 24.819498835482417, 20.97965345156242, 19.665254702228218, 47.26628102976237, 19.00436372056521, 20.701960244751252, 20.227807411769838, 20.665089557337936, 22.709262365089725, 25.00766131906717, 22.04007723806796, 22.156842340786458, 28.46372745352507, 21.606829677024354, 17.03944604703703, 19.214307235656968, 19.958316325722457, 21.222637260807932, 44.75671462344839, 17.53603595461264, 19.96003306748733, 17.844564665344382, 12.071457399098728, 36.21932931346397, 11.02625967631457, 8.827096499182263, 31.234726099432685, 3.163891808661088, 23.007339755762793, 4.545791208434638, 10.428849088769642, -3.1217902040043457, -2.2708847034622557, 29.48344757307084, -0.14249971090169902, 7.266930496248309]"
6,[50],"[9, 6, 1, 10, 0, 49, 5, 11, 32, 16, 18, 14, 3, 7, 13, 42, 24, 21, 22, 19, 31, 12, 44, 43, 20, 30, 17, 23, 2, 54, 55, 51, 40, 56, 39, 41, 29, 37, 38, 53, 35, 33, 45, 34, 27, 28, 26, 15, 52, 8, 58, 4, 57, 36, 46, 59, 25, 47, 48]","[array([44], dtype=int64), array([30], dtype=int64), array([82], dtype=int64), array([10], dtype=int64), array([65], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([28], dtype=int64), array([18], dtype=int64), array([22], dtype=int64), array([8], dtype=int64), array([76], dtype=int64), array([74], dtype=int64), array([18], dtype=int64), array([52], dtype=int64), array([23], dtype=int64), array([44], dtype=int64), array([31], dtype=int64), array([36], dtype=int64), array([14], dtype=int64), array([7], dtype=int64), array([50], dtype=int64), array([37], dtype=int64), array([15], dtype=int64), array([48], dtype=int64), array([14], dtype=int64), array([70], dtype=int64), array([18], dtype=int64), array([49], dtype=int64), array([43], dtype=int64), array([2], dtype=int64), array([28], dtype=int64), array([37], dtype=int64), array([1], dtype=int64), array([22], dtype=int64), array([40], dtype=int64), array([16], dtype=int64), array([35], dtype=int64), array([30], dtype=int64), array([18], dtype=int64), array([47], dtype=int64), array([9], dtype=int64), array([17], dtype=int64), array([11], dtype=int64), array([16], dtype=int64), array([25], dtype=int64), array([24], dtype=int64), array([28], dtype=int64), array([2], dtype=int64), array([60], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[77.79973471809916, 66.2278819805051, 59.10987735211602, 63.65932874234474, 62.951991860320014, 58.234455070274684, 55.73132163306569, 42.562022449950355, 50.86968762113306, 37.7437569353445, 30.513915547295294, 30.913139248991634, 35.814915464244955, 34.832783400316956, 36.694758689214005, 23.406367906128903, 22.99357560499268, 26.000998659426013, 23.64607866632539, 30.144948951677858, 23.190621958729455, 39.76821127037033, 17.58336603957261, 18.492816938242985, 18.656492585624665, 20.643468820177123, 19.758273117281586, 29.52190416021529, 32.771529608383354, 18.483842418081796, 17.17061120529461, 16.44988011200976, 19.71613286557243, 23.036481814965462, 22.263826300500316, 19.24388770858121, 21.391168954197497, 18.69364912862306, 24.034715080832655, 21.93537703413701, 17.87745898641389, 21.357496412271818, 18.088029303960983, 18.63224025858171, 17.43570795141435, 15.28264958703017, 13.017059968736252, 27.30705992980713, 10.150188893690318, 39.68503956409727, 3.163891808661088, 23.007339755762793, 4.545791208434638, 10.428849088769642, -3.1217902040043457, -2.2708847034622557, 29.48344757307084, -0.14249971090169902, 7.266930496248309]"
7,[20],"[9, 26, 6, 22, 24, 21, 37, 10, 19, 30, 11, 54, 35, 39, 41, 38, 40, 42, 18, 53, 29, 3, 0, 1, 49, 14, 13, 12, 23, 2, 7, 44, 31, 16, 32, 43, 33, 51, 15, 28, 27, 17, 56, 45, 34, 55, 50, 8, 52, 4, 36, 58, 57, 5, 46, 59, 25, 47, 48]","[array([44], dtype=int64), array([24], dtype=int64), array([30], dtype=int64), array([36], dtype=int64), array([44], dtype=int64), array([31], dtype=int64), array([35], dtype=int64), array([10], dtype=int64), array([14], dtype=int64), array([14], dtype=int64), array([28], dtype=int64), array([43], dtype=int64), array([47], dtype=int64), array([22], dtype=int64), array([40], dtype=int64), array([30], dtype=int64), array([37], dtype=int64), array([23], dtype=int64), array([8], dtype=int64), array([18], dtype=int64), array([16], dtype=int64), array([74], dtype=int64), array([65], dtype=int64), array([82], dtype=int64), array([24], dtype=int64), array([76], dtype=int64), array([52], dtype=int64), array([50], dtype=int64), array([18], dtype=int64), array([49], dtype=int64), array([18], dtype=int64), array([37], dtype=int64), array([7], dtype=int64), array([22], dtype=int64), array([18], dtype=int64), array([15], dtype=int64), array([9], dtype=int64), array([28], dtype=int64), array([28], dtype=int64), array([25], dtype=int64), array([16], dtype=int64), array([70], dtype=int64), array([1], dtype=int64), array([17], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([60], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([10], dtype=int64), array([35], dtype=int64), array([4], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[81.046528169911, 57.61169935394204, 86.40036426022415, 71.64883771614247, 66.55598068611006, 60.142882565665474, 62.28933458689473, 74.74542760816591, 49.141137900237226, 43.9003131025269, 60.59666536982716, 44.038088986782626, 45.19455754854881, 41.87556103777121, 35.48639795087954, 55.68335837213668, 33.03124139627342, 32.758659217712676, 30.507549053110537, 34.74452865014673, 31.50036504008955, 29.83585693193355, 53.16978208356161, 50.81205927589118, 56.26043443851851, 52.36638945329451, 48.9277025044467, 43.85232299124254, 39.49287876683603, 45.7535061212968, 34.06048392449786, 31.683566457211647, 40.11843331353287, 31.135841039544804, 58.894251039945914, 26.075955560897718, 25.169143414779594, 22.910844971122106, 23.52974337568079, 22.72837388400115, 22.92825822899059, 23.7194123706672, 17.374403701734227, 19.960200429285276, 18.842207291282023, 15.266591063409852, 11.73656207740611, 38.464707214167596, 9.789373504942898, 25.831584298743774, 10.634197423377204, 2.527849496500475, 0.15022404301313141, 47.396798027939475, -3.1217902040043457, -2.2708847034622557, 29.48344757307084, -0.14249971090169902, 7.266930496248309]"
8,[14],"[9, 6, 11, 37, 10, 1, 0, 49, 16, 32, 3, 8, 22, 18, 13, 7, 24, 21, 19, 42, 44, 12, 20, 30, 23, 43, 31, 2, 17, 53, 54, 38, 55, 51, 35, 39, 40, 41, 33, 29, 45, 28, 27, 56, 34, 26, 15, 50, 52, 4, 36, 58, 57, 5, 46, 59, 25, 47, 48]","[array([44], dtype=int64), array([30], dtype=int64), array([28], dtype=int64), array([35], dtype=int64), array([10], dtype=int64), array([82], dtype=int64), array([65], dtype=int64), array([24], dtype=int64), array([22], dtype=int64), array([18], dtype=int64), array([74], dtype=int64), array([60], dtype=int64), array([36], dtype=int64), array([8], dtype=int64), array([52], dtype=int64), array([18], dtype=int64), array([44], dtype=int64), array([31], dtype=int64), array([14], dtype=int64), array([23], dtype=int64), array([37], dtype=int64), array([50], dtype=int64), array([48], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([15], dtype=int64), array([7], dtype=int64), array([49], dtype=int64), array([70], dtype=int64), array([18], dtype=int64), array([43], dtype=int64), array([30], dtype=int64), array([2], dtype=int64), array([28], dtype=int64), array([47], dtype=int64), array([22], dtype=int64), array([37], dtype=int64), array([40], dtype=int64), array([9], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([25], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([24], dtype=int64), array([28], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([10], dtype=int64), array([35], dtype=int64), array([4], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[79.53947318807957, 80.75304698371315, 66.38916947862486, 51.76884605814467, 65.30267012348662, 55.5602017383395, 57.05387358975984, 50.28637227233336, 46.27787693540199, 63.13623009953085, 40.900985788040224, 43.95771208784972, 54.04364046111266, 37.97763584824286, 46.87667866226899, 38.01514433035632, 27.573442587541013, 30.25473589642058, 28.34090204501416, 28.554016546902766, 25.41668495380267, 40.18740365715352, 22.433323998548644, 22.739431863545224, 23.91448908049359, 19.216145693313923, 22.244263287989106, 40.303248077530576, 18.42274439676146, 19.643550575530597, 22.204924866086575, 17.476777642008518, 17.287016878595274, 20.61750142698317, 20.14508338511975, 21.40415857182972, 21.72855390673087, 25.8564891660896, 24.6272353087844, 21.714837987215354, 18.291622524299825, 19.660223448215806, 22.17259599088443, 17.110514043246354, 18.452501900967565, 13.439574920570514, 31.10920363222763, 9.425044611141853, 9.789373504942898, 25.831584298743774, 10.634197423377204, 2.527849496500475, 0.15022404301313141, 47.396798027939475, -3.1217902040043457, -2.2708847034622557, 29.48344757307084, -0.14249971090169902, 7.266930496248309]"
9,[29],"[9, 6, 11, 8, 21, 10, 18, 37, 35, 40, 39, 41, 38, 19, 7, 54, 14, 16, 49, 53, 0, 1, 3, 13, 44, 12, 42, 31, 30, 2, 24, 23, 43, 51, 20, 22, 33, 17, 45, 28, 27, 32, 34, 56, 55, 26, 15, 50, 52, 4, 36, 58, 57, 5, 46, 59, 25, 47, 48]","[array([44], dtype=int64), array([30], dtype=int64), array([28], dtype=int64), array([60], dtype=int64), array([31], dtype=int64), array([10], dtype=int64), array([8], dtype=int64), array([35], dtype=int64), array([47], dtype=int64), array([37], dtype=int64), array([22], dtype=int64), array([40], dtype=int64), array([30], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([43], dtype=int64), array([76], dtype=int64), array([22], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([65], dtype=int64), array([82], dtype=int64), array([74], dtype=int64), array([52], dtype=int64), array([37], dtype=int64), array([50], dtype=int64), array([23], dtype=int64), array([7], dtype=int64), array([14], dtype=int64), array([49], dtype=int64), array([44], dtype=int64), array([18], dtype=int64), array([15], dtype=int64), array([28], dtype=int64), array([48], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([70], dtype=int64), array([17], dtype=int64), array([25], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([11], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([28], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([10], dtype=int64), array([35], dtype=int64), array([4], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([18], dtype=int64)]","[79.16841867984655, 64.42720122706993, 58.75624172990067, 58.95043861680868, 60.624253278366005, 57.9227435378649, 50.96884171237608, 44.148938957529225, 50.08353683314471, 56.24152666046562, 48.532260617496775, 38.59652955270433, 50.335417510250636, 34.13173603030685, 44.77750372439071, 30.12000794540246, 32.93914471968288, 60.76176965273988, 48.77282281782991, 29.054207014596894, 30.773084100787454, 51.673582358243934, 41.48259701442059, 52.61396292879557, 37.070561531362024, 46.57542523911261, 35.345486779556765, 38.66894582979749, 32.2381037945494, 44.19256157496833, 28.111182592873735, 30.63061831308568, 24.554731458868115, 24.565544102676153, 24.154929110308725, 23.065096345500383, 20.81894895694502, 26.26979973770793, 22.326857502749277, 21.52492080114995, 20.78224557444837, 61.76477221749893, 19.471362724382455, 18.72937640306369, 13.708944756977406, 13.439574920570514, 31.10920363222763, 9.425044611141853, 9.789373504942898, 25.831584298743774, 10.634197423377204, 2.527849496500475, 0.15022404301313141, 47.396798027939475, -3.1217902040043457, -2.2708847034622557, 29.48344757307084, -0.14249971090169902, 7.266930496248309]"
