random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[1, 35, 38, 26, 37, 39, 9, 6, 16, 29, 42, 41, 17, 3, 14, 0, 20, 24, 44, 40, 22, 58, 21, 11, 13, 51, 28, 49, 12, 7, 15, 8, 2, 53, 23, 45, 27, 43, 30, 19, 32, 34, 10, 4, 33, 18, 50, 36, 31, 46, 57, 52, 55, 56, 5, 59, 25, 47, 48]","[array([98], dtype=int64), array([43], dtype=int64), array([19], dtype=int64), array([99], dtype=int64), array([50], dtype=int64), array([2], dtype=int64), array([80], dtype=int64), array([95], dtype=int64), array([98], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([7], dtype=int64), array([7], dtype=int64), array([10], dtype=int64), array([49], dtype=int64), array([95], dtype=int64), array([82], dtype=int64), array([85], dtype=int64), array([2], dtype=int64), array([9], dtype=int64), array([97], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([63], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([50], dtype=int64), array([28], dtype=int64), array([10], dtype=int64), array([39], dtype=int64), array([97], dtype=int64), array([3], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([92], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([55], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[74.7409896850586, 82.86041259765625, 76.87142944335938, 62.98334884643555, 63.000396728515625, 61.917327880859375, 92.0206527709961, 92.98131561279297, 89.93526458740234, 70.97449493408203, 57.83241271972656, 54.021202087402344, 69.96495819091797, 74.00997924804688, 75.86812591552734, 64.78312683105469, 47.825077056884766, 43.94905090332031, 36.98573303222656, 36.84235763549805, 35.76866149902344, 34.858402252197266, 30.973344802856445, 28.16900062561035, 51.911861419677734, 27.991838455200195, 24.931718826293945, 24.024831771850586, 49.87173080444336, 18.242929458618164, 27.95501708984375, 59.883148193359375, 48.98458480834961, 17.95973014831543, 17.9135684967041, 17.06935691833496, 16.11153221130371, 14.693220138549805, 14.539985656738281, 14.531936645507812, 18.13498306274414, 10.893265724182129, 10.425103187561035, 23.979820251464844, 8.955853462219238, 8.43722152709961, 7.99130916595459, 9.999567031860352, 7.189841270446777, 4.99965763092041, 4.019267559051514, 2.0437533855438232, 1.9972213506698608, 0.9796876311302185, 18.187545776367188, 0.03402620926499367, 7.9921956062316895, 11.921219825744629, 18.158100128173828]"
1,[8],"[14, 35, 37, 26, 17, 1, 0, 20, 9, 24, 54, 41, 40, 29, 3, 22, 58, 21, 38, 44, 6, 11, 51, 28, 49, 13, 42, 16, 39, 7, 15, 12, 2, 53, 23, 45, 27, 43, 30, 19, 32, 34, 10, 4, 33, 18, 50, 36, 31, 46, 57, 52, 55, 56, 5, 59, 25, 47, 48]","[array([49], dtype=int64), array([43], dtype=int64), array([50], dtype=int64), array([99], dtype=int64), array([7], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([82], dtype=int64), array([80], dtype=int64), array([85], dtype=int64), array([56], dtype=int64), array([7], dtype=int64), array([9], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([97], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([19], dtype=int64), array([2], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([63], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([2], dtype=int64), array([28], dtype=int64), array([10], dtype=int64), array([50], dtype=int64), array([97], dtype=int64), array([3], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([92], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([55], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[62.325958251953125, 82.84709930419922, 63.06653594970703, 62.96307373046875, 69.94180297851562, 82.01142120361328, 64.9312973022461, 47.79187774658203, 43.96459197998047, 43.932735443115234, 42.98529815673828, 39.784637451171875, 36.90861511230469, 90.9778823852539, 74.00659942626953, 35.77960205078125, 34.89289855957031, 30.901704788208008, 30.18662452697754, 36.92411804199219, 29.964176177978516, 27.98802375793457, 27.970001220703125, 24.985410690307617, 24.04542350769043, 51.973419189453125, 23.006099700927734, 22.012054443359375, 22.002004623413086, 18.293560028076172, 28.02887535095215, 49.919837951660156, 48.98458480834961, 17.95973014831543, 17.9135684967041, 17.06935691833496, 16.11153221130371, 14.693220138549805, 14.539985656738281, 14.531936645507812, 18.13498306274414, 10.893265724182129, 10.425103187561035, 23.979820251464844, 8.955853462219238, 8.43722152709961, 7.99130916595459, 9.999567031860352, 7.189841270446777, 4.99965763092041, 4.019267559051514, 2.0437533855438232, 1.9972213506698608, 0.9796876311302185, 18.187545776367188, 0.03402620926499367, 7.9921956062316895, 11.921219825744629, 18.158100128173828]"
2,[55],"[1, 11, 35, 38, 26, 37, 39, 54, 42, 29, 41, 53, 30, 20, 9, 16, 6, 17, 3, 14, 0, 24, 44, 40, 22, 58, 21, 13, 51, 28, 49, 12, 7, 2, 15, 23, 8, 45, 27, 43, 19, 32, 34, 10, 4, 33, 18, 36, 50, 31, 46, 57, 52, 56, 5, 59, 25, 47, 48]","[array([98], dtype=int64), array([97], dtype=int64), array([43], dtype=int64), array([19], dtype=int64), array([99], dtype=int64), array([50], dtype=int64), array([2], dtype=int64), array([56], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([99], dtype=int64), array([82], dtype=int64), array([80], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([7], dtype=int64), array([10], dtype=int64), array([49], dtype=int64), array([95], dtype=int64), array([85], dtype=int64), array([2], dtype=int64), array([9], dtype=int64), array([97], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([63], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([50], dtype=int64), array([28], dtype=int64), array([97], dtype=int64), array([10], dtype=int64), array([4], dtype=int64), array([39], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([92], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([55], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[67.37238311767578, 90.92799377441406, 82.87828826904297, 76.8432846069336, 62.99432373046875, 62.9555778503418, 61.87211227416992, 60.079715728759766, 57.81205749511719, 70.98611450195312, 54.02627944946289, 70.93025207519531, 52.999759674072266, 52.85747146606445, 92.04501342773438, 89.95358276367188, 55.05679702758789, 69.83777618408203, 73.9432373046875, 75.98006439208984, 65.02104949951172, 43.95512771606445, 36.92233657836914, 36.97828674316406, 35.840049743652344, 34.97600555419922, 30.92679214477539, 51.97233581542969, 27.890859603881836, 24.937292098999023, 24.100839614868164, 49.79668045043945, 18.267375946044922, 49.02055358886719, 27.999366760253906, 18.030048370361328, 59.94304275512695, 17.019189834594727, 16.259403228759766, 14.805994987487793, 14.43813705444336, 17.912582397460938, 10.95639419555664, 10.43685245513916, 24.03961944580078, 8.987554550170898, 8.391531944274902, 10.017740249633789, 7.948024272918701, 7.245742321014404, 5.018692493438721, 4.0219035148620605, 2.007570266723633, 0.9796876311302185, 18.187545776367188, 0.03402620926499367, 7.9921956062316895, 11.921219825744629, 18.158100128173828]"
3,[15],"[1, 6, 11, 17, 8, 0, 2, 20, 35, 24, 9, 54, 3, 40, 41, 22, 37, 58, 21, 38, 51, 28, 44, 26, 49, 42, 16, 39, 14, 13, 12, 23, 7, 53, 45, 27, 29, 43, 30, 19, 32, 34, 10, 4, 33, 18, 50, 36, 31, 46, 57, 52, 55, 56, 5, 59, 25, 47, 48]","[array([98], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([7], dtype=int64), array([39], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([82], dtype=int64), array([43], dtype=int64), array([85], dtype=int64), array([80], dtype=int64), array([56], dtype=int64), array([10], dtype=int64), array([9], dtype=int64), array([7], dtype=int64), array([97], dtype=int64), array([50], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([19], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([2], dtype=int64), array([49], dtype=int64), array([63], dtype=int64), array([50], dtype=int64), array([4], dtype=int64), array([28], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([92], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([55], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[55.93687438964844, 82.24073791503906, 94.9364242553711, 69.93475341796875, 59.94670104980469, 64.86354064941406, 48.96962356567383, 47.879005432128906, 46.967044830322266, 43.95253372192383, 43.939266204833984, 42.94718551635742, 73.99374389648438, 36.97221755981445, 39.932891845703125, 35.892120361328125, 34.9902458190918, 34.95646667480469, 30.950820922851562, 30.11890983581543, 27.98371696472168, 24.977785110473633, 37.021888732910156, 23.96179962158203, 24.031816482543945, 23.002288818359375, 22.03029441833496, 21.950971603393555, 75.925537109375, 51.79766082763672, 49.91707229614258, 18.022476196289062, 18.199649810791016, 18.007068634033203, 17.016252517700195, 16.140628814697266, 15.999676704406738, 14.693220138549805, 14.539985656738281, 14.531936645507812, 18.13498306274414, 10.893265724182129, 10.425103187561035, 23.979820251464844, 8.955853462219238, 8.43722152709961, 7.99130916595459, 9.999567031860352, 7.189841270446777, 4.99965763092041, 4.019267559051514, 2.0437533855438232, 1.9972213506698608, 0.9796876311302185, 18.187545776367188, 0.03402620926499367, 7.9921956062316895, 11.921219825744629, 18.158100128173828]"
4,[15],"[1, 6, 11, 17, 8, 0, 2, 20, 35, 24, 9, 54, 3, 40, 41, 22, 37, 58, 21, 38, 51, 28, 44, 26, 49, 42, 16, 39, 14, 13, 12, 23, 7, 53, 45, 27, 29, 43, 30, 19, 32, 34, 10, 4, 33, 18, 50, 36, 31, 46, 57, 52, 55, 56, 5, 59, 25, 47, 48]","[array([98], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([7], dtype=int64), array([39], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([82], dtype=int64), array([43], dtype=int64), array([85], dtype=int64), array([80], dtype=int64), array([56], dtype=int64), array([10], dtype=int64), array([9], dtype=int64), array([7], dtype=int64), array([97], dtype=int64), array([50], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([19], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([2], dtype=int64), array([49], dtype=int64), array([63], dtype=int64), array([50], dtype=int64), array([4], dtype=int64), array([28], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([92], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([55], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[55.93687438964844, 82.24073791503906, 94.9364242553711, 69.93475341796875, 59.94670104980469, 64.86354064941406, 48.96962356567383, 47.879005432128906, 46.967044830322266, 43.95253372192383, 43.939266204833984, 42.94718551635742, 73.99374389648438, 36.97221755981445, 39.932891845703125, 35.892120361328125, 34.9902458190918, 34.95646667480469, 30.950820922851562, 30.11890983581543, 27.98371696472168, 24.977785110473633, 37.021888732910156, 23.96179962158203, 24.031816482543945, 23.002288818359375, 22.03029441833496, 21.950971603393555, 75.925537109375, 51.79766082763672, 49.91707229614258, 18.022476196289062, 18.199649810791016, 18.007068634033203, 17.016252517700195, 16.140628814697266, 15.999676704406738, 14.693220138549805, 14.539985656738281, 14.531936645507812, 18.13498306274414, 10.893265724182129, 10.425103187561035, 23.979820251464844, 8.955853462219238, 8.43722152709961, 7.99130916595459, 9.999567031860352, 7.189841270446777, 4.99965763092041, 4.019267559051514, 2.0437533855438232, 1.9972213506698608, 0.9796876311302185, 18.187545776367188, 0.03402620926499367, 7.9921956062316895, 11.921219825744629, 18.158100128173828]"
5,[39],"[1, 6, 11, 38, 9, 35, 10, 26, 16, 29, 54, 37, 41, 17, 3, 14, 0, 20, 24, 44, 40, 22, 58, 21, 13, 51, 28, 49, 12, 42, 7, 15, 8, 2, 53, 23, 45, 27, 43, 30, 19, 32, 34, 4, 33, 18, 50, 36, 31, 46, 57, 52, 55, 56, 5, 59, 25, 47, 48]","[array([98], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([19], dtype=int64), array([80], dtype=int64), array([43], dtype=int64), array([98], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([99], dtype=int64), array([56], dtype=int64), array([50], dtype=int64), array([7], dtype=int64), array([7], dtype=int64), array([10], dtype=int64), array([49], dtype=int64), array([95], dtype=int64), array([82], dtype=int64), array([85], dtype=int64), array([2], dtype=int64), array([9], dtype=int64), array([97], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([63], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([50], dtype=int64), array([2], dtype=int64), array([28], dtype=int64), array([10], dtype=int64), array([39], dtype=int64), array([97], dtype=int64), array([3], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([92], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([55], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[66.47299194335938, 93.06891632080078, 90.04222869873047, 90.02059173583984, 91.99170684814453, 88.95352935791016, 87.98460388183594, 86.93486785888672, 89.97067260742188, 70.99114227294922, 60.05350112915039, 62.91120910644531, 54.105106353759766, 69.93144989013672, 73.95976257324219, 75.95024871826172, 64.84515380859375, 47.86253356933594, 43.95999526977539, 37.01683807373047, 36.674591064453125, 35.92815017700195, 34.970211029052734, 30.8985538482666, 51.93433380126953, 27.974252700805664, 24.969820022583008, 24.014814376831055, 50.03807067871094, 23.05352020263672, 18.20783233642578, 28.15900230407715, 59.93925857543945, 49.02510452270508, 17.992694854736328, 17.874534606933594, 17.027053833007812, 16.1893253326416, 14.494691848754883, 15.490880012512207, 14.624984741210938, 17.990604400634766, 10.968680381774902, 23.979820251464844, 8.955853462219238, 8.43722152709961, 7.99130916595459, 9.999567031860352, 7.189841270446777, 4.99965763092041, 4.019267559051514, 2.0437533855438232, 1.9972213506698608, 0.9796876311302185, 18.187545776367188, 0.03402620926499367, 7.9921956062316895, 11.921219825744629, 18.158100128173828]"
6,[50],"[1, 51, 35, 38, 26, 37, 39, 54, 42, 29, 41, 53, 30, 20, 6, 3, 17, 14, 0, 9, 24, 44, 40, 22, 58, 21, 11, 13, 28, 49, 12, 16, 7, 2, 32, 15, 23, 45, 27, 43, 19, 8, 34, 10, 4, 33, 18, 36, 31, 46, 57, 52, 55, 56, 5, 59, 25, 47, 48]","[array([98], dtype=int64), array([4], dtype=int64), array([43], dtype=int64), array([19], dtype=int64), array([99], dtype=int64), array([50], dtype=int64), array([2], dtype=int64), array([56], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([99], dtype=int64), array([82], dtype=int64), array([95], dtype=int64), array([10], dtype=int64), array([7], dtype=int64), array([49], dtype=int64), array([95], dtype=int64), array([80], dtype=int64), array([85], dtype=int64), array([2], dtype=int64), array([9], dtype=int64), array([97], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([63], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([50], dtype=int64), array([98], dtype=int64), array([28], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([39], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([92], dtype=int64), array([1], dtype=int64), array([55], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[69.01380920410156, 76.99901580810547, 82.83255004882812, 76.89800262451172, 62.945556640625, 62.961944580078125, 61.967891693115234, 60.038631439208984, 57.828880310058594, 70.95317077636719, 53.99768829345703, 70.86363983154297, 52.977359771728516, 52.859588623046875, 54.975608825683594, 50.89529037475586, 69.88106536865234, 75.7522964477539, 64.89000701904297, 43.98515701293945, 43.937252044677734, 36.95780563354492, 36.821834564208984, 35.766883850097656, 34.95552062988281, 30.873384475708008, 27.989479064941406, 51.94196701049805, 25.00844955444336, 24.047977447509766, 49.861122131347656, 22.018762588500977, 18.315231323242188, 48.967796325683594, 18.21666717529297, 27.91985511779785, 17.87283706665039, 17.01528549194336, 16.197492599487305, 14.696434020996094, 14.645566940307617, 60.000579833984375, 10.910442352294922, 10.659466743469238, 24.135009765625, 8.95848274230957, 8.392810821533203, 9.999567031860352, 7.189841270446777, 4.99965763092041, 4.019267559051514, 2.0437533855438232, 1.9972213506698608, 0.9796876311302185, 18.187545776367188, 0.03402620926499367, 7.9921956062316895, 11.921219825744629, 18.158100128173828]"
7,[20],"[24, 35, 6, 17, 1, 8, 0, 2, 9, 54, 41, 29, 3, 40, 22, 37, 58, 21, 38, 44, 14, 51, 28, 49, 26, 11, 42, 16, 39, 7, 13, 12, 15, 53, 23, 45, 27, 43, 30, 19, 32, 34, 10, 4, 33, 18, 50, 36, 31, 46, 57, 52, 55, 56, 5, 59, 25, 47, 48]","[array([85], dtype=int64), array([43], dtype=int64), array([95], dtype=int64), array([7], dtype=int64), array([98], dtype=int64), array([39], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([80], dtype=int64), array([56], dtype=int64), array([7], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([9], dtype=int64), array([97], dtype=int64), array([50], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([19], dtype=int64), array([2], dtype=int64), array([49], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([2], dtype=int64), array([28], dtype=int64), array([63], dtype=int64), array([50], dtype=int64), array([10], dtype=int64), array([3], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([92], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([55], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[82.24763488769531, 82.95658874511719, 93.09690856933594, 69.93180847167969, 81.90552520751953, 59.88902282714844, 64.90145111083984, 48.986942291259766, 43.96323013305664, 42.96863555908203, 39.944156646728516, 70.94168853759766, 73.9725570678711, 36.93476486206055, 35.95336151123047, 34.96075439453125, 34.90214920043945, 31.03421401977539, 30.085636138916016, 36.985591888427734, 75.88336944580078, 27.91006088256836, 24.982351303100586, 24.03953742980957, 23.96064567565918, 27.924150466918945, 23.0051326751709, 22.011737823486328, 22.04431915283203, 18.13428497314453, 51.93025207519531, 49.92091369628906, 27.962617874145508, 17.95973014831543, 17.9135684967041, 17.06935691833496, 16.11153221130371, 14.693220138549805, 14.539985656738281, 14.531936645507812, 18.13498306274414, 10.893265724182129, 10.425103187561035, 23.979820251464844, 8.955853462219238, 8.43722152709961, 7.99130916595459, 9.999567031860352, 7.189841270446777, 4.99965763092041, 4.019267559051514, 2.0437533855438232, 1.9972213506698608, 0.9796876311302185, 18.187545776367188, 0.03402620926499367, 7.9921956062316895, 11.921219825744629, 18.158100128173828]"
8,[14],"[9, 35, 17, 1, 38, 26, 8, 0, 20, 24, 54, 41, 29, 3, 40, 22, 58, 37, 21, 44, 6, 11, 51, 28, 49, 13, 42, 16, 39, 7, 15, 12, 2, 53, 23, 45, 27, 43, 30, 19, 32, 34, 10, 4, 33, 18, 50, 36, 31, 46, 57, 52, 55, 56, 5, 59, 25, 47, 48]","[array([80], dtype=int64), array([43], dtype=int64), array([7], dtype=int64), array([98], dtype=int64), array([19], dtype=int64), array([99], dtype=int64), array([39], dtype=int64), array([95], dtype=int64), array([82], dtype=int64), array([85], dtype=int64), array([56], dtype=int64), array([7], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([9], dtype=int64), array([97], dtype=int64), array([1], dtype=int64), array([50], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([63], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([2], dtype=int64), array([28], dtype=int64), array([10], dtype=int64), array([50], dtype=int64), array([97], dtype=int64), array([3], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([92], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([55], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[60.869285583496094, 93.94817352294922, 69.96529388427734, 81.82323455810547, 76.789794921875, 63.003173828125, 59.96467208862305, 64.90267181396484, 47.96385192871094, 43.89965057373047, 42.97279739379883, 39.91813659667969, 90.99382019042969, 73.98228454589844, 36.964107513427734, 35.81221389770508, 34.964359283447266, 34.92636489868164, 30.932538986206055, 36.92411804199219, 29.964176177978516, 27.98802375793457, 27.970001220703125, 24.985410690307617, 24.04542350769043, 51.973419189453125, 23.006099700927734, 22.012054443359375, 22.002004623413086, 18.293560028076172, 28.02887535095215, 49.919837951660156, 48.98458480834961, 17.95973014831543, 17.9135684967041, 17.06935691833496, 16.11153221130371, 14.693220138549805, 14.539985656738281, 14.531936645507812, 18.13498306274414, 10.893265724182129, 10.425103187561035, 23.979820251464844, 8.955853462219238, 8.43722152709961, 7.99130916595459, 9.999567031860352, 7.189841270446777, 4.99965763092041, 4.019267559051514, 2.0437533855438232, 1.9972213506698608, 0.9796876311302185, 18.187545776367188, 0.03402620926499367, 7.9921956062316895, 11.921219825744629, 18.158100128173828]"
9,[29],"[18, 22, 17, 1, 8, 0, 2, 20, 35, 9, 24, 54, 41, 3, 40, 37, 58, 21, 44, 38, 6, 14, 51, 28, 49, 26, 11, 42, 16, 39, 13, 12, 7, 53, 32, 23, 45, 27, 43, 19, 30, 15, 34, 10, 4, 33, 50, 36, 31, 46, 57, 52, 55, 56, 5, 59, 25, 47, 48]","[array([92], dtype=int64), array([97], dtype=int64), array([7], dtype=int64), array([98], dtype=int64), array([39], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([82], dtype=int64), array([43], dtype=int64), array([80], dtype=int64), array([85], dtype=int64), array([56], dtype=int64), array([7], dtype=int64), array([10], dtype=int64), array([9], dtype=int64), array([50], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([19], dtype=int64), array([95], dtype=int64), array([49], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([2], dtype=int64), array([63], dtype=int64), array([50], dtype=int64), array([28], dtype=int64), array([3], dtype=int64), array([99], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([1], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([33], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([55], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([71], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([8], dtype=int64)]","[90.5320816040039, 92.06859588623047, 91.04525756835938, 82.06903839111328, 59.97140121459961, 64.86447143554688, 48.941627502441406, 47.99248123168945, 46.98488235473633, 43.98933792114258, 43.920467376708984, 43.04206848144531, 39.99150085449219, 73.990234375, 36.848514556884766, 34.95643997192383, 34.96975326538086, 31.000471115112305, 36.98723220825195, 30.098302841186523, 30.178190231323242, 75.97650146484375, 27.945356369018555, 24.978452682495117, 24.033262252807617, 23.988454818725586, 27.96533966064453, 23.084339141845703, 21.989683151245117, 21.988426208496094, 51.79236602783203, 49.962284088134766, 18.16050910949707, 17.97368621826172, 18.09856605529785, 18.01399040222168, 16.988460540771484, 16.091785430908203, 14.704565048217773, 14.762051582336426, 15.192456245422363, 27.978002548217773, 10.949231147766113, 10.399652481079102, 23.996923446655273, 8.90276050567627, 7.99130916595459, 9.999567031860352, 7.189841270446777, 4.99965763092041, 4.019267559051514, 2.0437533855438232, 1.9972213506698608, 0.9796876311302185, 18.187545776367188, 0.03402620926499367, 7.9921956062316895, 11.921219825744629, 18.158100128173828]"
