random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[3, 10, 50, 28, 38, 29, 41, 53, 12, 13, 59, 48, 46, 4, 16, 15, 44, 11, 6, 39, 0, 27, 14, 2, 8, 5, 7, 1, 25, 32, 47, 49, 37, 26, 40, 19, 24, 58, 21, 34, 22, 18, 57, 35, 55, 36, 23, 45, 20, 17, 51, 33, 42, 30, 43, 56, 31, 9, 52]","[array([69], dtype=int64), array([91], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([12], dtype=int64), array([31], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([33], dtype=int64), array([93], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([92], dtype=int64), array([88], dtype=int64), array([0], dtype=int64), array([62], dtype=int64), array([2], dtype=int64), array([91], dtype=int64), array([73], dtype=int64), array([73], dtype=int64), array([73], dtype=int64), array([49], dtype=int64), array([83], dtype=int64), array([39], dtype=int64), array([82], dtype=int64), array([0], dtype=int64), array([42], dtype=int64), array([10], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([21], dtype=int64), array([38], dtype=int64), array([0], dtype=int64), array([46], dtype=int64), array([5], dtype=int64), array([42], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([16], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([23], dtype=int64), array([89], dtype=int64), array([0], dtype=int64)]","[93.99909210205078, 98.14957427978516, 89.06806945800781, 78.02581787109375, 53.244956970214844, 50.08980178833008, 77.7907485961914, 37.81221008300781, 38.05623245239258, 44.39045333862305, 58.066349029541016, 25.32770538330078, 33.64426040649414, 34.341861724853516, 31.625810623168945, 44.80631637573242, 48.70379638671875, 87.09774017333984, 55.727020263671875, 71.99429321289062, 39.08142852783203, 64.80047607421875, 33.77326202392578, 28.45920753479004, 19.35204315185547, 49.54287338256836, 86.24246215820312, 13.98130989074707, 42.683048248291016, 66.27913665771484, 16.36666488647461, 31.87880516052246, 11.18749713897705, 48.528263092041016, 41.192996978759766, 13.808837890625, 18.623929977416992, 30.24698257446289, 18.440513610839844, 56.58354568481445, 35.023719787597656, 27.313203811645508, 43.49212646484375, 19.728174209594727, 12.523333549499512, 20.977510452270508, 14.503621101379395, 27.12811851501465, 19.774789810180664, 23.945180892944336, 42.8995361328125, 3.4255106449127197, 0.9375848174095154, 5.147147178649902, -0.901820957660675, 4.094099044799805, 57.26304626464844, 88.23253631591797, 1.7069861888885498]"
1,[8],"[3, 16, 14, 9, 11, 35, 0, 10, 53, 38, 6, 57, 50, 13, 28, 29, 52, 27, 41, 7, 46, 31, 26, 51, 54, 45, 12, 2, 15, 34, 37, 32, 19, 40, 1, 39, 18, 49, 17, 22, 21, 24, 4, 58, 33, 20, 42, 30, 36, 44, 23, 56, 55, 5, 43, 59, 25, 47, 48]","[array([69], dtype=int64), array([93], dtype=int64), array([91], dtype=int64), array([89], dtype=int64), array([92], dtype=int64), array([3], dtype=int64), array([62], dtype=int64), array([91], dtype=int64), array([12], dtype=int64), array([11], dtype=int64), array([88], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([49], dtype=int64), array([0], dtype=int64), array([23], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([10], dtype=int64), array([82], dtype=int64), array([21], dtype=int64), array([2], dtype=int64), array([83], dtype=int64), array([0], dtype=int64), array([53], dtype=int64), array([42], dtype=int64), array([16], dtype=int64), array([42], dtype=int64), array([46], dtype=int64), array([38], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([16], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[93.9986801147461, 73.52037048339844, 96.0340576171875, 99.85608673095703, 91.90009307861328, 93.57073974609375, 89.60021209716797, 90.60053253173828, 90.10448455810547, 91.4917221069336, 93.02570343017578, 84.60498046875, 65.46672821044922, 47.40462112426758, 62.197174072265625, 69.48887634277344, 46.2745475769043, 48.83921432495117, 50.65250015258789, 70.42027282714844, 81.24772644042969, 50.55863571166992, 73.79891967773438, 58.44381332397461, 65.42227172851562, 39.0771369934082, 15.937849044799805, 40.00102996826172, 55.257354736328125, 49.57499313354492, 21.370845794677734, 51.099822998046875, 15.544451713562012, 47.3430290222168, 24.467315673828125, 34.45675277709961, 17.360448837280273, 50.97904968261719, 47.266849517822266, 25.616655349731445, 26.085918426513672, 16.744091033935547, 56.978275299072266, 21.1072998046875, 6.733890533447266, 12.478034973144531, 5.129010200500488, 13.07433795928955, 9.191662788391113, 12.435744285583496, 3.2087836265563965, 1.9950085878372192, 0.3710041344165802, 27.18342399597168, -0.16230949759483337, 29.02751922607422, 49.30768966674805, -1.2105810642242432, 22.531423568725586]"
2,[55],"[5, 16, 10, 53, 14, 6, 51, 46, 28, 40, 39, 29, 11, 2, 52, 27, 26, 7, 31, 32, 38, 13, 50, 41, 9, 54, 57, 49, 1, 12, 3, 19, 0, 18, 17, 56, 22, 21, 20, 24, 15, 8, 35, 34, 45, 58, 37, 4, 42, 30, 33, 36, 23, 44, 43, 59, 25, 47, 48]","[array([73], dtype=int64), array([93], dtype=int64), array([91], dtype=int64), array([12], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([92], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([49], dtype=int64), array([23], dtype=int64), array([82], dtype=int64), array([11], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([89], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([42], dtype=int64), array([83], dtype=int64), array([31], dtype=int64), array([69], dtype=int64), array([21], dtype=int64), array([62], dtype=int64), array([53], dtype=int64), array([16], dtype=int64), array([0], dtype=int64), array([42], dtype=int64), array([46], dtype=int64), array([16], dtype=int64), array([38], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([33], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[93.93456268310547, 76.05044555664062, 86.28825378417969, 91.6627197265625, 77.34485626220703, 98.00381469726562, 58.028079986572266, 76.97943115234375, 66.79197692871094, 87.04811096191406, 75.55551147460938, 29.007352828979492, 83.96417999267578, 86.93241882324219, 45.46395492553711, 40.17293930053711, 20.862276077270508, 86.20581817626953, 10.520936012268066, 21.43584632873535, 53.743194580078125, 62.84821701049805, 52.83636474609375, 86.79390716552734, 34.00791931152344, 49.59170913696289, 42.762962341308594, 47.05746078491211, 34.1656494140625, 35.86720657348633, 32.849647521972656, 12.993474960327148, 59.937469482421875, 13.252840995788574, 40.923072814941406, 24.22872543334961, 37.08732223510742, 39.74367141723633, 17.982709884643555, 17.184858322143555, 67.95599365234375, 14.897192001342773, 48.70368576049805, 8.6030912399292, 21.927900314331055, 6.229663848876953, 68.33639526367188, 71.97573852539062, 9.969680786132812, 21.03815460205078, 11.303069114685059, 11.862135887145996, 13.714618682861328, 7.3808465003967285, -0.16230949759483337, 29.02751922607422, 49.30768966674805, -1.2105810642242432, 22.531423568725586]"
3,[15],"[17, 14, 10, 3, 12, 9, 50, 28, 16, 40, 29, 27, 53, 30, 26, 37, 38, 52, 57, 46, 51, 41, 58, 43, 19, 20, 2, 13, 31, 54, 22, 44, 18, 0, 45, 21, 24, 4, 32, 7, 11, 8, 34, 49, 35, 1, 33, 5, 36, 56, 39, 42, 23, 55, 59, 25, 47, 48, 6]","[array([16], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([69], dtype=int64), array([31], dtype=int64), array([89], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([93], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([73], dtype=int64), array([51], dtype=int64), array([23], dtype=int64), array([0], dtype=int64), array([42], dtype=int64), array([1], dtype=int64), array([53], dtype=int64), array([62], dtype=int64), array([0], dtype=int64), array([46], dtype=int64), array([38], dtype=int64), array([33], dtype=int64), array([82], dtype=int64), array([49], dtype=int64), array([92], dtype=int64), array([73], dtype=int64), array([5], dtype=int64), array([42], dtype=int64), array([3], dtype=int64), array([83], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([88], dtype=int64)]","[64.6783676147461, 64.3396224975586, 82.9422607421875, 83.95182800292969, 66.70059204101562, 54.79754638671875, 61.215457916259766, 61.917476654052734, 84.23574829101562, 90.05083465576172, 49.08681869506836, 60.29494094848633, 71.27899932861328, 45.27614212036133, 52.57689666748047, 41.4513053894043, 59.3369026184082, 71.79026794433594, 67.78436279296875, 36.940956115722656, 49.41669845581055, 35.38737106323242, 33.35599899291992, 25.649282455444336, 23.054386138916016, 17.53982925415039, 20.648038864135742, 86.76172637939453, 17.72756004333496, 21.488306045532227, 14.094368934631348, 48.108585357666016, 22.048704147338867, 34.44196701049805, 29.50479507446289, 26.78883171081543, 26.119993209838867, 39.93126678466797, 40.39516067504883, 27.42807960510254, 49.412437438964844, 34.35091781616211, 34.42558288574219, 30.909147262573242, 10.178762435913086, 57.25180435180664, 6.8466410636901855, 35.5094108581543, 6.493291854858398, 7.092323303222656, 26.275495529174805, 4.784782886505127, 9.175033569335938, 2.2815511226654053, 25.083555221557617, 20.714399337768555, 8.512614250183105, 23.482070922851562, 53.63606643676758]"
4,[15],"[17, 14, 10, 3, 12, 9, 50, 28, 16, 40, 29, 27, 53, 30, 26, 37, 38, 52, 57, 46, 51, 41, 58, 43, 19, 20, 2, 13, 31, 54, 22, 44, 18, 0, 45, 21, 24, 4, 32, 7, 11, 8, 34, 49, 35, 1, 33, 5, 36, 56, 39, 42, 23, 55, 59, 25, 47, 48, 6]","[array([16], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([69], dtype=int64), array([31], dtype=int64), array([89], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([93], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([73], dtype=int64), array([51], dtype=int64), array([23], dtype=int64), array([0], dtype=int64), array([42], dtype=int64), array([1], dtype=int64), array([53], dtype=int64), array([62], dtype=int64), array([0], dtype=int64), array([46], dtype=int64), array([38], dtype=int64), array([33], dtype=int64), array([82], dtype=int64), array([49], dtype=int64), array([92], dtype=int64), array([73], dtype=int64), array([5], dtype=int64), array([42], dtype=int64), array([3], dtype=int64), array([83], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([88], dtype=int64)]","[64.6783676147461, 64.3396224975586, 82.9422607421875, 83.95182800292969, 66.70059204101562, 54.79754638671875, 61.215457916259766, 61.917476654052734, 84.23574829101562, 90.05083465576172, 49.08681869506836, 60.29494094848633, 71.27899932861328, 45.27614212036133, 52.57689666748047, 41.4513053894043, 59.3369026184082, 71.79026794433594, 67.78436279296875, 36.940956115722656, 49.41669845581055, 35.38737106323242, 33.35599899291992, 25.649282455444336, 23.054386138916016, 17.53982925415039, 20.648038864135742, 86.76172637939453, 17.72756004333496, 21.488306045532227, 14.094368934631348, 48.108585357666016, 22.048704147338867, 34.44196701049805, 29.50479507446289, 26.78883171081543, 26.119993209838867, 39.93126678466797, 40.39516067504883, 27.42807960510254, 49.412437438964844, 34.35091781616211, 34.42558288574219, 30.909147262573242, 10.178762435913086, 57.25180435180664, 6.8466410636901855, 35.5094108581543, 6.493291854858398, 7.092323303222656, 26.275495529174805, 4.784782886505127, 9.175033569335938, 2.2815511226654053, 25.083555221557617, 20.714399337768555, 8.512614250183105, 23.482070922851562, 53.63606643676758]"
5,[39],"[3, 9, 29, 28, 48, 37, 27, 50, 51, 53, 16, 57, 40, 10, 52, 13, 42, 30, 54, 14, 12, 45, 41, 58, 31, 49, 0, 46, 26, 2, 44, 11, 32, 1, 4, 20, 35, 22, 18, 17, 21, 24, 19, 33, 15, 7, 38, 34, 23, 36, 8, 56, 43, 55, 6, 5, 59, 25, 47]","[array([69], dtype=int64), array([89], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([12], dtype=int64), array([93], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([91], dtype=int64), array([0], dtype=int64), array([51], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([91], dtype=int64), array([31], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([23], dtype=int64), array([42], dtype=int64), array([62], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([73], dtype=int64), array([1], dtype=int64), array([92], dtype=int64), array([82], dtype=int64), array([83], dtype=int64), array([33], dtype=int64), array([16], dtype=int64), array([3], dtype=int64), array([42], dtype=int64), array([53], dtype=int64), array([16], dtype=int64), array([46], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([49], dtype=int64), array([11], dtype=int64), array([5], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([88], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64)]","[90.90128326416016, 83.144775390625, 68.24156188964844, 72.03297424316406, 38.26741409301758, 63.98988723754883, 35.48601531982422, 85.16036224365234, 30.524829864501953, 33.09892654418945, 17.579463958740234, 77.48411560058594, 15.41364574432373, 16.907426834106445, 59.742496490478516, 15.503681182861328, 37.47028732299805, 34.71446990966797, 36.411964416503906, 31.024438858032227, 25.744338989257812, 26.925310134887695, 34.719505310058594, 42.199798583984375, 16.766868591308594, 30.684947967529297, 20.50313377380371, 26.184173583984375, 57.3256721496582, 25.103364944458008, 48.539955139160156, 20.127656936645508, 37.14235305786133, 77.2572250366211, 68.06605529785156, 6.2056379318237305, 12.74188232421875, 12.746268272399902, 36.56988525390625, 48.0222282409668, 41.182151794433594, 38.061744689941406, 13.465224266052246, 10.929468154907227, 64.02259063720703, 13.07565975189209, 13.175512313842773, 11.201053619384766, 12.920378684997559, 4.772039413452148, 12.5687255859375, 2.4922220706939697, -0.15801532566547394, -0.316751629114151, 90.85887908935547, 22.444976806640625, 40.39986801147461, 33.5815544128418, 0.37312427163124084]"
6,[50],"[5, 16, 28, 46, 44, 29, 26, 4, 51, 53, 19, 20, 40, 21, 22, 18, 57, 30, 38, 17, 9, 41, 54, 37, 27, 10, 39, 6, 11, 35, 7, 52, 15, 8, 1, 2, 24, 58, 33, 49, 25, 32, 13, 0, 56, 23, 48, 59, 14, 42, 45, 47, 36, 43, 55, 12, 34, 31, 3]","[array([73], dtype=int64), array([93], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([12], dtype=int64), array([21], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([46], dtype=int64), array([42], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([11], dtype=int64), array([16], dtype=int64), array([89], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([91], dtype=int64), array([0], dtype=int64), array([88], dtype=int64), array([92], dtype=int64), array([3], dtype=int64), array([49], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([83], dtype=int64), array([73], dtype=int64), array([38], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([42], dtype=int64), array([39], dtype=int64), array([82], dtype=int64), array([51], dtype=int64), array([62], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([91], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([5], dtype=int64), array([23], dtype=int64), array([69], dtype=int64)]","[90.96881866455078, 96.14348602294922, 92.03668212890625, 53.61305618286133, 78.4735336303711, 50.89206314086914, 55.60090255737305, 54.51557540893555, 62.95112609863281, 21.906274795532227, 12.63559627532959, 16.052919387817383, 12.689250946044922, 10.76738166809082, 36.71753692626953, 28.396045684814453, 76.11344146728516, 37.391502380371094, 25.511917114257812, 12.805057525634766, 29.26131248474121, 56.38030242919922, 9.654974937438965, 57.814125061035156, 52.433265686035156, 50.71095657348633, 35.430782318115234, 30.94883918762207, 81.16072082519531, 12.772106170654297, 55.49950408935547, 23.257591247558594, 33.59455490112305, 17.1861572265625, 21.877180099487305, 71.36287689208984, 18.72671127319336, 7.999157905578613, 11.609062194824219, 40.33231735229492, 20.29662322998047, 21.860877990722656, 30.79098892211914, 57.9703369140625, 6.168334007263184, 9.790512084960938, 48.83918380737305, 52.896697998046875, 4.849226474761963, 3.5480246543884277, -3.034355878829956, -0.4113176167011261, 3.670964002609253, 0.46348026394844055, -0.7339529395103455, 14.422764778137207, 2.2906341552734375, 65.79042053222656, 23.833274841308594]"
7,[20],"[5, 3, 28, 9, 6, 50, 40, 10, 52, 46, 53, 39, 31, 29, 12, 4, 54, 13, 26, 2, 0, 27, 49, 55, 51, 35, 16, 19, 32, 18, 17, 22, 11, 14, 37, 57, 21, 24, 38, 41, 1, 33, 34, 7, 15, 45, 30, 23, 58, 8, 44, 56, 36, 42, 43, 59, 25, 47, 48]","[array([73], dtype=int64), array([69], dtype=int64), array([0], dtype=int64), array([89], dtype=int64), array([88], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([91], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([23], dtype=int64), array([1], dtype=int64), array([31], dtype=int64), array([33], dtype=int64), array([0], dtype=int64), array([51], dtype=int64), array([1], dtype=int64), array([73], dtype=int64), array([62], dtype=int64), array([2], dtype=int64), array([42], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([93], dtype=int64), array([21], dtype=int64), array([82], dtype=int64), array([53], dtype=int64), array([16], dtype=int64), array([42], dtype=int64), array([92], dtype=int64), array([91], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([46], dtype=int64), array([38], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([83], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([49], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[87.4659194946289, 96.33732604980469, 81.0647201538086, 88.00347900390625, 57.7872314453125, 77.3426742553711, 82.60456848144531, 66.43338012695312, 61.97678756713867, 52.292362213134766, 49.098079681396484, 53.87076187133789, 41.679786682128906, 36.42623519897461, 39.7625617980957, 40.67243194580078, 33.5460090637207, 36.967071533203125, 35.7104606628418, 42.51139450073242, 42.929237365722656, 35.46861267089844, 31.816253662109375, 61.93366622924805, 39.61650085449219, 21.94084930419922, 41.05164337158203, 17.22652244567871, 48.81740188598633, 16.47711181640625, 32.76191329956055, 34.916236877441406, 85.09757995605469, 57.41487121582031, 75.9205093383789, 54.80815505981445, 33.82527160644531, 10.582815170288086, 17.862905502319336, 7.373981952667236, 58.00161361694336, 12.704462051391602, 12.490777969360352, 43.526119232177734, 72.41693115234375, 25.42864418029785, 14.604558944702148, 7.908648490905762, 14.52562141418457, 47.24466323852539, 12.85629940032959, 4.953807830810547, 8.9420804977417, 1.3980908393859863, -0.16230949759483337, 29.02751922607422, 49.30768966674805, -1.2105810642242432, 22.531423568725586]"
8,[14],"[3, 16, 29, 50, 8, 28, 44, 53, 46, 15, 30, 51, 26, 57, 12, 13, 40, 2, 0, 32, 31, 10, 41, 27, 37, 45, 39, 4, 11, 1, 7, 5, 19, 59, 49, 20, 18, 22, 17, 21, 24, 54, 35, 36, 38, 56, 58, 33, 34, 25, 23, 47, 42, 55, 43, 48, 6, 9, 52]","[array([69], dtype=int64), array([93], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([51], dtype=int64), array([2], dtype=int64), array([73], dtype=int64), array([62], dtype=int64), array([82], dtype=int64), array([23], dtype=int64), array([91], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([33], dtype=int64), array([92], dtype=int64), array([83], dtype=int64), array([49], dtype=int64), array([73], dtype=int64), array([21], dtype=int64), array([0], dtype=int64), array([42], dtype=int64), array([16], dtype=int64), array([53], dtype=int64), array([42], dtype=int64), array([16], dtype=int64), array([46], dtype=int64), array([38], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([3], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([39], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([88], dtype=int64), array([89], dtype=int64), array([0], dtype=int64)]","[94.00031280517578, 91.4473876953125, 90.7771987915039, 88.27356719970703, 56.401268005371094, 85.32740783691406, 82.813720703125, 81.2970199584961, 44.45353317260742, 42.93836975097656, 64.24260711669922, 54.90776443481445, 39.101402282714844, 73.09130096435547, 25.19084930419922, 48.79500198364258, 71.40695190429688, 19.609554290771484, 28.7138614654541, 44.761810302734375, 45.59027862548828, 48.767791748046875, 43.438602447509766, 36.552879333496094, 33.07054138183594, 34.892356872558594, 26.378623962402344, 30.179569244384766, 83.76947021484375, 38.22034454345703, 62.71579360961914, 32.153663635253906, 18.519756317138672, 51.084075927734375, 24.275707244873047, 20.394214630126953, 19.08483123779297, 36.3181266784668, 26.890039443969727, 33.487510681152344, 15.118790626525879, 9.968186378479004, 16.151443481445312, 9.243291854858398, 8.320552825927734, 4.270143985748291, 19.997831344604492, 5.522586345672607, 14.914682388305664, 30.046451568603516, 8.393967628479004, 22.757715225219727, 2.3568496704101562, 1.0322061777114868, -2.1083569526672363, 29.380847930908203, 85.81885528564453, 88.23253631591797, 1.7069861888885498]"
9,[29],"[5, 16, 9, 38, 50, 28, 26, 10, 53, 46, 51, 40, 57, 27, 44, 52, 2, 4, 11, 37, 13, 54, 39, 12, 0, 31, 32, 49, 7, 3, 14, 36, 58, 19, 18, 22, 21, 17, 20, 1, 24, 35, 45, 15, 41, 33, 34, 8, 56, 23, 42, 30, 59, 55, 43, 6, 25, 47, 48]","[array([73], dtype=int64), array([93], dtype=int64), array([89], dtype=int64), array([11], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([91], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([0], dtype=int64), array([73], dtype=int64), array([33], dtype=int64), array([92], dtype=int64), array([10], dtype=int64), array([51], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([31], dtype=int64), array([62], dtype=int64), array([23], dtype=int64), array([82], dtype=int64), array([42], dtype=int64), array([49], dtype=int64), array([69], dtype=int64), array([91], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([21], dtype=int64), array([53], dtype=int64), array([42], dtype=int64), array([46], dtype=int64), array([16], dtype=int64), array([16], dtype=int64), array([83], dtype=int64), array([38], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([73], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([88], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[88.27337646484375, 87.94265747070312, 82.44737243652344, 80.52222442626953, 60.89210891723633, 91.11506652832031, 62.226348876953125, 47.56512451171875, 50.90009689331055, 43.49345016479492, 52.764671325683594, 48.568233489990234, 54.394290924072266, 24.789718627929688, 18.861831665039062, 50.70524978637695, 43.38065719604492, 46.450904846191406, 63.468624114990234, 34.35731506347656, 42.81489181518555, 37.00209426879883, 28.45922088623047, 26.234922409057617, 29.24372100830078, 70.05276489257812, 44.41325759887695, 23.70771598815918, 67.23664093017578, 40.801151275634766, 34.10549545288086, 10.893506050109863, 14.032611846923828, 16.532968521118164, 15.430715560913086, 39.24287796020508, 17.405637741088867, 12.027997016906738, 18.326385498046875, 54.94102478027344, 18.014795303344727, 8.691990852355957, 28.479740142822266, 74.7459716796875, 33.289764404296875, 7.424864292144775, 13.988908767700195, 15.506397247314453, 7.9606523513793945, 5.018228530883789, 17.655235290527344, 5.257863521575928, 30.936826705932617, -1.5000252723693848, -3.4965012073516846, 88.1448745727539, 49.30768966674805, -1.2105810642242432, 22.531423568725586]"
