random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[16, 10, 3, 28, 41, 27, 29, 26, 30, 51, 40, 39, 19, 53, 37, 35, 20, 24, 50, 21, 38, 42, 44, 14, 43, 22, 52, 18, 9, 57, 6, 58, 56, 11, 45, 55, 49, 46, 7, 13, 2, 1, 15, 34, 17, 8, 32, 0, 23, 33, 12, 4, 36, 31, 5, 59, 25, 47, 48]","[array([53], dtype=int64), array([69], dtype=int64), array([65], dtype=int64), array([12], dtype=int64), array([15], dtype=int64), array([19], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([24], dtype=int64), array([21], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([31], dtype=int64), array([21], dtype=int64), array([42], dtype=int64), array([38], dtype=int64), array([28], dtype=int64), array([45], dtype=int64), array([34], dtype=int64), array([40], dtype=int64), array([15], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([81], dtype=int64), array([33], dtype=int64), array([40], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([63], dtype=int64), array([2], dtype=int64), array([67], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([72], dtype=int64), array([8], dtype=int64), array([23], dtype=int64), array([76], dtype=int64), array([1], dtype=int64), array([74], dtype=int64), array([62], dtype=int64), array([78], dtype=int64), array([83], dtype=int64), array([45], dtype=int64), array([11], dtype=int64), array([40], dtype=int64), array([78], dtype=int64), array([70], dtype=int64), array([69], dtype=int64), array([29], dtype=int64), array([6], dtype=int64), array([60], dtype=int64), array([52], dtype=int64), array([10], dtype=int64), array([58], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[93.27333068847656, 98.99900817871094, 74.0003662109375, 80.99952697753906, 75.00065612792969, 73.00015258789062, 63.000282287597656, 79.99593353271484, 46.999149322509766, 77.00031280517578, 80.99463653564453, 72.99522399902344, 33.99584197998047, 30.999792098999023, 55.9993782043457, 24.00020408630371, 18.998493194580078, 14.998729705810547, 14.000049591064453, 13.999702453613281, 45.996192932128906, 27.000030517578125, 41.99910354614258, 10.000255584716797, 7.007033824920654, 6.001114845275879, 6.001823425292969, 6.004035472869873, 5.000150680541992, 5.000265598297119, 11.00517463684082, 3.00053071975708, 2.9995813369750977, 3.0088467597961426, 2.997976064682007, 2.0027577877044678, 2.0013604164123535, 2.002622604370117, 12.993765830993652, 2.0003502368927, 2.000187635421753, 2.001919984817505, 2.001112699508667, 1.9995696544647217, 1.9989292621612549, 12.999712944030762, 1.0069738626480103, 1.0683354139328003, 1.046186089515686, 1.00568425655365, 1.0040866136550903, 1.0039156675338745, 1.0027662515640259, 0.9987552762031555, 2.0120646953582764, 1.9970299005508423, 1.2543796300888062, 3.055901527404785, 45.76858901977539]"
1,[8],"[16, 9, 49, 31, 0, 22, 32, 18, 30, 28, 27, 26, 29, 51, 40, 39, 41, 54, 19, 53, 37, 35, 20, 24, 21, 50, 38, 42, 14, 43, 52, 57, 44, 58, 6, 45, 56, 2, 11, 3, 13, 55, 7, 17, 15, 34, 1, 46, 10, 23, 12, 33, 4, 36, 5, 59, 25, 47, 48]","[array([53], dtype=int64), array([63], dtype=int64), array([76], dtype=int64), array([58], dtype=int64), array([69], dtype=int64), array([40], dtype=int64), array([70], dtype=int64), array([47], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([19], dtype=int64), array([14], dtype=int64), array([13], dtype=int64), array([21], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([15], dtype=int64), array([39], dtype=int64), array([31], dtype=int64), array([21], dtype=int64), array([42], dtype=int64), array([38], dtype=int64), array([28], dtype=int64), array([45], dtype=int64), array([40], dtype=int64), array([34], dtype=int64), array([15], dtype=int64), array([57], dtype=int64), array([81], dtype=int64), array([33], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([48], dtype=int64), array([2], dtype=int64), array([67], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([78], dtype=int64), array([72], dtype=int64), array([65], dtype=int64), array([62], dtype=int64), array([23], dtype=int64), array([74], dtype=int64), array([40], dtype=int64), array([45], dtype=int64), array([11], dtype=int64), array([83], dtype=int64), array([1], dtype=int64), array([69], dtype=int64), array([29], dtype=int64), array([60], dtype=int64), array([6], dtype=int64), array([52], dtype=int64), array([10], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[93.01710510253906, 86.12086486816406, 99.00013732910156, 79.14080810546875, 76.19474792480469, 75.42583465576172, 71.13725280761719, 75.32184600830078, 98.99960327148438, 80.99944305419922, 73.00041961669922, 79.99417114257812, 62.99972915649414, 77.00016784667969, 80.99629974365234, 72.99960327148438, 74.99541473388672, 34.00033950805664, 33.99795150756836, 30.999679565429688, 55.99905014038086, 24.00023078918457, 18.997467041015625, 14.999629020690918, 14.000999450683594, 13.999271392822266, 45.99863052368164, 27.00076675415039, 10.000839233398438, 6.99894380569458, 5.9994964599609375, 5.006059646606445, 41.997291564941406, 2.9996612071990967, 11.004849433898926, 3.0000112056732178, 2.996568202972412, 2.0035228729248047, 2.998680353164673, 2.0008506774902344, 2.0015499591827393, 2.0004117488861084, 13.001190185546875, 1.999971628189087, 2.006847858428955, 1.9966741800308228, 1.9941520690917969, 1.992832064628601, 1.1254013776779175, 1.0302594900131226, 1.0082828998565674, 1.0065536499023438, 1.0038442611694336, 1.0018250942230225, 2.0120646953582764, 1.9970299005508423, 1.2543796300888062, 3.055901527404785, 45.76858901977539]"
2,[55],"[11, 9, 14, 36, 38, 37, 34, 52, 35, 53, 40, 39, 41, 33, 54, 56, 6, 30, 44, 10, 26, 28, 43, 45, 19, 51, 27, 49, 0, 42, 16, 46, 57, 7, 23, 20, 24, 1, 21, 22, 18, 2, 32, 29, 50, 17, 3, 58, 13, 15, 8, 4, 12, 31, 5, 59, 25, 47, 48]","[array([72], dtype=int64), array([63], dtype=int64), array([81], dtype=int64), array([10], dtype=int64), array([15], dtype=int64), array([42], dtype=int64), array([11], dtype=int64), array([8], dtype=int64), array([38], dtype=int64), array([21], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([15], dtype=int64), array([6], dtype=int64), array([39], dtype=int64), array([12], dtype=int64), array([67], dtype=int64), array([24], dtype=int64), array([48], dtype=int64), array([69], dtype=int64), array([14], dtype=int64), array([12], dtype=int64), array([33], dtype=int64), array([8], dtype=int64), array([31], dtype=int64), array([21], dtype=int64), array([19], dtype=int64), array([76], dtype=int64), array([69], dtype=int64), array([57], dtype=int64), array([53], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([74], dtype=int64), array([29], dtype=int64), array([28], dtype=int64), array([45], dtype=int64), array([83], dtype=int64), array([40], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([78], dtype=int64), array([70], dtype=int64), array([13], dtype=int64), array([34], dtype=int64), array([40], dtype=int64), array([65], dtype=int64), array([2], dtype=int64), array([62], dtype=int64), array([45], dtype=int64), array([78], dtype=int64), array([52], dtype=int64), array([60], dtype=int64), array([58], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[92.13497161865234, 77.08662414550781, 57.00001525878906, 56.997371673583984, 56.99900817871094, 52.000244140625, 38.00018310546875, 29.999475479125977, 41.99781036376953, 28.000869750976562, 58.995689392089844, 55.994808197021484, 47.99394607543945, 26.99994659423828, 13.99843978881836, 11.000921249389648, 28.003442764282227, 9.99972915649414, 8.999717712402344, 6.000071048736572, 4.000245571136475, 4.002386569976807, 3.999549627304077, 1.9993362426757812, 1.9997432231903076, 0.9999332427978516, 1.0018367767333984, 0.9997303485870361, 0.9996675252914429, 0.0063851638697087765, 0.0038693207316100597, 0.008273724466562271, 0.0025943550281226635, 10.999337196350098, 0.002854600315913558, 0.004718146286904812, 0.005462449975311756, 0.005478078965097666, 0.0021889018826186657, 0.005646783858537674, 0.0022073728032410145, 0.012274211272597313, 0.03225317224860191, 0.0023323851637542248, 14.024836540222168, 2.0208702087402344, 2.008047580718994, 3.0012686252593994, 2.0086750984191895, 2.068486452102661, 13.02289867401123, 1.0047951936721802, 1.0063015222549438, 0.9987552762031555, 2.0120646953582764, 1.9970299005508423, 1.2543796300888062, 3.055901527404785, 45.76858901977539]"
3,[15],"[11, 9, 14, 16, 10, 49, 6, 42, 28, 26, 27, 29, 51, 30, 40, 39, 41, 54, 19, 53, 35, 20, 24, 21, 50, 37, 38, 43, 22, 52, 18, 57, 44, 56, 45, 58, 3, 55, 7, 13, 1, 17, 8, 46, 34, 2, 32, 0, 23, 33, 12, 4, 36, 31, 5, 59, 25, 47, 48]","[array([72], dtype=int64), array([63], dtype=int64), array([81], dtype=int64), array([53], dtype=int64), array([69], dtype=int64), array([76], dtype=int64), array([67], dtype=int64), array([57], dtype=int64), array([12], dtype=int64), array([14], dtype=int64), array([19], dtype=int64), array([13], dtype=int64), array([21], dtype=int64), array([24], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([15], dtype=int64), array([39], dtype=int64), array([31], dtype=int64), array([21], dtype=int64), array([38], dtype=int64), array([28], dtype=int64), array([45], dtype=int64), array([40], dtype=int64), array([34], dtype=int64), array([42], dtype=int64), array([15], dtype=int64), array([33], dtype=int64), array([40], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([2], dtype=int64), array([48], dtype=int64), array([12], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([65], dtype=int64), array([23], dtype=int64), array([74], dtype=int64), array([62], dtype=int64), array([83], dtype=int64), array([40], dtype=int64), array([78], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([78], dtype=int64), array([70], dtype=int64), array([69], dtype=int64), array([29], dtype=int64), array([6], dtype=int64), array([60], dtype=int64), array([52], dtype=int64), array([10], dtype=int64), array([58], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[96.8944320678711, 57.00020217895508, 56.99986267089844, 60.000335693359375, 65.99887084960938, 53.99985885620117, 63.00174331665039, 43.000404357910156, 80.99986267089844, 80.00025177001953, 72.99835205078125, 62.99970626831055, 76.9999008178711, 46.99870300292969, 80.99896240234375, 72.999755859375, 74.99781799316406, 33.9981803894043, 33.998374938964844, 31.000341415405273, 23.99847412109375, 18.999269485473633, 14.998290061950684, 13.999983787536621, 13.997820854187012, 56.00127410888672, 45.99604797363281, 7.002013206481934, 6.001650333404541, 6.000285625457764, 5.999894618988037, 5.000710487365723, 41.999576568603516, 2.9994640350341797, 2.998809576034546, 2.993500232696533, 2.065577745437622, 2.0318541526794434, 13.003107070922852, 2.0001235008239746, 1.999229073524475, 1.9991533756256104, 13.001121520996094, 1.9991495609283447, 1.9991581439971924, 1.998535394668579, 1.0069738626480103, 1.0683354139328003, 1.046186089515686, 1.00568425655365, 1.0040866136550903, 1.0039156675338745, 1.0027662515640259, 0.9987552762031555, 2.0120646953582764, 1.9970299005508423, 1.2543796300888062, 3.055901527404785, 45.76858901977539]"
4,[15],"[11, 9, 14, 16, 10, 49, 6, 42, 28, 26, 27, 29, 51, 30, 40, 39, 41, 54, 19, 53, 35, 20, 24, 21, 50, 37, 38, 43, 22, 52, 18, 57, 44, 56, 45, 58, 3, 55, 7, 13, 1, 17, 8, 46, 34, 2, 32, 0, 23, 33, 12, 4, 36, 31, 5, 59, 25, 47, 48]","[array([72], dtype=int64), array([63], dtype=int64), array([81], dtype=int64), array([53], dtype=int64), array([69], dtype=int64), array([76], dtype=int64), array([67], dtype=int64), array([57], dtype=int64), array([12], dtype=int64), array([14], dtype=int64), array([19], dtype=int64), array([13], dtype=int64), array([21], dtype=int64), array([24], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([15], dtype=int64), array([39], dtype=int64), array([31], dtype=int64), array([21], dtype=int64), array([38], dtype=int64), array([28], dtype=int64), array([45], dtype=int64), array([40], dtype=int64), array([34], dtype=int64), array([42], dtype=int64), array([15], dtype=int64), array([33], dtype=int64), array([40], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([2], dtype=int64), array([48], dtype=int64), array([12], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([65], dtype=int64), array([23], dtype=int64), array([74], dtype=int64), array([62], dtype=int64), array([83], dtype=int64), array([40], dtype=int64), array([78], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([78], dtype=int64), array([70], dtype=int64), array([69], dtype=int64), array([29], dtype=int64), array([6], dtype=int64), array([60], dtype=int64), array([52], dtype=int64), array([10], dtype=int64), array([58], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[96.8944320678711, 57.00020217895508, 56.99986267089844, 60.000335693359375, 65.99887084960938, 53.99985885620117, 63.00174331665039, 43.000404357910156, 80.99986267089844, 80.00025177001953, 72.99835205078125, 62.99970626831055, 76.9999008178711, 46.99870300292969, 80.99896240234375, 72.999755859375, 74.99781799316406, 33.9981803894043, 33.998374938964844, 31.000341415405273, 23.99847412109375, 18.999269485473633, 14.998290061950684, 13.999983787536621, 13.997820854187012, 56.00127410888672, 45.99604797363281, 7.002013206481934, 6.001650333404541, 6.000285625457764, 5.999894618988037, 5.000710487365723, 41.999576568603516, 2.9994640350341797, 2.998809576034546, 2.993500232696533, 2.065577745437622, 2.0318541526794434, 13.003107070922852, 2.0001235008239746, 1.999229073524475, 1.9991533756256104, 13.001121520996094, 1.9991495609283447, 1.9991581439971924, 1.998535394668579, 1.0069738626480103, 1.0683354139328003, 1.046186089515686, 1.00568425655365, 1.0040866136550903, 1.0039156675338745, 1.0027662515640259, 0.9987552762031555, 2.0120646953582764, 1.9970299005508423, 1.2543796300888062, 3.055901527404785, 45.76858901977539]"
5,[39],"[16, 29, 53, 48, 8, 28, 27, 26, 30, 51, 40, 41, 19, 54, 35, 20, 24, 21, 50, 37, 38, 14, 43, 22, 52, 18, 57, 9, 58, 42, 44, 56, 45, 46, 49, 3, 55, 2, 11, 13, 6, 34, 7, 17, 1, 23, 33, 10, 32, 0, 15, 12, 36, 31, 4, 5, 59, 25, 47]","[array([53], dtype=int64), array([13], dtype=int64), array([21], dtype=int64), array([2], dtype=int64), array([78], dtype=int64), array([12], dtype=int64), array([19], dtype=int64), array([14], dtype=int64), array([24], dtype=int64), array([21], dtype=int64), array([25], dtype=int64), array([15], dtype=int64), array([31], dtype=int64), array([39], dtype=int64), array([38], dtype=int64), array([28], dtype=int64), array([45], dtype=int64), array([40], dtype=int64), array([34], dtype=int64), array([42], dtype=int64), array([15], dtype=int64), array([81], dtype=int64), array([33], dtype=int64), array([40], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([2], dtype=int64), array([63], dtype=int64), array([2], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([12], dtype=int64), array([8], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([65], dtype=int64), array([23], dtype=int64), array([78], dtype=int64), array([72], dtype=int64), array([62], dtype=int64), array([67], dtype=int64), array([11], dtype=int64), array([74], dtype=int64), array([40], dtype=int64), array([83], dtype=int64), array([29], dtype=int64), array([6], dtype=int64), array([69], dtype=int64), array([70], dtype=int64), array([69], dtype=int64), array([45], dtype=int64), array([60], dtype=int64), array([10], dtype=int64), array([58], dtype=int64), array([52], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64)]","[92.99739837646484, 71.00006866455078, 70.99987030029297, 74.00032806396484, 68.00093841552734, 80.9999771118164, 73.00025939941406, 79.99636840820312, 46.979347229003906, 77.00001525878906, 80.99517059326172, 74.99298095703125, 34.00048065185547, 34.00065994262695, 23.99959373474121, 18.999908447265625, 14.99895191192627, 14.00012493133545, 14.000057220458984, 55.99419403076172, 45.99481964111328, 10.000767707824707, 7.00046968460083, 6.002778053283691, 6.000308513641357, 6.000436782836914, 5.000611782073975, 4.999983310699463, 3.000593662261963, 27.000934600830078, 42.000118255615234, 3.00233793258667, 2.9983723163604736, 2.0024290084838867, 2.0003015995025635, 2.025118112564087, 2.0032455921173096, 2.0000507831573486, 2.985672950744629, 2.0001821517944336, 11.040666580200195, 1.9986637830734253, 13.001870155334473, 1.9975426197052002, 1.9960449934005737, 1.0281298160552979, 1.0094385147094727, 1.0039948225021362, 1.0555692911148071, 1.0338702201843262, 2.067229747772217, 1.0023789405822754, 1.0095971822738647, 1.0060460567474365, 1.0055900812149048, 1.9992321729660034, 1.995342493057251, 1.4084625244140625, 3.0010006427764893]"
6,[50],"[16, 28, 10, 41, 27, 29, 26, 30, 51, 40, 39, 54, 19, 37, 38, 35, 20, 24, 21, 42, 44, 6, 7, 43, 22, 52, 18, 57, 9, 11, 45, 8, 56, 58, 55, 47, 49, 2, 48, 1, 15, 5, 59, 13, 46, 17, 0, 4, 23, 32, 25, 14, 33, 36, 12, 34, 53, 31, 3]","[array([53], dtype=int64), array([12], dtype=int64), array([69], dtype=int64), array([15], dtype=int64), array([19], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([24], dtype=int64), array([21], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([39], dtype=int64), array([31], dtype=int64), array([42], dtype=int64), array([15], dtype=int64), array([38], dtype=int64), array([28], dtype=int64), array([45], dtype=int64), array([40], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([67], dtype=int64), array([74], dtype=int64), array([33], dtype=int64), array([40], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([2], dtype=int64), array([63], dtype=int64), array([72], dtype=int64), array([8], dtype=int64), array([78], dtype=int64), array([12], dtype=int64), array([2], dtype=int64), array([23], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([78], dtype=int64), array([2], dtype=int64), array([83], dtype=int64), array([45], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([62], dtype=int64), array([1], dtype=int64), array([40], dtype=int64), array([69], dtype=int64), array([52], dtype=int64), array([29], dtype=int64), array([70], dtype=int64), array([59], dtype=int64), array([81], dtype=int64), array([6], dtype=int64), array([10], dtype=int64), array([60], dtype=int64), array([11], dtype=int64), array([21], dtype=int64), array([58], dtype=int64), array([65], dtype=int64)]","[93.5535888671875, 80.99871063232422, 78.99977111816406, 75.00152587890625, 72.99977111816406, 63.00004577636719, 79.9963150024414, 46.9979248046875, 77.00038146972656, 80.998779296875, 72.99562072753906, 33.999507904052734, 33.99880599975586, 55.998836517333984, 45.999244689941406, 23.997915267944336, 18.99972915649414, 14.999232292175293, 13.999422073364258, 27.00090789794922, 41.999629974365234, 10.998270034790039, 13.000336647033691, 7.0018229484558105, 6.000798225402832, 6.002608299255371, 5.999059200286865, 5.001102924346924, 5.0019612312316895, 3.0025715827941895, 2.999833106994629, 13.003361701965332, 3.000473737716675, 2.9613420963287354, 2.0726308822631836, 2.999508857727051, 2.0010643005371094, 2.001948356628418, 45.99999237060547, 1.9999505281448364, 1.999940037727356, 2.000898599624634, 1.9999788999557495, 1.998532772064209, 1.9990888833999634, 1.9994145631790161, 1.005950927734375, 1.312360167503357, 1.0132944583892822, 1.0050584077835083, 1.1056121587753296, 10.002988815307617, 1.0028660297393799, 1.0024998188018799, 1.0001308917999268, 2.0098319053649902, 30.982715606689453, 1.0134488344192505, 2.1632626056671143]"
7,[20],"[16, 10, 28, 41, 27, 29, 26, 30, 51, 40, 39, 54, 19, 53, 37, 35, 24, 50, 21, 38, 42, 44, 14, 43, 52, 18, 22, 57, 9, 6, 11, 56, 58, 45, 3, 55, 49, 46, 7, 13, 2, 1, 15, 34, 17, 8, 32, 0, 23, 33, 12, 4, 36, 31, 5, 59, 25, 47, 48]","[array([53], dtype=int64), array([69], dtype=int64), array([12], dtype=int64), array([15], dtype=int64), array([19], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([24], dtype=int64), array([21], dtype=int64), array([25], dtype=int64), array([18], dtype=int64), array([39], dtype=int64), array([31], dtype=int64), array([21], dtype=int64), array([42], dtype=int64), array([38], dtype=int64), array([45], dtype=int64), array([34], dtype=int64), array([40], dtype=int64), array([15], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([81], dtype=int64), array([33], dtype=int64), array([8], dtype=int64), array([47], dtype=int64), array([40], dtype=int64), array([2], dtype=int64), array([63], dtype=int64), array([67], dtype=int64), array([72], dtype=int64), array([12], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([65], dtype=int64), array([23], dtype=int64), array([76], dtype=int64), array([1], dtype=int64), array([74], dtype=int64), array([62], dtype=int64), array([78], dtype=int64), array([83], dtype=int64), array([45], dtype=int64), array([11], dtype=int64), array([40], dtype=int64), array([78], dtype=int64), array([70], dtype=int64), array([69], dtype=int64), array([29], dtype=int64), array([6], dtype=int64), array([60], dtype=int64), array([52], dtype=int64), array([10], dtype=int64), array([58], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[92.91624450683594, 98.99971771240234, 80.99964141845703, 75.00114440917969, 72.99982452392578, 62.99995040893555, 79.99638366699219, 46.99781036376953, 76.99996185302734, 80.99989318847656, 72.99491882324219, 33.99982833862305, 33.99790573120117, 31.00006103515625, 55.9984245300293, 24.000076293945312, 14.998453140258789, 14.001927375793457, 14.000055313110352, 45.99814224243164, 26.999855041503906, 41.998416900634766, 10.000028610229492, 7.007569789886475, 6.001723289489746, 6.002661228179932, 6.115548610687256, 5.001075267791748, 5.000330448150635, 11.004008293151855, 3.004615545272827, 2.9995241165161133, 2.9996607303619385, 2.9987401962280273, 2.002516269683838, 2.0027577877044678, 2.0013604164123535, 2.002622604370117, 12.993765830993652, 2.0003502368927, 2.000187635421753, 2.001919984817505, 2.001112699508667, 1.9995696544647217, 1.9989292621612549, 12.999712944030762, 1.0069738626480103, 1.0683354139328003, 1.046186089515686, 1.00568425655365, 1.0040866136550903, 1.0039156675338745, 1.0027662515640259, 0.9987552762031555, 2.0120646953582764, 1.9970299005508423, 1.2543796300888062, 3.055901527404785, 45.76858901977539]"
8,[14],"[9, 10, 29, 28, 41, 39, 37, 27, 30, 26, 51, 19, 40, 53, 54, 35, 20, 24, 21, 50, 38, 42, 44, 16, 43, 52, 22, 18, 57, 6, 11, 56, 58, 45, 3, 55, 49, 46, 7, 13, 2, 1, 15, 34, 17, 8, 32, 0, 23, 33, 12, 4, 36, 31, 5, 59, 25, 47, 48]","[array([63], dtype=int64), array([69], dtype=int64), array([13], dtype=int64), array([12], dtype=int64), array([15], dtype=int64), array([18], dtype=int64), array([42], dtype=int64), array([19], dtype=int64), array([24], dtype=int64), array([14], dtype=int64), array([21], dtype=int64), array([31], dtype=int64), array([25], dtype=int64), array([21], dtype=int64), array([39], dtype=int64), array([38], dtype=int64), array([28], dtype=int64), array([45], dtype=int64), array([40], dtype=int64), array([34], dtype=int64), array([15], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([53], dtype=int64), array([33], dtype=int64), array([8], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([2], dtype=int64), array([67], dtype=int64), array([72], dtype=int64), array([12], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([65], dtype=int64), array([23], dtype=int64), array([76], dtype=int64), array([1], dtype=int64), array([74], dtype=int64), array([62], dtype=int64), array([78], dtype=int64), array([83], dtype=int64), array([45], dtype=int64), array([11], dtype=int64), array([40], dtype=int64), array([78], dtype=int64), array([70], dtype=int64), array([69], dtype=int64), array([29], dtype=int64), array([6], dtype=int64), array([60], dtype=int64), array([52], dtype=int64), array([10], dtype=int64), array([58], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[86.70280456542969, 65.9995346069336, 70.9999771118164, 80.99876403808594, 74.99981689453125, 73.00022888183594, 56.00027847290039, 73.00023651123047, 47.00075912475586, 79.99563598632812, 77.00025939941406, 33.99987030029297, 80.99576568603516, 31.00060272216797, 33.999671936035156, 24.000078201293945, 18.999805450439453, 14.998883247375488, 14.000260353088379, 13.99970817565918, 45.99680709838867, 26.99913787841797, 41.9988899230957, 7.99991512298584, 7.003947734832764, 6.001131057739258, 6.000882148742676, 6.001631736755371, 5.005152225494385, 11.004008293151855, 3.004615545272827, 2.9995241165161133, 2.9996607303619385, 2.9987401962280273, 2.002516269683838, 2.0027577877044678, 2.0013604164123535, 2.002622604370117, 12.993765830993652, 2.0003502368927, 2.000187635421753, 2.001919984817505, 2.001112699508667, 1.9995696544647217, 1.9989292621612549, 12.999712944030762, 1.0069738626480103, 1.0683354139328003, 1.046186089515686, 1.00568425655365, 1.0040866136550903, 1.0039156675338745, 1.0027662515640259, 0.9987552762031555, 2.0120646953582764, 1.9970299005508423, 1.2543796300888062, 3.055901527404785, 45.76858901977539]"
9,[29],"[11, 32, 28, 41, 39, 27, 30, 26, 51, 40, 54, 19, 53, 37, 35, 20, 24, 50, 21, 38, 42, 44, 14, 16, 43, 52, 22, 18, 57, 9, 6, 58, 45, 56, 3, 55, 49, 13, 7, 46, 2, 1, 8, 17, 15, 34, 23, 10, 0, 33, 12, 4, 36, 31, 5, 59, 25, 47, 48]","[array([72], dtype=int64), array([70], dtype=int64), array([12], dtype=int64), array([15], dtype=int64), array([18], dtype=int64), array([19], dtype=int64), array([24], dtype=int64), array([14], dtype=int64), array([21], dtype=int64), array([25], dtype=int64), array([39], dtype=int64), array([31], dtype=int64), array([21], dtype=int64), array([42], dtype=int64), array([38], dtype=int64), array([28], dtype=int64), array([45], dtype=int64), array([34], dtype=int64), array([40], dtype=int64), array([15], dtype=int64), array([57], dtype=int64), array([48], dtype=int64), array([81], dtype=int64), array([53], dtype=int64), array([33], dtype=int64), array([8], dtype=int64), array([40], dtype=int64), array([47], dtype=int64), array([2], dtype=int64), array([63], dtype=int64), array([67], dtype=int64), array([2], dtype=int64), array([8], dtype=int64), array([12], dtype=int64), array([65], dtype=int64), array([23], dtype=int64), array([76], dtype=int64), array([62], dtype=int64), array([74], dtype=int64), array([1], dtype=int64), array([78], dtype=int64), array([83], dtype=int64), array([78], dtype=int64), array([40], dtype=int64), array([45], dtype=int64), array([11], dtype=int64), array([29], dtype=int64), array([69], dtype=int64), array([69], dtype=int64), array([6], dtype=int64), array([60], dtype=int64), array([52], dtype=int64), array([10], dtype=int64), array([58], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([1], dtype=int64), array([2], dtype=int64)]","[92.12776184082031, 99.0003662109375, 80.99854278564453, 75.00030517578125, 73.00053405761719, 72.99978637695312, 47.00038528442383, 79.9964599609375, 77.00001525878906, 80.99554443359375, 33.99958801269531, 33.99552536010742, 30.99992561340332, 55.99800109863281, 24.000226974487305, 18.999788284301758, 14.99822998046875, 14.00586223602295, 13.9998197555542, 45.99660110473633, 27.000465393066406, 41.9998664855957, 10.00058650970459, 7.99991512298584, 7.0031843185424805, 6.000574111938477, 6.000892639160156, 6.000467300415039, 4.999857425689697, 4.997577667236328, 11.003546714782715, 2.9993388652801514, 2.9987006187438965, 2.994356393814087, 2.00253963470459, 2.004091262817383, 2.0018153190612793, 2.000744581222534, 13.000227928161621, 1.9996387958526611, 1.99956214427948, 2.0045151710510254, 13.003108978271484, 1.9974169731140137, 1.9966963529586792, 1.9974358081817627, 1.03556489944458, 1.0206972360610962, 1.05259108543396, 1.00568425655365, 1.0040866136550903, 1.0039156675338745, 1.0027662515640259, 0.9987552762031555, 2.0120646953582764, 1.9970299005508423, 1.2543796300888062, 3.055901527404785, 45.76858901977539]"
