random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[16, 9, 29, 49, 32, 27, 10, 30, 28, 26, 22, 21, 14, 35, 39, 38, 6, 37, 40, 53, 41, 11, 1, 7, 51, 19, 24, 50, 20, 43, 18, 52, 57, 42, 44, 56, 58, 45, 46, 55, 3, 13, 34, 8, 2, 17, 15, 23, 0, 33, 12, 4, 5, 31, 36, 59, 25, 47, 48]","[array([13], dtype=int64), array([97], dtype=int64), array([5], dtype=int64), array([17], dtype=int64), array([10], dtype=int64), array([81], dtype=int64), array([99], dtype=int64), array([96], dtype=int64), array([54], dtype=int64), array([9], dtype=int64), array([97], dtype=int64), array([98], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([98], dtype=int64), array([90], dtype=int64), array([53], dtype=int64), array([59], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([45], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([97], dtype=int64), array([2], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([54], dtype=int64), array([10], dtype=int64), array([99], dtype=int64), array([23], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([32], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([63], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[104.1244888305664, 87.61444091796875, 98.99998474121094, 98.99980163574219, 99.00025939941406, 98.99966430664062, 98.00041198730469, 99.00050354003906, 96.99877166748047, 99.00052642822266, 97.00177764892578, 99.00029754638672, 90.99850463867188, 88.9994125366211, 86.99991607666016, 89.99935150146484, 92.99983215332031, 85.00152587890625, 79.99636840820312, 77.00050354003906, 69.99714660644531, 89.99762725830078, 68.0051040649414, 85.00171661376953, 76.9992904663086, 34.02873992919922, 15.024872779846191, 13.998093605041504, 19.001068115234375, 7.001161575317383, 6.05820369720459, 6.020249366760254, 4.919933795928955, 27.01658821105957, 41.993263244628906, 2.994635581970215, 2.991313934326172, 2.9923934936523438, 2.006751537322998, 2.4558961391448975, 1.9995174407958984, 1.999454379081726, 1.9996203184127808, 13.062005043029785, 2.000272274017334, 1.9965202808380127, 1.9956011772155762, 1.028754711151123, 1.0958116054534912, 1.0054633617401123, 1.0041342973709106, 1.10822331905365, 2.000171184539795, 1.0039899349212646, 0.9995307922363281, -0.005235647317022085, 0.023350084200501442, 25.000110626220703, 26.000343322753906]"
1,[8],"[10, 9, 53, 28, 41, 27, 40, 29, 30, 26, 51, 39, 54, 19, 37, 35, 20, 24, 50, 21, 38, 42, 14, 16, 43, 22, 18, 52, 57, 44, 56, 58, 6, 45, 49, 55, 2, 3, 13, 11, 1, 7, 15, 34, 46, 17, 23, 0, 33, 32, 12, 4, 5, 31, 36, 59, 25, 47, 48]","[array([99], dtype=int64), array([97], dtype=int64), array([59], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([53], dtype=int64), array([5], dtype=int64), array([96], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([94], dtype=int64), array([94], dtype=int64), array([90], dtype=int64), array([7], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([2], dtype=int64), array([4], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([97], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([17], dtype=int64), array([0], dtype=int64), array([23], dtype=int64), array([98], dtype=int64), array([54], dtype=int64), array([99], dtype=int64), array([45], dtype=int64), array([98], dtype=int64), array([9], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([32], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([63], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[99.12871551513672, 93.57221221923828, 98.61843872070312, 80.99897003173828, 75.00105285644531, 72.99962615966797, 59.00023651123047, 63.00004196166992, 47.001426696777344, 79.99989318847656, 76.99998474121094, 72.99467468261719, 33.99860763549805, 33.997371673583984, 56.00086975097656, 23.999828338623047, 18.997764587402344, 14.998559951782227, 14.00033950805664, 14.000118255615234, 45.99483871459961, 27.006072998046875, 9.99344253540039, 7.997435569763184, 7.012147903442383, 6.036645889282227, 6.016605377197266, 5.998321533203125, 4.856561660766602, 41.97413635253906, 2.9992189407348633, 3.0160841941833496, 11.009968757629395, 2.998368978500366, 2.001573324203491, 2.100554943084717, 2.0000500679016113, 1.9996687173843384, 2.0003316402435303, 3.000924825668335, 2.0552942752838135, 13.007787704467773, 1.9987397193908691, 1.9987248182296753, 1.9980082511901855, 1.9959386587142944, 1.0167903900146484, 1.0306954383850098, 1.0064561367034912, 1.005289912223816, 1.0041342973709106, 1.10822331905365, 2.000171184539795, 1.0039899349212646, 0.9995307922363281, -0.005235647317022085, 0.023350084200501442, 25.000110626220703, 26.000343322753906]"
2,[55],"[16, 10, 28, 3, 27, 12, 13, 9, 26, 29, 51, 30, 40, 39, 41, 19, 54, 53, 37, 35, 20, 24, 50, 21, 38, 42, 44, 14, 43, 18, 22, 52, 57, 45, 56, 6, 58, 11, 49, 1, 7, 46, 2, 8, 15, 17, 34, 0, 23, 4, 33, 31, 5, 32, 36, 59, 25, 47, 48]","[array([13], dtype=int64), array([99], dtype=int64), array([54], dtype=int64), array([98], dtype=int64), array([81], dtype=int64), array([63], dtype=int64), array([54], dtype=int64), array([97], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([96], dtype=int64), array([53], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([94], dtype=int64), array([59], dtype=int64), array([90], dtype=int64), array([7], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([45], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([23], dtype=int64), array([99], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([99], dtype=int64), array([32], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([36], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[92.99955749511719, 78.99959564208984, 80.9971923828125, 74.00006103515625, 72.9999771118164, 95.92375183105469, 90.55210876464844, 77.01661682128906, 80.0002212524414, 62.99997329711914, 76.9997329711914, 46.999977111816406, 80.99968719482422, 72.99992370605469, 74.99653625488281, 33.99824905395508, 33.991031646728516, 30.999412536621094, 55.99995040893555, 23.999834060668945, 18.999204635620117, 14.999995231628418, 14.000694274902344, 14.000327110290527, 45.98905563354492, 26.999300003051758, 41.978904724121094, 9.992021560668945, 6.992946147918701, 6.087071418762207, 6.001365661621094, 5.99680233001709, 5.001604080200195, 3.0051684379577637, 3.0006253719329834, 11.001049995422363, 2.9932339191436768, 3.0001089572906494, 2.0708460807800293, 2.001962423324585, 12.997535705566406, 2.0022895336151123, 1.9993878602981567, 13.031126976013184, 1.9993672370910645, 2.000046968460083, 1.9932100772857666, 1.0396311283111572, 1.0319024324417114, 1.1013462543487549, 1.0064613819122314, 1.0015114545822144, 1.9998841285705566, 1.0013493299484253, 0.9995307922363281, -0.005235647317022085, 0.023350084200501442, 25.000110626220703, 26.000343322753906]"
3,[15],"[11, 9, 52, 36, 38, 37, 34, 35, 53, 40, 39, 41, 33, 54, 6, 56, 30, 44, 10, 26, 43, 28, 19, 45, 27, 51, 49, 0, 16, 55, 2, 7, 21, 1, 22, 31, 18, 24, 20, 23, 14, 50, 42, 57, 17, 3, 13, 12, 29, 58, 32, 8, 4, 5, 46, 59, 25, 47, 48]","[array([99], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([95], dtype=int64), array([90], dtype=int64), array([10], dtype=int64), array([7], dtype=int64), array([59], dtype=int64), array([53], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([96], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([54], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([0], dtype=int64), array([17], dtype=int64), array([99], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([23], dtype=int64), array([98], dtype=int64), array([98], dtype=int64), array([45], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([32], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([54], dtype=int64), array([63], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[94.65092468261719, 56.55180358886719, 91.00139617919922, 56.997169494628906, 57.00022888183594, 51.99986267089844, 38.0001106262207, 41.999080657958984, 28.00001335144043, 59.00004959106445, 55.99973678588867, 47.99641418457031, 26.999914169311523, 13.99967098236084, 28.017101287841797, 11.002288818359375, 10.01301383972168, 8.999573707580566, 5.999842643737793, 4.0082621574401855, 3.9998090267181396, 3.979905366897583, 1.9873117208480835, 1.9745632410049438, 1.0094361305236816, 1.0037645101547241, 1.0082743167877197, 1.0114997625350952, 0.00963633880019188, 0.11878086626529694, 0.007701302412897348, 10.998316764831543, 0.001589737948961556, 0.002702588913962245, 0.001220671576447785, 0.004472405184060335, 0.0689835324883461, 0.004282465670257807, 0.04098505154252052, 0.016283666715025902, 0.0024710597936064005, 0.0015284311957657337, 0.0037676156498491764, 0.003048284910619259, 0.0057691545225679874, 0.002331628929823637, 0.0046165925450623035, 0.005448607262223959, 0.002038514008745551, 0.00303359841927886, 0.012524171732366085, 13.996487617492676, 0.058769501745700836, -0.00011025304411305115, -0.00014216329145710915, -0.005235647317022085, 0.023350084200501442, 25.000110626220703, 26.000343322753906]"
4,[15],"[11, 9, 52, 36, 38, 37, 34, 35, 53, 40, 39, 41, 33, 54, 6, 56, 30, 44, 10, 26, 43, 28, 19, 45, 27, 51, 49, 0, 16, 55, 2, 7, 21, 1, 22, 31, 18, 24, 20, 23, 14, 50, 42, 57, 17, 3, 13, 12, 29, 58, 32, 8, 4, 5, 46, 59, 25, 47, 48]","[array([99], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([95], dtype=int64), array([90], dtype=int64), array([10], dtype=int64), array([7], dtype=int64), array([59], dtype=int64), array([53], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([96], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([54], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([0], dtype=int64), array([17], dtype=int64), array([99], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([23], dtype=int64), array([98], dtype=int64), array([98], dtype=int64), array([45], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([32], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([54], dtype=int64), array([63], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[94.65092468261719, 56.55180358886719, 91.00139617919922, 56.997169494628906, 57.00022888183594, 51.99986267089844, 38.0001106262207, 41.999080657958984, 28.00001335144043, 59.00004959106445, 55.99973678588867, 47.99641418457031, 26.999914169311523, 13.99967098236084, 28.017101287841797, 11.002288818359375, 10.01301383972168, 8.999573707580566, 5.999842643737793, 4.0082621574401855, 3.9998090267181396, 3.979905366897583, 1.9873117208480835, 1.9745632410049438, 1.0094361305236816, 1.0037645101547241, 1.0082743167877197, 1.0114997625350952, 0.00963633880019188, 0.11878086626529694, 0.007701302412897348, 10.998316764831543, 0.001589737948961556, 0.002702588913962245, 0.001220671576447785, 0.004472405184060335, 0.0689835324883461, 0.004282465670257807, 0.04098505154252052, 0.016283666715025902, 0.0024710597936064005, 0.0015284311957657337, 0.0037676156498491764, 0.003048284910619259, 0.0057691545225679874, 0.002331628929823637, 0.0046165925450623035, 0.005448607262223959, 0.002038514008745551, 0.00303359841927886, 0.012524171732366085, 13.996487617492676, 0.058769501745700836, -0.00011025304411305115, -0.00014216329145710915, -0.005235647317022085, 0.023350084200501442, 25.000110626220703, 26.000343322753906]"
5,[39],"[16, 29, 28, 9, 41, 36, 34, 52, 53, 35, 40, 37, 33, 38, 54, 6, 56, 30, 44, 10, 26, 43, 11, 45, 19, 27, 0, 51, 49, 55, 21, 7, 1, 24, 22, 20, 31, 18, 23, 17, 58, 15, 3, 57, 12, 50, 46, 42, 2, 13, 14, 32, 8, 4, 5, 59, 25, 47, 48]","[array([13], dtype=int64), array([5], dtype=int64), array([54], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([7], dtype=int64), array([53], dtype=int64), array([90], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([96], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([81], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([17], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([98], dtype=int64), array([45], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([32], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([98], dtype=int64), array([3], dtype=int64), array([63], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([23], dtype=int64), array([54], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[93.00035095214844, 70.99993133544922, 80.99884033203125, 91.99993133544922, 75.00080871582031, 56.9989128112793, 37.99923324584961, 29.99381446838379, 28.000564575195312, 42.00059509277344, 58.99842834472656, 52.00082015991211, 27.000164031982422, 57.00018310546875, 13.999064445495605, 27.99580955505371, 10.997788429260254, 9.998991012573242, 8.997110366821289, 5.999789237976074, 4.003982067108154, 3.99973464012146, 2.0012354850769043, 2.0015554428100586, 1.9914069175720215, 1.0010055303573608, 1.0012675523757935, 1.002319097518921, 0.9997894763946533, 0.12879519164562225, 0.014132466167211533, 10.999985694885254, 0.003468060400336981, 0.0033525004982948303, 0.23376871645450592, 0.03259241580963135, 0.00630641495808959, 0.019469764083623886, 0.009398981928825378, 0.002191866049543023, 0.0031691542826592922, 0.03891213238239288, 0.0024521914310753345, 0.0018704156391322613, 0.0014457800425589085, 0.002769174287095666, 0.0004914901219308376, 3.1212694011628628e-06, 0.005507655907422304, 0.003113040467724204, 0.0009930485393851995, 0.0004932504962198436, 14.004088401794434, 0.1808495968580246, 0.00013638623931910843, -0.005235647317022085, 0.023350084200501442, 25.000110626220703, 26.000343322753906]"
6,[50],"[16, 28, 37, 9, 10, 27, 26, 29, 30, 51, 40, 39, 41, 19, 53, 54, 35, 20, 24, 21, 38, 42, 44, 6, 43, 22, 52, 18, 57, 58, 11, 7, 45, 56, 55, 46, 8, 49, 15, 2, 14, 13, 5, 1, 47, 17, 23, 32, 33, 48, 0, 4, 59, 25, 36, 12, 34, 31, 3]","[array([13], dtype=int64), array([54], dtype=int64), array([90], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([81], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([96], dtype=int64), array([0], dtype=int64), array([53], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([59], dtype=int64), array([94], dtype=int64), array([7], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([98], dtype=int64), array([95], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([2], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([9], dtype=int64), array([23], dtype=int64), array([4], dtype=int64), array([54], dtype=int64), array([36], dtype=int64), array([45], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([32], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([63], dtype=int64), array([10], dtype=int64), array([4], dtype=int64), array([98], dtype=int64)]","[92.99639892578125, 80.99893951416016, 43.4814567565918, 68.68495178222656, 76.91715240478516, 72.99993896484375, 79.99996948242188, 62.99684143066406, 47.000343322753906, 77.00025177001953, 80.99999237060547, 72.99915313720703, 75.00027465820312, 33.99887466430664, 31.000314712524414, 33.9991455078125, 23.994049072265625, 18.989078521728516, 14.998104095458984, 14.002339363098145, 45.9976921081543, 26.999996185302734, 41.99650955200195, 10.999074935913086, 6.9993977546691895, 6.009549140930176, 5.997548580169678, 5.994406223297119, 4.867563247680664, 3.0157198905944824, 3.005373954772949, 12.992105484008789, 2.998079299926758, 2.989194631576538, 2.4767189025878906, 2.0022976398468018, 13.024162292480469, 2.003875732421875, 2.001265287399292, 2.0025477409362793, 9.998221397399902, 1.9993873834609985, 1.9999717473983765, 2.0017454624176025, 3.0160343647003174, 1.9983141422271729, 1.0120747089385986, 1.0034152269363403, 1.0038070678710938, 45.90929412841797, 1.0086065530776978, 1.1301223039627075, 1.985239028930664, 1.000687599182129, 1.0011578798294067, 0.0006931074312888086, 37.96493148803711, 0.0056995670311152935, 0.0018821306293830276]"
7,[20],"[1, 10, 3, 12, 16, 49, 2, 18, 31, 32, 24, 22, 19, 21, 11, 6, 0, 23, 7, 46, 51, 28, 26, 29, 27, 30, 40, 39, 41, 54, 53, 37, 35, 50, 38, 14, 43, 52, 9, 57, 56, 42, 44, 58, 45, 17, 55, 13, 34, 15, 8, 4, 33, 5, 36, 59, 25, 47, 48]","[array([45], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([63], dtype=int64), array([13], dtype=int64), array([17], dtype=int64), array([23], dtype=int64), array([95], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([94], dtype=int64), array([98], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([99], dtype=int64), array([32], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([54], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([81], dtype=int64), array([96], dtype=int64), array([53], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([59], dtype=int64), array([90], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([97], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([54], dtype=int64), array([10], dtype=int64), array([9], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[99.85169982910156, 82.39262390136719, 74.0, 98.85655975341797, 98.95098876953125, 97.29554748535156, 97.44209289550781, 97.46221160888672, 97.3574447631836, 84.52774810791016, 70.83354949951172, 93.7184066772461, 82.73468017578125, 94.03654479980469, 89.72667694091797, 89.62715911865234, 87.70600891113281, 73.03392791748047, 96.56978607177734, 82.03459167480469, 81.85903930664062, 80.99951171875, 79.99913787841797, 62.99905014038086, 72.9984359741211, 47.0024299621582, 80.99820709228516, 72.9994125366211, 74.99886322021484, 33.99956130981445, 30.99847412109375, 56.00128173828125, 23.97720718383789, 13.99975299835205, 45.99710464477539, 9.997642517089844, 7.009764194488525, 5.996744155883789, 4.990350246429443, 4.84519100189209, 3.0045552253723145, 27.011943817138672, 41.968994140625, 3.0383663177490234, 2.9882280826568604, 2.0384325981140137, 2.564026355743408, 2.0017852783203125, 2.000077962875366, 2.0016002655029297, 13.015420913696289, 1.1084997653961182, 1.0060648918151855, 2.000519037246704, 0.9995307922363281, -0.005235647317022085, 0.023350084200501442, 25.000110626220703, 26.000343322753906]"
8,[14],"[10, 2, 5, 8, 9, 49, 32, 16, 22, 17, 50, 18, 3, 21, 24, 19, 12, 20, 23, 30, 13, 44, 27, 28, 26, 0, 36, 40, 35, 34, 52, 53, 39, 41, 37, 33, 54, 56, 38, 43, 45, 11, 51, 55, 7, 1, 31, 42, 57, 58, 6, 29, 15, 4, 46, 59, 25, 47, 48]","[array([99], dtype=int64), array([23], dtype=int64), array([36], dtype=int64), array([99], dtype=int64), array([97], dtype=int64), array([17], dtype=int64), array([10], dtype=int64), array([13], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([98], dtype=int64), array([98], dtype=int64), array([97], dtype=int64), array([94], dtype=int64), array([63], dtype=int64), array([97], dtype=int64), array([32], dtype=int64), array([96], dtype=int64), array([54], dtype=int64), array([2], dtype=int64), array([81], dtype=int64), array([54], dtype=int64), array([9], dtype=int64), array([99], dtype=int64), array([2], dtype=int64), array([53], dtype=int64), array([7], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([90], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([45], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([5], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[81.43226623535156, 95.2175521850586, 82.74149322509766, 90.3876953125, 96.96233367919922, 86.03924560546875, 86.61405944824219, 43.0718879699707, 71.54240417480469, 78.29338073730469, 54.59730529785156, 32.60849380493164, 73.99894714355469, 83.92581939697266, 93.70048522949219, 96.64803314208984, 50.253387451171875, 25.865375518798828, 63.90790939331055, 95.34992980957031, 65.469482421875, 24.91426658630371, 40.58488845825195, 59.9330940246582, 48.490753173828125, 62.73646545410156, 49.145286560058594, 58.99748992919922, 42.00090026855469, 37.99974822998047, 29.999034881591797, 28.001527786254883, 55.999900817871094, 48.00060272216797, 52.00176239013672, 26.999431610107422, 13.99887466430664, 11.003518104553223, 56.95810317993164, 4.008071422576904, 2.0195260047912598, 1.9714303016662598, 1.0390764474868774, 0.17160743474960327, 10.997821807861328, 0.005913645960390568, 0.004649735521525145, 0.003889580722898245, 0.0030666186939924955, 0.00174865429289639, 28.00877571105957, -0.00016702381253708154, 0.004742214921861887, 0.052788153290748596, -0.00014216329145710915, -0.005235647317022085, 0.023350084200501442, 25.000110626220703, 26.000343322753906]"
9,[29],"[16, 32, 53, 27, 9, 14, 35, 10, 3, 39, 26, 37, 38, 36, 40, 41, 6, 11, 28, 30, 1, 49, 0, 52, 22, 34, 54, 33, 56, 44, 43, 45, 19, 51, 55, 21, 2, 24, 18, 20, 7, 31, 23, 17, 13, 57, 50, 58, 15, 46, 12, 42, 8, 4, 5, 59, 25, 47, 48]","[array([13], dtype=int64), array([10], dtype=int64), array([59], dtype=int64), array([81], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([4], dtype=int64), array([9], dtype=int64), array([90], dtype=int64), array([95], dtype=int64), array([2], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([99], dtype=int64), array([54], dtype=int64), array([96], dtype=int64), array([45], dtype=int64), array([17], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([97], dtype=int64), array([10], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([23], dtype=int64), array([97], dtype=int64), array([95], dtype=int64), array([97], dtype=int64), array([98], dtype=int64), array([4], dtype=int64), array([32], dtype=int64), array([0], dtype=int64), array([54], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([63], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[93.045166015625, 99.00011444091797, 70.9991455078125, 98.99983215332031, 92.00020599365234, 90.99891662597656, 89.00011444091797, 88.00025939941406, 74.00043487548828, 86.99992370605469, 86.9996566772461, 85.00006866455078, 89.99991607666016, 96.99620056152344, 79.99503326416016, 69.99870300292969, 93.0022201538086, 89.99579620361328, 81.00125122070312, 47.006797790527344, 67.99845123291016, 58.99980545043945, 57.00039291381836, 51.00114059448242, 49.999691009521484, 48.000099182128906, 13.997916221618652, 26.986108779907227, 10.999405860900879, 9.004866600036621, 4.0117411613464355, 2.016632556915283, 1.9631623029708862, 1.0018044710159302, 0.2472488284111023, 0.04434765502810478, 0.008465739898383617, 0.0089998384937644, 0.15023291110992432, 0.08810421824455261, 10.999275207519531, 0.0016401513712480664, 0.007788504473865032, 0.002627104287967086, 0.0010328911012038589, 0.0013971255393698812, 0.0004062044608872384, 0.000713352405000478, 0.0069435592740774155, -2.726557431742549e-05, 0.003904334967955947, 0.0016829179367050529, 14.004088401794434, 0.1808495968580246, 0.00013638623931910843, -0.005235647317022085, 0.023350084200501442, 25.000110626220703, 26.000343322753906]"
