random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[16, 29, 36, 3, 14, 13, 12, 17, 10, 49, 9, 0, 11, 32, 30, 28, 2, 38, 50, 27, 26, 20, 19, 35, 24, 22, 53, 21, 51, 18, 37, 33, 31, 6, 1, 7, 39, 23, 15, 34, 46, 8, 41, 40, 58, 43, 52, 56, 42, 44, 45, 55, 57, 4, 5, 59, 25, 47, 48]","[array([13], dtype=int64), array([5], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([4], dtype=int64), array([54], dtype=int64), array([63], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([96], dtype=int64), array([54], dtype=int64), array([23], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([9], dtype=int64), array([97], dtype=int64), array([94], dtype=int64), array([7], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([59], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([90], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([98], dtype=int64), array([45], dtype=int64), array([98], dtype=int64), array([4], dtype=int64), array([32], dtype=int64), array([9], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[104.1244888305664, 71.00003814697266, 56.994346618652344, 74.00288391113281, 75.9978256225586, 51.999881744384766, 50.00048828125, 69.98867797851562, 77.99812316894531, 78.9991455078125, 28.999637603759766, 80.99911499023438, 94.98419189453125, 15.000761985778809, 13.000075340270996, 6.963379859924316, 6.013261795043945, 4.9942545890808105, 3.9983632564544678, 50.998008728027344, 47.00412368774414, 38.99695587158203, 33.997257232666016, 61.99590301513672, 25.99983024597168, 23.99982261657715, 94.000244140625, 88.00131225585938, 87.99933624267578, 87.00067138671875, 93.99678802490234, 93.99915313720703, 23.996280670166016, 74.00679779052734, 46.981285095214844, 16.98427391052246, 61.985145568847656, 12.065730094909668, 13.006946563720703, 3.010983943939209, 2.0113046169281006, 29.03851890563965, 51.98451232910156, 42.97148895263672, 37.000144958496094, 53.98923873901367, 31.00450325012207, 25.994821548461914, 43.996070861816406, 20.992433547973633, 14.015474319458008, 31.31482696533203, 2.0093629360198975, 12.009418487548828, 74.00129699707031, -0.0001949733414221555, 84.62311553955078, 4.960932731628418, 1.171338677406311]"
1,[8],"[10, 9, 14, 0, 49, 29, 31, 16, 12, 32, 11, 30, 28, 2, 3, 53, 38, 26, 13, 50, 27, 20, 35, 55, 24, 22, 51, 19, 37, 6, 1, 23, 21, 17, 7, 39, 18, 34, 54, 41, 33, 15, 43, 40, 46, 58, 52, 56, 42, 44, 45, 36, 57, 4, 5, 59, 25, 47, 48]","[array([99], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([5], dtype=int64), array([4], dtype=int64), array([13], dtype=int64), array([63], dtype=int64), array([10], dtype=int64), array([99], dtype=int64), array([96], dtype=int64), array([54], dtype=int64), array([23], dtype=int64), array([98], dtype=int64), array([59], dtype=int64), array([95], dtype=int64), array([9], dtype=int64), array([54], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([97], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([90], dtype=int64), array([98], dtype=int64), array([45], dtype=int64), array([32], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([10], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[99.12871551513672, 93.57221221923828, 100.34798431396484, 89.82109069824219, 79.00074005126953, 71.00018310546875, 94.25545501708984, 86.22695922851562, 38.99977111816406, 15.000353813171387, 94.99962615966797, 13.000131607055664, 6.9993205070495605, 6.0012030601501465, 5.000655174255371, 70.99919128417969, 5.000025749206543, 62.998775482177734, 5.000514984130859, 4.000341892242432, 50.998741149902344, 38.997379302978516, 82.99871063232422, 1.9994816780090332, 26.00411033630371, 23.999582290649414, 87.99922943115234, 34.01900863647461, 75.99858856201172, 74.00344848632812, 46.99878692626953, 12.00285816192627, 11.01058578491211, 82.9980697631836, 17.002164840698242, 61.992835998535156, 6.087305545806885, 68.000732421875, 75.99845123291016, 52.00164794921875, 93.99718475341797, 13.000334739685059, 53.9992790222168, 42.98015213012695, 1.9857919216156006, 36.998531341552734, 30.996620178222656, 25.99374008178711, 43.99977493286133, 20.99757194519043, 13.991225242614746, 50.01316833496094, 2.0093629360198975, 12.009418487548828, 74.00129699707031, -0.0001949733414221555, 84.62311553955078, 4.960932731628418, 1.171338677406311]"
2,[55],"[16, 9, 29, 36, 10, 49, 12, 0, 32, 11, 30, 14, 28, 2, 3, 27, 35, 26, 13, 38, 19, 20, 24, 31, 22, 37, 6, 1, 7, 51, 23, 21, 15, 18, 17, 53, 54, 39, 33, 34, 8, 46, 41, 40, 58, 52, 56, 50, 43, 42, 44, 45, 57, 4, 5, 59, 25, 47, 48]","[array([13], dtype=int64), array([97], dtype=int64), array([5], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([63], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([99], dtype=int64), array([96], dtype=int64), array([4], dtype=int64), array([54], dtype=int64), array([23], dtype=int64), array([98], dtype=int64), array([81], dtype=int64), array([7], dtype=int64), array([9], dtype=int64), array([54], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([90], dtype=int64), array([98], dtype=int64), array([45], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([32], dtype=int64), array([98], dtype=int64), array([9], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([59], dtype=int64), array([94], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[92.99955749511719, 83.89767456054688, 71.00003051757812, 56.99970245361328, 79.00041198730469, 79.00008392333984, 39.0001220703125, 80.9989013671875, 15.000062942504883, 94.9954605102539, 13.000213623046875, 8.999286651611328, 6.999342441558838, 6.001703262329102, 5.001214504241943, 51.00022506713867, 62.00048065185547, 47.000091552734375, 5.0010786056518555, 4.999156475067139, 34.00023651123047, 38.99861526489258, 26.040040969848633, 24.000890731811523, 23.999736785888672, 75.99235534667969, 74.00283813476562, 47.000091552734375, 16.998735427856445, 87.99906158447266, 12.003470420837402, 11.034364700317383, 13.003324508666992, 87.00240325927734, 83.00007629394531, 94.00245666503906, 76.00037384033203, 68.00233459472656, 93.99408721923828, 2.9994020462036133, 29.013078689575195, 1.992511510848999, 51.99560546875, 42.982215881347656, 1.0058478116989136, 30.999996185302734, 25.9990291595459, 21.00479507446289, 53.9981575012207, 43.99991226196289, 20.999420166015625, 13.993999481201172, 2.0093629360198975, 12.009418487548828, 74.00129699707031, -0.0001949733414221555, 84.62311553955078, 4.960932731628418, 1.171338677406311]"
3,[15],"[11, 9, 16, 36, 10, 49, 12, 0, 32, 30, 14, 28, 2, 3, 29, 27, 35, 13, 26, 38, 19, 20, 24, 31, 22, 37, 6, 1, 23, 21, 53, 51, 7, 17, 18, 54, 39, 34, 33, 46, 8, 5, 41, 40, 58, 55, 52, 50, 56, 43, 42, 44, 57, 45, 4, 59, 25, 47, 48]","[array([99], dtype=int64), array([97], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([63], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([96], dtype=int64), array([4], dtype=int64), array([54], dtype=int64), array([23], dtype=int64), array([98], dtype=int64), array([5], dtype=int64), array([81], dtype=int64), array([7], dtype=int64), array([54], dtype=int64), array([9], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([90], dtype=int64), array([98], dtype=int64), array([45], dtype=int64), array([32], dtype=int64), array([98], dtype=int64), array([59], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[94.65092468261719, 89.7548828125, 95.42941284179688, 56.99736404418945, 77.9997787475586, 79.00016021728516, 39.000240325927734, 81.00012969970703, 15.000409126281738, 13.00052261352539, 8.999981880187988, 6.99963903427124, 6.000425338745117, 5.000649452209473, 70.99971771240234, 51.000694274902344, 61.99999237060547, 5.000831127166748, 47.000755310058594, 4.999512672424316, 34.00147247314453, 38.997703552246094, 26.011730194091797, 24.000825881958008, 24.000259399414062, 75.99468994140625, 74.00399017333984, 46.99872589111328, 12.003557205200195, 11.032669067382812, 93.9970703125, 88.00017547607422, 16.994890213012695, 82.99885559082031, 6.2504472732543945, 75.99962615966797, 61.996524810791016, 68.00079345703125, 93.98818969726562, 2.0096590518951416, 29.023212432861328, 21.985881805419922, 1.0123927593231201, 0.9919546246528625, 0.8708808422088623, 0.38389161229133606, 30.999467849731445, 21.009843826293945, 25.996618270874023, 53.99085235595703, 43.99987030029297, 20.991071701049805, 2.0115249156951904, 13.979654312133789, 12.024893760681152, -0.0001949733414221555, 84.62311553955078, 4.960932731628418, 1.171338677406311]"
4,[15],"[11, 9, 16, 36, 10, 49, 12, 0, 32, 30, 14, 28, 2, 3, 29, 27, 35, 13, 26, 38, 19, 20, 24, 31, 22, 37, 6, 1, 23, 21, 53, 51, 7, 17, 18, 54, 39, 34, 33, 46, 8, 5, 41, 40, 58, 55, 52, 50, 56, 43, 42, 44, 57, 45, 4, 59, 25, 47, 48]","[array([99], dtype=int64), array([97], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([63], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([96], dtype=int64), array([4], dtype=int64), array([54], dtype=int64), array([23], dtype=int64), array([98], dtype=int64), array([5], dtype=int64), array([81], dtype=int64), array([7], dtype=int64), array([54], dtype=int64), array([9], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([97], dtype=int64), array([90], dtype=int64), array([98], dtype=int64), array([45], dtype=int64), array([32], dtype=int64), array([98], dtype=int64), array([59], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[94.65092468261719, 89.7548828125, 95.42941284179688, 56.99736404418945, 77.9997787475586, 79.00016021728516, 39.000240325927734, 81.00012969970703, 15.000409126281738, 13.00052261352539, 8.999981880187988, 6.99963903427124, 6.000425338745117, 5.000649452209473, 70.99971771240234, 51.000694274902344, 61.99999237060547, 5.000831127166748, 47.000755310058594, 4.999512672424316, 34.00147247314453, 38.997703552246094, 26.011730194091797, 24.000825881958008, 24.000259399414062, 75.99468994140625, 74.00399017333984, 46.99872589111328, 12.003557205200195, 11.032669067382812, 93.9970703125, 88.00017547607422, 16.994890213012695, 82.99885559082031, 6.2504472732543945, 75.99962615966797, 61.996524810791016, 68.00079345703125, 93.98818969726562, 2.0096590518951416, 29.023212432861328, 21.985881805419922, 1.0123927593231201, 0.9919546246528625, 0.8708808422088623, 0.38389161229133606, 30.999467849731445, 21.009843826293945, 25.996618270874023, 53.99085235595703, 43.99987030029297, 20.991071701049805, 2.0115249156951904, 13.979654312133789, 12.024893760681152, -0.0001949733414221555, 84.62311553955078, 4.960932731628418, 1.171338677406311]"
5,[39],"[16, 9, 10, 12, 49, 0, 11, 32, 30, 14, 28, 2, 13, 3, 27, 26, 29, 35, 38, 50, 19, 20, 24, 22, 31, 37, 6, 1, 7, 23, 21, 53, 51, 15, 18, 17, 54, 34, 33, 46, 8, 41, 43, 40, 36, 5, 58, 52, 56, 42, 44, 45, 57, 55, 4, 59, 25, 47, 48]","[array([13], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([63], dtype=int64), array([17], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([96], dtype=int64), array([4], dtype=int64), array([54], dtype=int64), array([23], dtype=int64), array([54], dtype=int64), array([98], dtype=int64), array([81], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([7], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([4], dtype=int64), array([90], dtype=int64), array([98], dtype=int64), array([45], dtype=int64), array([98], dtype=int64), array([32], dtype=int64), array([98], dtype=int64), array([59], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([53], dtype=int64), array([2], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[93.00035095214844, 81.38407135009766, 78.00027465820312, 74.9985122680664, 79.00021362304688, 80.99962615966797, 94.99625396728516, 15.000540733337402, 13.000638008117676, 8.99984359741211, 6.999814033508301, 6.001773357391357, 5.000765323638916, 5.0014448165893555, 51.000431060791016, 47.000831604003906, 46.99972915649414, 62.000221252441406, 4.999200820922852, 3.9993817806243896, 34.00221252441406, 38.99821853637695, 26.03864288330078, 23.99955177307129, 24.000761032104492, 75.99553680419922, 74.00152587890625, 47.00163269042969, 16.999467849731445, 12.003701210021973, 11.02843952178955, 93.99946594238281, 88.00016021728516, 12.998956680297852, 6.072642803192139, 83.00137329101562, 76.00066375732422, 68.0003662109375, 93.99095916748047, 2.016582489013672, 29.028804779052734, 51.998741149902344, 53.99668884277344, 42.97962951660156, 1.020908236503601, 21.979633331298828, 0.9276633858680725, 31.0023250579834, 25.99632453918457, 43.99993896484375, 20.998117446899414, 14.017168998718262, 1.8786379098892212, 31.462209701538086, 12.024893760681152, -0.0001949733414221555, 84.62311553955078, 4.960932731628418, 1.171338677406311]"
6,[50],"[16, 9, 29, 36, 10, 12, 47, 6, 0, 11, 13, 32, 49, 37, 27, 30, 26, 28, 20, 35, 19, 3, 24, 22, 42, 53, 33, 18, 21, 2, 51, 38, 1, 15, 17, 31, 23, 14, 34, 7, 46, 41, 58, 40, 39, 8, 4, 45, 55, 54, 52, 56, 57, 43, 44, 5, 59, 25, 48]","[array([13], dtype=int64), array([97], dtype=int64), array([5], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([63], dtype=int64), array([2], dtype=int64), array([98], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([54], dtype=int64), array([10], dtype=int64), array([17], dtype=int64), array([90], dtype=int64), array([81], dtype=int64), array([96], dtype=int64), array([9], dtype=int64), array([54], dtype=int64), array([97], dtype=int64), array([7], dtype=int64), array([94], dtype=int64), array([98], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([2], dtype=int64), array([59], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([98], dtype=int64), array([23], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([45], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([32], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([53], dtype=int64), array([4], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([0], dtype=int64)]","[92.99639892578125, 82.13443756103516, 71.00039672851562, 56.99974822998047, 79.00023651123047, 74.99901580810547, 25.000436782836914, 74.000732421875, 73.99874877929688, 74.00071716308594, 58.000221252441406, 56.00000762939453, 78.99966430664062, 75.99488067626953, 50.99968338012695, 57.99968338012695, 47.003807067871094, 42.999019622802734, 39.00010299682617, 61.99958801269531, 33.99874496459961, 54.996376037597656, 26.012496948242188, 93.44927215576172, 77.00381469726562, 94.00049591064453, 93.99949645996094, 93.57818603515625, 86.61458587646484, 76.64371490478516, 87.99970245361328, 77.6615982055664, 94.03263092041016, 75.53499603271484, 82.99837493896484, 81.99351501464844, 12.002742767333984, 6.000080108642578, 2.999316692352295, 17.002164840698242, 1.9991973638534546, 1.0015792846679688, 1.0011509656906128, 0.999932050704956, 1.0003489255905151, 28.995569229125977, 0.07995466887950897, 0.003535683499649167, 0.0021684346720576286, 0.002566998591646552, 31.0015926361084, 26.00118637084961, 2.0049924850463867, 53.946327209472656, 20.993715286254883, 73.99989318847656, 0.002103394828736782, 84.3870620727539, 1.171338677406311]"
7,[20],"[1, 29, 3, 31, 14, 10, 49, 12, 9, 0, 30, 35, 13, 27, 37, 26, 28, 38, 19, 2, 24, 22, 32, 53, 39, 6, 11, 7, 23, 21, 51, 15, 18, 17, 34, 8, 16, 46, 54, 41, 33, 5, 36, 40, 58, 55, 52, 50, 56, 43, 42, 44, 57, 45, 4, 59, 25, 47, 48]","[array([45], dtype=int64), array([5], dtype=int64), array([98], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([63], dtype=int64), array([97], dtype=int64), array([99], dtype=int64), array([96], dtype=int64), array([7], dtype=int64), array([54], dtype=int64), array([81], dtype=int64), array([90], dtype=int64), array([9], dtype=int64), array([54], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([23], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([10], dtype=int64), array([59], dtype=int64), array([4], dtype=int64), array([98], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([32], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([10], dtype=int64), array([99], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([2], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[99.85169982910156, 71.00008392333984, 89.44819641113281, 91.77336883544922, 75.99917602539062, 77.99977111816406, 78.99980926513672, 74.9998550415039, 70.99947357177734, 73.99932861328125, 58.000667572021484, 61.99960708618164, 58.00016784667969, 51.00118637084961, 75.99996948242188, 47.00103759765625, 43.0000114440918, 49.0010871887207, 33.99858474731445, 37.00007247924805, 26.046276092529297, 23.99925422668457, 55.997310638427734, 70.99971008300781, 61.999183654785156, 74.00071716308594, 73.99891662597656, 16.99881362915039, 12.003724098205566, 11.035842895507812, 87.998291015625, 13.002059936523438, 6.061755180358887, 82.99979400634766, 3.0003738403320312, 29.004575729370117, 2.0083000659942627, 1.9855470657348633, 76.00155639648438, 52.00118637084961, 93.99908447265625, 21.984708786010742, 1.034074306488037, 0.9919546246528625, 0.8708808422088623, 0.38389161229133606, 30.999467849731445, 21.009843826293945, 25.996618270874023, 53.99085235595703, 43.99987030029297, 20.991071701049805, 2.0115249156951904, 13.979654312133789, 12.024893760681152, -0.0001949733414221555, 84.62311553955078, 4.960932731628418, 1.171338677406311]"
8,[14],"[10, 9, 12, 49, 29, 0, 11, 32, 30, 28, 2, 3, 13, 38, 26, 50, 27, 20, 19, 35, 55, 24, 22, 18, 21, 23, 16, 53, 51, 6, 1, 15, 37, 17, 31, 7, 54, 39, 34, 33, 8, 41, 43, 40, 46, 58, 52, 56, 42, 44, 45, 36, 57, 4, 5, 59, 25, 47, 48]","[array([99], dtype=int64), array([97], dtype=int64), array([63], dtype=int64), array([17], dtype=int64), array([5], dtype=int64), array([99], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([96], dtype=int64), array([54], dtype=int64), array([23], dtype=int64), array([98], dtype=int64), array([54], dtype=int64), array([95], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([97], dtype=int64), array([94], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([95], dtype=int64), array([98], dtype=int64), array([32], dtype=int64), array([13], dtype=int64), array([59], dtype=int64), array([0], dtype=int64), array([98], dtype=int64), array([45], dtype=int64), array([9], dtype=int64), array([90], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([98], dtype=int64), array([94], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[81.43226623535156, 94.75251770019531, 74.99845886230469, 78.99976348876953, 70.99976348876953, 80.99932861328125, 94.99434661865234, 15.000283241271973, 12.999727249145508, 6.9996771812438965, 6.000107288360596, 5.001053333282471, 5.000546932220459, 4.99949312210083, 3.9990036487579346, 3.9966142177581787, 51.00093460083008, 38.9990234375, 33.999420166015625, 61.99613952636719, 2.000040292739868, 26.03019142150879, 91.70174407958984, 96.92987823486328, 94.48823547363281, 76.97781372070312, 92.4715805053711, 94.00013732910156, 88.00019073486328, 99.42916107177734, 100.63117980957031, 65.63377380371094, 93.99214172363281, 82.99701690673828, 81.98043823242188, 17.002710342407227, 76.00093078613281, 61.99954605102539, 67.99922180175781, 93.99348449707031, 29.009824752807617, 51.994380950927734, 53.9992790222168, 42.98015213012695, 1.9857919216156006, 36.998531341552734, 30.996620178222656, 25.99374008178711, 43.99977493286133, 20.99757194519043, 13.991225242614746, 50.01316833496094, 2.0093629360198975, 12.009418487548828, 74.00129699707031, -0.0001949733414221555, 84.62311553955078, 4.960932731628418, 1.171338677406311]"
9,[29],"[16, 9, 36, 10, 12, 0, 49, 11, 32, 30, 14, 28, 2, 13, 3, 27, 26, 35, 38, 19, 50, 20, 24, 22, 53, 51, 31, 37, 6, 1, 7, 23, 21, 17, 15, 18, 54, 39, 34, 33, 46, 8, 41, 40, 58, 43, 52, 56, 42, 44, 45, 55, 57, 4, 5, 59, 25, 47, 48]","[array([13], dtype=int64), array([97], dtype=int64), array([2], dtype=int64), array([99], dtype=int64), array([63], dtype=int64), array([99], dtype=int64), array([17], dtype=int64), array([99], dtype=int64), array([10], dtype=int64), array([96], dtype=int64), array([4], dtype=int64), array([54], dtype=int64), array([23], dtype=int64), array([54], dtype=int64), array([98], dtype=int64), array([81], dtype=int64), array([9], dtype=int64), array([7], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([0], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([59], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([90], dtype=int64), array([98], dtype=int64), array([45], dtype=int64), array([98], dtype=int64), array([32], dtype=int64), array([98], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([4], dtype=int64), array([10], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([99], dtype=int64), array([0], dtype=int64), array([53], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([0], dtype=int64)]","[93.045166015625, 82.51261901855469, 56.999267578125, 78.99987030029297, 38.999732971191406, 80.99996185302734, 15.000001907348633, 94.99616241455078, 15.000431060791016, 13.000213623046875, 8.999811172485352, 6.999934673309326, 6.001794815063477, 5.001084327697754, 4.999883651733398, 51.000770568847656, 47.0006217956543, 62.00028610229492, 4.9994025230407715, 34.00139236450195, 3.9998295307159424, 38.99843215942383, 26.02251625061035, 23.99997901916504, 93.998291015625, 88.00018310546875, 23.99913215637207, 76.00068664550781, 74.00297546386719, 46.999088287353516, 17.000633239746094, 12.004029273986816, 11.003246307373047, 82.99845886230469, 13.000765800476074, 6.199349880218506, 76.00121307373047, 68.00019073486328, 68.001708984375, 93.99213409423828, 2.0113046169281006, 29.03851890563965, 51.98451232910156, 42.97148895263672, 37.000144958496094, 53.98923873901367, 31.00450325012207, 25.994821548461914, 43.996070861816406, 20.992433547973633, 14.015474319458008, 31.31482696533203, 2.0093629360198975, 12.009418487548828, 74.00129699707031, -0.0001949733414221555, 84.62311553955078, 4.960932731628418, 1.171338677406311]"
