random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[9, 35, 17, 1, 10, 7, 24, 6, 32, 15, 0, 16, 26, 3, 50, 40, 29, 58, 49, 8, 11, 31, 51, 53, 57, 21, 27, 41, 37, 14, 13, 39, 30, 12, 28, 38, 34, 2, 52, 44, 22, 4, 36, 42, 45, 55, 19, 20, 46, 18, 23, 5, 43, 56, 33, 59, 25, 47, 48]","[array([29], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([5], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([39], dtype=int64), array([7], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[68.64884948730469, 33.44855499267578, 69.90312194824219, 81.83325958251953, 82.93368530273438, 78.3960952758789, 59.4511604309082, 66.67350006103516, 61.19752883911133, 61.555877685546875, 38.79069900512695, 46.137943267822266, 48.92797088623047, 64.32908630371094, 49.91197204589844, 31.23831558227539, 32.095848083496094, 20.429332733154297, 21.25733184814453, 45.503055572509766, 25.706682205200195, 19.544231414794922, 16.364381790161133, 27.257421493530273, 14.999665260314941, 14.10856819152832, 13.928787231445312, 12.998353004455566, 15.728588104248047, 21.22439956665039, 14.961748123168945, 6.896337032318115, 4.088126182556152, 10.908185958862305, 10.02068042755127, 15.705513000488281, 6.407365798950195, 18.66997718811035, 6.052850723266602, 4.907347202301025, 2.3014729022979736, 18.50120735168457, 4.624603748321533, 1.063165545463562, 13.818483352661133, 1.469658374786377, -0.8708474040031433, -0.018640726804733276, 3.4812846183776855, -0.12643083930015564, 0.8784302473068237, 34.514896392822266, -3.8060967922210693, 0.3700540065765381, -6.80744743347168, 2.7869374752044678, -3.6394617557525635, 1.2998650074005127, 32.92610549926758]"
1,[8],"[9, 40, 17, 1, 10, 0, 2, 20, 35, 24, 3, 41, 54, 22, 6, 57, 11, 37, 58, 21, 38, 16, 44, 51, 30, 28, 14, 26, 7, 31, 55, 29, 50, 53, 12, 46, 13, 27, 32, 42, 15, 34, 49, 52, 39, 36, 4, 19, 45, 18, 23, 5, 43, 56, 33, 59, 25, 47, 48]","[array([29], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([79], dtype=int64), array([81], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([7], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[43.16585159301758, 37.769771575927734, 69.93221282958984, 81.8578109741211, 63.596527099609375, 64.93746948242188, 48.978309631347656, 47.86594009399414, 46.999576568603516, 43.95834732055664, 76.50459289550781, 39.88011169433594, 42.94084930419922, 35.930198669433594, 76.03324127197266, 34.76043701171875, 43.002323150634766, 34.94034957885742, 34.94112014770508, 30.773775100708008, 29.922658920288086, 37.51435852050781, 36.974853515625, 27.943880081176758, 33.4512825012207, 24.939285278320312, 39.43817138671875, 23.979509353637695, 45.32395553588867, 20.513629913330078, 18.48100471496582, 18.842514038085938, 29.953540802001953, 21.901412963867188, 20.56920623779297, 18.571191787719727, 18.492429733276367, 8.321178436279297, 29.816749572753906, 11.919005393981934, 48.364864349365234, 4.602721214294434, 7.519756317138672, 8.547332763671875, 7.497033596038818, 5.784027576446533, 1.9908541440963745, 0.7784401178359985, 22.96703338623047, -0.12643083930015564, 0.8784302473068237, 34.514896392822266, -3.8060967922210693, 0.3700540065765381, -6.80744743347168, 2.7869374752044678, -3.6394617557525635, 1.2998650074005127, 32.92610549926758]"
2,[55],"[16, 22, 17, 1, 54, 37, 5, 7, 30, 24, 6, 8, 26, 48, 58, 38, 9, 36, 27, 40, 10, 50, 0, 51, 32, 15, 13, 2, 28, 18, 39, 35, 3, 29, 57, 11, 41, 42, 45, 14, 4, 59, 47, 12, 46, 44, 56, 33, 49, 21, 25, 19, 20, 43, 23, 34, 53, 31, 52]","[array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([4], dtype=int64), array([81], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64)]","[71.31988525390625, 36.0035514831543, 69.87809753417969, 81.94729614257812, 57.658470153808594, 61.51801300048828, 64.04296112060547, 41.0296516418457, 27.772953033447266, 26.667430877685547, 28.313840866088867, 20.141326904296875, 22.992780685424805, 25.783605575561523, 16.47408676147461, 22.278291702270508, 26.970836639404297, 19.424827575683594, 20.99291229248047, 14.416130065917969, 13.859294891357422, 33.725955963134766, 17.69987678527832, 18.12981605529785, 37.197845458984375, 36.37130355834961, 19.072187423706055, 21.293188095092773, 17.65838050842285, 21.562374114990234, 13.810212135314941, 11.960166931152344, 50.82060241699219, 15.21767807006836, 17.50796890258789, 7.7448906898498535, 13.25533390045166, 6.011674404144287, 17.588342666625977, 8.141841888427734, 10.851421356201172, 11.983976364135742, 10.850969314575195, 9.111140251159668, 9.134735107421875, 7.5076985359191895, 5.828411102294922, 5.668211460113525, 6.857690811157227, 1.0679751634597778, 0.9526216983795166, -1.2231892347335815, -0.08516831696033478, -4.799239158630371, -4.984414577484131, 1.3284449577331543, 4.015033721923828, 16.598865509033203, 13.490243911743164]"
3,[15],"[16, 22, 42, 18, 6, 30, 17, 26, 51, 27, 20, 1, 58, 40, 38, 54, 9, 7, 21, 48, 44, 10, 50, 11, 8, 32, 0, 5, 2, 36, 13, 29, 35, 3, 31, 57, 41, 53, 28, 37, 55, 39, 34, 46, 24, 49, 14, 12, 33, 45, 4, 19, 56, 23, 43, 59, 25, 47, 52]","[array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([81], dtype=int64), array([24], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([9], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([0], dtype=int64)]","[58.175045013427734, 35.694801330566406, 33.572479248046875, 18.1912841796875, 16.43961524963379, 11.793597221374512, 69.98528289794922, 12.692628860473633, 7.674034118652344, 6.851067543029785, 5.4762864112854, 82.00418853759766, 25.997671127319336, 36.02354049682617, 26.81250762939453, 35.97385787963867, 20.354551315307617, 27.65052032470703, 12.587241172790527, 19.48396110534668, 10.431718826293945, 15.466710090637207, 36.386192321777344, 30.867612838745117, 44.45402145385742, 23.83041000366211, 16.109962463378906, 35.4404411315918, 22.53682518005371, 23.919340133666992, 20.98314666748047, 12.614890098571777, 14.333622932434082, 30.400897979736328, 11.597260475158691, 8.165037155151367, 16.349536895751953, 11.516411781311035, 5.561169147491455, 7.2376017570495605, 4.130789279937744, 11.672192573547363, 1.0121568441390991, 1.2060673236846924, 1.3596733808517456, 8.556706428527832, 9.888020515441895, 3.641630172729492, 0.1622305065393448, 17.805767059326172, 24.596454620361328, 0.8979931473731995, -3.221033811569214, -1.7577825784683228, -2.37296199798584, 17.88876724243164, 2.9551875591278076, 4.463238716125488, 13.490243911743164]"
4,[15],"[16, 22, 42, 18, 6, 30, 17, 26, 51, 27, 20, 1, 58, 40, 38, 54, 9, 7, 21, 48, 44, 10, 50, 11, 8, 32, 0, 5, 2, 36, 13, 29, 35, 3, 31, 57, 41, 53, 28, 37, 55, 39, 34, 46, 24, 49, 14, 12, 33, 45, 4, 19, 56, 23, 43, 59, 25, 47, 52]","[array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([4], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([81], dtype=int64), array([24], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([9], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([0], dtype=int64)]","[58.175045013427734, 35.694801330566406, 33.572479248046875, 18.1912841796875, 16.43961524963379, 11.793597221374512, 69.98528289794922, 12.692628860473633, 7.674034118652344, 6.851067543029785, 5.4762864112854, 82.00418853759766, 25.997671127319336, 36.02354049682617, 26.81250762939453, 35.97385787963867, 20.354551315307617, 27.65052032470703, 12.587241172790527, 19.48396110534668, 10.431718826293945, 15.466710090637207, 36.386192321777344, 30.867612838745117, 44.45402145385742, 23.83041000366211, 16.109962463378906, 35.4404411315918, 22.53682518005371, 23.919340133666992, 20.98314666748047, 12.614890098571777, 14.333622932434082, 30.400897979736328, 11.597260475158691, 8.165037155151367, 16.349536895751953, 11.516411781311035, 5.561169147491455, 7.2376017570495605, 4.130789279937744, 11.672192573547363, 1.0121568441390991, 1.2060673236846924, 1.3596733808517456, 8.556706428527832, 9.888020515441895, 3.641630172729492, 0.1622305065393448, 17.805767059326172, 24.596454620361328, 0.8979931473731995, -3.221033811569214, -1.7577825784683228, -2.37296199798584, 17.88876724243164, 2.9551875591278076, 4.463238716125488, 13.490243911743164]"
5,[39],"[1, 11, 7, 22, 6, 10, 9, 0, 32, 27, 58, 3, 38, 16, 54, 15, 50, 53, 31, 35, 51, 34, 29, 13, 57, 30, 24, 8, 14, 20, 46, 26, 37, 52, 28, 49, 40, 2, 41, 12, 5, 19, 4, 18, 44, 42, 21, 55, 17, 33, 56, 36, 23, 45, 43, 59, 25, 47, 48]","[array([95], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([29], dtype=int64), array([81], dtype=int64), array([15], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[74.50718688964844, 90.1156234741211, 92.81307220458984, 53.12025833129883, 92.3735122680664, 69.60159301757812, 70.96311950683594, 60.58291244506836, 75.13404846191406, 50.45498275756836, 36.60728454589844, 71.8717041015625, 35.585853576660156, 46.15796661376953, 33.17393112182617, 30.70488929748535, 18.531551361083984, 21.85433006286621, 26.460298538208008, 16.53343391418457, 17.72135353088379, 18.048250198364258, 16.895305633544922, 17.55270767211914, 10.833163261413574, 10.256210327148438, 17.72470474243164, 20.07588005065918, 14.282243728637695, 6.46460485458374, 19.091764450073242, 8.237088203430176, 7.671135902404785, 21.248458862304688, 8.704404830932617, 5.76759672164917, 13.582559585571289, 10.229674339294434, 16.80712127685547, 9.650425910949707, 36.05686569213867, 3.905590295791626, 4.695950031280518, 0.07454200088977814, 3.9221298694610596, 9.328119277954102, 0.5817557573318481, 1.3029100894927979, 2.1895580291748047, 9.923827171325684, -0.9382126927375793, 0.9726967811584473, 0.317095547914505, -4.184854030609131, -1.1085104942321777, 2.7869374752044678, -3.6394617557525635, 1.2998650074005127, 32.92610549926758]"
6,[50],"[1, 6, 26, 22, 54, 30, 9, 40, 37, 10, 3, 11, 16, 7, 57, 38, 0, 31, 12, 53, 2, 17, 49, 58, 18, 14, 13, 32, 28, 51, 34, 15, 27, 35, 29, 52, 8, 39, 41, 21, 46, 24, 4, 19, 44, 20, 55, 36, 23, 42, 56, 45, 5, 33, 43, 59, 25, 47, 48]","[array([95], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([5], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([81], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([15], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[69.0297622680664, 82.26473999023438, 66.1486587524414, 51.73252868652344, 67.47799682617188, 37.02937316894531, 66.44270324707031, 39.014060974121094, 27.89800453186035, 38.79560852050781, 72.32545471191406, 45.58744430541992, 58.937313079833984, 61.97311019897461, 44.56226348876953, 27.140247344970703, 43.48414993286133, 23.31785774230957, 28.593482971191406, 18.200300216674805, 21.592853546142578, 46.0701904296875, 24.03472900390625, 41.288673400878906, 29.78533363342285, 36.2416877746582, 26.70775032043457, 23.39954948425293, 27.59720802307129, 17.85915756225586, 16.252513885498047, 32.02717208862305, 7.781093120574951, 12.952550888061523, 9.835528373718262, 11.762791633605957, 22.25200080871582, 5.488593578338623, 13.469690322875977, 1.9060616493225098, 4.74064826965332, 3.048250198364258, 19.968429565429688, 2.014007568359375, 4.043453693389893, 0.6484686732292175, 7.035573959350586, 2.254271984100342, -0.43788278102874756, 1.5669955015182495, -2.6620945930480957, 19.531415939331055, 25.943382263183594, 0.38938459753990173, -1.1085104942321777, 2.7869374752044678, -3.6394617557525635, 1.2998650074005127, 32.92610549926758]"
7,[20],"[14, 11, 17, 1, 8, 0, 38, 6, 9, 10, 15, 16, 35, 26, 3, 31, 58, 54, 40, 24, 41, 22, 7, 27, 13, 39, 53, 29, 50, 51, 46, 2, 12, 37, 32, 30, 52, 34, 57, 4, 28, 36, 19, 49, 56, 21, 55, 44, 33, 42, 18, 45, 23, 5, 43, 59, 25, 47, 48]","[array([9], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[70.44282531738281, 56.62685012817383, 69.87940979003906, 81.78608703613281, 59.98591613769531, 64.23833465576172, 58.2534294128418, 55.16560745239258, 66.02349853515625, 73.54043579101562, 56.10205841064453, 64.99932098388672, 46.93138885498047, 48.870967864990234, 70.6190414428711, 39.61725616455078, 35.667213439941406, 35.60137939453125, 36.233070373535156, 43.90772247314453, 39.959842681884766, 35.80347442626953, 46.650325775146484, 21.538837432861328, 20.42740821838379, 13.54138469696045, 17.881826400756836, 28.279438018798828, 9.38239860534668, 19.125411987304688, 24.076061248779297, 24.386751174926758, 8.225323677062988, 5.209110260009766, 22.415550231933594, 6.382676601409912, 8.825681686401367, 16.663455963134766, 10.630805015563965, 5.497209548950195, 2.9846038818359375, 5.1930155754089355, 5.193861484527588, 2.3009588718414307, 3.509431838989258, 0.6453777551651001, 4.00115966796875, 1.153603196144104, 2.067056179046631, 0.39809611439704895, 0.8794302344322205, -1.545492172241211, -0.28895923495292664, 53.95101547241211, -1.1085104942321777, 2.7869374752044678, -3.6394617557525635, 1.2998650074005127, 32.92610549926758]"
8,[14],"[0, 5, 11, 17, 1, 8, 38, 58, 40, 10, 20, 35, 9, 24, 54, 41, 3, 22, 37, 21, 29, 16, 50, 26, 6, 7, 31, 53, 51, 13, 12, 57, 46, 49, 15, 52, 30, 34, 28, 27, 2, 32, 39, 55, 4, 36, 18, 19, 44, 42, 43, 23, 45, 56, 33, 59, 25, 47, 48]","[array([81], dtype=int64), array([24], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([2], dtype=int64), array([6], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[45.851959228515625, 52.460819244384766, 54.817508697509766, 69.9482421875, 81.895263671875, 59.968170166015625, 69.28720092773438, 66.03909301757812, 45.27792739868164, 60.95331954956055, 47.906314849853516, 47.01079177856445, 43.96320724487305, 43.96688461303711, 42.98823928833008, 39.992401123046875, 73.99491882324219, 35.839542388916016, 34.9138298034668, 30.79401969909668, 61.27293395996094, 50.707794189453125, 30.249893188476562, 40.9481086730957, 63.87359619140625, 59.35918045043945, 21.657949447631836, 18.39261817932129, 21.466060638427734, 35.24596405029297, 19.284149169921875, 10.046138763427734, 27.699769973754883, 9.377917289733887, 36.96434783935547, 8.457487106323242, 6.122620582580566, 11.550101280212402, 7.282197952270508, 8.616133689880371, 19.892873764038086, 20.754955291748047, 3.958709955215454, 9.839553833007812, 25.88717269897461, 1.4964121580123901, 0.379115492105484, 0.8633732199668884, 3.5441086292266846, -0.9020986557006836, -2.6327173709869385, -3.382491111755371, -4.546687126159668, 0.3700540065765381, -6.80744743347168, 2.7869374752044678, -3.6394617557525635, 1.2998650074005127, 32.92610549926758]"
9,[29],"[9, 6, 26, 39, 54, 35, 50, 52, 11, 17, 1, 15, 7, 57, 0, 32, 58, 21, 5, 38, 16, 8, 2, 59, 49, 24, 3, 55, 53, 41, 37, 31, 34, 14, 27, 12, 51, 28, 44, 13, 4, 30, 40, 36, 18, 22, 33, 20, 46, 19, 42, 23, 45, 43, 56, 25, 47, 48, 10]","[array([29], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64), array([79], dtype=int64)]","[72.11544036865234, 45.68166732788086, 45.41427993774414, 37.88593292236328, 37.93130111694336, 16.976959228515625, 12.604978561401367, 11.636046409606934, 11.932784080505371, 69.93136596679688, 81.8050765991211, 63.48896789550781, 82.66279602050781, 52.52360916137695, 50.93687438964844, 41.3348274230957, 24.146833419799805, 44.714317321777344, 37.5008430480957, 34.36433792114258, 28.701223373413086, 36.55878829956055, 26.138256072998047, 12.556621551513672, 9.227546691894531, 12.75869369506836, 32.52891540527344, 6.725952625274658, 16.702821731567383, 21.18009376525879, 30.246421813964844, 8.28895378112793, 19.309885025024414, 6.008448600769043, 7.935719013214111, 9.763222694396973, 8.6148099899292, 6.872956275939941, 7.617583274841309, 11.242491722106934, 27.627668380737305, 5.764955997467041, 3.0866284370422363, 6.797168731689453, 2.3892476558685303, 1.0189650058746338, 1.8347853422164917, -1.469831109046936, 2.3645622730255127, 0.19345241785049438, -2.5195319652557373, -1.8177549839019775, -1.6506383419036865, -3.566896438598633, -2.6315410137176514, 5.723010540008545, 8.154684066772461, 33.688297271728516, 32.228599548339844]"
