random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[9, 18, 7, 1, 17, 8, 0, 2, 20, 35, 24, 41, 40, 3, 22, 37, 58, 21, 44, 38, 14, 51, 6, 28, 49, 11, 29, 16, 10, 13, 30, 31, 27, 26, 12, 42, 53, 56, 32, 46, 55, 52, 39, 15, 19, 4, 33, 45, 36, 43, 23, 57, 50, 34, 5, 59, 25, 47, 48]","[array([29], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([15], dtype=int64), array([95], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([5], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([4], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[68.64884948730469, 36.98954772949219, 36.08447265625, 34.040130615234375, 69.9594497680664, 59.9626350402832, 64.97187805175781, 48.88177490234375, 47.893795013427734, 46.853031158447266, 43.95564270019531, 39.96294403076172, 36.922061920166016, 73.99906921386719, 35.92578125, 35.0154914855957, 34.91069030761719, 30.909494400024414, 36.948951721191406, 29.88932991027832, 75.93524932861328, 27.98880386352539, 30.07594108581543, 24.975168228149414, 24.010208129882812, 27.88982391357422, 19.1831111907959, 25.31847381591797, 37.454345703125, 13.5768461227417, 10.282334327697754, 28.59881591796875, 12.861164093017578, 6.760274887084961, 13.842414855957031, 5.000676155090332, 3.0951757431030273, 4.240944862365723, 35.58218765258789, 6.964994430541992, 3.89555025100708, 1.737491250038147, 0.26056376099586487, 53.31908416748047, 0.3106439411640167, 4.461359977722168, 0.2566240429878235, 0.24868646264076233, 1.0092970132827759, 0.76182621717453, 0.3779222369194031, 0.20549364387989044, -1.6631596088409424, -1.2012534141540527, 34.186275482177734, 2.1322643756866455, 2.6622183322906494, -0.3277936279773712, 11.83973217010498]"
1,[8],"[9, 11, 6, 10, 0, 5, 30, 49, 15, 1, 16, 3, 29, 31, 18, 14, 27, 26, 22, 42, 53, 38, 35, 17, 7, 13, 54, 37, 24, 40, 56, 12, 23, 21, 52, 44, 2, 19, 58, 28, 55, 32, 4, 46, 39, 50, 20, 36, 51, 43, 41, 33, 57, 45, 34, 59, 25, 47, 48]","[array([29], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([81], dtype=int64), array([24], dtype=int64), array([13], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[43.16585159301758, 33.602699279785156, 63.75389099121094, 92.58647155761719, 64.50445556640625, 48.88718795776367, 53.77967071533203, 60.88857650756836, 45.01981735229492, 25.816194534301758, 52.786495208740234, 49.36754608154297, 34.475711822509766, 28.724529266357422, 24.50905418395996, 39.42658996582031, 13.5231351852417, 9.126352310180664, 8.82155704498291, 11.846970558166504, 7.630494117736816, 4.701801300048828, 14.700617790222168, 17.44892692565918, 19.309228897094727, 13.40544319152832, 4.6983723640441895, 4.8935394287109375, 2.497274875640869, 1.6164108514785767, 2.6173129081726074, 24.382843017578125, 1.0943806171417236, 0.1977432370185852, 3.5523886680603027, 2.351752996444702, 55.84868621826172, 0.6926512122154236, 2.2826385498046875, 1.0565732717514038, 3.4427502155303955, 46.837764739990234, 3.6999199390411377, 0.7067041993141174, -0.01061263494193554, -0.15824486315250397, 0.1146051436662674, 2.439626693725586, -0.8564297556877136, -0.23290640115737915, -0.8569556474685669, -1.6287339925765991, -1.7683502435684204, -0.7463851571083069, -0.875235915184021, 2.1322643756866455, 2.6622183322906494, -0.3277936279773712, 11.83973217010498]"
2,[55],"[16, 22, 6, 35, 30, 26, 54, 5, 17, 24, 25, 10, 9, 0, 11, 8, 1, 32, 49, 15, 29, 3, 27, 31, 53, 21, 14, 42, 40, 18, 41, 23, 38, 13, 52, 37, 56, 19, 39, 12, 28, 44, 20, 58, 7, 51, 33, 2, 43, 50, 46, 34, 45, 57, 4, 36, 59, 47, 48]","[array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([29], dtype=int64), array([81], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([15], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([5], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[71.31988525390625, 36.0035514831543, 49.08230209350586, 26.01782989501953, 29.712244033813477, 18.202592849731445, 53.276615142822266, 16.23328399658203, 24.081096649169922, 20.519176483154297, 15.65085220336914, 10.01410961151123, 72.15713500976562, 45.57368850708008, 53.97278594970703, 37.98761749267578, 47.77750778198242, 64.3675537109375, 45.545143127441406, 28.589324951171875, 30.73056411743164, 60.121009826660156, 10.748251914978027, 20.513477325439453, 5.063371181488037, 1.28702974319458, 42.394134521484375, 3.409245729446411, 3.8744008541107178, 1.4425595998764038, 0.8940767645835876, 1.4080792665481567, 1.939225196838379, 10.951708793640137, 0.2513839602470398, 1.8055049180984497, 5.686986923217773, 1.3475770950317383, 1.120550513267517, 10.938974380493164, 2.700674295425415, 2.396862506866455, 1.1762079000473022, 1.391941785812378, 9.482755661010742, -0.6915966868400574, -1.6673508882522583, 24.04054069519043, -0.9184747338294983, -0.3013570010662079, -0.4969261586666107, -0.3681638538837433, -1.2355786561965942, -0.585599422454834, 4.043680667877197, 0.6759761571884155, -3.6059510707855225, -0.3277936279773712, 11.83973217010498]"
3,[15],"[16, 22, 42, 18, 6, 30, 26, 8, 35, 54, 10, 5, 9, 32, 49, 25, 0, 11, 1, 14, 29, 3, 17, 31, 27, 53, 24, 40, 21, 46, 7, 13, 56, 19, 52, 37, 38, 39, 12, 23, 44, 28, 33, 20, 45, 55, 51, 50, 58, 43, 2, 4, 57, 41, 34, 36, 59, 47, 48]","[array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([24], dtype=int64), array([29], dtype=int64), array([15], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([95], dtype=int64), array([95], dtype=int64), array([9], dtype=int64), array([3], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[58.175045013427734, 35.694801330566406, 33.572479248046875, 18.1912841796875, 16.43961524963379, 11.793597221374512, 20.762086868286133, 22.537824630737305, 38.88204574584961, 47.331790924072266, 31.201690673828125, 54.71382522583008, 33.296287536621094, 41.018882751464844, 18.162647247314453, 13.321553230285645, 24.231931686401367, 48.97857666015625, 25.97601318359375, 33.81663131713867, 23.770835876464844, 32.97593688964844, 12.483930587768555, 9.149308204650879, 0.428196519613266, 5.828153133392334, 3.7414133548736572, 4.340920448303223, 0.8037532567977905, 1.8666096925735474, 3.5544238090515137, 36.42932891845703, 6.354280948638916, 1.229846715927124, 1.4699217081069946, 5.537417411804199, 0.4029560685157776, 0.9601442813873291, 9.256094932556152, 1.5472826957702637, 0.13166123628616333, 0.3466837704181671, 0.45704326033592224, 0.5611366033554077, -0.3136095404624939, 3.702162265777588, -0.6383489370346069, -0.016901182010769844, 2.2331700325012207, -0.06339649111032486, 50.775543212890625, 7.505981922149658, -1.2824281454086304, -0.43091025948524475, -0.03503270074725151, 0.6759761571884155, -3.6059510707855225, -0.3277936279773712, 11.83973217010498]"
4,[15],"[16, 22, 42, 18, 6, 30, 26, 8, 35, 54, 10, 5, 9, 32, 49, 25, 0, 11, 1, 14, 29, 3, 17, 31, 27, 53, 24, 40, 21, 46, 7, 13, 56, 19, 52, 37, 38, 39, 12, 23, 44, 28, 33, 20, 45, 55, 51, 50, 58, 43, 2, 4, 57, 41, 34, 36, 59, 47, 48]","[array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([24], dtype=int64), array([29], dtype=int64), array([15], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([95], dtype=int64), array([95], dtype=int64), array([9], dtype=int64), array([3], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[58.175045013427734, 35.694801330566406, 33.572479248046875, 18.1912841796875, 16.43961524963379, 11.793597221374512, 20.762086868286133, 22.537824630737305, 38.88204574584961, 47.331790924072266, 31.201690673828125, 54.71382522583008, 33.296287536621094, 41.018882751464844, 18.162647247314453, 13.321553230285645, 24.231931686401367, 48.97857666015625, 25.97601318359375, 33.81663131713867, 23.770835876464844, 32.97593688964844, 12.483930587768555, 9.149308204650879, 0.428196519613266, 5.828153133392334, 3.7414133548736572, 4.340920448303223, 0.8037532567977905, 1.8666096925735474, 3.5544238090515137, 36.42932891845703, 6.354280948638916, 1.229846715927124, 1.4699217081069946, 5.537417411804199, 0.4029560685157776, 0.9601442813873291, 9.256094932556152, 1.5472826957702637, 0.13166123628616333, 0.3466837704181671, 0.45704326033592224, 0.5611366033554077, -0.3136095404624939, 3.702162265777588, -0.6383489370346069, -0.016901182010769844, 2.2331700325012207, -0.06339649111032486, 50.775543212890625, 7.505981922149658, -1.2824281454086304, -0.43091025948524475, -0.03503270074725151, 0.6759761571884155, -3.6059510707855225, -0.3277936279773712, 11.83973217010498]"
5,[39],"[1, 6, 17, 8, 0, 2, 20, 35, 9, 24, 54, 41, 3, 40, 22, 37, 58, 21, 38, 44, 14, 51, 28, 49, 11, 29, 16, 10, 13, 31, 12, 30, 26, 18, 27, 7, 42, 56, 32, 52, 15, 19, 53, 33, 23, 55, 46, 43, 4, 36, 50, 57, 5, 45, 34, 59, 25, 47, 48]","[array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([15], dtype=int64), array([95], dtype=int64), array([3], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([13], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[74.50718688964844, 84.07707977294922, 69.9500732421875, 59.76078414916992, 64.75553894042969, 48.957191467285156, 47.851783752441406, 46.92585754394531, 43.96356201171875, 43.94548797607422, 42.991310119628906, 39.923736572265625, 73.99104309082031, 36.829280853271484, 35.92104721069336, 34.996883392333984, 34.91938018798828, 30.9140682220459, 29.8792781829834, 36.905696868896484, 75.92959594726562, 27.978368759155273, 25.001243591308594, 24.065353393554688, 27.914152145385742, 19.97478485107422, 30.603466033935547, 61.93406295776367, 24.350614547729492, 11.223505973815918, 20.357322692871094, 11.4442777633667, 7.181783676147461, 6.365035057067871, 7.975037097930908, 4.174393653869629, 6.189907550811768, 4.59193754196167, 47.099464416503906, 5.150167942047119, 30.04323387145996, 1.7175854444503784, 1.4314754009246826, 0.2710035443305969, 1.0176795721054077, 2.8260321617126465, 1.4213297367095947, -0.10746593773365021, 11.057472229003906, -0.33656975626945496, -0.01927383802831173, -0.8808324337005615, 58.727413177490234, -0.7463851571083069, -0.875235915184021, 2.1322643756866455, 2.6622183322906494, -0.3277936279773712, 11.83973217010498]"
6,[50],"[1, 11, 6, 17, 10, 9, 0, 16, 3, 8, 14, 54, 49, 21, 13, 29, 30, 31, 27, 15, 2, 53, 22, 35, 26, 19, 7, 56, 44, 32, 39, 28, 37, 18, 42, 4, 46, 52, 24, 40, 5, 23, 43, 38, 20, 51, 45, 12, 57, 33, 58, 55, 41, 59, 34, 25, 47, 48, 36]","[array([95], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([29], dtype=int64), array([81], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([13], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64), array([0], dtype=int64)]","[69.0297622680664, 83.94419860839844, 92.63084411621094, 69.95264434814453, 91.22940063476562, 85.0233154296875, 72.92507934570312, 66.94232177734375, 73.95248413085938, 52.04255294799805, 52.37881851196289, 52.110107421875, 55.687355041503906, 25.716358184814453, 36.65156173706055, 22.792503356933594, 12.490056037902832, 35.910850524902344, 13.373120307922363, 35.81980514526367, 51.91110610961914, 10.199055671691895, 8.074705123901367, 17.436077117919922, 5.6125383377075195, 4.053611755371094, 16.74296760559082, 6.480346202850342, 7.108872890472412, 47.29207229614258, 1.5034193992614746, 2.07368540763855, 4.174948215484619, 5.666010856628418, 3.8265857696533203, 40.49776077270508, 3.07664155960083, 1.23603355884552, 2.730905771255493, 1.2668521404266357, 41.200687408447266, 0.19762487709522247, -0.4249316453933716, 0.9065313935279846, 0.6096764802932739, -0.08047562092542648, -0.1267748773097992, 14.594970703125, 0.6533355116844177, -0.6093654632568359, -1.2126588821411133, 3.271397352218628, -0.6271073818206787, -0.36452871561050415, -1.9252119064331055, -0.9530452489852905, 1.128321886062622, 7.381818771362305, 1.8704702854156494]"
7,[20],"[14, 42, 17, 18, 0, 6, 1, 8, 35, 9, 24, 54, 41, 44, 40, 22, 37, 58, 21, 3, 38, 51, 11, 16, 10, 49, 12, 13, 31, 29, 30, 27, 2, 26, 7, 53, 55, 32, 46, 15, 56, 23, 52, 4, 28, 50, 19, 39, 36, 33, 43, 57, 5, 45, 34, 59, 25, 47, 48]","[array([9], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([15], dtype=int64), array([39], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([6], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[70.44282531738281, 44.127403259277344, 69.96073150634766, 26.30154800415039, 41.03229904174805, 73.87510681152344, 81.98837280273438, 59.87217712402344, 46.962547302246094, 44.012699127197266, 43.90886688232422, 42.907203674316406, 39.943904876708984, 36.90562057495117, 36.88220977783203, 35.93422317504883, 35.004112243652344, 34.953407287597656, 30.922523498535156, 73.93447875976562, 29.940757751464844, 27.99301528930664, 27.9608154296875, 45.36707305908203, 70.44888305664062, 50.21013641357422, 29.722087860107422, 24.883514404296875, 31.556743621826172, 19.175376892089844, 13.669279098510742, 11.329917907714844, 48.74020767211914, 10.643806457519531, 8.076709747314453, 5.793944835662842, 3.2798750400543213, 46.62843704223633, 3.6198081970214844, 33.222869873046875, 1.0716596841812134, 1.2291221618652344, 0.6999293565750122, 43.43504333496094, 1.0283987522125244, 1.075940489768982, 0.7230377793312073, 0.3624000549316406, 0.8599785566329956, -0.26046517491340637, -0.48088422417640686, -0.8808324337005615, 58.727413177490234, -0.7463851571083069, -0.875235915184021, 2.1322643756866455, 2.6622183322906494, -0.3277936279773712, 11.83973217010498]"
8,[14],"[0, 11, 22, 6, 10, 32, 7, 30, 9, 16, 29, 3, 54, 49, 1, 15, 35, 26, 13, 53, 17, 31, 24, 27, 8, 19, 40, 21, 56, 18, 50, 42, 51, 46, 38, 37, 12, 55, 52, 28, 2, 20, 4, 44, 5, 23, 39, 58, 43, 33, 57, 41, 36, 45, 34, 59, 25, 47, 48]","[array([81], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([79], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([29], dtype=int64), array([0], dtype=int64), array([3], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([7], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[45.851959228515625, 80.13815307617188, 80.29609680175781, 82.78949737548828, 83.77726745605469, 47.10234832763672, 56.64472961425781, 49.35857391357422, 59.389503479003906, 58.084434509277344, 47.33990478515625, 78.23674774169922, 28.768436431884766, 61.86894607543945, 43.17151641845703, 19.031208038330078, 15.173486709594727, 10.752711296081543, 17.30890464782715, 17.077882766723633, 8.166881561279297, 7.517598628997803, 4.185388565063477, 5.810096263885498, 8.212217330932617, 2.90560245513916, 0.8581328988075256, 6.141014575958252, 5.939927577972412, 8.744385719299316, 3.486003875732422, 9.126840591430664, 2.0263407230377197, 3.7961952686309814, 3.3756768703460693, 6.123360633850098, 5.200145721435547, 4.203616619110107, 3.0250561237335205, 1.4563074111938477, 29.29279136657715, 0.45258864760398865, 16.35425567626953, 3.047158718109131, 29.058412551879883, 0.7998998761177063, 0.3014250099658966, 0.9794256091117859, -0.13688541948795319, 0.0634012222290039, -0.8280118703842163, -0.20931527018547058, 1.068528175354004, -0.7463851571083069, -0.875235915184021, 2.1322643756866455, 2.6622183322906494, -0.3277936279773712, 11.83973217010498]"
9,[29],"[9, 42, 17, 1, 8, 0, 10, 6, 49, 32, 3, 16, 37, 11, 15, 14, 18, 30, 27, 13, 24, 31, 35, 26, 54, 22, 53, 19, 51, 21, 56, 12, 28, 2, 57, 23, 58, 39, 38, 45, 44, 46, 55, 7, 20, 40, 52, 4, 34, 50, 36, 33, 41, 43, 5, 59, 25, 47, 48]","[array([29], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([81], dtype=int64), array([79], dtype=int64), array([0], dtype=int64), array([15], dtype=int64), array([15], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([95], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([39], dtype=int64), array([7], dtype=int64), array([6], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([2], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([4], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([24], dtype=int64), array([0], dtype=int64), array([0], dtype=int64), array([25], dtype=int64), array([15], dtype=int64)]","[72.11544036865234, 39.78195571899414, 69.89248657226562, 48.929473876953125, 59.96612548828125, 64.87948608398438, 77.4364013671875, 81.0143051147461, 61.85786819458008, 86.85869598388672, 48.58999252319336, 58.60967254638672, 33.46307373046875, 40.9111328125, 35.866920471191406, 34.000919342041016, 19.781265258789062, 21.59244155883789, 13.02334976196289, 10.273382186889648, 5.866627216339111, 15.974809646606445, 14.006973266601562, 2.4186184406280518, 4.761223793029785, 5.177605628967285, 10.037846565246582, 2.927846908569336, 1.575082540512085, 2.2804372310638428, 6.44900369644165, 9.720723152160645, 3.150222063064575, 31.114154815673828, 1.1584680080413818, 1.1643292903900146, 1.298186182975769, 1.4484221935272217, 1.6295247077941895, 1.9791316986083984, 1.968908667564392, 3.9827699661254883, 1.9050756692886353, 14.659577369689941, 0.6968728303909302, -0.5990569591522217, 2.606235980987549, 4.088284969329834, 0.7502377033233643, 0.211295485496521, 0.018030155450105667, -1.3047337532043457, -0.6955569386482239, 0.6240742206573486, 34.186275482177734, 2.1322643756866455, 2.6622183322906494, -0.3277936279773712, 11.83973217010498]"
