random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[16, 9, 29, 49, 44, 14, 17, 18, 38, 42, 43, 0, 28, 3, 30, 2, 24, 56, 26, 27, 35, 6, 1, 31, 53, 22, 52, 40, 19, 20, 51, 23, 21, 39, 41, 37, 33, 34, 58, 10, 55, 45, 46, 50, 57, 32, 11, 7, 8, 36, 13, 4, 5, 12, 15, 59, 25, 47, 48]","[array([8], dtype=int64), array([5], dtype=int64), array([63], dtype=int64), array([2], dtype=int64), array([42], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([6], dtype=int64), array([46], dtype=int64), array([27], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([81], dtype=int64), array([2], dtype=int64), array([47], dtype=int64), array([2], dtype=int64), array([15], dtype=int64), array([3], dtype=int64), array([80], dtype=int64), array([73], dtype=int64), array([24], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([31], dtype=int64), array([6], dtype=int64), array([6], dtype=int64), array([81], dtype=int64), array([34], dtype=int64), array([19], dtype=int64), array([77], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([73], dtype=int64), array([75], dtype=int64), array([56], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([14], dtype=int64), array([5], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([13], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[93.23944854736328, 79.70763397216797, 90.99971008300781, 67.92577362060547, 29.570459365844727, 34.05216598510742, 30.947769165039062, 27.37822914123535, 23.839885711669922, 40.98139190673828, 31.62873649597168, 26.189367294311523, 25.969364166259766, 56.24836730957031, 16.358570098876953, 55.60159683227539, 35.26612091064453, 29.2929744720459, 30.486473083496094, 66.28101348876953, 41.820037841796875, 52.858612060546875, 62.07046890258789, 37.39842224121094, 21.747879028320312, 35.17461013793945, 31.182466506958008, 25.971900939941406, 51.883052825927734, 28.976957321166992, 41.805419921875, 32.40945053100586, 35.588165283203125, 77.7181167602539, 67.02530670166016, 66.28279876708984, 24.17608642578125, 32.31672286987305, 13.423266410827637, 46.0502815246582, 14.403575897216797, 26.447668075561523, 13.258198738098145, 12.89914321899414, 27.491966247558594, 45.835548400878906, 66.41478729248047, 10.892706871032715, 28.239120483398438, 12.825250625610352, 7.466296195983887, 15.664831161499023, 1.5412416458129883, 0.7824698686599731, -5.068790912628174, 5.18792724609375, 6.432565689086914, 11.0277099609375, 5.1629133224487305]"
1,[8],"[10, 16, 9, 12, 0, 32, 24, 51, 30, 26, 27, 17, 22, 19, 35, 29, 52, 28, 56, 53, 40, 20, 23, 21, 3, 41, 39, 37, 34, 33, 57, 18, 14, 58, 6, 38, 49, 2, 54, 11, 43, 44, 42, 45, 55, 46, 50, 1, 7, 13, 36, 4, 31, 5, 15, 59, 25, 47, 48]","[array([1], dtype=int64), array([8], dtype=int64), array([5], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([77], dtype=int64), array([47], dtype=int64), array([80], dtype=int64), array([73], dtype=int64), array([2], dtype=int64), array([6], dtype=int64), array([34], dtype=int64), array([24], dtype=int64), array([63], dtype=int64), array([6], dtype=int64), array([81], dtype=int64), array([3], dtype=int64), array([31], dtype=int64), array([81], dtype=int64), array([19], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([2], dtype=int64), array([75], dtype=int64), array([73], dtype=int64), array([56], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([10], dtype=int64), array([3], dtype=int64), array([11], dtype=int64), array([46], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([34], dtype=int64), array([3], dtype=int64), array([7], dtype=int64), array([42], dtype=int64), array([27], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([14], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[85.12165069580078, 31.156476974487305, 20.06191635131836, 38.99993133544922, 80.99591827392578, 15.000255584716797, 11.93207836151123, 15.13775634765625, 69.82543182373047, 65.38697052001953, 75.90991973876953, 76.48526000976562, 67.70511627197266, 77.24457550048828, 47.38054275512695, 54.33879470825195, 58.67616653442383, 61.14322280883789, 60.25934600830078, 21.950660705566406, 49.605770111083984, 47.49092483520508, 55.836116790771484, 32.37324523925781, 50.10850524902344, 56.76368713378906, 73.20578002929688, 72.44474029541016, 26.84343910217285, 27.131746292114258, 42.852237701416016, 18.691238403320312, 76.46836853027344, 18.58884620666504, 67.12918853759766, 25.356781005859375, 18.428142547607422, 9.652978897094727, 13.3773193359375, 17.184316635131836, 37.766536712646484, 12.26193618774414, 34.20632553100586, 14.940313339233398, 23.98056411743164, 6.7710113525390625, 10.555007934570312, 23.1387882232666, 8.64193058013916, 8.21474552154541, 8.228775978088379, 5.658926963806152, 6.964425086975098, 27.878435134887695, -5.068790912628174, 5.18792724609375, 6.432565689086914, 11.0277099609375, 5.1629133224487305]"
2,[55],"[11, 19, 9, 10, 12, 0, 49, 22, 14, 32, 24, 51, 30, 56, 27, 28, 46, 3, 26, 53, 17, 31, 20, 23, 34, 50, 18, 21, 58, 37, 35, 52, 57, 38, 29, 36, 16, 2, 45, 33, 1, 42, 54, 40, 39, 41, 43, 44, 6, 7, 15, 8, 4, 13, 5, 59, 25, 47, 48]","[array([3], dtype=int64), array([34], dtype=int64), array([5], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([6], dtype=int64), array([10], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([77], dtype=int64), array([47], dtype=int64), array([3], dtype=int64), array([73], dtype=int64), array([81], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([80], dtype=int64), array([31], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([19], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([14], dtype=int64), array([6], dtype=int64), array([14], dtype=int64), array([3], dtype=int64), array([56], dtype=int64), array([24], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([46], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([27], dtype=int64), array([34], dtype=int64), array([81], dtype=int64), array([73], dtype=int64), array([75], dtype=int64), array([7], dtype=int64), array([42], dtype=int64), array([11], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[92.08615112304688, 21.000873565673828, 29.000436782836914, 78.99964904785156, 38.9999885559082, 81.00074005126953, 15.000238418579102, 34.379783630371094, 38.257850646972656, 14.999907493591309, 35.3931999206543, 32.844757080078125, 64.38812255859375, 36.85588836669922, 31.09890365600586, 46.0868034362793, 39.716190338134766, 54.322593688964844, 28.809154510498047, 37.65536880493164, 74.85030364990234, 27.066713333129883, 39.1815299987793, 29.815338134765625, 24.57891082763672, 33.16322708129883, 18.59864044189453, 22.101703643798828, 13.74544620513916, 19.585905075073242, 40.05100631713867, 14.615206718444824, 13.333940505981445, 55.44025421142578, 15.406533241271973, 12.132824897766113, 7.125818252563477, 25.69599723815918, 15.194244384765625, 4.47164249420166, 10.399316787719727, 4.387347221374512, 9.011372566223145, 5.4551239013671875, 14.592719078063965, 65.50101470947266, 45.7619743347168, 9.7091646194458, 20.305099487304688, 18.217941284179688, 6.370830535888672, 15.298979759216309, 6.112696170806885, 6.6677045822143555, 4.689737319946289, 5.18792724609375, 6.432565689086914, 11.0277099609375, 5.1629133224487305]"
3,[15],"[11, 9, 10, 36, 38, 37, 49, 42, 21, 16, 24, 53, 39, 34, 29, 51, 23, 31, 17, 56, 30, 35, 28, 3, 26, 27, 22, 57, 40, 52, 58, 41, 14, 44, 32, 13, 2, 54, 6, 33, 43, 18, 19, 20, 55, 46, 45, 1, 0, 7, 8, 4, 50, 12, 5, 59, 25, 47, 48]","[array([3], dtype=int64), array([5], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([46], dtype=int64), array([56], dtype=int64), array([2], dtype=int64), array([27], dtype=int64), array([14], dtype=int64), array([8], dtype=int64), array([15], dtype=int64), array([31], dtype=int64), array([73], dtype=int64), array([2], dtype=int64), array([63], dtype=int64), array([77], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([47], dtype=int64), array([24], dtype=int64), array([81], dtype=int64), array([2], dtype=int64), array([80], dtype=int64), array([73], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([81], dtype=int64), array([6], dtype=int64), array([3], dtype=int64), array([75], dtype=int64), array([10], dtype=int64), array([42], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([34], dtype=int64), array([11], dtype=int64), array([1], dtype=int64), array([7], dtype=int64), array([6], dtype=int64), array([34], dtype=int64), array([19], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([13], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[92.47017669677734, 41.39506530761719, 78.99980163574219, 56.99952697753906, 56.999568939208984, 47.969154357910156, 44.884403228759766, 39.593299865722656, 37.95557403564453, 41.30945587158203, 28.483060836791992, 37.58642578125, 25.363235473632812, 67.58441925048828, 56.69670867919922, 37.83100128173828, 58.59138488769531, 46.063255310058594, 74.23493194580078, 72.07647705078125, 50.91950607299805, 55.00270462036133, 43.726348876953125, 58.81169128417969, 40.91938018798828, 43.80724334716797, 51.74701690673828, 51.77659225463867, 63.811100006103516, 33.892154693603516, 14.20822811126709, 54.449649810791016, 57.26743698120117, 27.358713150024414, 32.703250885009766, 21.676700592041016, 42.78319549560547, 54.0176887512207, 18.749420166015625, 26.700288772583008, 30.75368309020996, 45.4129524230957, 17.44280433654785, 22.45242691040039, 29.601240158081055, 7.251938819885254, 16.454132080078125, 14.978377342224121, 10.16628646850586, 24.60441780090332, 25.7412166595459, 7.540896892547607, 3.6583120822906494, 2.594721555709839, 4.689737319946289, 5.18792724609375, 6.432565689086914, 11.0277099609375, 5.1629133224487305]"
4,[15],"[11, 9, 10, 36, 38, 37, 49, 42, 21, 16, 24, 53, 39, 34, 29, 51, 23, 31, 17, 56, 30, 35, 28, 3, 26, 27, 22, 57, 40, 52, 58, 41, 14, 44, 32, 13, 2, 54, 6, 33, 43, 18, 19, 20, 55, 46, 45, 1, 0, 7, 8, 4, 50, 12, 5, 59, 25, 47, 48]","[array([3], dtype=int64), array([5], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([46], dtype=int64), array([56], dtype=int64), array([2], dtype=int64), array([27], dtype=int64), array([14], dtype=int64), array([8], dtype=int64), array([15], dtype=int64), array([31], dtype=int64), array([73], dtype=int64), array([2], dtype=int64), array([63], dtype=int64), array([77], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([47], dtype=int64), array([24], dtype=int64), array([81], dtype=int64), array([2], dtype=int64), array([80], dtype=int64), array([73], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([81], dtype=int64), array([6], dtype=int64), array([3], dtype=int64), array([75], dtype=int64), array([10], dtype=int64), array([42], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([34], dtype=int64), array([11], dtype=int64), array([1], dtype=int64), array([7], dtype=int64), array([6], dtype=int64), array([34], dtype=int64), array([19], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([13], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[92.47017669677734, 41.39506530761719, 78.99980163574219, 56.99952697753906, 56.999568939208984, 47.969154357910156, 44.884403228759766, 39.593299865722656, 37.95557403564453, 41.30945587158203, 28.483060836791992, 37.58642578125, 25.363235473632812, 67.58441925048828, 56.69670867919922, 37.83100128173828, 58.59138488769531, 46.063255310058594, 74.23493194580078, 72.07647705078125, 50.91950607299805, 55.00270462036133, 43.726348876953125, 58.81169128417969, 40.91938018798828, 43.80724334716797, 51.74701690673828, 51.77659225463867, 63.811100006103516, 33.892154693603516, 14.20822811126709, 54.449649810791016, 57.26743698120117, 27.358713150024414, 32.703250885009766, 21.676700592041016, 42.78319549560547, 54.0176887512207, 18.749420166015625, 26.700288772583008, 30.75368309020996, 45.4129524230957, 17.44280433654785, 22.45242691040039, 29.601240158081055, 7.251938819885254, 16.454132080078125, 14.978377342224121, 10.16628646850586, 24.60441780090332, 25.7412166595459, 7.540896892547607, 3.6583120822906494, 2.594721555709839, 4.689737319946289, 5.18792724609375, 6.432565689086914, 11.0277099609375, 5.1629133224487305]"
5,[39],"[11, 9, 38, 37, 35, 27, 30, 14, 51, 53, 24, 22, 31, 29, 20, 28, 3, 26, 23, 17, 19, 16, 40, 41, 33, 56, 21, 43, 52, 10, 34, 49, 57, 58, 0, 18, 32, 2, 6, 1, 7, 13, 42, 44, 54, 45, 46, 50, 55, 8, 4, 36, 5, 12, 15, 59, 25, 47, 48]","[array([3], dtype=int64), array([5], dtype=int64), array([46], dtype=int64), array([56], dtype=int64), array([24], dtype=int64), array([73], dtype=int64), array([47], dtype=int64), array([10], dtype=int64), array([77], dtype=int64), array([31], dtype=int64), array([15], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([19], dtype=int64), array([81], dtype=int64), array([2], dtype=int64), array([80], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([34], dtype=int64), array([8], dtype=int64), array([81], dtype=int64), array([75], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([14], dtype=int64), array([7], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([27], dtype=int64), array([42], dtype=int64), array([34], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([14], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[92.253662109375, 83.55619049072266, 62.14081573486328, 59.29532241821289, 54.0, 90.52507781982422, 58.552879333496094, 70.45671844482422, 59.656524658203125, 63.36192321777344, 78.24433135986328, 64.51656341552734, 72.26880645751953, 65.93069458007812, 63.688255310058594, 63.773170471191406, 83.06659698486328, 49.96837615966797, 52.530128479003906, 60.01644515991211, 43.923675537109375, 58.32126998901367, 70.09384155273438, 71.73268127441406, 53.03725051879883, 37.50419998168945, 32.88520812988281, 55.09521484375, 52.41668701171875, 39.62724304199219, 26.73123550415039, 30.315332412719727, 18.264049530029297, 19.27198600769043, 18.50095558166504, 27.79018783569336, 30.735496520996094, 22.493846893310547, 30.821603775024414, 61.145599365234375, 16.76351547241211, 9.276294708251953, 7.665518760681152, 19.1029052734375, 19.773927688598633, 17.800724029541016, 17.682836532592773, 16.93745231628418, 8.607854843139648, 14.029316902160645, 7.073286533355713, 8.901833534240723, 1.5412416458129883, 0.7824698686599731, -5.068790912628174, 5.18792724609375, 6.432565689086914, 11.0277099609375, 5.1629133224487305]"
6,[50],"[16, 9, 49, 2, 1, 14, 28, 22, 11, 53, 29, 46, 3, 30, 27, 26, 31, 51, 21, 24, 56, 20, 23, 18, 17, 54, 33, 35, 37, 52, 38, 34, 10, 19, 55, 57, 42, 43, 0, 45, 7, 41, 40, 58, 39, 44, 8, 32, 6, 5, 36, 4, 13, 12, 15, 59, 25, 47, 48]","[array([8], dtype=int64), array([5], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([81], dtype=int64), array([6], dtype=int64), array([3], dtype=int64), array([31], dtype=int64), array([63], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([47], dtype=int64), array([73], dtype=int64), array([80], dtype=int64), array([1], dtype=int64), array([77], dtype=int64), array([14], dtype=int64), array([15], dtype=int64), array([3], dtype=int64), array([19], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([2], dtype=int64), array([34], dtype=int64), array([1], dtype=int64), array([24], dtype=int64), array([56], dtype=int64), array([6], dtype=int64), array([46], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([34], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([27], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([13], dtype=int64), array([75], dtype=int64), array([81], dtype=int64), array([3], dtype=int64), array([73], dtype=int64), array([42], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[93.08602905273438, 80.63542175292969, 65.39797973632812, 64.42662811279297, 20.55967903137207, 8.000665664672852, 95.59800720214844, 17.16691780090332, 22.02408218383789, 11.227716445922852, 20.642004013061523, 32.314422607421875, 52.972198486328125, 32.08020782470703, 43.865142822265625, 42.442962646484375, 35.67317199707031, 31.243640899658203, 51.71019744873047, 64.7022476196289, 61.946380615234375, 48.98248291015625, 50.495670318603516, 27.461496353149414, 25.85112190246582, 54.58298873901367, 29.824966430664062, 46.34589767456055, 23.604623794555664, 17.211368560791016, 30.78833770751953, 21.071720123291016, 21.01848602294922, 14.863251686096191, 15.654647827148438, 12.097906112670898, 9.0894775390625, 12.84503173828125, 27.379138946533203, 17.721309661865234, 13.788309097290039, 7.284954071044922, 24.723981857299805, 5.9624457359313965, 22.970312118530273, 9.096165657043457, 11.016972541809082, 9.749926567077637, 6.432831764221191, 7.918416500091553, 11.917740821838379, 6.955731391906738, -1.7018290758132935, 0.7824698686599731, -5.068790912628174, 5.18792724609375, 6.432565689086914, 11.0277099609375, 5.1629133224487305]"
7,[20],"[16, 9, 10, 42, 29, 3, 40, 51, 21, 31, 17, 39, 56, 41, 33, 30, 23, 27, 28, 26, 37, 53, 38, 13, 35, 24, 52, 22, 0, 34, 43, 44, 57, 58, 49, 6, 32, 18, 11, 19, 14, 2, 54, 45, 1, 55, 7, 46, 8, 50, 4, 36, 5, 12, 15, 59, 25, 47, 48]","[array([8], dtype=int64), array([5], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([63], dtype=int64), array([2], dtype=int64), array([81], dtype=int64), array([77], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([75], dtype=int64), array([1], dtype=int64), array([47], dtype=int64), array([1], dtype=int64), array([73], dtype=int64), array([81], dtype=int64), array([80], dtype=int64), array([56], dtype=int64), array([31], dtype=int64), array([46], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([15], dtype=int64), array([6], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([7], dtype=int64), array([42], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([11], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([3], dtype=int64), array([34], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([34], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[92.98112487792969, 82.547607421875, 47.513526916503906, 26.94830894470215, 90.99972534179688, 60.457252502441406, 34.761962890625, 50.624488830566406, 64.59981536865234, 66.53620147705078, 64.79065704345703, 48.70909118652344, 40.107425689697266, 70.796875, 39.66352462768555, 67.31541442871094, 25.86282730102539, 43.06114959716797, 69.91222381591797, 73.634521484375, 77.31433868408203, 45.45954132080078, 52.7650260925293, 70.4209213256836, 66.4388656616211, 32.82659912109375, 43.07065963745117, 22.364038467407227, 58.03147506713867, 25.892715454101562, 35.77077865600586, 42.681678771972656, 19.493684768676758, 10.694097518920898, 37.94600296020508, 67.25365447998047, 42.00581741333008, 25.05020523071289, 25.956377029418945, 13.462000846862793, 25.116899490356445, 40.08563995361328, 17.131898880004883, 50.549190521240234, 41.693729400634766, 21.990062713623047, 26.126829147338867, 13.133858680725098, 13.488551139831543, 10.39269733428955, 7.073286533355713, 8.901833534240723, 1.5412416458129883, 0.7824698686599731, -5.068790912628174, 5.18792724609375, 6.432565689086914, 11.0277099609375, 5.1629133224487305]"
8,[14],"[11, 19, 44, 45, 29, 9, 3, 17, 18, 16, 2, 21, 24, 22, 54, 38, 20, 53, 37, 49, 43, 52, 35, 28, 26, 27, 42, 30, 34, 10, 0, 55, 51, 56, 23, 40, 39, 50, 57, 41, 58, 33, 32, 6, 1, 46, 7, 12, 31, 8, 36, 13, 4, 5, 15, 59, 25, 47, 48]","[array([3], dtype=int64), array([34], dtype=int64), array([42], dtype=int64), array([3], dtype=int64), array([63], dtype=int64), array([5], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([6], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([14], dtype=int64), array([15], dtype=int64), array([6], dtype=int64), array([34], dtype=int64), array([46], dtype=int64), array([19], dtype=int64), array([31], dtype=int64), array([56], dtype=int64), array([2], dtype=int64), array([7], dtype=int64), array([6], dtype=int64), array([24], dtype=int64), array([81], dtype=int64), array([80], dtype=int64), array([73], dtype=int64), array([27], dtype=int64), array([47], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([77], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([81], dtype=int64), array([73], dtype=int64), array([14], dtype=int64), array([5], dtype=int64), array([75], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[83.2155532836914, 20.58957290649414, 40.623382568359375, 37.472652435302734, 91.00019836425781, 62.43780517578125, 62.49345397949219, 37.46299362182617, 49.64181900024414, 27.138582229614258, 21.80664825439453, 42.239925384521484, 19.853879928588867, 29.139263153076172, 22.795724868774414, 41.668704986572266, 15.881503105163574, 10.591243743896484, 17.39722442626953, 30.522632598876953, 29.231599807739258, 20.35989761352539, 23.771324157714844, 22.514240264892578, 37.603614807128906, 25.634138107299805, 32.37029266357422, 59.25099563598633, 24.744890213012695, 61.047080993652344, 18.68216896057129, 22.746952056884766, 24.799970626831055, 22.458383560180664, 15.66855525970459, 5.444006443023682, 31.259489059448242, 17.18155860900879, 20.1116886138916, 50.75690460205078, 55.88372039794922, 35.028663635253906, 19.601030349731445, 49.06947326660156, 17.633821487426758, 16.33679962158203, 32.97110366821289, 8.974748611450195, 12.80476188659668, 12.151379585266113, 17.16569709777832, 10.171960830688477, 6.729059219360352, 27.878435134887695, -5.068790912628174, 5.18792724609375, 6.432565689086914, 11.0277099609375, 5.1629133224487305]"
9,[29],"[16, 9, 14, 3, 49, 19, 0, 40, 30, 53, 31, 51, 17, 39, 26, 20, 35, 28, 27, 41, 37, 23, 38, 21, 43, 52, 22, 34, 56, 10, 24, 33, 58, 42, 57, 32, 18, 6, 11, 2, 44, 1, 45, 46, 54, 7, 55, 50, 36, 8, 13, 4, 5, 12, 15, 59, 25, 47, 48]","[array([8], dtype=int64), array([5], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([34], dtype=int64), array([1], dtype=int64), array([81], dtype=int64), array([47], dtype=int64), array([31], dtype=int64), array([1], dtype=int64), array([77], dtype=int64), array([2], dtype=int64), array([73], dtype=int64), array([80], dtype=int64), array([19], dtype=int64), array([24], dtype=int64), array([81], dtype=int64), array([73], dtype=int64), array([75], dtype=int64), array([56], dtype=int64), array([1], dtype=int64), array([46], dtype=int64), array([14], dtype=int64), array([7], dtype=int64), array([6], dtype=int64), array([6], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([27], dtype=int64), array([5], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([11], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([42], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([34], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[92.98870086669922, 84.53429412841797, 39.06830978393555, 36.411746978759766, 61.49201583862305, 72.2420425415039, 51.694114685058594, 34.84657669067383, 71.25143432617188, 67.40859985351562, 73.74213409423828, 78.6377182006836, 62.386837005615234, 80.89166259765625, 46.87908172607422, 79.66658020019531, 70.30951690673828, 67.21673583984375, 63.3156852722168, 72.26744079589844, 50.806251525878906, 43.18067932128906, 54.20173645019531, 44.450260162353516, 52.05827713012695, 41.51030349731445, 41.9525260925293, 30.218761444091797, 46.720951080322266, 33.60271453857422, 44.54640197753906, 29.233823776245117, 9.464957237243652, 27.9069766998291, 32.768070220947266, 49.28645324707031, 19.455657958984375, 22.722740173339844, 34.707828521728516, 16.571378707885742, 22.690454483032227, 12.326322555541992, 12.668248176574707, 12.487728118896484, 12.4221830368042, 42.52556228637695, 25.57948112487793, 15.96159553527832, 14.714184761047363, 18.179866790771484, 7.466296195983887, 15.664831161499023, 1.5412416458129883, 0.7824698686599731, -5.068790912628174, 5.18792724609375, 6.432565689086914, 11.0277099609375, 5.1629133224487305]"
