random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[16, 10, 3, 36, 29, 53, 35, 26, 39, 37, 38, 41, 34, 30, 20, 42, 40, 6, 9, 23, 19, 21, 18, 33, 27, 11, 24, 51, 44, 22, 28, 45, 52, 43, 56, 14, 0, 12, 17, 7, 49, 8, 57, 58, 50, 55, 1, 2, 13, 32, 31, 15, 5, 4, 46, 59, 25, 47, 48]","[array([8], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([31], dtype=int64), array([24], dtype=int64), array([80], dtype=int64), array([73], dtype=int64), array([56], dtype=int64), array([46], dtype=int64), array([75], dtype=int64), array([2], dtype=int64), array([47], dtype=int64), array([19], dtype=int64), array([27], dtype=int64), array([81], dtype=int64), array([11], dtype=int64), array([5], dtype=int64), array([1], dtype=int64), array([34], dtype=int64), array([14], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([73], dtype=int64), array([3], dtype=int64), array([15], dtype=int64), array([77], dtype=int64), array([42], dtype=int64), array([6], dtype=int64), array([81], dtype=int64), array([3], dtype=int64), array([6], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([10], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([14], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[93.23944854736328, 97.05073547363281, 73.99982452392578, 56.996849060058594, 70.99992370605469, 70.998779296875, 82.99815368652344, 63.000240325927734, 61.99919509887695, 63.00058364868164, 76.9973373413086, 53.99946212768555, 53.99958038330078, 53.00104522705078, 52.99858093261719, 58.00065612792969, 50.003929138183594, 55.00050735473633, 47.99943161010742, 41.998294830322266, 41.00034713745117, 41.000030517578125, 38.99892807006836, 37.998836517333984, 37.00052261352539, 34.99974060058594, 35.000083923339844, 34.00019073486328, 31.999637603759766, 31.9969482421875, 30.0004825592041, 29.00164222717285, 27.999662399291992, 26.0028133392334, 23.99980354309082, 90.98615264892578, 19.999692916870117, 19.998796463012695, 13.999062538146973, 48.001094818115234, 5.9999613761901855, 67.97059631347656, 1.9963592290878296, 0.9957207441329956, 0.035613641142845154, 0.02985484153032303, 0.013763717375695705, 0.006767238024622202, 0.007182111032307148, 0.008081212639808655, 0.0113923829048872, 0.0029419318307191133, 0.003969097044318914, 0.0034603727981448174, -0.0159775223582983, 2.003713846206665, 7.963988780975342, 51.1383171081543, 72.59473419189453]"
1,[8],"[10, 37, 36, 29, 53, 26, 35, 30, 22, 39, 54, 41, 34, 20, 38, 3, 40, 9, 42, 23, 21, 19, 18, 33, 27, 6, 24, 51, 44, 52, 28, 16, 14, 45, 43, 56, 32, 0, 12, 17, 11, 49, 7, 57, 58, 50, 55, 13, 1, 31, 2, 15, 5, 4, 46, 59, 25, 47, 48]","[array([1], dtype=int64), array([56], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([31], dtype=int64), array([80], dtype=int64), array([24], dtype=int64), array([47], dtype=int64), array([6], dtype=int64), array([73], dtype=int64), array([34], dtype=int64), array([75], dtype=int64), array([2], dtype=int64), array([19], dtype=int64), array([46], dtype=int64), array([2], dtype=int64), array([81], dtype=int64), array([5], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([34], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([73], dtype=int64), array([11], dtype=int64), array([15], dtype=int64), array([77], dtype=int64), array([42], dtype=int64), array([6], dtype=int64), array([81], dtype=int64), array([8], dtype=int64), array([10], dtype=int64), array([3], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([14], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[85.12165069580078, 39.773738861083984, 56.999820709228516, 71.00015258789062, 70.99942016601562, 63.00007247924805, 82.9986572265625, 79.38455963134766, 77.35917663574219, 61.9991340637207, 59.999488830566406, 54.000179290771484, 53.998992919921875, 52.99577331542969, 76.9974365234375, 50.9996223449707, 50.00368118286133, 48.00027847290039, 57.998687744140625, 41.99673843383789, 41.0011100769043, 40.996482849121094, 38.997493743896484, 37.999576568603516, 36.99966049194336, 54.99807357788086, 34.99997329711914, 34.00102233886719, 31.999582290649414, 30.00204849243164, 30.016931533813477, 90.99968719482422, 90.99491882324219, 28.997047424316406, 26.006546020507812, 23.992795944213867, 59.99833679199219, 20.002099990844727, 19.992063522338867, 13.999679565429688, 35.0006217956543, 6.000370979309082, 47.99392318725586, 1.9984873533248901, 0.9988641142845154, 0.03875049203634262, 0.02735426463186741, 0.012445052154362202, 0.008651050738990307, 0.005384896881878376, 0.012743244878947735, 0.0029419318307191133, 0.003969097044318914, 0.0034603727981448174, -0.0159775223582983, 2.003713846206665, 7.963988780975342, 51.1383171081543, 72.59473419189453]"
2,[55],"[11, 19, 9, 29, 53, 48, 26, 35, 39, 54, 37, 41, 34, 30, 20, 38, 3, 40, 52, 42, 33, 23, 21, 6, 18, 27, 10, 24, 51, 28, 16, 22, 14, 44, 45, 43, 56, 0, 12, 17, 7, 49, 36, 57, 58, 50, 15, 8, 46, 31, 32, 13, 1, 2, 4, 5, 59, 25, 47]","[array([3], dtype=int64), array([34], dtype=int64), array([5], dtype=int64), array([63], dtype=int64), array([31], dtype=int64), array([46], dtype=int64), array([80], dtype=int64), array([24], dtype=int64), array([73], dtype=int64), array([34], dtype=int64), array([56], dtype=int64), array([75], dtype=int64), array([2], dtype=int64), array([47], dtype=int64), array([19], dtype=int64), array([46], dtype=int64), array([2], dtype=int64), array([81], dtype=int64), array([6], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([11], dtype=int64), array([6], dtype=int64), array([73], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([77], dtype=int64), array([81], dtype=int64), array([8], dtype=int64), array([6], dtype=int64), array([10], dtype=int64), array([42], dtype=int64), array([3], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([14], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64)]","[92.08615112304688, 21.000873565673828, 47.92688751220703, 79.33228302001953, 70.99971771240234, 74.00007629394531, 62.999786376953125, 82.9957275390625, 62.0005989074707, 60.0000114440918, 63.000431060791016, 54.0, 53.99955368041992, 53.000091552734375, 52.997283935546875, 76.99820709228516, 50.99374008178711, 50.00160598754883, 30.001367568969727, 57.99658966064453, 26.999317169189453, 41.997310638427734, 40.99938201904297, 55.00086975097656, 38.9982795715332, 36.9999885559082, 36.999900817871094, 35.00110626220703, 33.99915313720703, 85.99906158447266, 90.9996337890625, 71.99768829345703, 90.99913024902344, 32.000831604003906, 29.003677368164062, 25.99968719482422, 24.000511169433594, 20.000154495239258, 19.9916934967041, 13.999680519104004, 48.00074005126953, 5.998162269592285, 38.99656295776367, 1.9974565505981445, 0.998526394367218, 0.010867008939385414, 0.014615673571825027, 67.89240264892578, 0.03812820464372635, 0.0014359066262841225, -0.00025956827448680997, 9.825446613831446e-05, 0.007500849198549986, 0.003756352700293064, 0.00014879352238494903, -4.1265349864261225e-05, 1.9982208013534546, 8.00059986114502, 50.9588508605957]"
3,[15],"[11, 10, 3, 14, 13, 1, 34, 12, 29, 53, 35, 26, 39, 54, 37, 38, 41, 20, 30, 42, 40, 6, 9, 52, 23, 21, 19, 36, 18, 33, 27, 24, 51, 44, 22, 28, 45, 43, 56, 16, 0, 17, 7, 49, 57, 8, 58, 50, 55, 2, 32, 31, 5, 4, 46, 59, 25, 47, 48]","[array([3], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([31], dtype=int64), array([24], dtype=int64), array([80], dtype=int64), array([73], dtype=int64), array([34], dtype=int64), array([56], dtype=int64), array([46], dtype=int64), array([75], dtype=int64), array([19], dtype=int64), array([47], dtype=int64), array([27], dtype=int64), array([81], dtype=int64), array([11], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([34], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([73], dtype=int64), array([15], dtype=int64), array([77], dtype=int64), array([42], dtype=int64), array([6], dtype=int64), array([81], dtype=int64), array([3], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([8], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([13], dtype=int64), array([3], dtype=int64), array([14], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[92.47017669677734, 61.695003509521484, 74.00019073486328, 75.99617767333984, 52.00008010864258, 16.69908905029297, 91.00000762939453, 50.00014114379883, 90.99964904785156, 70.99983978271484, 82.99869537353516, 63.000484466552734, 61.9990234375, 59.99856185913086, 63.00058364868164, 76.99784088134766, 54.00179672241211, 53.00059127807617, 53.00078201293945, 58.00078201293945, 50.004024505615234, 55.00276565551758, 47.978939056396484, 30.000991821289062, 41.99740982055664, 40.99971008300781, 40.996734619140625, 38.995487213134766, 38.999969482421875, 37.99802017211914, 37.0002555847168, 34.999881744384766, 34.000892639160156, 32.00189208984375, 31.991933822631836, 30.011150360107422, 28.997589111328125, 25.999923706054688, 23.996374130249023, 90.99764251708984, 20.00118064880371, 13.995588302612305, 48.001163482666016, 5.999691963195801, 1.9996541738510132, 67.96696472167969, 0.9989311695098877, 0.030614910647273064, 0.024730555713176727, 0.01163400337100029, 0.019622284919023514, 0.007367705926299095, 0.003969097044318914, 0.0034603727981448174, -0.0159775223582983, 2.003713846206665, 7.963988780975342, 51.1383171081543, 72.59473419189453]"
4,[15],"[11, 10, 3, 14, 13, 1, 34, 12, 29, 53, 35, 26, 39, 54, 37, 38, 41, 20, 30, 42, 40, 6, 9, 52, 23, 21, 19, 36, 18, 33, 27, 24, 51, 44, 22, 28, 45, 43, 56, 16, 0, 17, 7, 49, 57, 8, 58, 50, 55, 2, 32, 31, 5, 4, 46, 59, 25, 47, 48]","[array([3], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([31], dtype=int64), array([24], dtype=int64), array([80], dtype=int64), array([73], dtype=int64), array([34], dtype=int64), array([56], dtype=int64), array([46], dtype=int64), array([75], dtype=int64), array([19], dtype=int64), array([47], dtype=int64), array([27], dtype=int64), array([81], dtype=int64), array([11], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([34], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([73], dtype=int64), array([15], dtype=int64), array([77], dtype=int64), array([42], dtype=int64), array([6], dtype=int64), array([81], dtype=int64), array([3], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([8], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([5], dtype=int64), array([13], dtype=int64), array([3], dtype=int64), array([14], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[92.47017669677734, 61.695003509521484, 74.00019073486328, 75.99617767333984, 52.00008010864258, 16.69908905029297, 91.00000762939453, 50.00014114379883, 90.99964904785156, 70.99983978271484, 82.99869537353516, 63.000484466552734, 61.9990234375, 59.99856185913086, 63.00058364868164, 76.99784088134766, 54.00179672241211, 53.00059127807617, 53.00078201293945, 58.00078201293945, 50.004024505615234, 55.00276565551758, 47.978939056396484, 30.000991821289062, 41.99740982055664, 40.99971008300781, 40.996734619140625, 38.995487213134766, 38.999969482421875, 37.99802017211914, 37.0002555847168, 34.999881744384766, 34.000892639160156, 32.00189208984375, 31.991933822631836, 30.011150360107422, 28.997589111328125, 25.999923706054688, 23.996374130249023, 90.99764251708984, 20.00118064880371, 13.995588302612305, 48.001163482666016, 5.999691963195801, 1.9996541738510132, 67.96696472167969, 0.9989311695098877, 0.030614910647273064, 0.024730555713176727, 0.01163400337100029, 0.019622284919023514, 0.007367705926299095, 0.003969097044318914, 0.0034603727981448174, -0.0159775223582983, 2.003713846206665, 7.963988780975342, 51.1383171081543, 72.59473419189453]"
5,[39],"[11, 29, 53, 48, 8, 36, 38, 42, 26, 34, 35, 30, 20, 41, 3, 40, 9, 54, 23, 21, 19, 18, 37, 10, 27, 52, 24, 51, 33, 22, 28, 16, 44, 43, 56, 45, 14, 12, 17, 0, 49, 6, 57, 58, 55, 1, 50, 2, 7, 46, 32, 31, 13, 15, 4, 5, 59, 25, 47]","[array([3], dtype=int64), array([63], dtype=int64), array([31], dtype=int64), array([46], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([46], dtype=int64), array([27], dtype=int64), array([80], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([47], dtype=int64), array([19], dtype=int64), array([75], dtype=int64), array([2], dtype=int64), array([81], dtype=int64), array([5], dtype=int64), array([34], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([34], dtype=int64), array([6], dtype=int64), array([56], dtype=int64), array([1], dtype=int64), array([73], dtype=int64), array([6], dtype=int64), array([15], dtype=int64), array([77], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([81], dtype=int64), array([8], dtype=int64), array([42], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([3], dtype=int64), array([10], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([11], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([14], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64)]","[92.253662109375, 70.99999237060547, 70.9995346069336, 74.00053405761719, 68.00029754638672, 56.99935531616211, 76.99811553955078, 57.99999237060547, 63.00032043457031, 54.00077438354492, 82.99681091308594, 53.00021743774414, 52.998477935791016, 53.99989700317383, 50.99850845336914, 50.00152587890625, 47.99998474121094, 59.999027252197266, 41.99868392944336, 41.000267028808594, 40.9996452331543, 38.99919509887695, 62.99835968017578, 36.99964141845703, 36.998863220214844, 30.002294540405273, 34.999820709228516, 34.00077438354492, 37.99711227416992, 31.998146057128906, 30.025211334228516, 90.99886322021484, 31.99891471862793, 26.001361846923828, 24.002941131591797, 28.999929428100586, 90.99254608154297, 20.00121307373047, 13.999832153320312, 19.98711395263672, 6.001211643218994, 54.974273681640625, 1.9574072360992432, 0.9853804111480713, 0.07160425186157227, 0.0030482548754662275, 0.004571845754981041, 0.00485645979642868, 47.97615051269531, 0.05791310593485832, 0.005144540686160326, 0.0020975377410650253, 0.0006278299842961133, 0.005081289913505316, 0.00014879352238494903, -4.1265349864261225e-05, 1.9982208013534546, 8.00059986114502, 50.9588508605957]"
6,[50],"[16, 10, 3, 27, 53, 32, 34, 20, 28, 9, 22, 37, 14, 35, 24, 21, 26, 29, 39, 54, 38, 41, 30, 42, 40, 52, 6, 23, 33, 19, 18, 7, 11, 51, 44, 45, 43, 56, 12, 0, 17, 8, 49, 36, 57, 58, 55, 13, 1, 31, 2, 15, 5, 4, 46, 59, 25, 47, 48]","[array([8], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([73], dtype=int64), array([31], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([19], dtype=int64), array([81], dtype=int64), array([5], dtype=int64), array([6], dtype=int64), array([56], dtype=int64), array([10], dtype=int64), array([24], dtype=int64), array([15], dtype=int64), array([14], dtype=int64), array([80], dtype=int64), array([63], dtype=int64), array([73], dtype=int64), array([34], dtype=int64), array([46], dtype=int64), array([75], dtype=int64), array([47], dtype=int64), array([27], dtype=int64), array([81], dtype=int64), array([6], dtype=int64), array([11], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([34], dtype=int64), array([6], dtype=int64), array([13], dtype=int64), array([3], dtype=int64), array([77], dtype=int64), array([42], dtype=int64), array([3], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[93.08602905273438, 78.99961853027344, 74.00007629394531, 92.3676528930664, 93.99957275390625, 91.9992904663086, 91.000244140625, 91.99943542480469, 91.00027465820312, 90.99984741210938, 90.00019073486328, 94.00033569335938, 89.99930572509766, 89.9985580444336, 88.99842834472656, 88.00082397460938, 87.99996948242188, 71.00054168701172, 61.99812316894531, 59.99541091918945, 76.99788665771484, 53.99826431274414, 52.99993133544922, 57.99943161010742, 50.00101852416992, 30.002418518066406, 55.00046157836914, 42.00008773803711, 26.998781204223633, 40.984291076660156, 39.00143814086914, 48.00020980834961, 35.00030517578125, 34.00102996826172, 32.001121520996094, 29.002883911132812, 26.000137329101562, 24.001245498657227, 19.998517990112305, 19.99471092224121, 13.997962951660156, 67.95138549804688, 6.002386093139648, 38.99998092651367, 1.987851858139038, 0.9777202010154724, 0.02735426463186741, 0.012445052154362202, 0.008651050738990307, 0.005384896881878376, 0.012743244878947735, 0.0029419318307191133, 0.003969097044318914, 0.0034603727981448174, -0.0159775223582983, 2.003713846206665, 7.963988780975342, 51.1383171081543, 72.59473419189453]"
7,[20],"[16, 3, 34, 29, 9, 28, 27, 30, 26, 49, 22, 18, 35, 54, 24, 10, 21, 12, 37, 53, 39, 38, 41, 19, 40, 52, 51, 14, 6, 11, 33, 23, 7, 32, 42, 44, 45, 43, 56, 0, 17, 8, 36, 57, 58, 50, 55, 13, 1, 31, 2, 15, 5, 4, 46, 59, 25, 47, 48]","[array([8], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([63], dtype=int64), array([5], dtype=int64), array([81], dtype=int64), array([73], dtype=int64), array([47], dtype=int64), array([80], dtype=int64), array([2], dtype=int64), array([6], dtype=int64), array([6], dtype=int64), array([24], dtype=int64), array([34], dtype=int64), array([15], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([56], dtype=int64), array([31], dtype=int64), array([73], dtype=int64), array([46], dtype=int64), array([75], dtype=int64), array([34], dtype=int64), array([81], dtype=int64), array([6], dtype=int64), array([77], dtype=int64), array([10], dtype=int64), array([11], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([42], dtype=int64), array([3], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([14], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([46], dtype=int64)]","[92.98112487792969, 93.02556610107422, 91.00010681152344, 77.92123413085938, 75.77178955078125, 46.956085205078125, 81.70832061767578, 77.88076782226562, 70.28484344482422, 68.95972442626953, 61.66029357910156, 47.95854187011719, 32.34452438354492, 39.28725814819336, 57.160335540771484, 43.3579216003418, 40.78696823120117, 46.03745651245117, 29.94805908203125, 70.99995422363281, 61.99909210205078, 76.99935913085938, 53.99877166748047, 87.99774932861328, 86.99695587158203, 30.001506805419922, 85.00010681152344, 90.99851989746094, 89.99942779541016, 80.0000991821289, 72.99812316894531, 66.00121307373047, 91.0013198852539, 59.99656677246094, 58.00074005126953, 32.000370025634766, 29.00147247314453, 26.000391006469727, 24.00016212463379, 19.99280548095703, 13.993586540222168, 67.96861267089844, 39.000244140625, 1.9984873533248901, 0.9988641142845154, 0.03875049203634262, 0.02735426463186741, 0.012445052154362202, 0.008651050738990307, 0.005384896881878376, 0.012743244878947735, 0.0029419318307191133, 0.003969097044318914, 0.0034603727981448174, -0.0159775223582983, 2.003713846206665, 7.963988780975342, 51.1383171081543, 72.59473419189453]"
8,[14],"[11, 37, 36, 29, 53, 48, 26, 35, 39, 54, 41, 34, 30, 20, 38, 3, 40, 42, 9, 23, 21, 19, 18, 33, 27, 10, 24, 51, 44, 22, 28, 45, 52, 43, 16, 56, 0, 12, 17, 6, 49, 7, 57, 58, 55, 50, 15, 8, 46, 31, 32, 13, 1, 2, 4, 5, 59, 25, 47]","[array([3], dtype=int64), array([56], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([31], dtype=int64), array([46], dtype=int64), array([80], dtype=int64), array([24], dtype=int64), array([73], dtype=int64), array([34], dtype=int64), array([75], dtype=int64), array([2], dtype=int64), array([47], dtype=int64), array([19], dtype=int64), array([46], dtype=int64), array([2], dtype=int64), array([81], dtype=int64), array([27], dtype=int64), array([5], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([34], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([73], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([77], dtype=int64), array([42], dtype=int64), array([6], dtype=int64), array([81], dtype=int64), array([3], dtype=int64), array([6], dtype=int64), array([7], dtype=int64), array([8], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([11], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([14], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64)]","[83.2155532836914, 38.479461669921875, 56.999446868896484, 70.99989318847656, 70.99983978271484, 74.00064849853516, 63.00010299682617, 82.99578857421875, 61.999603271484375, 59.99943923950195, 53.99907684326172, 53.99979782104492, 53.00061798095703, 52.999366760253906, 76.99858856201172, 50.999019622802734, 50.001991271972656, 57.99972915649414, 48.00040817260742, 41.99822998046875, 41.00054168701172, 40.99778747558594, 38.997650146484375, 37.997066497802734, 37.000370025634766, 36.999454498291016, 34.998870849609375, 33.999664306640625, 32.000431060791016, 31.997865676879883, 30.020450592041016, 29.001972198486328, 27.999343872070312, 26.00017547607422, 90.96373748779297, 24.002838134765625, 20.000333786010742, 19.994787216186523, 13.999561309814453, 54.99861145019531, 6.000149726867676, 48.00212860107422, 1.9980815649032593, 0.9990612268447876, 0.013986431062221527, 0.010867008939385414, 0.014615673571825027, 67.89240264892578, 0.03812820464372635, 0.0014359066262841225, -0.00025956827448680997, 9.825446613831446e-05, 0.007500849198549986, 0.003756352700293064, 0.00014879352238494903, -4.1265349864261225e-05, 1.9982208013534546, 8.00059986114502, 50.9588508605957]"
9,[29],"[16, 2, 53, 48, 8, 26, 35, 39, 54, 34, 41, 30, 20, 37, 3, 40, 52, 9, 33, 38, 23, 56, 10, 21, 19, 42, 18, 27, 6, 24, 51, 44, 22, 28, 14, 45, 32, 43, 0, 12, 17, 11, 49, 7, 57, 58, 55, 1, 13, 46, 36, 31, 15, 50, 4, 5, 59, 25, 47]","[array([8], dtype=int64), array([2], dtype=int64), array([31], dtype=int64), array([46], dtype=int64), array([13], dtype=int64), array([80], dtype=int64), array([24], dtype=int64), array([73], dtype=int64), array([34], dtype=int64), array([2], dtype=int64), array([75], dtype=int64), array([47], dtype=int64), array([19], dtype=int64), array([56], dtype=int64), array([2], dtype=int64), array([81], dtype=int64), array([6], dtype=int64), array([5], dtype=int64), array([1], dtype=int64), array([46], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([34], dtype=int64), array([27], dtype=int64), array([6], dtype=int64), array([73], dtype=int64), array([11], dtype=int64), array([15], dtype=int64), array([77], dtype=int64), array([42], dtype=int64), array([6], dtype=int64), array([81], dtype=int64), array([10], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([5], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([1], dtype=int64), array([3], dtype=int64)]","[92.98870086669922, 90.08724975585938, 70.99919128417969, 74.00048065185547, 68.00080108642578, 63.00021743774414, 82.99578094482422, 61.99979019165039, 59.997528076171875, 53.99991226196289, 54.00079345703125, 53.000221252441406, 52.999725341796875, 63.00057601928711, 50.99881362915039, 50.00204849243164, 30.001201629638672, 91.99803924560547, 26.999340057373047, 76.99871826171875, 41.997344970703125, 11.00195026397705, 88.00125122070312, 41.00082778930664, 40.99600601196289, 57.98797607421875, 38.99190139770508, 37.00252914428711, 54.9958381652832, 34.99922561645508, 34.00177001953125, 32.0003662109375, 31.99815559387207, 30.03707504272461, 90.99895477294922, 28.99941062927246, 59.998435974121094, 26.002649307250977, 20.000017166137695, 19.99327278137207, 13.997193336486816, 35.00115203857422, 6.000405311584473, 47.98027038574219, 1.919331669807434, 1.0215208530426025, 0.20912353694438934, 0.00450335955247283, 0.002732355846092105, 0.0012933585094287992, 38.988460540771484, 0.00225153099745512, 0.002917467150837183, 0.004800637252628803, 0.00014879352238494903, -4.1265349864261225e-05, 1.9982208013534546, 8.00059986114502, 50.9588508605957]"
