random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[16, 9, 27, 11, 37, 56, 18, 21, 24, 19, 20, 2, 57, 22, 23, 30, 38, 51, 26, 49, 28, 6, 17, 14, 29, 35, 3, 41, 42, 58, 13, 53, 50, 52, 40, 39, 34, 33, 7, 44, 10, 43, 45, 0, 1, 32, 36, 31, 55, 15, 12, 8, 4, 46, 5, 59, 25, 47, 48]","[array([32], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([82], dtype=int64), array([94], dtype=int64), array([26], dtype=int64), array([87], dtype=int64), array([88], dtype=int64), array([89], dtype=int64), array([86], dtype=int64), array([92], dtype=int64), array([27], dtype=int64), array([2], dtype=int64), array([90], dtype=int64), array([62], dtype=int64), array([75], dtype=int64), array([95], dtype=int64), array([88], dtype=int64), array([88], dtype=int64), array([87], dtype=int64), array([91], dtype=int64), array([84], dtype=int64), array([83], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([90], dtype=int64), array([80], dtype=int64), array([52], dtype=int64), array([44], dtype=int64), array([37], dtype=int64), array([76], dtype=int64), array([94], dtype=int64), array([21], dtype=int64), array([31], dtype=int64), array([43], dtype=int64), array([68], dtype=int64), array([68], dtype=int64), array([94], dtype=int64), array([90], dtype=int64), array([21], dtype=int64), array([79], dtype=int64), array([54], dtype=int64), array([14], dtype=int64), array([86], dtype=int64), array([70], dtype=int64), array([92], dtype=int64), array([50], dtype=int64), array([82], dtype=int64), array([31], dtype=int64), array([37], dtype=int64), array([77], dtype=int64), array([94], dtype=int64), array([12], dtype=int64), array([4], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[98.29428100585938, 81.06431579589844, 98.4000015258789, 85.12124633789062, 91.04837799072266, 93.65155029296875, 92.26049041748047, 87.35179901123047, 91.51087951660156, 89.2227554321289, 87.76729583740234, 78.51806640625, 76.60868835449219, 84.42611694335938, 84.21763610839844, 87.01604461669922, 86.73796844482422, 90.06076049804688, 74.6151123046875, 85.58358764648438, 87.81180572509766, 92.94823455810547, 75.75640869140625, 79.2498779296875, 82.37631225585938, 66.56352996826172, 74.70012664794922, 85.62942504882812, 78.1136245727539, 74.26864624023438, 63.276405334472656, 90.50078582763672, 81.1066665649414, 83.82491302490234, 59.0006103515625, 55.99567413330078, 38.00142288208008, 27.001361846923828, 10.999588012695312, 9.000164031982422, 6.000394821166992, 4.0027947425842285, 1.9976195096969604, 0.9968976378440857, 0.00843613501638174, 0.008571279235184193, 56.99798583984375, 0.004566941410303116, 0.2111615091562271, 0.005514074582606554, 0.005374140106141567, 13.998186111450195, 0.014404619112610817, -0.0001961356756510213, -0.0010599530069157481, 0.05662687495350838, -0.0003638225607573986, 24.99898910522461, 25.9619197845459]"
1,[8],"[14, 9, 3, 31, 16, 49, 12, 22, 18, 0, 32, 10, 13, 2, 17, 21, 24, 19, 20, 53, 42, 6, 36, 40, 35, 34, 52, 39, 41, 37, 54, 56, 33, 30, 38, 43, 26, 28, 44, 45, 27, 51, 29, 11, 57, 1, 23, 50, 58, 7, 15, 55, 4, 46, 5, 59, 25, 47, 48]","[array([90], dtype=int64), array([91], dtype=int64), array([80], dtype=int64), array([82], dtype=int64), array([32], dtype=int64), array([87], dtype=int64), array([77], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([86], dtype=int64), array([92], dtype=int64), array([79], dtype=int64), array([76], dtype=int64), array([27], dtype=int64), array([83], dtype=int64), array([88], dtype=int64), array([89], dtype=int64), array([86], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([44], dtype=int64), array([84], dtype=int64), array([50], dtype=int64), array([43], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([31], dtype=int64), array([68], dtype=int64), array([52], dtype=int64), array([94], dtype=int64), array([76], dtype=int64), array([26], dtype=int64), array([94], dtype=int64), array([75], dtype=int64), array([95], dtype=int64), array([54], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([21], dtype=int64), array([14], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([87], dtype=int64), array([82], dtype=int64), array([2], dtype=int64), array([70], dtype=int64), array([62], dtype=int64), array([21], dtype=int64), array([37], dtype=int64), array([90], dtype=int64), array([37], dtype=int64), array([31], dtype=int64), array([12], dtype=int64), array([4], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[94.0959701538086, 89.73773956298828, 94.14897918701172, 90.10236358642578, 91.22869873046875, 104.03590393066406, 89.360107421875, 87.34561920166016, 87.26840209960938, 87.6947250366211, 85.64918518066406, 88.31727600097656, 86.66101837158203, 86.9708023071289, 79.55826568603516, 80.54767608642578, 80.9520492553711, 82.53524017333984, 77.70948028564453, 74.14886474609375, 76.45319366455078, 89.62628936767578, 77.69781494140625, 58.99747085571289, 41.9993782043457, 38.000579833984375, 29.993732452392578, 55.995487213134766, 47.999794006347656, 52.003089904785156, 13.999064445495605, 10.999979972839355, 27.00009536743164, 10.00582218170166, 57.0097770690918, 4.0020880699157715, 4.0026326179504395, 4.000010967254639, 9.009811401367188, 1.9981629848480225, 1.0202988386154175, 1.0015130043029785, 0.5156772136688232, 2.000575542449951, 0.0014706406509503722, 0.026961445808410645, 0.10179883241653442, 0.061048611998558044, 0.001678007422015071, 11.003059387207031, 0.0149519182741642, 9.2111382400617e-05, 0.014404619112610817, -0.0001961356756510213, -0.0010599530069157481, 0.05662687495350838, -0.0003638225607573986, 24.99898910522461, 25.9619197845459]"
2,[55],"[11, 9, 10, 16, 50, 38, 37, 41, 52, 25, 1, 32, 31, 53, 29, 34, 35, 7, 22, 36, 40, 39, 33, 54, 56, 30, 44, 18, 51, 26, 43, 28, 19, 45, 27, 49, 0, 42, 57, 23, 2, 24, 20, 21, 17, 58, 15, 8, 3, 46, 13, 12, 14, 6, 4, 5, 59, 47, 48]","[array([82], dtype=int64), array([91], dtype=int64), array([79], dtype=int64), array([32], dtype=int64), array([21], dtype=int64), array([95], dtype=int64), array([94], dtype=int64), array([52], dtype=int64), array([31], dtype=int64), array([85], dtype=int64), array([70], dtype=int64), array([92], dtype=int64), array([82], dtype=int64), array([94], dtype=int64), array([87], dtype=int64), array([68], dtype=int64), array([90], dtype=int64), array([90], dtype=int64), array([90], dtype=int64), array([50], dtype=int64), array([43], dtype=int64), array([68], dtype=int64), array([94], dtype=int64), array([76], dtype=int64), array([26], dtype=int64), array([75], dtype=int64), array([21], dtype=int64), array([87], dtype=int64), array([88], dtype=int64), array([88], dtype=int64), array([54], dtype=int64), array([91], dtype=int64), array([86], dtype=int64), array([14], dtype=int64), array([91], dtype=int64), array([87], dtype=int64), array([86], dtype=int64), array([44], dtype=int64), array([2], dtype=int64), array([62], dtype=int64), array([27], dtype=int64), array([89], dtype=int64), array([92], dtype=int64), array([88], dtype=int64), array([83], dtype=int64), array([37], dtype=int64), array([37], dtype=int64), array([94], dtype=int64), array([80], dtype=int64), array([4], dtype=int64), array([76], dtype=int64), array([77], dtype=int64), array([90], dtype=int64), array([84], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[92.10826873779297, 88.47795867919922, 78.99921417236328, 89.69031524658203, 82.19243621826172, 90.66307830810547, 94.99724578857422, 93.2042007446289, 88.26900482177734, 83.72425842285156, 82.31587219238281, 81.37229919433594, 88.47135162353516, 78.06312561035156, 89.08799743652344, 91.8606948852539, 41.999183654785156, 83.62220764160156, 75.7778091430664, 62.25233459472656, 59.00059509277344, 55.9951286315918, 27.000518798828125, 13.999813079833984, 10.999958038330078, 9.99886703491211, 8.99923038482666, 86.39187622070312, 92.84519958496094, 4.000088214874268, 4.000507354736328, 3.9984519481658936, 1.9982702732086182, 1.9991117715835571, 1.4721624851226807, 1.0006150007247925, 0.9990361332893372, 0.011184263043105602, 0.010462100617587566, 0.0051498739048838615, 0.006070797331631184, 0.02273164689540863, 0.0818176418542862, 0.012467941269278526, 0.7454805970191956, 0.0019138164352625608, 0.002213741187006235, 13.999192237854004, 0.005533035844564438, 0.024817761033773422, 0.0005842185928486288, 0.01702551357448101, 0.0017875581979751587, 28.05136489868164, 0.05063319578766823, 0.0029773504938930273, 0.15723074972629547, 24.99898910522461, 25.9619197845459]"
3,[15],"[11, 9, 49, 3, 14, 10, 36, 40, 35, 34, 52, 39, 53, 41, 37, 33, 54, 38, 56, 6, 30, 44, 29, 26, 43, 28, 19, 45, 27, 51, 0, 16, 55, 42, 57, 13, 32, 50, 2, 7, 1, 20, 24, 23, 58, 17, 21, 22, 18, 31, 12, 8, 4, 46, 5, 59, 25, 47, 48]","[array([82], dtype=int64), array([91], dtype=int64), array([87], dtype=int64), array([80], dtype=int64), array([90], dtype=int64), array([79], dtype=int64), array([50], dtype=int64), array([43], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([31], dtype=int64), array([68], dtype=int64), array([94], dtype=int64), array([52], dtype=int64), array([94], dtype=int64), array([94], dtype=int64), array([76], dtype=int64), array([95], dtype=int64), array([26], dtype=int64), array([84], dtype=int64), array([75], dtype=int64), array([21], dtype=int64), array([87], dtype=int64), array([88], dtype=int64), array([54], dtype=int64), array([91], dtype=int64), array([86], dtype=int64), array([14], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([86], dtype=int64), array([32], dtype=int64), array([31], dtype=int64), array([44], dtype=int64), array([2], dtype=int64), array([76], dtype=int64), array([92], dtype=int64), array([21], dtype=int64), array([27], dtype=int64), array([90], dtype=int64), array([70], dtype=int64), array([92], dtype=int64), array([89], dtype=int64), array([62], dtype=int64), array([37], dtype=int64), array([83], dtype=int64), array([88], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([82], dtype=int64), array([77], dtype=int64), array([94], dtype=int64), array([12], dtype=int64), array([4], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[94.98323059082031, 64.49535369873047, 90.40098571777344, 73.99917602539062, 75.99935150146484, 78.99796295166016, 56.997764587402344, 58.99834442138672, 42.00029754638672, 38.000221252441406, 29.999916076660156, 55.99899673461914, 27.999868392944336, 48.00040817260742, 51.99907684326172, 26.999845504760742, 13.999521255493164, 57.00006103515625, 10.998308181762695, 28.018760681152344, 10.00281810760498, 9.000717163085938, 92.81841278076172, 4.001408576965332, 4.00192403793335, 3.9949793815612793, 2.001300573348999, 1.9991034269332886, 1.1886401176452637, 1.000370740890503, 1.0004290342330933, 0.046324823051691055, 0.048998601734638214, 0.024856459349393845, 0.10502039641141891, 0.0071028913371264935, 0.006476796232163906, 0.0064286040142178535, 0.005333202425390482, 11.001897811889648, 0.005671805702149868, 0.007826656103134155, 0.01798275113105774, 0.03153860196471214, 0.08983369916677475, 0.02737760730087757, 0.004492487292736769, 0.5111147165298462, 0.3707716464996338, 0.0011408692225813866, 0.005374140106141567, 13.998186111450195, 0.014404619112610817, -0.0001961356756510213, -0.0010599530069157481, 0.05662687495350838, -0.0003638225607573986, 24.99898910522461, 25.9619197845459]"
4,[15],"[11, 9, 49, 3, 14, 10, 36, 40, 35, 34, 52, 39, 53, 41, 37, 33, 54, 38, 56, 6, 30, 44, 29, 26, 43, 28, 19, 45, 27, 51, 0, 16, 55, 42, 57, 13, 32, 50, 2, 7, 1, 20, 24, 23, 58, 17, 21, 22, 18, 31, 12, 8, 4, 46, 5, 59, 25, 47, 48]","[array([82], dtype=int64), array([91], dtype=int64), array([87], dtype=int64), array([80], dtype=int64), array([90], dtype=int64), array([79], dtype=int64), array([50], dtype=int64), array([43], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([31], dtype=int64), array([68], dtype=int64), array([94], dtype=int64), array([52], dtype=int64), array([94], dtype=int64), array([94], dtype=int64), array([76], dtype=int64), array([95], dtype=int64), array([26], dtype=int64), array([84], dtype=int64), array([75], dtype=int64), array([21], dtype=int64), array([87], dtype=int64), array([88], dtype=int64), array([54], dtype=int64), array([91], dtype=int64), array([86], dtype=int64), array([14], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([86], dtype=int64), array([32], dtype=int64), array([31], dtype=int64), array([44], dtype=int64), array([2], dtype=int64), array([76], dtype=int64), array([92], dtype=int64), array([21], dtype=int64), array([27], dtype=int64), array([90], dtype=int64), array([70], dtype=int64), array([92], dtype=int64), array([89], dtype=int64), array([62], dtype=int64), array([37], dtype=int64), array([83], dtype=int64), array([88], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([82], dtype=int64), array([77], dtype=int64), array([94], dtype=int64), array([12], dtype=int64), array([4], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[94.98323059082031, 64.49535369873047, 90.40098571777344, 73.99917602539062, 75.99935150146484, 78.99796295166016, 56.997764587402344, 58.99834442138672, 42.00029754638672, 38.000221252441406, 29.999916076660156, 55.99899673461914, 27.999868392944336, 48.00040817260742, 51.99907684326172, 26.999845504760742, 13.999521255493164, 57.00006103515625, 10.998308181762695, 28.018760681152344, 10.00281810760498, 9.000717163085938, 92.81841278076172, 4.001408576965332, 4.00192403793335, 3.9949793815612793, 2.001300573348999, 1.9991034269332886, 1.1886401176452637, 1.000370740890503, 1.0004290342330933, 0.046324823051691055, 0.048998601734638214, 0.024856459349393845, 0.10502039641141891, 0.0071028913371264935, 0.006476796232163906, 0.0064286040142178535, 0.005333202425390482, 11.001897811889648, 0.005671805702149868, 0.007826656103134155, 0.01798275113105774, 0.03153860196471214, 0.08983369916677475, 0.02737760730087757, 0.004492487292736769, 0.5111147165298462, 0.3707716464996338, 0.0011408692225813866, 0.005374140106141567, 13.998186111450195, 0.014404619112610817, -0.0001961356756510213, -0.0010599530069157481, 0.05662687495350838, -0.0003638225607573986, 24.99898910522461, 25.9619197845459]"
5,[39],"[16, 9, 34, 14, 32, 8, 35, 20, 29, 41, 52, 40, 53, 37, 33, 38, 54, 56, 36, 30, 44, 10, 28, 43, 26, 19, 45, 6, 27, 51, 49, 0, 2, 42, 11, 31, 22, 17, 18, 21, 23, 24, 57, 12, 1, 55, 13, 46, 3, 58, 50, 7, 15, 4, 5, 59, 25, 47, 48]","[array([32], dtype=int64), array([91], dtype=int64), array([68], dtype=int64), array([90], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([90], dtype=int64), array([92], dtype=int64), array([87], dtype=int64), array([52], dtype=int64), array([31], dtype=int64), array([43], dtype=int64), array([94], dtype=int64), array([94], dtype=int64), array([94], dtype=int64), array([95], dtype=int64), array([76], dtype=int64), array([26], dtype=int64), array([50], dtype=int64), array([75], dtype=int64), array([21], dtype=int64), array([79], dtype=int64), array([91], dtype=int64), array([54], dtype=int64), array([88], dtype=int64), array([86], dtype=int64), array([14], dtype=int64), array([84], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([87], dtype=int64), array([86], dtype=int64), array([27], dtype=int64), array([44], dtype=int64), array([82], dtype=int64), array([82], dtype=int64), array([90], dtype=int64), array([83], dtype=int64), array([87], dtype=int64), array([88], dtype=int64), array([62], dtype=int64), array([89], dtype=int64), array([2], dtype=int64), array([77], dtype=int64), array([70], dtype=int64), array([31], dtype=int64), array([76], dtype=int64), array([4], dtype=int64), array([80], dtype=int64), array([37], dtype=int64), array([21], dtype=int64), array([90], dtype=int64), array([37], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[92.9730224609375, 83.75105285644531, 90.99984741210938, 91.0002212524414, 101.00154876708984, 97.99604034423828, 93.99893188476562, 88.99827575683594, 91.0001449584961, 90.99959564208984, 29.99982261657715, 58.9953727722168, 27.99985694885254, 52.000186920166016, 26.999568939208984, 57.00267028808594, 13.999161720275879, 11.000161170959473, 57.00003433227539, 10.000107765197754, 8.999847412109375, 6.000546932220459, 4.0001630783081055, 3.999908208847046, 3.9992918968200684, 2.000786781311035, 1.9974689483642578, 28.029584884643555, 1.2342145442962646, 1.0037553310394287, 1.0011277198791504, 1.0021946430206299, 0.0050714886747300625, 0.027277231216430664, 2.0000102519989014, 0.0016064289957284927, 0.001161549473181367, 0.0010699575068429112, 0.0023372506257146597, 0.1827675998210907, 0.015315943397581577, 0.18524019420146942, 0.15341901779174805, 0.0005755018210038543, 0.0053114802576601505, -6.877128180349246e-05, 0.004598965868353844, -0.0001511188456788659, 0.011953414417803288, 0.019902091473340988, 0.002295147627592087, 10.997786521911621, 0.007681892719119787, 0.006260465364903212, -0.0010599530069157481, 0.05662687495350838, -0.0003638225607573986, 24.99898910522461, 25.9619197845459]"
6,[50],"[16, 28, 14, 49, 53, 24, 30, 19, 20, 37, 35, 29, 34, 23, 41, 33, 38, 2, 3, 52, 31, 39, 51, 26, 27, 56, 22, 21, 18, 17, 40, 6, 54, 7, 44, 10, 43, 45, 11, 9, 0, 8, 1, 32, 57, 42, 58, 13, 12, 15, 4, 55, 36, 46, 5, 59, 25, 47, 48]","[array([32], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([94], dtype=int64), array([89], dtype=int64), array([75], dtype=int64), array([86], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([68], dtype=int64), array([62], dtype=int64), array([52], dtype=int64), array([94], dtype=int64), array([95], dtype=int64), array([27], dtype=int64), array([80], dtype=int64), array([31], dtype=int64), array([82], dtype=int64), array([68], dtype=int64), array([88], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([26], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([87], dtype=int64), array([83], dtype=int64), array([43], dtype=int64), array([84], dtype=int64), array([76], dtype=int64), array([90], dtype=int64), array([21], dtype=int64), array([79], dtype=int64), array([54], dtype=int64), array([14], dtype=int64), array([82], dtype=int64), array([91], dtype=int64), array([86], dtype=int64), array([94], dtype=int64), array([70], dtype=int64), array([92], dtype=int64), array([2], dtype=int64), array([44], dtype=int64), array([37], dtype=int64), array([76], dtype=int64), array([77], dtype=int64), array([37], dtype=int64), array([12], dtype=int64), array([31], dtype=int64), array([50], dtype=int64), array([4], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[93.03872680664062, 81.13716888427734, 77.36507415771484, 89.02351379394531, 86.14287567138672, 84.88968658447266, 89.33831024169922, 89.27920532226562, 86.7518539428711, 87.21844482421875, 93.01136016845703, 91.42984771728516, 91.6082534790039, 90.80921936035156, 89.40119171142578, 89.79393768310547, 93.42234802246094, 88.3956298828125, 88.08946990966797, 88.838134765625, 81.3495864868164, 84.63944244384766, 80.28008270263672, 90.60804748535156, 88.46455383300781, 80.90103149414062, 85.08995056152344, 87.45221710205078, 80.27141571044922, 81.61212158203125, 82.31327056884766, 27.998600006103516, 13.999561309814453, 11.002481460571289, 8.995766639709473, 6.000116348266602, 4.002039909362793, 2.001859664916992, 1.999159574508667, 1.9987285137176514, 1.0010521411895752, 14.005118370056152, 0.00979841873049736, 0.007555434945970774, 0.06946782767772675, 0.004714767448604107, 3.0155882996041328e-05, 0.00602330919355154, 0.002082972088828683, 0.011237671598792076, 0.00966201163828373, 0.0032636148389428854, 56.99824142456055, -0.0001961356756510213, -0.0010599530069157481, 0.05662687495350838, -0.0003638225607573986, 24.99898910522461, 25.9619197845459]"
7,[20],"[11, 9, 3, 8, 12, 16, 4, 49, 18, 31, 24, 19, 10, 2, 22, 21, 13, 14, 0, 17, 42, 32, 6, 37, 53, 38, 23, 34, 36, 29, 51, 35, 39, 40, 52, 41, 56, 54, 30, 33, 28, 43, 26, 27, 44, 45, 57, 46, 1, 55, 58, 7, 50, 15, 5, 59, 25, 47, 48]","[array([82], dtype=int64), array([91], dtype=int64), array([80], dtype=int64), array([94], dtype=int64), array([77], dtype=int64), array([32], dtype=int64), array([12], dtype=int64), array([87], dtype=int64), array([87], dtype=int64), array([82], dtype=int64), array([89], dtype=int64), array([86], dtype=int64), array([79], dtype=int64), array([27], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([76], dtype=int64), array([90], dtype=int64), array([86], dtype=int64), array([83], dtype=int64), array([44], dtype=int64), array([92], dtype=int64), array([84], dtype=int64), array([94], dtype=int64), array([94], dtype=int64), array([95], dtype=int64), array([62], dtype=int64), array([68], dtype=int64), array([50], dtype=int64), array([87], dtype=int64), array([88], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([43], dtype=int64), array([31], dtype=int64), array([52], dtype=int64), array([26], dtype=int64), array([76], dtype=int64), array([75], dtype=int64), array([94], dtype=int64), array([91], dtype=int64), array([54], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([21], dtype=int64), array([14], dtype=int64), array([2], dtype=int64), array([4], dtype=int64), array([70], dtype=int64), array([31], dtype=int64), array([37], dtype=int64), array([90], dtype=int64), array([21], dtype=int64), array([37], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[95.93766784667969, 88.7677001953125, 94.95858764648438, 94.74775695800781, 90.81338500976562, 87.64493560791016, 89.4634780883789, 85.36438751220703, 90.18614959716797, 87.82086181640625, 88.71576690673828, 87.11396026611328, 83.6734390258789, 86.83003997802734, 86.59803771972656, 83.09627532958984, 79.51007843017578, 81.09497833251953, 79.67528533935547, 79.69573211669922, 74.68734741210938, 85.53897094726562, 87.66334533691406, 66.71269989013672, 79.45633697509766, 84.2294921875, 70.5433578491211, 73.9738540649414, 73.413818359375, 83.83126831054688, 65.45384979248047, 61.57053756713867, 68.02189636230469, 78.39232635498047, 29.969886779785156, 48.02036666870117, 11.003101348876953, 13.993696212768555, 9.996642112731934, 27.003061294555664, 4.002792835235596, 3.9996414184570312, 3.9946539402008057, 2.0255022048950195, 8.999358177185059, 1.999971866607666, 0.0023450448643416166, 0.002316935220733285, 0.05442626029253006, 0.00017538588144816458, 0.017765561118721962, 10.999690055847168, 0.01126884389668703, 0.03661312907934189, -0.0010599530069157481, 0.05662687495350838, -0.0003638225607573986, 24.99898910522461, 25.9619197845459]"
8,[14],"[16, 9, 10, 32, 3, 31, 12, 18, 22, 49, 2, 13, 17, 21, 0, 6, 42, 50, 29, 58, 11, 19, 20, 53, 35, 34, 52, 40, 39, 41, 37, 33, 51, 38, 54, 56, 36, 30, 44, 43, 26, 28, 45, 27, 55, 57, 24, 1, 23, 7, 15, 8, 4, 46, 5, 59, 25, 47, 48]","[array([32], dtype=int64), array([91], dtype=int64), array([79], dtype=int64), array([92], dtype=int64), array([80], dtype=int64), array([82], dtype=int64), array([77], dtype=int64), array([87], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([27], dtype=int64), array([76], dtype=int64), array([83], dtype=int64), array([88], dtype=int64), array([86], dtype=int64), array([84], dtype=int64), array([44], dtype=int64), array([21], dtype=int64), array([87], dtype=int64), array([37], dtype=int64), array([82], dtype=int64), array([86], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([31], dtype=int64), array([43], dtype=int64), array([68], dtype=int64), array([52], dtype=int64), array([94], dtype=int64), array([94], dtype=int64), array([88], dtype=int64), array([95], dtype=int64), array([76], dtype=int64), array([26], dtype=int64), array([50], dtype=int64), array([75], dtype=int64), array([21], dtype=int64), array([54], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([14], dtype=int64), array([91], dtype=int64), array([31], dtype=int64), array([2], dtype=int64), array([89], dtype=int64), array([70], dtype=int64), array([62], dtype=int64), array([90], dtype=int64), array([37], dtype=int64), array([94], dtype=int64), array([12], dtype=int64), array([4], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[92.76068878173828, 85.2451171875, 86.05358123779297, 80.26757049560547, 89.1868667602539, 87.11585235595703, 87.88015747070312, 85.45806884765625, 85.29524993896484, 86.05622863769531, 84.62541961669922, 83.9864730834961, 81.10345458984375, 82.05839538574219, 84.28392028808594, 83.4770736694336, 73.7634506225586, 90.71195983886719, 88.42375946044922, 78.1156234741211, 77.18163299560547, 61.37653732299805, 85.619873046875, 87.86502838134766, 90.59828186035156, 92.96405029296875, 91.5980453491211, 59.00009536743164, 55.99420166015625, 48.00076675415039, 52.00321960449219, 27.001474380493164, 81.1966323852539, 57.01643371582031, 13.998416900634766, 11.016549110412598, 57.00083923339844, 9.944573402404785, 8.998416900634766, 4.002829074859619, 4.002118110656738, 4.000003337860107, 1.9990813732147217, 1.2619210481643677, 0.2255551815032959, 0.3086167573928833, 0.0617508664727211, 0.10253246128559113, 0.1880047619342804, 10.999069213867188, 0.039095111191272736, 13.998186111450195, 0.014404619112610817, -0.0001961356756510213, -0.0010599530069157481, 0.05662687495350838, -0.0003638225607573986, 24.99898910522461, 25.9619197845459]"
9,[29],"[16, 9, 14, 49, 2, 27, 3, 28, 30, 17, 22, 18, 35, 20, 40, 24, 19, 39, 34, 52, 53, 41, 37, 33, 38, 6, 54, 36, 56, 44, 10, 26, 43, 11, 45, 0, 51, 21, 23, 42, 57, 1, 58, 32, 13, 7, 31, 55, 50, 15, 12, 8, 4, 46, 5, 59, 25, 47, 48]","[array([32], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([27], dtype=int64), array([91], dtype=int64), array([80], dtype=int64), array([91], dtype=int64), array([75], dtype=int64), array([83], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([90], dtype=int64), array([92], dtype=int64), array([43], dtype=int64), array([89], dtype=int64), array([86], dtype=int64), array([68], dtype=int64), array([68], dtype=int64), array([31], dtype=int64), array([94], dtype=int64), array([52], dtype=int64), array([94], dtype=int64), array([94], dtype=int64), array([95], dtype=int64), array([84], dtype=int64), array([76], dtype=int64), array([50], dtype=int64), array([26], dtype=int64), array([21], dtype=int64), array([79], dtype=int64), array([88], dtype=int64), array([54], dtype=int64), array([82], dtype=int64), array([14], dtype=int64), array([86], dtype=int64), array([88], dtype=int64), array([88], dtype=int64), array([62], dtype=int64), array([44], dtype=int64), array([2], dtype=int64), array([70], dtype=int64), array([37], dtype=int64), array([92], dtype=int64), array([76], dtype=int64), array([90], dtype=int64), array([82], dtype=int64), array([31], dtype=int64), array([21], dtype=int64), array([37], dtype=int64), array([77], dtype=int64), array([94], dtype=int64), array([12], dtype=int64), array([4], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[96.24549865722656, 88.20724487304688, 90.9998779296875, 96.91679382324219, 90.65387725830078, 92.21968841552734, 90.36923217773438, 89.2392578125, 89.67459106445312, 86.29167938232422, 79.8536148071289, 90.60717010498047, 88.07601165771484, 88.71190643310547, 90.69038391113281, 84.29808044433594, 89.04061126708984, 88.23688507080078, 37.999595642089844, 30.000165939331055, 28.00072479248047, 48.00114059448242, 51.99985122680664, 26.998567581176758, 57.001834869384766, 27.999309539794922, 13.993392944335938, 56.999412536621094, 10.998750686645508, 8.999558448791504, 6.000356197357178, 4.0298752784729, 4.001012802124023, 2.010272264480591, 1.9960947036743164, 0.9997013211250305, 0.9934234619140625, 0.37109440565109253, 0.014962946996092796, 0.006044314708560705, 0.01580599881708622, 0.005211784038692713, 0.017741017043590546, 0.00829437468200922, 0.006599900778383017, 10.999096870422363, 0.002609883900731802, 0.04259118065237999, 0.08968672156333923, 0.005514074582606554, 0.005374140106141567, 13.998186111450195, 0.014404619112610817, -0.0001961356756510213, -0.0010599530069157481, 0.05662687495350838, -0.0003638225607573986, 24.99898910522461, 25.9619197845459]"
