random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
0,[54],"[16, 10, 3, 6, 9, 11, 22, 21, 18, 24, 19, 30, 20, 37, 53, 27, 38, 12, 40, 13, 28, 0, 14, 29, 50, 31, 32, 36, 52, 49, 2, 57, 26, 23, 34, 17, 56, 46, 58, 35, 41, 1, 51, 33, 39, 7, 44, 45, 42, 15, 43, 8, 4, 5, 55, 59, 25, 47, 48]","[array([32], dtype=int64), array([79], dtype=int64), array([80], dtype=int64), array([84], dtype=int64), array([91], dtype=int64), array([82], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([87], dtype=int64), array([89], dtype=int64), array([86], dtype=int64), array([75], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([94], dtype=int64), array([91], dtype=int64), array([95], dtype=int64), array([77], dtype=int64), array([43], dtype=int64), array([76], dtype=int64), array([91], dtype=int64), array([86], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([21], dtype=int64), array([82], dtype=int64), array([92], dtype=int64), array([50], dtype=int64), array([31], dtype=int64), array([87], dtype=int64), array([27], dtype=int64), array([2], dtype=int64), array([88], dtype=int64), array([62], dtype=int64), array([68], dtype=int64), array([83], dtype=int64), array([26], dtype=int64), array([4], dtype=int64), array([37], dtype=int64), array([90], dtype=int64), array([52], dtype=int64), array([70], dtype=int64), array([88], dtype=int64), array([94], dtype=int64), array([68], dtype=int64), array([90], dtype=int64), array([21], dtype=int64), array([14], dtype=int64), array([44], dtype=int64), array([37], dtype=int64), array([54], dtype=int64), array([94], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([31], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[98.29428100585938, 99.10173034667969, 95.37802124023438, 92.67029571533203, 84.76786041259766, 88.33914947509766, 92.52548217773438, 89.58462524414062, 88.78553771972656, 88.55989837646484, 86.32920837402344, 84.34251403808594, 87.08789825439453, 73.76984405517578, 84.26399993896484, 80.7619400024414, 94.61970520019531, 67.84178161621094, 75.93949890136719, 77.34288024902344, 72.00804138183594, 83.71371459960938, 83.61511993408203, 83.68310546875, 82.3323974609375, 78.86333465576172, 76.65353393554688, 82.84304809570312, 71.5736312866211, 73.83311462402344, 73.49261474609375, 71.81905364990234, 60.41604995727539, 55.41398239135742, 60.464534759521484, 60.8248405456543, 50.71719741821289, 62.67500686645508, 63.05349349975586, 51.38776397705078, 59.89455795288086, 74.25997924804688, 63.002166748046875, 76.32645416259766, 87.99768829345703, 91.00025177001953, 31.99924659729004, 25.998300552368164, 19.9985408782959, 5.999832630157471, 5.015932559967041, 97.9955825805664, 0.051144715398550034, 5.003122329711914, -0.006061482708901167, 0.13193945586681366, 54.99931335449219, 64.9991683959961, 72.93075561523438]"
1,[8],"[14, 9, 36, 49, 2, 16, 29, 53, 26, 35, 39, 54, 37, 41, 34, 30, 20, 3, 38, 40, 42, 52, 22, 21, 18, 24, 27, 19, 23, 32, 31, 28, 58, 17, 51, 57, 33, 10, 6, 11, 0, 12, 44, 46, 45, 56, 1, 13, 50, 7, 43, 15, 4, 5, 55, 59, 25, 47, 48]","[array([90], dtype=int64), array([91], dtype=int64), array([50], dtype=int64), array([87], dtype=int64), array([27], dtype=int64), array([32], dtype=int64), array([87], dtype=int64), array([94], dtype=int64), array([88], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([76], dtype=int64), array([94], dtype=int64), array([52], dtype=int64), array([68], dtype=int64), array([75], dtype=int64), array([92], dtype=int64), array([80], dtype=int64), array([95], dtype=int64), array([43], dtype=int64), array([44], dtype=int64), array([31], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([87], dtype=int64), array([89], dtype=int64), array([91], dtype=int64), array([86], dtype=int64), array([62], dtype=int64), array([92], dtype=int64), array([82], dtype=int64), array([91], dtype=int64), array([37], dtype=int64), array([83], dtype=int64), array([88], dtype=int64), array([2], dtype=int64), array([94], dtype=int64), array([79], dtype=int64), array([84], dtype=int64), array([82], dtype=int64), array([86], dtype=int64), array([77], dtype=int64), array([21], dtype=int64), array([4], dtype=int64), array([14], dtype=int64), array([26], dtype=int64), array([70], dtype=int64), array([76], dtype=int64), array([21], dtype=int64), array([90], dtype=int64), array([54], dtype=int64), array([37], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([31], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[94.0959701538086, 94.00723266601562, 56.999576568603516, 90.7559814453125, 94.57987976074219, 90.99958801269531, 71.00025939941406, 70.9996109008789, 62.999935150146484, 82.9974365234375, 61.99897766113281, 59.99860763549805, 62.99989700317383, 54.00076675415039, 54.000816345214844, 53.00014877319336, 52.99840545654297, 50.999691009521484, 77.00032043457031, 49.999568939208984, 57.999855041503906, 87.3380126953125, 91.50812530517578, 88.96715545654297, 88.77082061767578, 88.32156372070312, 88.0349349975586, 89.63663482666016, 87.59332275390625, 82.46864318847656, 86.43346405029297, 81.91471862792969, 81.03446197509766, 76.25846099853516, 75.84877014160156, 83.27733612060547, 68.33312225341797, 81.00175476074219, 89.99175262451172, 79.99401092529297, 45.00645065307617, 39.99982833862305, 31.993316650390625, 27.998159408569336, 25.998519897460938, 20.1675968170166, 12.006331443786621, 9.006743431091309, 7.026197910308838, 90.9947509765625, 5.016188144683838, 6.000282287597656, 0.051144715398550034, 5.003122329711914, -0.006061482708901167, 0.13193945586681366, 54.99931335449219, 64.9991683959961, 72.93075561523438]"
2,[55],"[11, 9, 16, 36, 10, 49, 12, 3, 27, 30, 29, 24, 20, 19, 35, 58, 23, 28, 39, 21, 22, 37, 50, 46, 26, 18, 53, 54, 38, 41, 34, 42, 0, 17, 13, 51, 31, 33, 32, 14, 56, 40, 2, 6, 7, 52, 44, 45, 1, 15, 43, 8, 57, 5, 4, 59, 25, 47, 48]","[array([82], dtype=int64), array([91], dtype=int64), array([32], dtype=int64), array([50], dtype=int64), array([79], dtype=int64), array([87], dtype=int64), array([77], dtype=int64), array([80], dtype=int64), array([91], dtype=int64), array([75], dtype=int64), array([87], dtype=int64), array([89], dtype=int64), array([92], dtype=int64), array([86], dtype=int64), array([90], dtype=int64), array([37], dtype=int64), array([62], dtype=int64), array([91], dtype=int64), array([68], dtype=int64), array([88], dtype=int64), array([90], dtype=int64), array([94], dtype=int64), array([21], dtype=int64), array([4], dtype=int64), array([88], dtype=int64), array([87], dtype=int64), array([94], dtype=int64), array([76], dtype=int64), array([95], dtype=int64), array([52], dtype=int64), array([68], dtype=int64), array([44], dtype=int64), array([86], dtype=int64), array([83], dtype=int64), array([76], dtype=int64), array([88], dtype=int64), array([82], dtype=int64), array([94], dtype=int64), array([92], dtype=int64), array([90], dtype=int64), array([26], dtype=int64), array([43], dtype=int64), array([27], dtype=int64), array([84], dtype=int64), array([90], dtype=int64), array([31], dtype=int64), array([21], dtype=int64), array([14], dtype=int64), array([70], dtype=int64), array([37], dtype=int64), array([54], dtype=int64), array([94], dtype=int64), array([2], dtype=int64), array([74], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[92.10826873779297, 88.47795867919922, 83.04192352294922, 56.997352600097656, 78.44506072998047, 64.04610443115234, 76.80235290527344, 64.16670227050781, 76.05197143554688, 90.18588256835938, 89.63524627685547, 89.04924774169922, 89.22994995117188, 90.13014221191406, 90.5890121459961, 88.34770202636719, 90.43624877929688, 82.94144439697266, 88.75917053222656, 86.21910095214844, 77.18899536132812, 86.61457061767578, 79.52154541015625, 78.84550476074219, 77.8392105102539, 84.69258880615234, 70.99676513671875, 60.00059127807617, 77.00363159179688, 54.002079010009766, 54.00080871582031, 57.99859619140625, 86.9407730102539, 72.1819839477539, 81.78279876708984, 75.27093505859375, 78.41991424560547, 77.03540802001953, 82.64379119873047, 81.31065368652344, 83.95551300048828, 86.9923324584961, 83.99955749511719, 89.99959564208984, 91.00032043457031, 43.99973678588867, 32.00019454956055, 26.000274658203125, 12.06722640991211, 6.001774311065674, 4.999038219451904, 97.97911834716797, 4.400731086730957, 4.988572120666504, 0.04829952120780945, 0.13193945586681366, 54.99931335449219, 64.9991683959961, 72.93075561523438]"
3,[15],"[11, 9, 34, 29, 16, 53, 48, 3, 22, 24, 54, 21, 19, 18, 10, 20, 30, 27, 38, 40, 12, 28, 37, 13, 0, 23, 31, 14, 32, 49, 57, 6, 44, 26, 17, 35, 41, 33, 2, 51, 52, 58, 39, 1, 46, 56, 42, 7, 8, 55, 43, 50, 36, 45, 4, 5, 59, 25, 47]","[array([82], dtype=int64), array([91], dtype=int64), array([68], dtype=int64), array([87], dtype=int64), array([32], dtype=int64), array([94], dtype=int64), array([1], dtype=int64), array([80], dtype=int64), array([90], dtype=int64), array([89], dtype=int64), array([76], dtype=int64), array([88], dtype=int64), array([86], dtype=int64), array([87], dtype=int64), array([79], dtype=int64), array([92], dtype=int64), array([75], dtype=int64), array([91], dtype=int64), array([95], dtype=int64), array([43], dtype=int64), array([77], dtype=int64), array([91], dtype=int64), array([94], dtype=int64), array([76], dtype=int64), array([86], dtype=int64), array([62], dtype=int64), array([82], dtype=int64), array([90], dtype=int64), array([92], dtype=int64), array([87], dtype=int64), array([2], dtype=int64), array([84], dtype=int64), array([21], dtype=int64), array([88], dtype=int64), array([83], dtype=int64), array([90], dtype=int64), array([52], dtype=int64), array([94], dtype=int64), array([27], dtype=int64), array([88], dtype=int64), array([31], dtype=int64), array([37], dtype=int64), array([68], dtype=int64), array([70], dtype=int64), array([4], dtype=int64), array([26], dtype=int64), array([44], dtype=int64), array([90], dtype=int64), array([94], dtype=int64), array([31], dtype=int64), array([54], dtype=int64), array([21], dtype=int64), array([50], dtype=int64), array([14], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64)]","[94.98323059082031, 83.05345153808594, 91.00007629394531, 90.99988555908203, 89.99964141845703, 70.99967956542969, 74.00033569335938, 99.99307250976562, 95.79485321044922, 95.31916046142578, 101.84306335449219, 89.49736785888672, 88.84283447265625, 90.15438842773438, 90.81922912597656, 79.25849914550781, 89.36634063720703, 78.50408935546875, 91.47110748291016, 80.49190521240234, 80.29002380371094, 76.4628677368164, 78.10429382324219, 72.92132568359375, 82.92576599121094, 74.80937957763672, 72.10641479492188, 70.80117797851562, 70.03507232666016, 74.43909454345703, 72.97425842285156, 72.6950912475586, 74.54205322265625, 62.09067916870117, 58.053741455078125, 70.73054504394531, 58.8557014465332, 62.92472457885742, 76.81513977050781, 71.59487915039062, 70.45765686035156, 69.04187774658203, 66.7531967163086, 77.19802856445312, 53.506038665771484, 59.58970260620117, 44.4040412902832, 80.31732177734375, 83.74880981445312, 60.14295196533203, 26.58273696899414, 33.960060119628906, 69.85649871826172, 23.640897750854492, 42.192237854003906, 71.06255340576172, 39.64741516113281, 16.010454177856445, 8.993839263916016]"
4,[15],"[11, 9, 34, 29, 16, 53, 48, 3, 22, 24, 54, 21, 19, 18, 10, 20, 30, 27, 38, 40, 12, 28, 37, 13, 0, 23, 31, 14, 32, 49, 57, 6, 44, 26, 17, 35, 41, 33, 2, 51, 52, 58, 39, 1, 46, 56, 42, 7, 8, 55, 43, 50, 36, 45, 4, 5, 59, 25, 47]","[array([82], dtype=int64), array([91], dtype=int64), array([68], dtype=int64), array([87], dtype=int64), array([32], dtype=int64), array([94], dtype=int64), array([1], dtype=int64), array([80], dtype=int64), array([90], dtype=int64), array([89], dtype=int64), array([76], dtype=int64), array([88], dtype=int64), array([86], dtype=int64), array([87], dtype=int64), array([79], dtype=int64), array([92], dtype=int64), array([75], dtype=int64), array([91], dtype=int64), array([95], dtype=int64), array([43], dtype=int64), array([77], dtype=int64), array([91], dtype=int64), array([94], dtype=int64), array([76], dtype=int64), array([86], dtype=int64), array([62], dtype=int64), array([82], dtype=int64), array([90], dtype=int64), array([92], dtype=int64), array([87], dtype=int64), array([2], dtype=int64), array([84], dtype=int64), array([21], dtype=int64), array([88], dtype=int64), array([83], dtype=int64), array([90], dtype=int64), array([52], dtype=int64), array([94], dtype=int64), array([27], dtype=int64), array([88], dtype=int64), array([31], dtype=int64), array([37], dtype=int64), array([68], dtype=int64), array([70], dtype=int64), array([4], dtype=int64), array([26], dtype=int64), array([44], dtype=int64), array([90], dtype=int64), array([94], dtype=int64), array([31], dtype=int64), array([54], dtype=int64), array([21], dtype=int64), array([50], dtype=int64), array([14], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64)]","[94.98323059082031, 83.05345153808594, 91.00007629394531, 90.99988555908203, 89.99964141845703, 70.99967956542969, 74.00033569335938, 99.99307250976562, 95.79485321044922, 95.31916046142578, 101.84306335449219, 89.49736785888672, 88.84283447265625, 90.15438842773438, 90.81922912597656, 79.25849914550781, 89.36634063720703, 78.50408935546875, 91.47110748291016, 80.49190521240234, 80.29002380371094, 76.4628677368164, 78.10429382324219, 72.92132568359375, 82.92576599121094, 74.80937957763672, 72.10641479492188, 70.80117797851562, 70.03507232666016, 74.43909454345703, 72.97425842285156, 72.6950912475586, 74.54205322265625, 62.09067916870117, 58.053741455078125, 70.73054504394531, 58.8557014465332, 62.92472457885742, 76.81513977050781, 71.59487915039062, 70.45765686035156, 69.04187774658203, 66.7531967163086, 77.19802856445312, 53.506038665771484, 59.58970260620117, 44.4040412902832, 80.31732177734375, 83.74880981445312, 60.14295196533203, 26.58273696899414, 33.960060119628906, 69.85649871826172, 23.640897750854492, 42.192237854003906, 71.06255340576172, 39.64741516113281, 16.010454177856445, 8.993839263916016]"
5,[39],"[16, 29, 53, 48, 3, 9, 22, 38, 10, 0, 24, 21, 27, 30, 18, 19, 20, 40, 54, 31, 28, 37, 12, 57, 13, 32, 33, 6, 2, 51, 26, 17, 58, 35, 23, 41, 11, 1, 34, 7, 8, 36, 56, 52, 4, 49, 42, 55, 46, 44, 14, 45, 43, 50, 15, 5, 59, 25, 47]","[array([32], dtype=int64), array([87], dtype=int64), array([94], dtype=int64), array([1], dtype=int64), array([80], dtype=int64), array([91], dtype=int64), array([90], dtype=int64), array([95], dtype=int64), array([79], dtype=int64), array([86], dtype=int64), array([89], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([75], dtype=int64), array([87], dtype=int64), array([86], dtype=int64), array([92], dtype=int64), array([43], dtype=int64), array([76], dtype=int64), array([82], dtype=int64), array([91], dtype=int64), array([94], dtype=int64), array([77], dtype=int64), array([2], dtype=int64), array([76], dtype=int64), array([92], dtype=int64), array([94], dtype=int64), array([84], dtype=int64), array([27], dtype=int64), array([88], dtype=int64), array([88], dtype=int64), array([83], dtype=int64), array([37], dtype=int64), array([90], dtype=int64), array([62], dtype=int64), array([52], dtype=int64), array([82], dtype=int64), array([70], dtype=int64), array([68], dtype=int64), array([90], dtype=int64), array([94], dtype=int64), array([50], dtype=int64), array([26], dtype=int64), array([31], dtype=int64), array([12], dtype=int64), array([87], dtype=int64), array([44], dtype=int64), array([31], dtype=int64), array([4], dtype=int64), array([21], dtype=int64), array([90], dtype=int64), array([14], dtype=int64), array([54], dtype=int64), array([21], dtype=int64), array([37], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64)]","[92.9730224609375, 71.00008392333984, 70.99916076660156, 73.99870300292969, 98.11894226074219, 99.46237182617188, 95.89410400390625, 94.41297912597656, 94.7354965209961, 93.1609115600586, 91.41484069824219, 91.37239837646484, 88.50509643554688, 95.51192474365234, 90.6523666381836, 88.04720306396484, 85.93397521972656, 79.27196502685547, 95.6719741821289, 73.56210327148438, 70.2081298828125, 75.64093017578125, 77.64744567871094, 66.361572265625, 79.93924713134766, 80.83631896972656, 79.98070526123047, 82.69261169433594, 76.56486511230469, 70.65816497802734, 80.34190368652344, 86.41035461425781, 68.49162292480469, 67.32046508789062, 79.2099838256836, 84.75627136230469, 67.62629699707031, 83.75597381591797, 66.33307647705078, 71.5216064453125, 87.0570068359375, 59.070411682128906, 19.118579864501953, 42.76899719238281, 46.983943939208984, 30.623157501220703, 45.83018493652344, 43.91973876953125, 43.347328186035156, 27.739280700683594, 35.285491943359375, 23.39202117919922, 21.926633834838867, 27.453067779541016, 30.759428024291992, 71.06255340576172, 39.64741516113281, 16.010454177856445, 8.993839263916016]"
6,[50],"[16, 9, 29, 10, 53, 48, 8, 3, 38, 6, 22, 18, 30, 21, 24, 19, 27, 20, 40, 54, 37, 12, 13, 31, 17, 57, 51, 28, 26, 0, 32, 42, 1, 58, 23, 41, 39, 33, 2, 11, 52, 34, 35, 7, 56, 36, 49, 55, 46, 14, 45, 43, 44, 15, 4, 5, 59, 25, 47]","[array([32], dtype=int64), array([91], dtype=int64), array([87], dtype=int64), array([79], dtype=int64), array([94], dtype=int64), array([1], dtype=int64), array([94], dtype=int64), array([80], dtype=int64), array([95], dtype=int64), array([84], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([75], dtype=int64), array([88], dtype=int64), array([89], dtype=int64), array([86], dtype=int64), array([91], dtype=int64), array([92], dtype=int64), array([43], dtype=int64), array([76], dtype=int64), array([94], dtype=int64), array([77], dtype=int64), array([76], dtype=int64), array([82], dtype=int64), array([83], dtype=int64), array([2], dtype=int64), array([88], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([86], dtype=int64), array([92], dtype=int64), array([44], dtype=int64), array([70], dtype=int64), array([37], dtype=int64), array([62], dtype=int64), array([52], dtype=int64), array([68], dtype=int64), array([94], dtype=int64), array([27], dtype=int64), array([82], dtype=int64), array([31], dtype=int64), array([68], dtype=int64), array([90], dtype=int64), array([90], dtype=int64), array([26], dtype=int64), array([50], dtype=int64), array([87], dtype=int64), array([31], dtype=int64), array([4], dtype=int64), array([90], dtype=int64), array([14], dtype=int64), array([54], dtype=int64), array([21], dtype=int64), array([37], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64)]","[93.03872680664062, 80.9242935180664, 71.0, 79.2135009765625, 71.00003814697266, 74.00006103515625, 101.51798248291016, 97.82543182373047, 98.39408874511719, 97.6600341796875, 92.20315551757812, 91.36148834228516, 90.09449005126953, 90.9626235961914, 87.56954956054688, 89.1067886352539, 80.40841674804688, 86.2527847290039, 94.30403900146484, 92.96321868896484, 75.48603057861328, 75.72496795654297, 77.91175842285156, 70.42456817626953, 65.95682525634766, 70.06269073486328, 79.61363983154297, 71.6678695678711, 72.5722885131836, 82.458251953125, 79.86331176757812, 87.35360717773438, 79.8934555053711, 69.91162109375, 59.87852096557617, 60.305274963378906, 58.9335823059082, 82.4475326538086, 62.49024200439453, 55.14275360107422, 48.20643997192383, 60.29372787475586, 63.64537048339844, 90.74913024902344, 65.40803527832031, 71.16246795654297, 36.164878845214844, 57.383365631103516, 49.92313003540039, 31.32937240600586, 23.576486587524414, 45.05810546875, 47.13283920288086, 32.99051284790039, 42.192237854003906, 71.06255340576172, 39.64741516113281, 16.010454177856445, 8.993839263916016]"
7,[20],"[11, 29, 14, 34, 10, 3, 27, 16, 53, 35, 26, 39, 54, 37, 38, 41, 22, 52, 28, 21, 30, 24, 19, 18, 23, 13, 31, 0, 49, 17, 1, 12, 7, 9, 51, 40, 33, 32, 58, 56, 2, 6, 50, 36, 43, 42, 45, 46, 57, 44, 15, 8, 4, 5, 55, 59, 25, 47, 48]","[array([82], dtype=int64), array([87], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([79], dtype=int64), array([80], dtype=int64), array([91], dtype=int64), array([32], dtype=int64), array([94], dtype=int64), array([90], dtype=int64), array([88], dtype=int64), array([68], dtype=int64), array([76], dtype=int64), array([94], dtype=int64), array([95], dtype=int64), array([52], dtype=int64), array([90], dtype=int64), array([31], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([75], dtype=int64), array([89], dtype=int64), array([86], dtype=int64), array([87], dtype=int64), array([62], dtype=int64), array([76], dtype=int64), array([82], dtype=int64), array([86], dtype=int64), array([87], dtype=int64), array([83], dtype=int64), array([70], dtype=int64), array([77], dtype=int64), array([90], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([43], dtype=int64), array([94], dtype=int64), array([92], dtype=int64), array([37], dtype=int64), array([26], dtype=int64), array([27], dtype=int64), array([84], dtype=int64), array([21], dtype=int64), array([50], dtype=int64), array([54], dtype=int64), array([44], dtype=int64), array([14], dtype=int64), array([4], dtype=int64), array([2], dtype=int64), array([21], dtype=int64), array([37], dtype=int64), array([94], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([31], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[95.93766784667969, 71.0001449584961, 91.00013732910156, 91.00027465820312, 95.78609466552734, 73.99982452392578, 100.32804107666016, 93.67693328857422, 70.99955749511719, 82.9972915649414, 62.99959945678711, 61.99789047241211, 60.00061798095703, 62.99992370605469, 77.00212860107422, 54.00178527832031, 91.60345458984375, 91.92862701416016, 91.41337585449219, 90.4902114868164, 90.29890441894531, 90.34516906738281, 89.10050964355469, 89.31822967529297, 85.53199005126953, 83.49176788330078, 80.10267639160156, 84.34990692138672, 82.07264709472656, 85.828369140625, 90.17417907714844, 80.77245330810547, 84.8643569946289, 81.06192016601562, 75.2170639038086, 80.45376586914062, 80.77851104736328, 82.21062469482422, 78.3437728881836, 80.88533782958984, 84.15287017822266, 84.53128051757812, 75.0401382446289, 84.99993133544922, 67.62202453613281, 60.416500091552734, 72.02980041503906, 54.10728454589844, 53.81604766845703, 32.00304412841797, 6.002096176147461, 97.9955825805664, 0.051144715398550034, 5.003122329711914, -0.006061482708901167, 0.13193945586681366, 54.99931335449219, 64.9991683959961, 72.93075561523438]"
8,[14],"[16, 2, 9, 49, 53, 29, 26, 35, 39, 54, 37, 38, 41, 34, 20, 30, 42, 3, 40, 52, 31, 22, 18, 17, 27, 28, 21, 24, 19, 23, 12, 33, 51, 57, 10, 6, 11, 7, 32, 36, 0, 58, 44, 46, 45, 56, 1, 13, 50, 15, 43, 8, 4, 5, 55, 59, 25, 47, 48]","[array([32], dtype=int64), array([27], dtype=int64), array([91], dtype=int64), array([87], dtype=int64), array([94], dtype=int64), array([87], dtype=int64), array([88], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([76], dtype=int64), array([94], dtype=int64), array([95], dtype=int64), array([52], dtype=int64), array([68], dtype=int64), array([92], dtype=int64), array([75], dtype=int64), array([44], dtype=int64), array([80], dtype=int64), array([43], dtype=int64), array([31], dtype=int64), array([82], dtype=int64), array([90], dtype=int64), array([87], dtype=int64), array([83], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([89], dtype=int64), array([86], dtype=int64), array([62], dtype=int64), array([77], dtype=int64), array([94], dtype=int64), array([88], dtype=int64), array([2], dtype=int64), array([79], dtype=int64), array([84], dtype=int64), array([82], dtype=int64), array([90], dtype=int64), array([92], dtype=int64), array([50], dtype=int64), array([86], dtype=int64), array([37], dtype=int64), array([21], dtype=int64), array([4], dtype=int64), array([14], dtype=int64), array([26], dtype=int64), array([70], dtype=int64), array([76], dtype=int64), array([21], dtype=int64), array([37], dtype=int64), array([54], dtype=int64), array([94], dtype=int64), array([12], dtype=int64), array([74], dtype=int64), array([31], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[92.76068878173828, 74.21430206298828, 71.79618835449219, 88.6753158569336, 88.957763671875, 70.99991607666016, 63.000267028808594, 82.99596405029297, 61.99824523925781, 60.0003547668457, 63.00224304199219, 77.00137329101562, 54.0028076171875, 54.0009880065918, 52.99790573120117, 53.00045394897461, 57.99852752685547, 50.99957275390625, 49.99882125854492, 92.28514862060547, 87.60400390625, 87.87925720214844, 88.88505554199219, 87.4752197265625, 87.08045959472656, 89.94578552246094, 83.32655334472656, 88.68458557128906, 89.94567108154297, 87.65283966064453, 83.09713745117188, 74.4203109741211, 79.46063995361328, 85.58765411376953, 80.99916076660156, 90.00286102294922, 79.99781799316406, 91.00011444091797, 59.97035598754883, 84.99811553955078, 45.01311111450195, 74.60130310058594, 31.99951171875, 27.99809455871582, 26.000411987304688, 20.291717529296875, 12.003580093383789, 9.00413990020752, 7.001906394958496, 5.999832630157471, 5.015932559967041, 97.9955825805664, 0.051144715398550034, 5.003122329711914, -0.006061482708901167, 0.13193945586681366, 54.99931335449219, 64.9991683959961, 72.93075561523438]"
9,[29],"[16, 49, 2, 19, 28, 27, 26, 51, 30, 40, 22, 53, 35, 39, 54, 37, 38, 34, 41, 20, 42, 52, 31, 17, 18, 3, 56, 21, 24, 23, 50, 33, 9, 57, 14, 10, 6, 11, 36, 32, 7, 0, 12, 44, 46, 45, 1, 13, 15, 43, 8, 4, 58, 5, 55, 59, 25, 47, 48]","[array([32], dtype=int64), array([87], dtype=int64), array([27], dtype=int64), array([86], dtype=int64), array([91], dtype=int64), array([91], dtype=int64), array([88], dtype=int64), array([88], dtype=int64), array([75], dtype=int64), array([43], dtype=int64), array([90], dtype=int64), array([94], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([76], dtype=int64), array([94], dtype=int64), array([95], dtype=int64), array([68], dtype=int64), array([52], dtype=int64), array([92], dtype=int64), array([44], dtype=int64), array([31], dtype=int64), array([82], dtype=int64), array([83], dtype=int64), array([87], dtype=int64), array([80], dtype=int64), array([26], dtype=int64), array([88], dtype=int64), array([89], dtype=int64), array([62], dtype=int64), array([21], dtype=int64), array([94], dtype=int64), array([91], dtype=int64), array([2], dtype=int64), array([90], dtype=int64), array([79], dtype=int64), array([84], dtype=int64), array([82], dtype=int64), array([50], dtype=int64), array([92], dtype=int64), array([90], dtype=int64), array([86], dtype=int64), array([77], dtype=int64), array([21], dtype=int64), array([4], dtype=int64), array([14], dtype=int64), array([70], dtype=int64), array([76], dtype=int64), array([37], dtype=int64), array([54], dtype=int64), array([94], dtype=int64), array([12], dtype=int64), array([37], dtype=int64), array([74], dtype=int64), array([31], dtype=int64), array([0], dtype=int64), array([85], dtype=int64), array([5], dtype=int64), array([1], dtype=int64)]","[96.24549865722656, 93.50532531738281, 89.76891326904297, 96.0675277709961, 88.72550964355469, 87.86210632324219, 91.20662689208984, 87.839111328125, 88.53958892822266, 91.27523803710938, 86.27916717529297, 70.99977111816406, 82.99796295166016, 61.99968338012695, 59.99967956542969, 62.999244689941406, 77.00228118896484, 54.00021743774414, 53.99907302856445, 52.998355865478516, 58.00048828125, 89.80585479736328, 86.46563720703125, 86.97381591796875, 87.18211364746094, 78.38905334472656, 80.85890197753906, 86.5698471069336, 83.94865417480469, 88.64988708496094, 59.35676574707031, 88.35526275634766, 89.99993133544922, 85.03093719482422, 90.99987030029297, 80.99977111816406, 90.00016784667969, 80.00011444091797, 85.00003814697266, 59.99576950073242, 91.00116729736328, 45.00100326538086, 39.99851989746094, 32.00107955932617, 27.998775482177734, 25.999866485595703, 12.000815391540527, 9.012242317199707, 6.003401756286621, 5.0019683837890625, 97.99136352539062, 0.07521487027406693, 0.03361876308917999, 5.003122329711914, -0.006061482708901167, 0.13193945586681366, 54.99931335449219, 64.9991683959961, 72.93075561523438]"
